run_id,input_path,exists,sha256,role,claim_boundary
run364AQ_review_hold6_pf_dd_repair_offensive_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AP/final_decision.json,True,fb2321714a9bf7798c25763f7d7f4e7e2f1b24eafb0379ab68a3050b2cd00cfc,decision or receipt(결정 또는 영수증),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AQ_review_hold6_pf_dd_repair_offensive_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AP/required_gate_coverage_audit.csv,True,215cec8243cbc05f13481798528eb5b66dbd9c23fedee4208548f0e7e19d339e,supporting evidence(보조 근거),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AQ_review_hold6_pf_dd_repair_offensive_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AP/hold6_pf_dd_repair_proxy_scout_surface.csv,True,c94a592c385da98418410e2aa29ac25b48f343f593a76a4c96884ae1c43a3752,parent scout surface(부모 정찰 표면),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AQ_review_hold6_pf_dd_repair_offensive_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AP/strict_proxy_candidates.csv,True,b42f2099187886def637d6aa840022266e05cb6c987a9394e708e23cd505eb46,supporting evidence(보조 근거),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AQ_review_hold6_pf_dd_repair_offensive_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AP/selected_proxy_candidate.json,True,6a9debdb09bdaf560d36797601ff3edad3b4ddb841bab967d285c0556186d692,decision or receipt(결정 또는 영수증),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AQ_review_hold6_pf_dd_repair_offensive_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AP/expected_tapes/selected_trade_tape.csv,True,097798e680b1188557daf1cdd0f1e5ddd28326f9c5f0325ece7004650b666b2a,supporting evidence(보조 근거),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AQ_review_hold6_pf_dd_repair_offensive_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AP/selected_session_summary.csv,True,1c10e7c1ceee46d74ef9b8e260969ac9b6c6c9ea63806c8c27e09e490057e10f,segment summary(구간 요약),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AQ_review_hold6_pf_dd_repair_offensive_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AP/selected_month_side_summary.csv,True,c445736b6617663931dc7d1968fccfe088543b79dd26779245d8ab2d98d7fb8a,segment summary(구간 요약),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AQ_review_hold6_pf_dd_repair_offensive_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AP/policy_attribution.csv,True,d53dac302a2edb98da1b9e3f5e13cedf70d56b4ac45d9f23df8aa299513afabe,supporting evidence(보조 근거),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AQ_review_hold6_pf_dd_repair_offensive_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AP/baseline_comparison.csv,True,9307e388915c47bf79ef76e469beee19c187b74ee98d977bf9d1a5c5a07ffb78,supporting evidence(보조 근거),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
