dimension,selection_use,forward_pass_fail_use,diagnostic_use,branch_specific_rebuild_spec_exists,review_decision,run335R_action,claim_boundary
curve_pocket,blocked,blocked,allowed_context_only,true,rebuild_required_before_any_rank_use,materialize_branch_specific_proxy_scout,research_development_only_stage335Q_balanced_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
expectancy,blocked,blocked,allowed_context_only,true,rebuild_required_before_any_rank_use,materialize_branch_specific_proxy_scout,research_development_only_stage335Q_balanced_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
long_short_attribution,blocked,blocked,allowed_context_only,true,rebuild_required_before_any_rank_use,materialize_branch_specific_proxy_scout,research_development_only_stage335Q_balanced_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
lot_normalized_result,blocked,blocked,allowed_context_only,true,rebuild_required_before_any_rank_use,materialize_branch_specific_proxy_scout,research_development_only_stage335Q_balanced_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
max_drawdown,blocked,blocked,allowed_context_only,true,rebuild_required_before_any_rank_use,materialize_branch_specific_proxy_scout,research_development_only_stage335Q_balanced_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
net_profit,blocked,blocked,allowed_context_only,true,rebuild_required_before_any_rank_use,materialize_branch_specific_proxy_scout,research_development_only_stage335Q_balanced_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
profit_factor,blocked,blocked,allowed_context_only,true,rebuild_required_before_any_rank_use,materialize_branch_specific_proxy_scout,research_development_only_stage335Q_balanced_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
recovery_factor,blocked,blocked,allowed_context_only,true,rebuild_required_before_any_rank_use,materialize_branch_specific_proxy_scout,research_development_only_stage335Q_balanced_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_hour_regime,blocked,blocked,allowed_context_only,true,rebuild_required_before_any_rank_use,materialize_branch_specific_proxy_scout,research_development_only_stage335Q_balanced_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
spread_slippage_stress,blocked,blocked,allowed_context_only,true,rebuild_required_before_any_rank_use,materialize_branch_specific_proxy_scout,research_development_only_stage335Q_balanced_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
trades_per_day,blocked,blocked,allowed_context_only,true,rebuild_required_before_any_rank_use,materialize_branch_specific_proxy_scout,research_development_only_stage335Q_balanced_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
underwater_stretch,blocked,blocked,allowed_context_only,true,rebuild_required_before_any_rank_use,materialize_branch_specific_proxy_scout,research_development_only_stage335Q_balanced_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
overall_proxy_bridge,blocked,blocked,allowed_context_only,false,overall_proxy_bridge_blocked_until_rebuild,keep_proxy_blocked,research_development_only_stage335Q_balanced_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
