variant_id,candidate_alias,queue_id,shared_contract,tier_pair_boundary,runtime_status,runtime_claim,claim_boundary
run267ec_01_s258_stc_2025h1_period_survival_gate,s258_stc,q01_s258_2025h1_period_survival_gate,US100 M5;RuntimeProbeEA;ebm_table_csv;feature_order_hash_tracked;Common Files handoff,Tier A materialized for seventh follow-up/prune; true Tier B fallback and actual routed total remain unclaimed.,materialized_execution_pending,runtime reproduction pending(런타임 재현 대기),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_02_s258_stc_2025h2_period_survival_gate,s258_stc,q02_s258_2025h2_period_survival_gate,US100 M5;RuntimeProbeEA;ebm_table_csv;feature_order_hash_tracked;Common Files handoff,Tier A materialized for seventh follow-up/prune; true Tier B fallback and actual routed total remain unclaimed.,materialized_execution_pending,runtime reproduction pending(런타임 재현 대기),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_03_s258_stc_2023h2_explosive_impulse_supply,s258_stc,q03_s258_explosive_impulse_supply_probe,US100 M5;RuntimeProbeEA;ebm_table_csv;feature_order_hash_tracked;Common Files handoff,Tier A materialized for seventh follow-up/prune; true Tier B fallback and actual routed total remain unclaimed.,materialized_execution_pending,runtime reproduction pending(런타임 재현 대기),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_04_s258_stc_2025h1_explosive_impulse_supply,s258_stc,q03_s258_explosive_impulse_supply_probe,US100 M5;RuntimeProbeEA;ebm_table_csv;feature_order_hash_tracked;Common Files handoff,Tier A materialized for seventh follow-up/prune; true Tier B fallback and actual routed total remain unclaimed.,materialized_execution_pending,runtime reproduction pending(런타임 재현 대기),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_05_s258_stc_2025h2_explosive_impulse_supply,s258_stc,q03_s258_explosive_impulse_supply_probe,US100 M5;RuntimeProbeEA;ebm_table_csv;feature_order_hash_tracked;Common Files handoff,Tier A materialized for seventh follow-up/prune; true Tier B fallback and actual routed total remain unclaimed.,materialized_execution_pending,runtime reproduction pending(런타임 재현 대기),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_06_s264_aih_validation_anchor_integrity,s264_aih,q04_s264_aih_validation_anchor_integrity_check,US100 M5;RuntimeProbeEA;ebm_table_csv;feature_order_hash_tracked;Common Files handoff,Tier A materialized for seventh follow-up/prune; true Tier B fallback and actual routed total remain unclaimed.,materialized_execution_pending,runtime reproduction pending(런타임 재현 대기),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_07_s264_aih_202604_counter_shock_rebuild,s264_aih,q05_s264_aih_202604_counter_shock_rebuild,US100 M5;RuntimeProbeEA;ebm_table_csv;feature_order_hash_tracked;Common Files handoff,Tier A materialized for seventh follow-up/prune; true Tier B fallback and actual routed total remain unclaimed.,materialized_execution_pending,runtime reproduction pending(런타임 재현 대기),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_08_s264_lc_202604_counter_shock_control,s264_lc,q05_s264_aih_202604_counter_shock_rebuild,US100 M5;RuntimeProbeEA;ebm_table_csv;feature_order_hash_tracked;Common Files handoff,Tier A materialized for seventh follow-up/prune; true Tier B fallback and actual routed total remain unclaimed.,materialized_execution_pending,runtime reproduction pending(런타임 재현 대기),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_09_s264_aih_validation_explosive_counter_impulse,s264_aih,q06_s264_aih_explosive_counter_impulse_probe,US100 M5;RuntimeProbeEA;ebm_table_csv;feature_order_hash_tracked;Common Files handoff,Tier A materialized for seventh follow-up/prune; true Tier B fallback and actual routed total remain unclaimed.,materialized_execution_pending,runtime reproduction pending(런타임 재현 대기),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_10_s264_aih_202604_explosive_counter_impulse,s264_aih,q06_s264_aih_explosive_counter_impulse_probe,US100 M5;RuntimeProbeEA;ebm_table_csv;feature_order_hash_tracked;Common Files handoff,Tier A materialized for seventh follow-up/prune; true Tier B fallback and actual routed total remain unclaimed.,materialized_execution_pending,runtime reproduction pending(런타임 재현 대기),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
