variant_id,queue_id,priority,source_run_id,source_variant_id,candidate_id,candidate_alias,candidate_role,profile_label,profile_token,materialization_type,split,period_label,targeted_weakness,runtime_model_file,runtime_model_sha256,common_model_path,common_model_sha256,runtime_feature_file,runtime_feature_sha256,common_feature_path,common_feature_sha256,feature_count,feature_order,feature_order_hash,known_difference,materialization_boundary,claim_boundary,direct_source_materialization_run_id
run267ec_01_s258_stc_2025h1_period_survival_gate,q01_s258_2025h1_period_survival_gate,P0_survival_gate,run267DL_stage267_shared_weakness_breakout_third_followup_or_prune_materialization_v1,run267dy_02_s258_stc_2025h1_dd_shape_split,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_2025h1_period_survival_gate,s258_period_survival,period_survival_state_gate_from_dd_shape,adjacent_2025_h1_validation_post_2024,2025H1,2025H1 DD and weak May/session damage(2025H1 손실폭 및 5월/세션 손상),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/variants/s258_stc/run267ec_01_s258_stc_2025h1_period_survival_gate/models/run267ec_01_s258_stc_2025h1_period_survival_gate_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_01_s258_stc_2025h1_period_survival_gate/models/run267ec_01_s258_stc_2025h1_period_survival_gate_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/features/s258_stc/run267ec_01_s258_stc_2025h1_period_survival_gate/run267ec_01_s258_stc_2025h1_period_survival_gate_features.csv,98e89db20885c0588ac246f30f9b2753e38455726f99ea628b1d345903ad32f3,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_01_s258_stc_2025h1_period_survival_gate/features/run267ec_01_s258_stc_2025h1_period_survival_gate_features.csv,98e89db20885c0588ac246f30f9b2753e38455726f99ea628b1d345903ad32f3,4,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control;stage267bs_impulse_replacement_score,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,Compresses 2025H1 survival risk without a May/hour/session hard ban.,materialization_only_execution_pending_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,run267DY_stage267_runtime_gap_aware_sixth_followup_or_prune_materialization_v1
run267ec_02_s258_stc_2025h2_period_survival_gate,q02_s258_2025h2_period_survival_gate,P0_survival_gate,run267DL_stage267_shared_weakness_breakout_third_followup_or_prune_materialization_v1,run267dy_03_s258_stc_2025h2_dd_shape_split,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_2025h2_period_survival_gate,s258_period_survival,period_survival_state_gate_from_dd_shape,adjacent_2025_h2_oos_followthrough,2025H2,2025H2 Monday and December DD(2025H2 월요일/12월 손실폭),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/variants/s258_stc/run267ec_02_s258_stc_2025h2_period_survival_gate/models/run267ec_02_s258_stc_2025h2_period_survival_gate_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_02_s258_stc_2025h2_period_survival_gate/models/run267ec_02_s258_stc_2025h2_period_survival_gate_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/features/s258_stc/run267ec_02_s258_stc_2025h2_period_survival_gate/run267ec_02_s258_stc_2025h2_period_survival_gate_features.csv,81b79505ade108fbb8dc95dd2913d769b0a602a1a23ad4138ddc285b20aa82d3,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_02_s258_stc_2025h2_period_survival_gate/features/run267ec_02_s258_stc_2025h2_period_survival_gate_features.csv,81b79505ade108fbb8dc95dd2913d769b0a602a1a23ad4138ddc285b20aa82d3,4,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control;stage267bs_impulse_replacement_score,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,Separates 2025H2 survival pressure without banning Monday or December.,materialization_only_execution_pending_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,run267DY_stage267_runtime_gap_aware_sixth_followup_or_prune_materialization_v1
run267ec_03_s258_stc_2023h2_explosive_impulse_supply,q03_s258_explosive_impulse_supply_probe,P0_aggressive_explosive,run267DL_stage267_shared_weakness_breakout_third_followup_or_prune_materialization_v1,run267dy_04_s258_stc_2023h2_state_falsification,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_2023h2_explosive_impulse_supply,s258_explosive_impulse,explosive_impulse_supply_probe,adjacent_2023_h2_train_pre_2024,2023H2,"s258 strong-supply confirmation without calendar exclusion(s258 강한 공급 확인, 달력 제외 없음)",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/variants/s258_stc/run267ec_03_s258_stc_2023h2_explosive_impulse_supply/models/run267ec_03_s258_stc_2023h2_explosive_impulse_supply_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_03_s258_stc_2023h2_explosive_impulse_supply/models/run267ec_03_s258_stc_2023h2_explosive_impulse_supply_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/features/s258_stc/run267ec_03_s258_stc_2023h2_explosive_impulse_supply/run267ec_03_s258_stc_2023h2_explosive_impulse_supply_features.csv,94c1500167be289b3e92be82df2c08b674cc7a04fc23958e87d3aeafca76c6c3,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_03_s258_stc_2023h2_explosive_impulse_supply/features/run267ec_03_s258_stc_2023h2_explosive_impulse_supply_features.csv,94c1500167be289b3e92be82df2c08b674cc7a04fc23958e87d3aeafca76c6c3,4,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control;stage267bs_impulse_replacement_score,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,Adds impulse supply pressure rather than a defensive filter.,materialization_only_execution_pending_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,run267DY_stage267_runtime_gap_aware_sixth_followup_or_prune_materialization_v1
run267ec_04_s258_stc_2025h1_explosive_impulse_supply,q03_s258_explosive_impulse_supply_probe,P0_aggressive_explosive,run267DL_stage267_shared_weakness_breakout_third_followup_or_prune_materialization_v1,run267dy_05_s258_stc_2025h1_state_falsification,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_2025h1_explosive_impulse_supply,s258_explosive_impulse,explosive_impulse_supply_probe,adjacent_2025_h1_validation_post_2024,2025H1,"2025H1 supply recovery without May/session ban(2025H1 공급 회복, 5월/세션 금지 없음)",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/variants/s258_stc/run267ec_04_s258_stc_2025h1_explosive_impulse_supply/models/run267ec_04_s258_stc_2025h1_explosive_impulse_supply_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_04_s258_stc_2025h1_explosive_impulse_supply/models/run267ec_04_s258_stc_2025h1_explosive_impulse_supply_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/features/s258_stc/run267ec_04_s258_stc_2025h1_explosive_impulse_supply/run267ec_04_s258_stc_2025h1_explosive_impulse_supply_features.csv,98e89db20885c0588ac246f30f9b2753e38455726f99ea628b1d345903ad32f3,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_04_s258_stc_2025h1_explosive_impulse_supply/features/run267ec_04_s258_stc_2025h1_explosive_impulse_supply_features.csv,98e89db20885c0588ac246f30f9b2753e38455726f99ea628b1d345903ad32f3,4,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control;stage267bs_impulse_replacement_score,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,Pressures 2025H1 supply with an aggressive noncalendar impulse surface.,materialization_only_execution_pending_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,run267DY_stage267_runtime_gap_aware_sixth_followup_or_prune_materialization_v1
run267ec_05_s258_stc_2025h2_explosive_impulse_supply,q03_s258_explosive_impulse_supply_probe,P0_aggressive_explosive,run267DL_stage267_shared_weakness_breakout_third_followup_or_prune_materialization_v1,run267dy_06_s258_stc_2025h2_state_falsification,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_2025h2_explosive_impulse_supply,s258_explosive_impulse,explosive_impulse_supply_probe,adjacent_2025_h2_oos_followthrough,2025H2,"2025H2 supply recovery without Monday/December ban(2025H2 공급 회복, 월요일/12월 금지 없음)",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/variants/s258_stc/run267ec_05_s258_stc_2025h2_explosive_impulse_supply/models/run267ec_05_s258_stc_2025h2_explosive_impulse_supply_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_05_s258_stc_2025h2_explosive_impulse_supply/models/run267ec_05_s258_stc_2025h2_explosive_impulse_supply_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/features/s258_stc/run267ec_05_s258_stc_2025h2_explosive_impulse_supply/run267ec_05_s258_stc_2025h2_explosive_impulse_supply_features.csv,81b79505ade108fbb8dc95dd2913d769b0a602a1a23ad4138ddc285b20aa82d3,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_05_s258_stc_2025h2_explosive_impulse_supply/features/run267ec_05_s258_stc_2025h2_explosive_impulse_supply_features.csv,81b79505ade108fbb8dc95dd2913d769b0a602a1a23ad4138ddc285b20aa82d3,4,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control;stage267bs_impulse_replacement_score,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,Tests whether the s258 branch can add OOS follow-through supply rather than hide weak months.,materialization_only_execution_pending_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,run267DY_stage267_runtime_gap_aware_sixth_followup_or_prune_materialization_v1
run267ec_06_s264_aih_validation_anchor_integrity,q04_s264_aih_validation_anchor_integrity_check,P1_validation_integrity,stage267_run267B_source_feature_manifest,run267dy_07_s264_aih_validation_anchor_repair,s264_allow_inner_high_quarter,s264_aih,challenger_core,s264_aih_validation_anchor_integrity,s264_aih_validation_integrity,validation_anchor_integrity_replay,validation_is,validation_is,validation anchor preservation before final-month repair(마지막 달 수리 전 검증 앵커 보존),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/variants/s264_aih/run267ec_06_s264_aih_validation_anchor_integrity/models/run267ec_06_s264_aih_validation_anchor_integrity_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_06_s264_aih_validation_anchor_integrity/models/run267ec_06_s264_aih_validation_anchor_integrity_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/features/s264_aih/run267ec_06_s264_aih_validation_anchor_integrity/run267ec_06_s264_aih_validation_anchor_integrity_features.csv,49a1fd2ec8ba9c08c046ca7d30bf68d62c3ea3fa7f476d5a03d6769590144d2a,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_06_s264_aih_validation_anchor_integrity/features/run267ec_06_s264_aih_validation_anchor_integrity_features.csv,49a1fd2ec8ba9c08c046ca7d30bf68d62c3ea3fa7f476d5a03d6769590144d2a,3,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_high_quarter,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,Keeps validation integrity separate from the 2026.04 repair branch.,materialization_only_execution_pending_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,run267DY_stage267_runtime_gap_aware_sixth_followup_or_prune_materialization_v1
run267ec_07_s264_aih_202604_counter_shock_rebuild,q05_s264_aih_202604_counter_shock_rebuild,P0_repair_cap,stage267_run267B_source_feature_manifest,run267dy_08_s264_aih_202604_counter_shock_probe,s264_allow_inner_high_quarter,s264_aih,challenger_core,s264_aih_202604_counter_shock_rebuild,s264_aih_counter_shock_rebuild,final_month_counter_shock_rebuild_cap,oos_final_month_2026_04,2026.04,s264_aih 2026.04 negative final month(s264_aih 2026.04 음수 마지막 달),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/variants/s264_aih/run267ec_07_s264_aih_202604_counter_shock_rebuild/models/run267ec_07_s264_aih_202604_counter_shock_rebuild_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_07_s264_aih_202604_counter_shock_rebuild/models/run267ec_07_s264_aih_202604_counter_shock_rebuild_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/features/s264_aih/run267ec_07_s264_aih_202604_counter_shock_rebuild/run267ec_07_s264_aih_202604_counter_shock_rebuild_features.csv,e08c68d38ac80e6799d53850673dbe96533ead7fe98b6c444586929eb96b6320,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_07_s264_aih_202604_counter_shock_rebuild/features/run267ec_07_s264_aih_202604_counter_shock_rebuild_features.csv,e08c68d38ac80e6799d53850673dbe96533ead7fe98b6c444586929eb96b6320,3,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_high_quarter,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,One bounded final-month rebuild; it cannot become a third repair loop.,materialization_only_execution_pending_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,run267DY_stage267_runtime_gap_aware_sixth_followup_or_prune_materialization_v1
run267ec_08_s264_lc_202604_counter_shock_control,q05_s264_aih_202604_counter_shock_rebuild,P1_control,stage267_run267B_source_feature_manifest,run267dy_09_s264_lc_202604_same_month_control,s264_lowrank_control,s264_lc,defensive_control,s264_lc_202604_counter_shock_control,s264_lc_counter_shock_control,paired_final_month_market_control,oos_final_month_2026_04,2026.04,same-month market control for s264_aih repair(s264_aih 수리용 같은 달 시장 대조),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/variants/s264_lc/run267ec_08_s264_lc_202604_counter_shock_control/models/run267ec_08_s264_lc_202604_counter_shock_control_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_lc/run267ec_08_s264_lc_202604_counter_shock_control/models/run267ec_08_s264_lc_202604_counter_shock_control_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/features/s264_lc/run267ec_08_s264_lc_202604_counter_shock_control/run267ec_08_s264_lc_202604_counter_shock_control_features.csv,2af47b2765c2d0be55f6c5a6ea12e6161a783eeecb5fd1f271afe5bba78d8b94,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_lc/run267ec_08_s264_lc_202604_counter_shock_control/features/run267ec_08_s264_lc_202604_counter_shock_control_features.csv,2af47b2765c2d0be55f6c5a6ea12e6161a783eeecb5fd1f271afe5bba78d8b94,3,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control,57802ff8452e88002fcc25324198176680451bd754d1ed7eac425aba5090a0d8,Paired control only; one-month control cannot become a selected candidate.,materialization_only_execution_pending_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,run267DY_stage267_runtime_gap_aware_sixth_followup_or_prune_materialization_v1
run267ec_09_s264_aih_validation_explosive_counter_impulse,q06_s264_aih_explosive_counter_impulse_probe,P1_aggressive_explosive,stage267_run267B_source_feature_manifest,run267dy_07_s264_aih_validation_anchor_repair,s264_allow_inner_high_quarter,s264_aih,challenger_core,s264_aih_validation_explosive_counter_impulse,s264_aih_explosive_counter_impulse,explosive_counter_impulse_validation_probe,validation_is,validation_is,validation damage check for aggressive s264_aih supply(공격형 s264_aih 공급의 검증 손상 확인),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/variants/s264_aih/run267ec_09_s264_aih_validation_explosive_counter_impulse/models/run267ec_09_s264_aih_validation_explosive_counter_impulse_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_09_s264_aih_validation_explosive_counter_impulse/models/run267ec_09_s264_aih_validation_explosive_counter_impulse_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/features/s264_aih/run267ec_09_s264_aih_validation_explosive_counter_impulse/run267ec_09_s264_aih_validation_explosive_counter_impulse_features.csv,49a1fd2ec8ba9c08c046ca7d30bf68d62c3ea3fa7f476d5a03d6769590144d2a,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_09_s264_aih_validation_explosive_counter_impulse/features/run267ec_09_s264_aih_validation_explosive_counter_impulse_features.csv,49a1fd2ec8ba9c08c046ca7d30bf68d62c3ea3fa7f476d5a03d6769590144d2a,3,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_high_quarter,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,Aggressive validation pass to catch damage before reading the final month.,materialization_only_execution_pending_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,run267DY_stage267_runtime_gap_aware_sixth_followup_or_prune_materialization_v1
run267ec_10_s264_aih_202604_explosive_counter_impulse,q06_s264_aih_explosive_counter_impulse_probe,P1_aggressive_explosive,stage267_run267B_source_feature_manifest,run267dy_08_s264_aih_202604_counter_shock_probe,s264_allow_inner_high_quarter,s264_aih,challenger_core,s264_aih_202604_explosive_counter_impulse,s264_aih_explosive_counter_impulse,explosive_counter_impulse_final_month_probe,oos_final_month_2026_04,2026.04,"2026.04 counter-impulse supply without final-month exclusion(2026.04 역임펄스 공급, 마지막 달 제외 없음)",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/variants/s264_aih/run267ec_10_s264_aih_202604_explosive_counter_impulse/models/run267ec_10_s264_aih_202604_explosive_counter_impulse_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_10_s264_aih_202604_explosive_counter_impulse/models/run267ec_10_s264_aih_202604_explosive_counter_impulse_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/features/s264_aih/run267ec_10_s264_aih_202604_explosive_counter_impulse/run267ec_10_s264_aih_202604_explosive_counter_impulse_features.csv,e08c68d38ac80e6799d53850673dbe96533ead7fe98b6c444586929eb96b6320,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_10_s264_aih_202604_explosive_counter_impulse/features/run267ec_10_s264_aih_202604_explosive_counter_impulse_features.csv,e08c68d38ac80e6799d53850673dbe96533ead7fe98b6c444586929eb96b6320,3,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_high_quarter,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,Aggressive final-month supply probe; it is not a same-month rescue selection.,materialization_only_execution_pending_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,run267DY_stage267_runtime_gap_aware_sixth_followup_or_prune_materialization_v1
