variant_id,attempt_name,feature_order_hash,set_path,ini_path,runtime_parity_status,effect,claim_boundary
run267ec_01_s258_stc_2025h1_period_survival_gate,run267ec_01_s258_stc_2025h1_period_survival_gate_2025h1,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_01_s258_stc_2025h1_period_survival_gate_2025h1.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_01_s258_stc_2025h1_period_survival_gate_2025h1.ini,handoff_materialized_parity_unproven,"Python(파이썬) 연구 표면과 MT5(MetaTrader 5, 메타트레이더5) 입력의 feature order(피처 순서)를 추적한다.",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_02_s258_stc_2025h2_period_survival_gate,run267ec_02_s258_stc_2025h2_period_survival_gate_2025h2,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_02_s258_stc_2025h2_period_survival_gate_2025h2.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_02_s258_stc_2025h2_period_survival_gate_2025h2.ini,handoff_materialized_parity_unproven,"Python(파이썬) 연구 표면과 MT5(MetaTrader 5, 메타트레이더5) 입력의 feature order(피처 순서)를 추적한다.",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_03_s258_stc_2023h2_explosive_impulse_supply,run267ec_03_s258_stc_2023h2_explosive_impulse_supply_2023h2,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_03_s258_stc_2023h2_explosive_impulse_supply_2023h2.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_03_s258_stc_2023h2_explosive_impulse_supply_2023h2.ini,handoff_materialized_parity_unproven,"Python(파이썬) 연구 표면과 MT5(MetaTrader 5, 메타트레이더5) 입력의 feature order(피처 순서)를 추적한다.",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_04_s258_stc_2025h1_explosive_impulse_supply,run267ec_04_s258_stc_2025h1_explosive_impulse_supply_2025h1,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_04_s258_stc_2025h1_explosive_impulse_supply_2025h1.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_04_s258_stc_2025h1_explosive_impulse_supply_2025h1.ini,handoff_materialized_parity_unproven,"Python(파이썬) 연구 표면과 MT5(MetaTrader 5, 메타트레이더5) 입력의 feature order(피처 순서)를 추적한다.",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_05_s258_stc_2025h2_explosive_impulse_supply,run267ec_05_s258_stc_2025h2_explosive_impulse_supply_2025h2,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_05_s258_stc_2025h2_explosive_impulse_supply_2025h2.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_05_s258_stc_2025h2_explosive_impulse_supply_2025h2.ini,handoff_materialized_parity_unproven,"Python(파이썬) 연구 표면과 MT5(MetaTrader 5, 메타트레이더5) 입력의 feature order(피처 순서)를 추적한다.",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_06_s264_aih_validation_anchor_integrity,run267ec_06_s264_aih_validation_anchor_integrity_validation_is,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_06_s264_aih_validation_anchor_integrity_validation_is.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_06_s264_aih_validation_anchor_integrity_validation_is.ini,handoff_materialized_parity_unproven,"Python(파이썬) 연구 표면과 MT5(MetaTrader 5, 메타트레이더5) 입력의 feature order(피처 순서)를 추적한다.",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_07_s264_aih_202604_counter_shock_rebuild,run267ec_07_s264_aih_202604_counter_shock_rebuild_202604,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_07_s264_aih_202604_counter_shock_rebuild_202604.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_07_s264_aih_202604_counter_shock_rebuild_202604.ini,handoff_materialized_parity_unproven,"Python(파이썬) 연구 표면과 MT5(MetaTrader 5, 메타트레이더5) 입력의 feature order(피처 순서)를 추적한다.",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_08_s264_lc_202604_counter_shock_control,run267ec_08_s264_lc_202604_counter_shock_control_202604,57802ff8452e88002fcc25324198176680451bd754d1ed7eac425aba5090a0d8,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_08_s264_lc_202604_counter_shock_control_202604.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_08_s264_lc_202604_counter_shock_control_202604.ini,handoff_materialized_parity_unproven,"Python(파이썬) 연구 표면과 MT5(MetaTrader 5, 메타트레이더5) 입력의 feature order(피처 순서)를 추적한다.",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_09_s264_aih_validation_explosive_counter_impulse,run267ec_09_s264_aih_validation_explosive_counter_impulse_validation_is,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_09_s264_aih_validation_explosive_counter_impulse_validation_is.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_09_s264_aih_validation_explosive_counter_impulse_validation_is.ini,handoff_materialized_parity_unproven,"Python(파이썬) 연구 표면과 MT5(MetaTrader 5, 메타트레이더5) 입력의 feature order(피처 순서)를 추적한다.",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_10_s264_aih_202604_explosive_counter_impulse,run267ec_10_s264_aih_202604_explosive_counter_impulse_202604,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_10_s264_aih_202604_explosive_counter_impulse_202604.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_10_s264_aih_202604_explosive_counter_impulse_202604.ini,handoff_materialized_parity_unproven,"Python(파이썬) 연구 표면과 MT5(MetaTrader 5, 메타트레이더5) 입력의 feature order(피처 순서)를 추적한다.",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
