plan_id,queue_id,priority,candidate_alias,candidate_id,workstream,materialization_type,split,period_label,targeted_weakness,source_kind,source_variant_id,changed_variables,control_variables,known_difference,claim_boundary
run267ec_01_s258_stc_2025h1_period_survival_gate,q01_s258_2025h1_period_survival_gate,P0_survival_gate,s258_stc,s258_short_tight_control,s258_period_survival,period_survival_state_gate_from_dd_shape,adjacent_2025_h1_validation_post_2024,2025H1,2025H1 DD and weak May/session damage(2025H1 손실폭 및 5월/세션 손상),du,run267dy_02_s258_stc_2025h1_dd_shape_split,"period survival score(기간 생존 점수), adverse-state rank(불리 상태 순위)",symbol=US100; timeframe=M5; spread/cost/tester contract fixed; no candidate selection claim.,Compresses 2025H1 survival risk without a May/hour/session hard ban.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_02_s258_stc_2025h2_period_survival_gate,q02_s258_2025h2_period_survival_gate,P0_survival_gate,s258_stc,s258_short_tight_control,s258_period_survival,period_survival_state_gate_from_dd_shape,adjacent_2025_h2_oos_followthrough,2025H2,2025H2 Monday and December DD(2025H2 월요일/12월 손실폭),du,run267dy_03_s258_stc_2025h2_dd_shape_split,"late-period survival score(후반 기간 생존 점수), DD pressure state(손실폭 압박 상태)",symbol=US100; timeframe=M5; spread/cost/tester contract fixed; no candidate selection claim.,Separates 2025H2 survival pressure without banning Monday or December.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_03_s258_stc_2023h2_explosive_impulse_supply,q03_s258_explosive_impulse_supply_probe,P0_aggressive_explosive,s258_stc,s258_short_tight_control,explosive_supply,explosive_impulse_supply_probe,adjacent_2023_h2_train_pre_2024,2023H2,"s258 strong-supply confirmation without calendar exclusion(s258 강한 공급 확인, 달력 제외 없음)",du,run267dy_04_s258_stc_2023h2_state_falsification,"ATR expansion rank(ATR 확장 순위), direction impulse imbalance(방향 임펄스 불균형), no hour/month hard bans.",symbol=US100; timeframe=M5; spread/cost/tester contract fixed; no candidate selection claim.,Adds impulse supply pressure rather than a defensive filter.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_04_s258_stc_2025h1_explosive_impulse_supply,q03_s258_explosive_impulse_supply_probe,P0_aggressive_explosive,s258_stc,s258_short_tight_control,explosive_supply,explosive_impulse_supply_probe,adjacent_2025_h1_validation_post_2024,2025H1,"2025H1 supply recovery without May/session ban(2025H1 공급 회복, 5월/세션 금지 없음)",du,run267dy_05_s258_stc_2025h1_state_falsification,"ATR expansion rank(ATR 확장 순위), direction impulse imbalance(방향 임펄스 불균형), no hour/month hard bans.",symbol=US100; timeframe=M5; spread/cost/tester contract fixed; no candidate selection claim.,Pressures 2025H1 supply with an aggressive noncalendar impulse surface.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_05_s258_stc_2025h2_explosive_impulse_supply,q03_s258_explosive_impulse_supply_probe,P0_aggressive_explosive,s258_stc,s258_short_tight_control,explosive_supply,explosive_impulse_supply_probe,adjacent_2025_h2_oos_followthrough,2025H2,"2025H2 supply recovery without Monday/December ban(2025H2 공급 회복, 월요일/12월 금지 없음)",du,run267dy_06_s258_stc_2025h2_state_falsification,"ATR expansion rank(ATR 확장 순위), direction impulse imbalance(방향 임펄스 불균형), no hour/month hard bans.",symbol=US100; timeframe=M5; spread/cost/tester contract fixed; no candidate selection claim.,Tests whether the s258 branch can add OOS follow-through supply rather than hide weak months.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_06_s264_aih_validation_anchor_integrity,q04_s264_aih_validation_anchor_integrity_check,P1_validation_integrity,s264_aih,s264_allow_inner_high_quarter,s264_aih_validation_anchor,validation_anchor_integrity_replay,validation_is,validation_is,validation anchor preservation before final-month repair(마지막 달 수리 전 검증 앵커 보존),du,run267dy_07_s264_aih_validation_anchor_repair,validation anchor integrity receipt(검증 앵커 무결성 영수증),symbol=US100; timeframe=M5; spread/cost/tester contract fixed; no candidate selection claim.,Keeps validation integrity separate from the 2026.04 repair branch.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_07_s264_aih_202604_counter_shock_rebuild,q05_s264_aih_202604_counter_shock_rebuild,P0_repair_cap,s264_aih,s264_allow_inner_high_quarter,s264_aih_final_month_rebuild,final_month_counter_shock_rebuild_cap,oos_final_month_2026_04,2026.04,s264_aih 2026.04 negative final month(s264_aih 2026.04 음수 마지막 달),du,run267dy_08_s264_aih_202604_counter_shock_probe,"counter-shock state(역충격 상태), sell-side damage control(매도 손상 제어), no one-month selection.",symbol=US100; timeframe=M5; spread/cost/tester contract fixed; no candidate selection claim.,One bounded final-month rebuild; it cannot become a third repair loop.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_08_s264_lc_202604_counter_shock_control,q05_s264_aih_202604_counter_shock_rebuild,P1_control,s264_lc,s264_lowrank_control,s264_aih_final_month_rebuild,paired_final_month_market_control,oos_final_month_2026_04,2026.04,same-month market control for s264_aih repair(s264_aih 수리용 같은 달 시장 대조),du,run267dy_09_s264_lc_202604_same_month_control,"counter-shock state(역충격 상태), sell-side damage control(매도 손상 제어), no one-month selection.",symbol=US100; timeframe=M5; spread/cost/tester contract fixed; no candidate selection claim.,Paired control only; one-month control cannot become a selected candidate.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_09_s264_aih_validation_explosive_counter_impulse,q06_s264_aih_explosive_counter_impulse_probe,P1_aggressive_explosive,s264_aih,s264_allow_inner_high_quarter,explosive_supply,explosive_counter_impulse_validation_probe,validation_is,validation_is,validation damage check for aggressive s264_aih supply(공격형 s264_aih 공급의 검증 손상 확인),du,run267dy_07_s264_aih_validation_anchor_repair,"counter-impulse expansion(역임펄스 확장), direction stress bucket(방향 압박 구간)",symbol=US100; timeframe=M5; spread/cost/tester contract fixed; no candidate selection claim.,Aggressive validation pass to catch damage before reading the final month.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_10_s264_aih_202604_explosive_counter_impulse,q06_s264_aih_explosive_counter_impulse_probe,P1_aggressive_explosive,s264_aih,s264_allow_inner_high_quarter,explosive_supply,explosive_counter_impulse_final_month_probe,oos_final_month_2026_04,2026.04,"2026.04 counter-impulse supply without final-month exclusion(2026.04 역임펄스 공급, 마지막 달 제외 없음)",du,run267dy_08_s264_aih_202604_counter_shock_probe,"counter-impulse expansion(역임펄스 확장), direction stress bucket(방향 압박 구간)",symbol=US100; timeframe=M5; spread/cost/tester contract fixed; no candidate selection claim.,Aggressive final-month supply probe; it is not a same-month rescue selection.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
