attempt_name,variant_id,queue_id,priority,candidate_id,candidate_alias,candidate_role,profile_label,tier,split,period_label,from_date,to_date,attempt_role,set_path,set_sha256,ini_path,ini_sha256,telemetry_path,summary_path,execution_status,claim_boundary
run267ec_01_s258_stc_2025h1_period_survival_gate_2025h1,run267ec_01_s258_stc_2025h1_period_survival_gate,q01_s258_2025h1_period_survival_gate,P0_survival_gate,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_2025h1_period_survival_gate,Tier A,adjacent_2025_h1_validation_post_2024,2025H1,2025.01.02,2025.07.01,period_survival_gate_2025h1,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_01_s258_stc_2025h1_period_survival_gate_2025h1.set,fb38c71fbf4d20f4d75004a4606d978c7740b43be96d3775af54483d5771906d,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_01_s258_stc_2025h1_period_survival_gate_2025h1.ini,b31e32be6f5a353ba400882a885e23dea2a5cd19170e45efae3733adea184fd5,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_01_s258_stc_2025h1_period_survival_gate/telemetry/run267ec_01_s258_stc_2025h1_period_survival_gate_2025h1_telemetry.csv,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_01_s258_stc_2025h1_period_survival_gate/telemetry/run267ec_01_s258_stc_2025h1_period_survival_gate_2025h1_summary.csv,materialized_execution_pending,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_02_s258_stc_2025h2_period_survival_gate_2025h2,run267ec_02_s258_stc_2025h2_period_survival_gate,q02_s258_2025h2_period_survival_gate,P0_survival_gate,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_2025h2_period_survival_gate,Tier A,adjacent_2025_h2_oos_followthrough,2025H2,2025.07.01,2026.01.01,period_survival_gate_2025h2,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_02_s258_stc_2025h2_period_survival_gate_2025h2.set,21e834b11e934663ddae5271ccd8524134c95d7996d808faf8b7298ef66c7c19,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_02_s258_stc_2025h2_period_survival_gate_2025h2.ini,485ee20d88927b8baf78211ec6ba12329b2e10f8ab1f668ddca468f9625cdacf,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_02_s258_stc_2025h2_period_survival_gate/telemetry/run267ec_02_s258_stc_2025h2_period_survival_gate_2025h2_telemetry.csv,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_02_s258_stc_2025h2_period_survival_gate/telemetry/run267ec_02_s258_stc_2025h2_period_survival_gate_2025h2_summary.csv,materialized_execution_pending,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_03_s258_stc_2023h2_explosive_impulse_supply_2023h2,run267ec_03_s258_stc_2023h2_explosive_impulse_supply,q03_s258_explosive_impulse_supply_probe,P0_aggressive_explosive,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_2023h2_explosive_impulse_supply,Tier A,adjacent_2023_h2_train_pre_2024,2023H2,2023.07.05,2024.01.01,explosive_impulse_supply_2023h2,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_03_s258_stc_2023h2_explosive_impulse_supply_2023h2.set,49caf1b828ccd7e1dad85c0bcfc5d8660fd80e027ec149d51f61beac77e68539,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_03_s258_stc_2023h2_explosive_impulse_supply_2023h2.ini,1e7a47ffaaae2b2c11fa0d432f0fd22e6a447b9b75e564ed6df15660c7fcb886,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_03_s258_stc_2023h2_explosive_impulse_supply/telemetry/run267ec_03_s258_stc_2023h2_explosive_impulse_supply_2023h2_telemetry.csv,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_03_s258_stc_2023h2_explosive_impulse_supply/telemetry/run267ec_03_s258_stc_2023h2_explosive_impulse_supply_2023h2_summary.csv,materialized_execution_pending,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_04_s258_stc_2025h1_explosive_impulse_supply_2025h1,run267ec_04_s258_stc_2025h1_explosive_impulse_supply,q03_s258_explosive_impulse_supply_probe,P0_aggressive_explosive,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_2025h1_explosive_impulse_supply,Tier A,adjacent_2025_h1_validation_post_2024,2025H1,2025.01.02,2025.07.01,explosive_impulse_supply_2025h1,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_04_s258_stc_2025h1_explosive_impulse_supply_2025h1.set,dafbd59c542216858f38245e8b67e2ef227269dba690fa7d0fd45131604d8983,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_04_s258_stc_2025h1_explosive_impulse_supply_2025h1.ini,f6a9eefb658682914e13fa684f010cf933cd04875af731e893774a824c6bfa15,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_04_s258_stc_2025h1_explosive_impulse_supply/telemetry/run267ec_04_s258_stc_2025h1_explosive_impulse_supply_2025h1_telemetry.csv,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_04_s258_stc_2025h1_explosive_impulse_supply/telemetry/run267ec_04_s258_stc_2025h1_explosive_impulse_supply_2025h1_summary.csv,materialized_execution_pending,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_05_s258_stc_2025h2_explosive_impulse_supply_2025h2,run267ec_05_s258_stc_2025h2_explosive_impulse_supply,q03_s258_explosive_impulse_supply_probe,P0_aggressive_explosive,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_2025h2_explosive_impulse_supply,Tier A,adjacent_2025_h2_oos_followthrough,2025H2,2025.07.01,2026.01.01,explosive_impulse_supply_2025h2,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_05_s258_stc_2025h2_explosive_impulse_supply_2025h2.set,4a196b671460cd823ec96dfef964ce401dd9cd4d820513441908b5d77887f6ba,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_05_s258_stc_2025h2_explosive_impulse_supply_2025h2.ini,8f7032cdfe2f57315116cb822a2431b64a2a32c5483655b9411db39d98dbf82f,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_05_s258_stc_2025h2_explosive_impulse_supply/telemetry/run267ec_05_s258_stc_2025h2_explosive_impulse_supply_2025h2_telemetry.csv,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_05_s258_stc_2025h2_explosive_impulse_supply/telemetry/run267ec_05_s258_stc_2025h2_explosive_impulse_supply_2025h2_summary.csv,materialized_execution_pending,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_06_s264_aih_validation_anchor_integrity_validation_is,run267ec_06_s264_aih_validation_anchor_integrity,q04_s264_aih_validation_anchor_integrity_check,P1_validation_integrity,s264_allow_inner_high_quarter,s264_aih,challenger_core,s264_aih_validation_anchor_integrity,Tier A,validation_is,validation_is,2025.01.02,2025.10.01,validation_anchor_integrity,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_06_s264_aih_validation_anchor_integrity_validation_is.set,4177ec24e1f880b1df1666174fad2ed3ae8b1b9a098567c200fa84319b98da95,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_06_s264_aih_validation_anchor_integrity_validation_is.ini,86296cbe9888b5cc53b26cbe28cd4c2f44f9aa160d9831acfa5b4265282b44e3,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_06_s264_aih_validation_anchor_integrity/telemetry/run267ec_06_s264_aih_validation_anchor_integrity_validation_is_telemetry.csv,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_06_s264_aih_validation_anchor_integrity/telemetry/run267ec_06_s264_aih_validation_anchor_integrity_validation_is_summary.csv,materialized_execution_pending,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_07_s264_aih_202604_counter_shock_rebuild_202604,run267ec_07_s264_aih_202604_counter_shock_rebuild,q05_s264_aih_202604_counter_shock_rebuild,P0_repair_cap,s264_allow_inner_high_quarter,s264_aih,challenger_core,s264_aih_202604_counter_shock_rebuild,Tier A,oos_final_month_2026_04,2026.04,2026.04.01,2026.04.14,final_month_counter_shock_rebuild,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_07_s264_aih_202604_counter_shock_rebuild_202604.set,34d3e0535ee960155dba049f485c08a096cc8841909602c6391af95e7c53b197,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_07_s264_aih_202604_counter_shock_rebuild_202604.ini,d7e6e1e4cdbecc141073731c0fb4aeb48dee54def9276d6d309ce96cf829fd71,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_07_s264_aih_202604_counter_shock_rebuild/telemetry/run267ec_07_s264_aih_202604_counter_shock_rebuild_202604_telemetry.csv,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_07_s264_aih_202604_counter_shock_rebuild/telemetry/run267ec_07_s264_aih_202604_counter_shock_rebuild_202604_summary.csv,materialized_execution_pending,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_08_s264_lc_202604_counter_shock_control_202604,run267ec_08_s264_lc_202604_counter_shock_control,q05_s264_aih_202604_counter_shock_rebuild,P1_control,s264_lowrank_control,s264_lc,defensive_control,s264_lc_202604_counter_shock_control,Tier A,oos_final_month_2026_04,2026.04,2026.04.01,2026.04.14,paired_final_month_control,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_08_s264_lc_202604_counter_shock_control_202604.set,bbe2bc859bd76e16019845097e42f9fb9728877202f091a41c7dac79b5c11f94,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_08_s264_lc_202604_counter_shock_control_202604.ini,5e9b745c5e4218fac60623b48ad0b0d0e1245847042aa1c508c09ed0fcd99035,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_lc/run267ec_08_s264_lc_202604_counter_shock_control/telemetry/run267ec_08_s264_lc_202604_counter_shock_control_202604_telemetry.csv,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_lc/run267ec_08_s264_lc_202604_counter_shock_control/telemetry/run267ec_08_s264_lc_202604_counter_shock_control_202604_summary.csv,materialized_execution_pending,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_09_s264_aih_validation_explosive_counter_impulse_validation_is,run267ec_09_s264_aih_validation_explosive_counter_impulse,q06_s264_aih_explosive_counter_impulse_probe,P1_aggressive_explosive,s264_allow_inner_high_quarter,s264_aih,challenger_core,s264_aih_validation_explosive_counter_impulse,Tier A,validation_is,validation_is,2025.01.02,2025.10.01,validation_explosive_counter_impulse,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_09_s264_aih_validation_explosive_counter_impulse_validation_is.set,b755db3b051ae4697d6e8d3a144a09f8da30ec5fdba84438dea42b154bf067c3,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_09_s264_aih_validation_explosive_counter_impulse_validation_is.ini,b5f089881cd443fa02576b63d017da54dd1187a01314c0817be891a9d73b0fd1,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_09_s264_aih_validation_explosive_counter_impulse/telemetry/run267ec_09_s264_aih_validation_explosive_counter_impulse_validation_is_telemetry.csv,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_09_s264_aih_validation_explosive_counter_impulse/telemetry/run267ec_09_s264_aih_validation_explosive_counter_impulse_validation_is_summary.csv,materialized_execution_pending,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_10_s264_aih_202604_explosive_counter_impulse_202604,run267ec_10_s264_aih_202604_explosive_counter_impulse,q06_s264_aih_explosive_counter_impulse_probe,P1_aggressive_explosive,s264_allow_inner_high_quarter,s264_aih,challenger_core,s264_aih_202604_explosive_counter_impulse,Tier A,oos_final_month_2026_04,2026.04,2026.04.01,2026.04.14,final_month_explosive_counter_impulse,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_10_s264_aih_202604_explosive_counter_impulse_202604.set,a7aa35023972b38f01b626dc30b4eddda9ff6873f7c662bd84c19aca40033f4a,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_10_s264_aih_202604_explosive_counter_impulse_202604.ini,49efecf6162ad603004566ba772edf9129df8cb1e7c7f32bfbf5b6b41dba3898,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_10_s264_aih_202604_explosive_counter_impulse/telemetry/run267ec_10_s264_aih_202604_explosive_counter_impulse_202604_telemetry.csv,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_10_s264_aih_202604_explosive_counter_impulse/telemetry/run267ec_10_s264_aih_202604_explosive_counter_impulse_202604_summary.csv,materialized_execution_pending,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
