artifact_slug,candidate_id,feature_set_id,model_id,view_id,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,max_drawdown,total_trade_count,max_underwater_trade_count,max_underwater_start,max_underwater_end,chunk_type,chunk_id,start_time,end_time,claim_boundary
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,core56_no_top3_weight_features,l2_balanced_c025,old_session_parity,22,9.715,73.4,63.685,1.1525476957,0.4415909091,0.4090909091,34.975,22,9,2026-04-27 18:00:00,2026-04-30 18:45:00,thirds,third_1,2026-04-14 16:40:00,2026-04-30 18:45:00,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,core56_no_top3_weight_features,l2_balanced_c025,old_session_parity,22,96.1,135.895,39.795,3.4148762407,4.3681818182,0.7727272727,15.06,22,1,2026-05-15 17:35:00,2026-05-15 17:35:00,thirds,third_2,2026-04-30 18:50:00,2026-05-15 17:35:00,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,core56_no_top3_weight_features,l2_balanced_c025,old_session_parity,21,54.725,114.89,60.165,1.9095819829,2.605952381,0.5714285714,27.99,21,9,2026-05-15 18:40:00,2026-05-18 22:30:00,thirds,third_3,2026-05-15 17:40:00,2026-05-22 17:40:00,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,core56_no_top3_weight_features,l2_balanced_c025,old_session_parity,20,-11.21,52.475,63.685,0.8239773887,-0.5605,0.35,34.975,20,7,2026-04-27 18:00:00,2026-04-29 19:55:00,rolling_worst_net,rolling_20_start_1,2026-04-14 16:40:00,2026-04-29 19:55:00,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,24,0.025,75.16,75.135,1.0003327344,0.0010416667,0.4166666667,36.85,24,22,2026-04-16 17:40:00,2026-04-30 18:45:00,thirds,third_1,2026-04-14 16:40:00,2026-04-30 18:45:00,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,24,83.26,135.895,52.635,2.5818371806,3.4691666667,0.7083333333,27.9,24,3,2026-05-15 17:35:00,2026-05-15 19:45:00,thirds,third_2,2026-04-30 18:50:00,2026-05-15 19:45:00,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,22,83.4,132.94,49.54,2.6834880904,3.7909090909,0.6363636364,21.59,22,4,2026-05-18 20:20:00,2026-05-18 23:55:00,thirds,third_3,2026-05-15 19:50:00,2026-05-22 17:40:00,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,20,-32.8,38.685,71.485,0.5411624816,-1.64,0.35,36.85,20,20,2026-04-16 17:40:00,2026-04-29 19:55:00,rolling_worst_net,rolling_20_start_3,2026-04-16 16:40:00,2026-04-29 19:55:00,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain,core56_no_top3_weight_features__l2_plain_c025,core56_no_top3_weight_features,l2_plain_c025,old_session_parity,24,30.065,92.775,62.71,1.4794291182,1.2527083333,0.5416666667,33.075,24,7,2026-04-27 18:00:00,2026-04-30 19:50:00,thirds,third_1,2026-04-14 16:55:00,2026-05-01 17:40:00,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain,core56_no_top3_weight_features__l2_plain_c025,core56_no_top3_weight_features,l2_plain_c025,old_session_parity,24,105.585,134.62,29.035,4.636473222,4.399375,0.7916666667,21.31,24,2,2026-05-15 17:35:00,2026-05-15 18:40:00,thirds,third_2,2026-05-04 16:35:00,2026-05-15 18:40:00,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain,core56_no_top3_weight_features__l2_plain_c025,core56_no_top3_weight_features,l2_plain_c025,old_session_parity,23,66.75,122.865,56.115,2.1895215183,2.902173913,0.5652173913,17.775,23,8,2026-05-20 19:45:00,2026-05-22 17:40:00,thirds,third_3,2026-05-15 18:55:00,2026-05-22 17:40:00,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain,core56_no_top3_weight_features__l2_plain_c025,core56_no_top3_weight_features,l2_plain_c025,old_session_parity,20,-4.41,58.3,62.71,0.9296762877,-0.2205,0.45,33.075,20,7,2026-04-27 18:00:00,2026-04-30 19:50:00,rolling_worst_net,rolling_20_start_3,2026-04-16 16:35:00,2026-04-30 19:50:00,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain,core56_no_top3_weight_features__l2_plain_c025,core56_no_top3_weight_features,l2_plain_c025,raw_forward,26,20.375,94.535,74.16,1.2747437972,0.7836538462,0.5384615385,33.075,26,7,2026-04-27 18:00:00,2026-04-30 19:50:00,thirds,third_1,2026-04-14 16:55:00,2026-05-01 17:40:00,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain,core56_no_top3_weight_features__l2_plain_c025,core56_no_top3_weight_features,l2_plain_c025,raw_forward,26,87.81,134.62,46.81,2.875881222,3.3773076923,0.7307692308,39.085,26,4,2026-05-15 17:35:00,2026-05-15 21:00:00,thirds,third_2,2026-05-04 16:35:00,2026-05-15 21:00:00,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
