artifact_slug,candidate_id,view_id,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,max_drawdown,total_trade_count,max_underwater_trade_count,max_underwater_start,max_underwater_end,axis,bucket,claim_boundary
u42_plain,us100_technical42_no_external__l2_plain_c025,raw_forward,254,5.685,491.43,485.745,1.0117036717,0.0223818898,0.5354330709,104.175,254,178,2026-04-24 15:35:00,2026-05-22 16:40:00,session,outside_cash,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_plain,us100_technical42_no_external__l2_plain_c025,raw_forward,68,119.59,318.07,198.48,1.6025292221,1.7586764706,0.6470588235,52.665,68,12,2026-05-18 18:20:00,2026-05-20 17:45:00,session,cash_open,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_plain,us100_technical42_no_external__l2_plain_c025,old_session_parity,71,146.9,342.895,195.995,1.749508916,2.0690140845,0.6197183099,51.26,71,16,2026-05-15 17:35:00,2026-05-20 17:35:00,session,cash_open,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,raw_forward,25,93.02,150.215,57.195,2.6263659411,3.7208,0.6,24.7,25,6,2026-04-24 17:35:00,2026-05-04 17:35:00,hour,16,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,raw_forward,10,-0.915,21.675,22.59,0.9594953519,-0.0915,0.5,10.475,10,7,2026-04-20 19:05:00,2026-05-04 19:20:00,hour,18,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,raw_forward,6,-8.59,19.81,28.4,0.6975352113,-1.4316666667,0.5,24.425,6,6,2026-04-21 23:45:00,2026-05-19 23:25:00,hour,22,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,raw_forward,6,3.885,20.21,16.325,1.2379785605,0.6475,0.6666666667,11.625,6,3,2026-05-18 21:25:00,2026-05-21 21:25:00,hour,20,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,raw_forward,6,11.775,30.0,18.225,1.646090535,1.9625,0.5,10.975,6,1,2026-05-21 22:50:00,2026-05-21 22:50:00,hour,21,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,raw_forward,12,59.985,72.335,12.35,5.8570850202,4.99875,0.75,7.475,12,2,2026-05-15 18:40:00,2026-05-19 18:55:00,hour,17,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,raw_forward,5,7.525,29.75,22.225,1.3385826772,1.505,0.4,16.625,5,2,2026-05-15 20:50:00,2026-05-18 20:20:00,hour,19,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,old_session_parity,25,93.02,150.215,57.195,2.6263659411,3.7208,0.6,24.7,25,6,2026-04-24 17:35:00,2026-05-04 17:35:00,hour,16,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,old_session_parity,10,-0.915,21.675,22.59,0.9594953519,-0.0915,0.5,10.475,10,7,2026-04-20 19:05:00,2026-05-04 19:20:00,hour,18,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,old_session_parity,6,3.885,20.21,16.325,1.2379785605,0.6475,0.6666666667,11.625,6,3,2026-05-18 21:25:00,2026-05-21 21:25:00,hour,20,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,old_session_parity,6,11.775,30.0,18.225,1.646090535,1.9625,0.5,10.975,6,1,2026-05-21 22:50:00,2026-05-21 22:50:00,hour,21,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,old_session_parity,12,59.985,72.335,12.35,5.8570850202,4.99875,0.75,7.475,12,2,2026-05-15 18:40:00,2026-05-19 18:55:00,hour,17,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,old_session_parity,5,7.525,29.75,22.225,1.3385826772,1.505,0.4,16.625,5,2,2026-05-15 20:50:00,2026-05-18 20:20:00,hour,19,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,old_session_parity,1,-14.735,0,14.735,0.0,-14.735,0.0,14.735,1,1,2026-05-12 23:00:00,2026-05-12 23:00:00,hour,22,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain,core56_no_top3_weight_features__l2_plain_c025,raw_forward,26,109.705,162.9,53.195,3.062317887,4.2194230769,0.6923076923,24.7,26,6,2026-04-24 17:35:00,2026-05-04 17:35:00,hour,16,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain,core56_no_top3_weight_features__l2_plain_c025,raw_forward,12,38.845,59.035,20.19,2.9239722635,3.2370833333,0.6666666667,9.265,12,2,2026-05-15 18:40:00,2026-05-18 18:50:00,hour,17,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain,core56_no_top3_weight_features__l2_plain_c025,raw_forward,12,-4.8,23.275,28.075,0.8290293856,-0.4,0.5833333333,15.3,12,2,2026-05-20 19:45:00,2026-05-21 19:45:00,hour,18,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain,core56_no_top3_weight_features__l2_plain_c025,raw_forward,4,52.475,52.475,0,,13.11875,1.0,0.0,4,0,,,hour,19,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain,core56_no_top3_weight_features__l2_plain_c025,raw_forward,10,-13.075,17.275,30.35,0.5691927512,-1.3075,0.4,23.95,10,9,2026-04-23 21:20:00,2026-05-21 21:20:00,hour,20,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain,core56_no_top3_weight_features__l2_plain_c025,raw_forward,5,6.26,20.335,14.075,1.4447602131,1.252,0.6,11.45,5,2,2026-04-21 23:45:00,2026-04-23 23:55:00,hour,22,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain,core56_no_top3_weight_features__l2_plain_c025,raw_forward,7,19.25,35.3,16.05,2.199376947,2.75,0.5714285714,10.975,7,1,2026-05-21 22:50:00,2026-05-21 22:50:00,hour,21,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain,core56_no_top3_weight_features__l2_plain_c025,old_session_parity,26,109.705,162.9,53.195,3.062317887,4.2194230769,0.6923076923,24.7,26,6,2026-04-24 17:35:00,2026-05-04 17:35:00,hour,16,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain,core56_no_top3_weight_features__l2_plain_c025,old_session_parity,12,38.845,59.035,20.19,2.9239722635,3.2370833333,0.6666666667,9.265,12,2,2026-05-15 18:40:00,2026-05-18 18:50:00,hour,17,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain,core56_no_top3_weight_features__l2_plain_c025,old_session_parity,12,-4.8,23.275,28.075,0.8290293856,-0.4,0.5833333333,15.3,12,2,2026-05-20 19:45:00,2026-05-21 19:45:00,hour,18,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain,core56_no_top3_weight_features__l2_plain_c025,old_session_parity,4,52.475,52.475,0,,13.11875,1.0,0.0,4,0,,,hour,19,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain,core56_no_top3_weight_features__l2_plain_c025,old_session_parity,10,-13.075,17.275,30.35,0.5691927512,-1.3075,0.4,23.95,10,9,2026-04-23 21:20:00,2026-05-21 21:20:00,hour,20,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain,core56_no_top3_weight_features__l2_plain_c025,old_session_parity,7,19.25,35.3,16.05,2.199376947,2.75,0.5714285714,10.975,7,1,2026-05-21 22:50:00,2026-05-21 22:50:00,hour,21,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,28,-11.875,25.925,37.8,0.6858465608,-0.4241071429,0.5357142857,18.75,28,20,2026-04-27 08:00:00,2026-05-22 08:05:00,hour,7,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,27,-8.025,36.725,44.75,0.8206703911,-0.2972222222,0.4074074074,21.575,27,19,2026-04-27 09:35:00,2026-05-22 09:15:00,hour,8,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,27,31.045,57.12,26.075,2.1906040268,1.1498148148,0.6296296296,11.075,27,2,2026-05-21 10:20:00,2026-05-22 10:20:00,hour,9,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,28,-7.29,46.26,53.55,0.8638655462,-0.2603571429,0.5,32.6,28,26,2026-04-16 11:15:00,2026-05-22 11:25:00,hour,10,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,25,25.56,63.825,38.265,1.6679733438,1.0224,0.6,9.21,25,3,2026-05-20 12:35:00,2026-05-22 12:35:00,hour,11,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,25,-3.235,37.275,40.51,0.9201431745,-0.1294,0.4,25.21,25,12,2026-05-04 14:35:00,2026-05-22 14:45:00,hour,13,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,23,33.765,66.2,32.435,2.0410050871,1.4680434783,0.652173913,11.985,23,7,2026-05-11 15:25:00,2026-05-22 15:50:00,hour,14,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,15,-12.835,53.1,65.935,0.805338591,-0.8556666667,0.4666666667,49.85,15,14,2026-04-16 16:50:00,2026-05-22 16:55:00,hour,15,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,25,12.43,88.01,75.58,1.1644614978,0.4972,0.56,19.41,25,16,2026-04-16 17:55:00,2026-05-11 17:40:00,hour,16,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,25,-18.765,40.36,59.125,0.6826215645,-0.7506,0.56,33.565,25,17,2026-04-30 13:35:00,2026-05-22 13:40:00,hour,12,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,14,18.91,38.65,19.74,1.9579533941,1.3507142857,0.5,8.85,14,7,2026-04-20 19:05:00,2026-05-04 19:20:00,hour,18,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,3,-14.96,11.225,26.185,0.4286805423,-4.9866666667,0.3333333333,26.185,3,3,2026-04-21 23:45:00,2026-05-15 23:25:00,hour,22,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,6,5.435,21.76,16.325,1.3329249617,0.9058333333,0.6666666667,11.625,6,3,2026-05-18 21:25:00,2026-05-21 21:25:00,hour,20,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,6,5.6,23.825,18.225,1.3072702332,0.9333333333,0.5,13.675,6,3,2026-05-18 22:30:00,2026-05-21 22:50:00,hour,21,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,12,90.27,101.695,11.425,8.9010940919,7.5225,0.8333333333,9.2,12,2,2026-04-30 18:00:00,2026-05-06 18:30:00,hour,17,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,6,1.1,16.425,15.325,1.0717781403,0.1833333333,0.5,11.475,6,3,2026-05-15 20:30:00,2026-05-19 20:40:00,hour,19,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,2,-43.31,0,43.31,0.0,-21.655,0.0,43.31,2,2,2026-04-30 01:15:00,2026-05-08 01:05:00,hour,23,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,old_session_parity,28,56.72,146.065,89.345,1.6348424646,2.0257142857,0.6428571429,35.26,28,17,2026-04-16 17:55:00,2026-05-11 17:35:00,hour,16,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,old_session_parity,11,8.885,29.425,20.54,1.432570594,0.8077272727,0.5454545455,8.425,11,7,2026-04-20 19:05:00,2026-05-04 19:20:00,hour,18,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,old_session_parity,7,-2.54,20.21,22.75,0.8883516484,-0.3628571429,0.5714285714,12.55,7,6,2026-04-28 21:05:00,2026-05-21 21:25:00,hour,20,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,old_session_parity,6,11.775,30.0,18.225,1.646090535,1.9625,0.5,10.975,6,1,2026-05-21 22:50:00,2026-05-21 22:50:00,hour,21,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
