run_id,parent_run_id,attempt_name,candidate_id,artifact_slug,feature_set_id,model_id,trade_index,direction,open_time,close_time,hold_bars,volume,open_price,close_price,net_profit,gross_profit,commission,swap,mfe_points,mae_points,realized_over_mfe_points,session_slice,hour,month,volatility_regime,adx_bucket,trend_regime,vix_regime,vix_change_regime,usd_regime,usd_change_regime,rate_regime,rate_change_regime,spread_regime,spread_points_median_in_trade,db_source,source_run_id,stage330_reference_boundary,view_id
run329F_forward_mt5_kpi_regime_cost_curve_review_v1,run329E_session_parity_forward_signal_payload_and_mt5_runtime_probe_v1,c56_bal_sp,core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,1,sell,2026-04-14 16:40:00,2026-04-14 17:50:00,14.0,0.1,25575.5,25668.6,-9.31,-9.31,0.0,0.0,2.0,107.0,-4.655,early,16,2026-04,vol_mid,adx_gt25,downtrend,vix_high,vix_change_up,usdx_mid,usdx_change_down,us10yr_low,us10yr_change_up,spread_low,60.0,not_applicable_no_db_decision_surface,run329F_forward_mt5_kpi_regime_cost_curve_review_v1,session_parity_mt5_reference_only_raw_forward_mt5_not_claimed,old_session_parity
run329F_forward_mt5_kpi_regime_cost_curve_review_v1,run329E_session_parity_forward_signal_payload_and_mt5_runtime_probe_v1,c56_bal_sp,core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,2,buy,2026-04-15 16:40:00,2026-04-15 16:45:00,1.0,0.1,25921.3,25858.2,-6.31,-6.31,0.0,0.0,6.9,68.35,-0.914493,early,16,2026-04,vol_low,adx_gt25,downtrend,vix_low,vix_change_down,usdx_low,usdx_change_flat,us10yr_high,us10yr_change_up,spread_low,60.0,not_applicable_no_db_decision_surface,run329F_forward_mt5_kpi_regime_cost_curve_review_v1,session_parity_mt5_reference_only_raw_forward_mt5_not_claimed,old_session_parity
run329F_forward_mt5_kpi_regime_cost_curve_review_v1,run329E_session_parity_forward_signal_payload_and_mt5_runtime_probe_v1,c56_bal_sp,core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,3,sell,2026-04-15 16:45:00,2026-04-15 17:45:00,12.0,0.1,25858.2,26014.3,-15.61,-15.61,0.0,0.0,0.5,163.25,-31.22,early,16,2026-04,vol_mid,adx_gt25,downtrend,vix_low,vix_change_up,usdx_mid,usdx_change_up,us10yr_low,us10yr_change_down,spread_low,60.0,not_applicable_no_db_decision_surface,run329F_forward_mt5_kpi_regime_cost_curve_review_v1,session_parity_mt5_reference_only_raw_forward_mt5_not_claimed,old_session_parity
run329F_forward_mt5_kpi_regime_cost_curve_review_v1,run329E_session_parity_forward_signal_payload_and_mt5_runtime_probe_v1,c56_bal_sp,core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,4,buy,2026-04-16 16:40:00,2026-04-16 16:55:00,3.0,0.1,26234.5,26153.15,-8.14,-8.14,0.0,0.0,41.4,83.6,-0.196618,early,16,2026-04,vol_low,adx_lt20,range_or_weak_trend,vix_high,vix_change_up,usdx_high,usdx_change_up,us10yr_mid,us10yr_change_flat,spread_low,60.0,not_applicable_no_db_decision_surface,run329F_forward_mt5_kpi_regime_cost_curve_review_v1,session_parity_mt5_reference_only_raw_forward_mt5_not_claimed,old_session_parity
run329F_forward_mt5_kpi_regime_cost_curve_review_v1,run329E_session_parity_forward_signal_payload_and_mt5_runtime_probe_v1,c56_bal_sp,core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,5,sell,2026-04-16 16:55:00,2026-04-16 17:55:00,12.0,0.1,26153.15,26283.75,-13.06,-13.06,0.0,0.0,6.25,140.25,-2.0896,early,16,2026-04,vol_high,adx_lt20,range_or_weak_trend,vix_high,vix_change_up,usdx_high,usdx_change_up,us10yr_low,us10yr_change_down,spread_low,60.0,not_applicable_no_db_decision_surface,run329F_forward_mt5_kpi_regime_cost_curve_review_v1,session_parity_mt5_reference_only_raw_forward_mt5_not_claimed,old_session_parity
run329F_forward_mt5_kpi_regime_cost_curve_review_v1,run329E_session_parity_forward_signal_payload_and_mt5_runtime_probe_v1,c56_bal_sp,core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,6,buy,2026-04-20 16:35:00,2026-04-20 17:35:00,12.0,0.1,26689.5,26606.4,-8.31,-8.31,0.0,0.0,4.65,100.85,-1.787097,early,16,2026-04,vol_low,adx_gt25,downtrend,vix_low,vix_change_down,usdx_low,usdx_change_flat,us10yr_high,us10yr_change_down,spread_low,60.0,not_applicable_no_db_decision_surface,run329F_forward_mt5_kpi_regime_cost_curve_review_v1,session_parity_mt5_reference_only_raw_forward_mt5_not_claimed,old_session_parity
run329F_forward_mt5_kpi_regime_cost_curve_review_v1,run329E_session_parity_forward_signal_payload_and_mt5_runtime_probe_v1,c56_bal_sp,core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,7,sell,2026-04-20 18:05:00,2026-04-20 18:25:00,4.0,0.1,26483.15,26545.75,-6.26,-6.26,0.0,0.0,38.0,82.0,-0.164737,early,18,2026-04,vol_high,adx_gt25,downtrend,vix_high,vix_change_up,usdx_high,usdx_change_up,us10yr_low,us10yr_change_down,spread_low,60.0,not_applicable_no_db_decision_surface,run329F_forward_mt5_kpi_regime_cost_curve_review_v1,session_parity_mt5_reference_only_raw_forward_mt5_not_claimed,old_session_parity
run329F_forward_mt5_kpi_regime_cost_curve_review_v1,run329E_session_parity_forward_signal_payload_and_mt5_runtime_probe_v1,c56_bal_sp,core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,8,buy,2026-04-20 18:25:00,2026-04-20 19:30:00,13.0,0.1,26545.75,26552.65,0.69,0.69,0.0,0.0,41.4,34.1,0.016667,mid,18,2026-04,vol_high,adx_gt25,downtrend,vix_mid,vix_change_down,usdx_low,usdx_change_down,us10yr_mid,us10yr_change_up,spread_low,60.0,not_applicable_no_db_decision_surface,run329F_forward_mt5_kpi_regime_cost_curve_review_v1,session_parity_mt5_reference_only_raw_forward_mt5_not_claimed,old_session_parity
run329F_forward_mt5_kpi_regime_cost_curve_review_v1,run329E_session_parity_forward_signal_payload_and_mt5_runtime_probe_v1,c56_bal_sp,core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,9,sell,2026-04-21 16:35:00,2026-04-21 17:35:00,12.0,0.1,26639.3,26723.15,-8.39,-8.39,0.0,0.0,32.25,125.5,-0.260155,early,16,2026-04,vol_low,adx_gt25,downtrend,vix_high,vix_change_up,usdx_low,usdx_change_down,us10yr_low,us10yr_change_flat,spread_low,60.0,not_applicable_no_db_decision_surface,run329F_forward_mt5_kpi_regime_cost_curve_review_v1,session_parity_mt5_reference_only_raw_forward_mt5_not_claimed,old_session_parity
run329F_forward_mt5_kpi_regime_cost_curve_review_v1,run329E_session_parity_forward_signal_payload_and_mt5_runtime_probe_v1,c56_bal_sp,core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,10,sell,2026-04-21 18:05:00,2026-04-21 19:05:00,12.0,0.1,26571.05,26626.4,-5.54,-5.54,0.0,0.0,29.0,95.0,-0.191034,early,18,2026-04,vol_high,adx_20_25,downtrend,vix_high,vix_change_up,usdx_high,usdx_change_down,us10yr_low,us10yr_change_flat,spread_low,60.0,not_applicable_no_db_decision_surface,run329F_forward_mt5_kpi_regime_cost_curve_review_v1,session_parity_mt5_reference_only_raw_forward_mt5_not_claimed,old_session_parity
