candidate_alias,candidate_id,test_id,decision_class,failure_flags,worst_month,worst_month_net,worst_negative_slice_axis,worst_negative_slice_bucket,worst_negative_slice_net,do_not_repeat_without,salvage_condition
s264_lc,s264_lowrank_control,abl_gate_variant_rule,direct_gate_audit_control_not_adapter,severe_session_le_-150;severe_hour_le_-140;chron_segment_negative,2024-07,-86.87,session_report,session_07_12_report_time,-219.59,broader_period_or_internal_feature_rebuild_evidence,only_revisit_if_new_adapter_structure_reduces_same_weak_slice_without_trade_count_collapse
s258_stc,s258_short_tight_control,abl_volatility_bandwidth,adapter_design_p1_stress_watch,chron_segment_negative,2024-06,-46.68,session_report,session_07_12_report_time,-93.19,broader_period_or_internal_feature_rebuild_evidence,only_revisit_if_new_adapter_structure_reduces_same_weak_slice_without_trade_count_collapse
s262_lih,s262_lowrank_inner_half_filter,rep_volatility_atr,adapter_design_p1_control_or_salvage_watch,chron_segment_negative,2024-06,-32.37,weekday,Monday,-96.28,broader_period_or_internal_feature_rebuild_evidence,only_revisit_if_new_adapter_structure_reduces_same_weak_slice_without_trade_count_collapse
s264_aia,s264_allow_inner_all_oos_anchor,abl_session_timing,hold_no_adapter_queue,chron_segment_negative,2024-07,-72.07,weekday,Monday,-109.7,broader_period_or_internal_feature_rebuild_evidence,only_revisit_if_new_adapter_structure_reduces_same_weak_slice_without_trade_count_collapse
s258_stc,s258_short_tight_control,abl_session_timing,hold_due_to_time_slice_fragility,severe_month_le_-100;severe_weekday_le_-120;chron_segment_negative,2024-07,-117.58,weekday,Monday,-130.54,broader_period_or_internal_feature_rebuild_evidence,only_revisit_if_new_adapter_structure_reduces_same_weak_slice_without_trade_count_collapse
s258_stc,s258_short_tight_control,abl_price_return_range,hold_no_adapter_queue,severe_weekday_le_-120;chron_segment_negative,2024-04,-78.2,weekday,Monday,-121.57,broader_period_or_internal_feature_rebuild_evidence,only_revisit_if_new_adapter_structure_reduces_same_weak_slice_without_trade_count_collapse
s258_stc,s258_short_tight_control,abl_trend_strength_direction,hold_due_to_time_slice_fragility,severe_month_le_-100;chron_segment_negative,2024-07,-122.87,chron_segment,chron_mid,-130.18,broader_period_or_internal_feature_rebuild_evidence,only_revisit_if_new_adapter_structure_reduces_same_weak_slice_without_trade_count_collapse
s258_stc,s258_short_tight_control,rep_trend_strength_adx,hold_due_to_time_slice_fragility,severe_month_le_-100;chron_segment_negative,2024-07,-122.87,chron_segment,chron_mid,-130.18,broader_period_or_internal_feature_rebuild_evidence,only_revisit_if_new_adapter_structure_reduces_same_weak_slice_without_trade_count_collapse
s264_aih,s264_allow_inner_high_quarter,abl_trend_strength_direction,hold_due_to_time_slice_fragility,negative_month_count_ge_6;chron_segment_negative,2024-07,-74.27,weekday,Monday,-114.07,broader_period_or_internal_feature_rebuild_evidence,only_revisit_if_new_adapter_structure_reduces_same_weak_slice_without_trade_count_collapse
s264_aih,s264_allow_inner_high_quarter,rep_trend_strength_adx,hold_due_to_time_slice_fragility,negative_month_count_ge_6;chron_segment_negative,2024-07,-74.27,weekday,Monday,-114.07,broader_period_or_internal_feature_rebuild_evidence,only_revisit_if_new_adapter_structure_reduces_same_weak_slice_without_trade_count_collapse
s264_aia,s264_allow_inner_all_oos_anchor,abl_trend_strength_direction,hold_due_to_time_slice_fragility,negative_month_count_ge_6;chron_segment_negative,2024-07,-74.27,weekday,Monday,-114.07,broader_period_or_internal_feature_rebuild_evidence,only_revisit_if_new_adapter_structure_reduces_same_weak_slice_without_trade_count_collapse
