queue_id,source_run_id,candidate_id,candidate_alias,candidate_role,test_id,test_type,feature_family,materialization_boundary,model_materialization_type,metric_read,decision_class,decision_priority,decision_reason,next_check,feature_order_status,manifest_contract_hash_match,manifest_diagnostic_hash_match,recomputed_hash_match,feature_count_match,added_feature_policy,feature_count,feature_order_hash,recomputed_feature_order_hash,added_feature,variant_feature_index,feature_order,path_availability,source_chart_available,net_profit,profit_factor,report_equity_drawdown_percent,trade_count,recovery_factor,worst_month,worst_month_net,negative_month_count,positive_month_ratio,weakest_chron_segment,weakest_chron_net,weakest_session_report,weakest_session_net,weakest_hour_report,weakest_hour_net,weakest_weekday,weakest_weekday_net,weak_flags,worst_negative_slice_axis,worst_negative_slice_bucket,worst_negative_slice_net,source_feature_file,feature_file,model_file,runtime_contract_boundary,claim_boundary
run267N_06_s264_lc_abl_gate_variant_rule,run267O_stage267_pool_wide_balance_timeslice_trade_quality_review_v1,s264_lowrank_control,s264_lc,defensive_control,abl_gate_variant_rule,feature_category_ablation(피처 범주 제거),source_feature_gate,direct_runtime_surface_ablation(직접 런타임 표면 제거),direct_set_parameter_gate_ablation_model_unchanged_v1,strong_curve_clue,direct_gate_audit_control_not_adapter,AUDIT,direct gate(직접 게이트) 비활성화는 강한 단서지만 Adapter(어댑터) 내부 피처 확장이 아니므로 별도 감사로 보낸다.,run267Q_direct_gate_rank_contrast_before_any_adapter_use,matched,true,true,true,true,direct_surface_no_added_feature,3,57802ff8452e88002fcc25324198176680451bd754d1ed7eac425aba5090a0d8,57802ff8452e88002fcc25324198176680451bd754d1ed7eac425aba5090a0d8,,,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control,available,true,1227.99,1.240707,22.97,516,2.92,2024-07,-86.87,4,0.666667,chron_mid,-74.06,session_07_12_report_time,-219.59,22,-150.91,Friday,-115.55,severe_session_le_-150;severe_hour_le_-140;chron_segment_negative,session_report,session_07_12_report_time,-219.59,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_lc.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_lc/run267n_06_s264_lc_abl_gate_variant_rule/features/s264_lc_abl_gate_variant_rule.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_lc/run267n_06_s264_lc_abl_gate_variant_rule/models/s264_lc_abl_gate_variant_rule_model.csv,research_only_execution_pending_no_selected_candidate_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_05_s264_lc_abl_gate_rank_bucket,run267O_stage267_pool_wide_balance_timeslice_trade_quality_review_v1,s264_lowrank_control,s264_lc,defensive_control,abl_gate_rank_bucket,feature_category_ablation(피처 범주 제거),source_feature_rank_bucket,direct_runtime_surface_ablation(직접 런타임 표면 제거),direct_feature_value_neutralization_model_unchanged_v1,failure_memory,failure_memory_do_not_repeat,FAIL,"순수익 또는 PF(profit factor, 수익 팩터)가 무너져 다음 Adapter(어댑터) 큐에서 제외한다.",preserve_failure_memory_only,matched,true,true,true,true,direct_surface_no_added_feature,3,57802ff8452e88002fcc25324198176680451bd754d1ed7eac425aba5090a0d8,57802ff8452e88002fcc25324198176680451bd754d1ed7eac425aba5090a0d8,,,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control,available,true,-32.52,0.97938,42.67,350,-0.1,2024-07,-106.86,6,0.5,chron_mid,-123.29,session_07_12_report_time,-85.43,16,-71.62,Monday,-124.85,net_negative;pf_below_1;dd_ge_35;severe_month_le_-100;severe_weekday_le_-120;negative_month_count_ge_6;chron_segment_negative,weekday,Monday,-124.85,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_lc.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_lc/run267n_05_s264_lc_abl_gate_rank_bucket/features/s264_lc_abl_gate_rank_bucket.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_lc/run267n_05_s264_lc_abl_gate_rank_bucket/models/s264_lc_abl_gate_rank_bucket_model.csv,research_only_execution_pending_no_selected_candidate_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_10_s262_lih_abl_gate_rank_bucket,run267O_stage267_pool_wide_balance_timeslice_trade_quality_review_v1,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_gate_rank_bucket,feature_category_ablation(피처 범주 제거),source_feature_rank_bucket,direct_runtime_surface_ablation(직접 런타임 표면 제거),direct_feature_value_neutralization_model_unchanged_v1,failure_memory,failure_memory_do_not_repeat,FAIL,"순수익 또는 PF(profit factor, 수익 팩터)가 무너져 다음 Adapter(어댑터) 큐에서 제외한다.",preserve_failure_memory_only,matched,true,true,true,true,direct_surface_no_added_feature,3,4f64f17683b280455b32178290469759d37c1ac5c966d9c556def888cbfd04de,4f64f17683b280455b32178290469759d37c1ac5c966d9c556def888cbfd04de,,,stage56_context_et_event_signal;stage262_source_feature_rank_bucket;stage262_source_feature_gate_lowrank_inner_half_filter,available,true,-51.96,0.966964,45.33,352,-0.15,2024-07,-121.22,6,0.5,chron_mid,-137.62,session_07_12_report_time,-83.3,16,-93.08,Friday,-129.13,net_negative;pf_below_1;dd_ge_35;severe_month_le_-100;severe_weekday_le_-120;negative_month_count_ge_6;chron_segment_negative,chron_segment,chron_mid,-137.62,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s262_lih.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s262_lih/run267n_10_s262_lih_abl_gate_rank_bucket/features/s262_lih_abl_gate_rank_bucket.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s262_lih/run267n_10_s262_lih_abl_gate_rank_bucket/models/s262_lih_abl_gate_rank_bucket_model.csv,research_only_execution_pending_no_selected_candidate_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_17_s264_aia_abl_session_timing,run267O_stage267_pool_wide_balance_timeslice_trade_quality_review_v1,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_session_timing,feature_category_ablation(피처 범주 제거),session_timing,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",context_proxy_score_table_extension_v1,strong_curve_clue,hold_no_adapter_queue,HOLD,강한 구조 단서로 보기에는 부족해 다음 Adapter(어댑터) 큐에서 제외한다.,preserve_as_diagnostic_context,matched,true,true,true,true,proxy_added_feature_appended,4,642c3d0ad2a939a04d4b76fabc2ff42203ebbb58d358723192e4e2465078e646,642c3d0ad2a939a04d4b76fabc2ff42203ebbb58d358723192e4e2465078e646,stage267n_abl_session_timing_score,3,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_all_oos_anchor;stage267n_abl_session_timing_score,available,true,365.09,1.229175,18.53,332,2.05,2024-07,-72.07,4,0.666667,chron_mid,-32.24,session_07_12_report_time,-48.28,16,-13.67,Monday,-109.7,chron_segment_negative,weekday,Monday,-109.7,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_aia.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_aia/run267n_17_s264_aia_abl_session_timing/features/s264_aia_abl_session_timing.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_aia/run267n_17_s264_aia_abl_session_timing/models/s264_aia_abl_session_timing_model.csv,research_only_execution_pending_no_selected_candidate_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_23_s258_stc_abl_session_timing,run267O_stage267_pool_wide_balance_timeslice_trade_quality_review_v1,s258_short_tight_control,s258_stc,stress_challenger,abl_session_timing,feature_category_ablation(피처 범주 제거),session_timing,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",context_proxy_score_table_extension_v1,hold_or_weak_watch,hold_due_to_time_slice_fragility,HOLD,약한 월 또는 음수 월 수가 불편해 현재 Adapter(어댑터) 큐에서는 대기한다.,revisit_after_broader_period_pressure,matched,true,true,true,true,proxy_added_feature_appended,4,bc541c00a8fb1b7890d6d424a1a45ca5de3e6ba713de3e53a2dea52a7000a8c6,bc541c00a8fb1b7890d6d424a1a45ca5de3e6ba713de3e53a2dea52a7000a8c6,stage267n_abl_session_timing_score,3,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control;stage267n_abl_session_timing_score,available,true,317.33,1.178887,25.5,354,1.39,2024-07,-117.58,5,0.583333,chron_mid,-97.94,session_07_12_report_time,-48.87,16,-55.05,Monday,-130.54,severe_month_le_-100;severe_weekday_le_-120;chron_segment_negative,weekday,Monday,-130.54,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s258_stc.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s258_stc/run267n_23_s258_stc_abl_session_timing/features/s258_stc_abl_session_timing.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s258_stc/run267n_23_s258_stc_abl_session_timing/models/s258_stc_abl_session_timing_model.csv,research_only_execution_pending_no_selected_candidate_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_20_s258_stc_abl_price_return_range,run267O_stage267_pool_wide_balance_timeslice_trade_quality_review_v1,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,feature_category_ablation(피처 범주 제거),price_return_range,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",context_proxy_score_table_extension_v1,hold_or_weak_watch,hold_no_adapter_queue,HOLD,강한 구조 단서로 보기에는 부족해 다음 Adapter(어댑터) 큐에서 제외한다.,preserve_as_diagnostic_context,matched,true,true,true,true,proxy_added_feature_appended,4,a80698cfab6658b09b72d4317f071cd6f314ba16041b34311e7efc0320730955,a80698cfab6658b09b72d4317f071cd6f314ba16041b34311e7efc0320730955,stage267n_abl_price_return_range_score,3,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control;stage267n_abl_price_return_range_score,available,true,265.82,1.194602,27.03,335,1.19,2024-04,-78.2,5,0.583333,chron_mid,-35.54,session_07_12_report_time,-73.84,12,-43.05,Monday,-121.57,severe_weekday_le_-120;chron_segment_negative,weekday,Monday,-121.57,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s258_stc.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s258_stc/run267n_20_s258_stc_abl_price_return_range/features/s258_stc_abl_price_return_range.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s258_stc/run267n_20_s258_stc_abl_price_return_range/models/s258_stc_abl_price_return_range_model.csv,research_only_execution_pending_no_selected_candidate_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_22_s258_stc_abl_trend_strength_direction,run267O_stage267_pool_wide_balance_timeslice_trade_quality_review_v1,s258_short_tight_control,s258_stc,stress_challenger,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),trend_strength_direction,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",context_proxy_score_table_extension_v1,hold_or_weak_watch,hold_due_to_time_slice_fragility,HOLD,약한 월 또는 음수 월 수가 불편해 현재 Adapter(어댑터) 큐에서는 대기한다.,revisit_after_broader_period_pressure,matched,true,true,true,true,proxy_added_feature_appended,4,edaad1fce73f1037aa6040ae21efb246a5c2fe01469fcf128f3dafc86cb79b14,edaad1fce73f1037aa6040ae21efb246a5c2fe01469fcf128f3dafc86cb79b14,stage267n_abl_trend_strength_direction_score,3,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control;stage267n_abl_trend_strength_direction_score,available,true,195.44,1.121804,31.04,364,0.76,2024-07,-122.87,5,0.583333,chron_mid,-130.18,session_07_12_report_time,-78.87,12,-47.97,Monday,-102.39,severe_month_le_-100;chron_segment_negative,chron_segment,chron_mid,-130.18,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s258_stc.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s258_stc/run267n_22_s258_stc_abl_trend_strength_direction/features/s258_stc_abl_trend_strength_direction.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s258_stc/run267n_22_s258_stc_abl_trend_strength_direction/models/s258_stc_abl_trend_strength_direction_model.csv,research_only_execution_pending_no_selected_candidate_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_24_s258_stc_rep_trend_strength_adx,run267O_stage267_pool_wide_balance_timeslice_trade_quality_review_v1,s258_short_tight_control,s258_stc,stress_challenger,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),trend_strength(추세 강도),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",context_proxy_score_table_extension_v1,hold_or_weak_watch,hold_due_to_time_slice_fragility,HOLD,약한 월 또는 음수 월 수가 불편해 현재 Adapter(어댑터) 큐에서는 대기한다.,revisit_after_broader_period_pressure,matched,true,true,true,true,proxy_added_feature_appended,4,5d421ec88f39524368b2d69cf10c7dc53ff42e245b23e8d5ed62dc127eaee892,5d421ec88f39524368b2d69cf10c7dc53ff42e245b23e8d5ed62dc127eaee892,stage267n_rep_trend_strength_adx_score,3,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control;stage267n_rep_trend_strength_adx_score,available,true,195.44,1.121804,31.04,364,0.76,2024-07,-122.87,5,0.583333,chron_mid,-130.18,session_07_12_report_time,-78.87,12,-47.97,Monday,-102.39,severe_month_le_-100;chron_segment_negative,chron_segment,chron_mid,-130.18,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s258_stc.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s258_stc/run267n_24_s258_stc_rep_trend_strength_adx/features/s258_stc_rep_trend_strength_adx.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s258_stc/run267n_24_s258_stc_rep_trend_strength_adx/models/s258_stc_rep_trend_strength_adx_model.csv,research_only_execution_pending_no_selected_candidate_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_16_s264_aia_abl_trend_strength_direction,run267O_stage267_pool_wide_balance_timeslice_trade_quality_review_v1,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),trend_strength_direction,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",context_proxy_score_table_extension_v1,hold_or_weak_watch,hold_due_to_time_slice_fragility,HOLD,약한 월 또는 음수 월 수가 불편해 현재 Adapter(어댑터) 큐에서는 대기한다.,revisit_after_broader_period_pressure,matched,true,true,true,true,proxy_added_feature_appended,4,e36a8545d0e9b2d1ada5cf72a5b6f36af21c503e16dc5874f8e130d1cc104d8e,e36a8545d0e9b2d1ada5cf72a5b6f36af21c503e16dc5874f8e130d1cc104d8e,stage267n_abl_trend_strength_direction_score,3,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_all_oos_anchor;stage267n_abl_trend_strength_direction_score,available,true,176.35,1.127146,25.47,340,0.91,2024-07,-74.27,6,0.5,chron_mid,-65.88,session_07_12_report_time,-75.57,12,-45.59,Monday,-114.07,negative_month_count_ge_6;chron_segment_negative,weekday,Monday,-114.07,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_aia.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_aia/run267n_16_s264_aia_abl_trend_strength_direction/features/s264_aia_abl_trend_strength_direction.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_aia/run267n_16_s264_aia_abl_trend_strength_direction/models/s264_aia_abl_trend_strength_direction_model.csv,research_only_execution_pending_no_selected_candidate_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_18_s264_aia_rep_trend_strength_adx,run267O_stage267_pool_wide_balance_timeslice_trade_quality_review_v1,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),trend_strength(추세 강도),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",context_proxy_score_table_extension_v1,hold_or_weak_watch,hold_due_to_time_slice_fragility,HOLD,약한 월 또는 음수 월 수가 불편해 현재 Adapter(어댑터) 큐에서는 대기한다.,revisit_after_broader_period_pressure,matched,true,true,true,true,proxy_added_feature_appended,4,d08b521ddf5c559a22d74cf894521be99be9927443cd227ea3e01d958a7edfa2,d08b521ddf5c559a22d74cf894521be99be9927443cd227ea3e01d958a7edfa2,stage267n_rep_trend_strength_adx_score,3,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_all_oos_anchor;stage267n_rep_trend_strength_adx_score,available,true,176.35,1.127146,25.47,340,0.91,2024-07,-74.27,6,0.5,chron_mid,-65.88,session_07_12_report_time,-75.57,12,-45.59,Monday,-114.07,negative_month_count_ge_6;chron_segment_negative,weekday,Monday,-114.07,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_aia.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_aia/run267n_18_s264_aia_rep_trend_strength_adx/features/s264_aia_rep_trend_strength_adx.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_aia/run267n_18_s264_aia_rep_trend_strength_adx/models/s264_aia_rep_trend_strength_adx_model.csv,research_only_execution_pending_no_selected_candidate_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
