source_label,path,exists,sha256,bytes,consumer,availability,claim_boundary
run348C final decision(348C 최종 결정),stages/348_cash_open_proxy_review__long_oos_gap_short_carry_triage/02_runs/run348C/final_decision.json,true,bcdd189c12345da872510b676fc2747c307b6b9784181db2d32135336d429da9,2450,run349A_branch_stage348_to_onnx_short_carry_runtime_probe_without_db_v1,tracked,state_sync_stage_branch_onnx_short_carry_runtime_probe_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run348C required gate audit(348C 필수 게이트 감사),stages/348_cash_open_proxy_review__long_oos_gap_short_carry_triage/02_runs/run348C/required_gate_coverage_audit.csv,true,c5380f147da1c0bc0aa24b4aa7cede511cd6919cb90d91dcd14664829a498df3,7039,run349A_branch_stage348_to_onnx_short_carry_runtime_probe_without_db_v1,tracked,state_sync_stage_branch_onnx_short_carry_runtime_probe_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run348C runtime probe package(348C 런타임 탐침 패키지),stages/348_cash_open_proxy_review__long_oos_gap_short_carry_triage/02_runs/run348C/runtime_probe_attempt_package.csv,true,ddd80c102e70fc723fdc2b89de30eb3b1f4517c49f1ecab9bbfc68838e2e3c0c,6797,run349A_branch_stage348_to_onnx_short_carry_runtime_probe_without_db_v1,tracked,state_sync_stage_branch_onnx_short_carry_runtime_probe_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run348D source queue(348D 원천 대기열),stages/348_cash_open_proxy_review__long_oos_gap_short_carry_triage/02_runs/run348C/run348D_queue.csv,true,8ed238dd1241482be6733745938364e40a1af7a940783382f4ceee2b9b1a55d1,4785,run349A_branch_stage348_to_onnx_short_carry_runtime_probe_without_db_v1,tracked,state_sync_stage_branch_onnx_short_carry_runtime_probe_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
expected tape(예상 테이프),stages/348_cash_open_proxy_review__long_oos_gap_short_carry_triage/02_runs/run348C/expected/expected_tape.csv,true,bb3e6da4fb9d8fcefd2c56c14df5a843f8dab1dccbbe195e50367c8dcaeb1520,18035720,run349A_branch_stage348_to_onnx_short_carry_runtime_probe_without_db_v1,tracked,state_sync_stage_branch_onnx_short_carry_runtime_probe_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
expected tape index(예상 테이프 인덱스),stages/348_cash_open_proxy_review__long_oos_gap_short_carry_triage/02_runs/run348C/expected_tape_index.csv,true,c99031d1ed699f8e53984e7029736b1dd8586c8095ac51c367f5448f14aac3d6,7853,run349A_branch_stage348_to_onnx_short_carry_runtime_probe_without_db_v1,tracked,state_sync_stage_branch_onnx_short_carry_runtime_probe_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
runtime parity contract(런타임 동등성 계약),stages/348_cash_open_proxy_review__long_oos_gap_short_carry_triage/02_runs/run348C/runtime_parity_contract.csv,true,863dfc2bd580ce2ed754f3ad1a737f8bf58450b79b86bae093840d686ef2c043,5714,run349A_branch_stage348_to_onnx_short_carry_runtime_probe_without_db_v1,tracked,state_sync_stage_branch_onnx_short_carry_runtime_probe_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
tester identity contract(테스터 정체성 계약),stages/348_cash_open_proxy_review__long_oos_gap_short_carry_triage/02_runs/run348C/tester_identity_contract.csv,true,0a4c9ea5be7fd699247b66be2f7d31fbde795527fa9b1788fdbfd3e2c769c5a3,9216,run349A_branch_stage348_to_onnx_short_carry_runtime_probe_without_db_v1,tracked,state_sync_stage_branch_onnx_short_carry_runtime_probe_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
runtime mapping audit(런타임 매핑 감사),stages/348_cash_open_proxy_review__long_oos_gap_short_carry_triage/02_runs/run348C/runtime_mapping_audit.csv,true,313451a76a9e53c64964886284417ccec3ea535948085237567bfe2f302351d4,2744,run349A_branch_stage348_to_onnx_short_carry_runtime_probe_without_db_v1,tracked,state_sync_stage_branch_onnx_short_carry_runtime_probe_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
proxy MT5 comparison contract(프록시 MT5 비교 계약),stages/348_cash_open_proxy_review__long_oos_gap_short_carry_triage/02_runs/run348C/proxy_mt5_comparison_contract.csv,true,943632e772a48fabd18f5685fd111058c50bf54543d355c3b825560ffb2b407e,3272,run349A_branch_stage348_to_onnx_short_carry_runtime_probe_without_db_v1,tracked,state_sync_stage_branch_onnx_short_carry_runtime_probe_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
