queue_id,thesis_id,source_artifact,scoring_mode,signal_payload_path,signal_rows,queue_status,required_cost_steps,required_curve_checks,forbidden_claim_before_screen
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,control_no_veto,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_c56_volatility_cost_shape_sentry__control_no_veto_signals.csv,486,queued_for_run333D_proxy_cost_curve_screen,0;0.25;0.5;1;2;3;5,rolling20_min_net;rolling40_min_net;underwater_stretch;worst_chunk,no_forward_passed_no_candidate_selection_no_runtime_authority
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,hard_veto,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_c56_volatility_cost_shape_sentry__hard_veto_signals.csv,434,queued_for_run333D_proxy_cost_curve_screen,0;0.25;0.5;1;2;3;5,rolling20_min_net;rolling40_min_net;underwater_stretch;worst_chunk,no_forward_passed_no_candidate_selection_no_runtime_authority
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,soft_veto,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_c56_volatility_cost_shape_sentry__soft_veto_signals.csv,486,queued_for_run333D_proxy_cost_curve_screen,0;0.25;0.5;1;2;3;5,rolling20_min_net;rolling40_min_net;underwater_stretch;worst_chunk,no_forward_passed_no_candidate_selection_no_runtime_authority
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,c56_plain,negative_control,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_c56_volatility_cost_shape_sentry__negative_control_signals.csv,484,queued_for_run333D_proxy_cost_curve_screen,0;0.25;0.5;1;2;3;5,rolling20_min_net;rolling40_min_net;underwater_stretch;worst_chunk,no_forward_passed_no_candidate_selection_no_runtime_authority
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,c56_plain,control_no_veto,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_c56_session_liquidity_veto__control_no_veto_signals.csv,486,queued_for_run333D_proxy_cost_curve_screen,0;0.25;0.5;1;2;3;5,rolling20_min_net;rolling40_min_net;underwater_stretch;worst_chunk,no_forward_passed_no_candidate_selection_no_runtime_authority
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,c56_plain,hard_veto,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_c56_session_liquidity_veto__hard_veto_signals.csv,468,queued_for_run333D_proxy_cost_curve_screen,0;0.25;0.5;1;2;3;5,rolling20_min_net;rolling40_min_net;underwater_stretch;worst_chunk,no_forward_passed_no_candidate_selection_no_runtime_authority
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,c56_plain,soft_veto,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_c56_session_liquidity_veto__soft_veto_signals.csv,486,queued_for_run333D_proxy_cost_curve_screen,0;0.25;0.5;1;2;3;5,rolling20_min_net;rolling40_min_net;underwater_stretch;worst_chunk,no_forward_passed_no_candidate_selection_no_runtime_authority
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,c56_plain,negative_control,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_c56_session_liquidity_veto__negative_control_signals.csv,418,queued_for_run333D_proxy_cost_curve_screen,0;0.25;0.5;1;2;3;5,rolling20_min_net;rolling40_min_net;underwater_stretch;worst_chunk,no_forward_passed_no_candidate_selection_no_runtime_authority
pv_m48_macro_rate_volatility_guard__control_no_veto,pv_m48_macro_rate_volatility_guard,m48_plain,control_no_veto,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_m48_macro_rate_volatility_guard__control_no_veto_signals.csv,2562,queued_for_run333D_proxy_cost_curve_screen,0;0.25;0.5;1;2;3;5,rolling20_min_net;rolling40_min_net;underwater_stretch;worst_chunk,no_forward_passed_no_candidate_selection_no_runtime_authority
pv_m48_macro_rate_volatility_guard__hard_veto,pv_m48_macro_rate_volatility_guard,m48_plain,hard_veto,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_m48_macro_rate_volatility_guard__hard_veto_signals.csv,2414,queued_for_run333D_proxy_cost_curve_screen,0;0.25;0.5;1;2;3;5,rolling20_min_net;rolling40_min_net;underwater_stretch;worst_chunk,no_forward_passed_no_candidate_selection_no_runtime_authority
