stage_id,run_id,parent_run_id,run_date,status,judgment,decision,next_run_id,primary_artifact,report_path,gate_passes,gate_total,claim_boundary,view,tier,metric_scope,candidate_model_id,net_profit,profit_factor,drawdown,recovery_factor,trade_count,result_status,sample_rows,feature_count,matched_rows,expectancy,attempt_count,source_package_run_id,ledger_row_id,subrun_id,record_view,tier_scope,kpi_scope,scoreboard_lane,path,primary_kpi,guardrail_kpi,external_verification_status,notes,date
344_directional_long_quality__supply_surface_probe,run344A_branch_stage343_to_directional_long_supply_quality_surface_without_db_v1,run343F_review_trade_shape_rescue_quality_margin_blend_mt5_probe_without_db_v1,2026-06-01,completed_stage344A_branch_from_stage343_directional_long_quality_surface_opened_no_selection,stage_branch_completed_stage343_overweight_handoff_to_directional_long_quality_surface_no_selection,stage344A_open_run344B_design_directional_long_supply_quality_surface,run344B_design_directional_long_supply_quality_surface_without_db_v1,stages/344_directional_long_quality__supply_surface_probe/02_runs/run344A/final_decision.json,stages/344_directional_long_quality__supply_surface_probe/03_reviews/run344A_stage_branch.md,9,9,state_sync_stage_branch_directional_long_quality_surface_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A separate(Tier A 분리),Tier A,stage_branch_handoff_run343F_directional_long_seed,logreg_balanced_c025_d01_h04_anchor45,152.79,3.55,89.31,1.71,22.0,"stage_branch_opened_no_selection(단계 분기 완료, 선정 없음)",,,58270.0,6.95,10.0,run343F_review_trade_shape_rescue_quality_margin_blend_mt5_probe_without_db_v1,run344A_branch_stage343_to_directional_long_supply_quality_surface_without_db_v1__Tier A,Tier A,Tier A separate(Tier A 분리),Tier A,stage_branch_handoff_run343F_directional_long_seed,state_sync_stage_branch(상태 동기화 단계 분기),stages/344_directional_long_quality__supply_surface_probe/03_reviews/run344A_stage_branch.md,net_profit=152.79;pf=3.55;trades=22,drawdown=89.31;long_short=2/20,out_of_scope_by_claim(주장 범위 밖),User requested Stage branch because Stage343 became heavy(사용자가 343단계가 무거워져 단계 분기를 요청함).,
344_directional_long_quality__supply_surface_probe,run344A_branch_stage343_to_directional_long_supply_quality_surface_without_db_v1,run343F_review_trade_shape_rescue_quality_margin_blend_mt5_probe_without_db_v1,2026-06-01,completed_stage344A_branch_from_stage343_directional_long_quality_surface_opened_no_selection,stage_branch_completed_stage343_overweight_handoff_to_directional_long_quality_surface_no_selection,stage344A_open_run344B_design_directional_long_supply_quality_surface,run344B_design_directional_long_supply_quality_surface_without_db_v1,stages/344_directional_long_quality__supply_surface_probe/02_runs/run344A/final_decision.json,stages/344_directional_long_quality__supply_surface_probe/03_reviews/run344A_stage_branch.md,9,9,state_sync_stage_branch_directional_long_quality_surface_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier B separate(Tier B 분리),Tier B,missing_required,missing_required,,,,,,missing_required(필수 누락),,,,,,run343F_review_trade_shape_rescue_quality_margin_blend_mt5_probe_without_db_v1,run344A_branch_stage343_to_directional_long_supply_quality_surface_without_db_v1__Tier B,Tier B,Tier B separate(Tier B 분리),Tier B,missing_required,state_sync_stage_branch(상태 동기화 단계 분기),stages/344_directional_long_quality__supply_surface_probe/03_reviews/run344A_stage_branch.md,missing_required,missing_required,missing_required(필수 누락),User requested Stage branch because Stage343 became heavy(사용자가 343단계가 무거워져 단계 분기를 요청함).,
344_directional_long_quality__supply_surface_probe,run344A_branch_stage343_to_directional_long_supply_quality_surface_without_db_v1,run343F_review_trade_shape_rescue_quality_margin_blend_mt5_probe_without_db_v1,2026-06-01,completed_stage344A_branch_from_stage343_directional_long_quality_surface_opened_no_selection,stage_branch_completed_stage343_overweight_handoff_to_directional_long_quality_surface_no_selection,stage344A_open_run344B_design_directional_long_supply_quality_surface,run344B_design_directional_long_supply_quality_surface_without_db_v1,stages/344_directional_long_quality__supply_surface_probe/02_runs/run344A/final_decision.json,stages/344_directional_long_quality__supply_surface_probe/03_reviews/run344A_stage_branch.md,9,9,state_sync_stage_branch_directional_long_quality_surface_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A+B combined(Tier A+B 합산),Tier A+B,same_as_tier_a_until_tier_b_available,logreg_balanced_c025_d01_h04_anchor45,152.79,3.55,89.31,1.71,22.0,same_as_tier_a_until_tier_b_available,,,58270.0,6.95,10.0,run343F_review_trade_shape_rescue_quality_margin_blend_mt5_probe_without_db_v1,run344A_branch_stage343_to_directional_long_supply_quality_surface_without_db_v1__Tier A+B,Tier A+B,Tier A+B combined(Tier A+B 합산),Tier A+B,same_as_tier_a_until_tier_b_available,state_sync_stage_branch(상태 동기화 단계 분기),stages/344_directional_long_quality__supply_surface_probe/03_reviews/run344A_stage_branch.md,net_profit=152.79;pf=3.55;trades=22,drawdown=89.31;long_short=2/20,out_of_scope_by_claim(주장 범위 밖),User requested Stage branch because Stage343 became heavy(사용자가 343단계가 무거워져 단계 분기를 요청함).,
344_directional_long_quality__supply_surface_probe,run344B_design_directional_long_supply_quality_surface_without_db_v1,run344A_branch_stage343_to_directional_long_supply_quality_surface_without_db_v1,2026-06-01,completed_stage344B_directional_long_quality_surface_design_ready_materialization_no_selection,directional_long_quality_surface_design_ready_for_broad_materialization_no_selection,stage344B_open_run344C_materialize_directional_long_quality_surface_package,run344C_materialize_directional_long_supply_quality_surface_package_without_db_v1,stages/344_directional_long_quality__supply_surface_probe/02_runs/run344B/final_decision.json,stages/344_directional_long_quality__supply_surface_probe/03_reviews/run344B_directional_long_quality_surface_design.md,11,11,research_development_design_only_directional_long_quality_surface_no_model_training_no_mt5_execution_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A separate(Tier A 분리),Tier A,design_source_reference_not_new_kpi,logreg_balanced_c025_d01_h04_anchor45,152.79,3.55,89.31,1.71,22.0,"design_ready_materialization_required_no_selection(설계 준비, 물질화 필요, 선정 없음)",,,58270.0,6.95,12.0,run343F_review_trade_shape_rescue_quality_margin_blend_mt5_probe_without_db_v1,run344B_design_directional_long_supply_quality_surface_without_db_v1__Tier A,Tier A,Tier A separate(Tier A 분리),Tier A,design_source_reference_not_new_kpi,experiment_design(실험 설계),stages/344_directional_long_quality__supply_surface_probe/03_reviews/run344B_directional_long_quality_surface_design.md,source_anchor_net=152.79;source_anchor_pf=3.55;planned_variants=12,source_anchor_drawdown=89.31;source_long_short=2/20,out_of_scope_by_claim(주장 범위 밖),Design only(설계 전용); opens run344C materialization(344C 물질화 개방).,
344_directional_long_quality__supply_surface_probe,run344B_design_directional_long_supply_quality_surface_without_db_v1,run344A_branch_stage343_to_directional_long_supply_quality_surface_without_db_v1,2026-06-01,completed_stage344B_directional_long_quality_surface_design_ready_materialization_no_selection,directional_long_quality_surface_design_ready_for_broad_materialization_no_selection,stage344B_open_run344C_materialize_directional_long_quality_surface_package,run344C_materialize_directional_long_supply_quality_surface_package_without_db_v1,stages/344_directional_long_quality__supply_surface_probe/02_runs/run344B/final_decision.json,stages/344_directional_long_quality__supply_surface_probe/03_reviews/run344B_directional_long_quality_surface_design.md,11,11,research_development_design_only_directional_long_quality_surface_no_model_training_no_mt5_execution_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier B separate(Tier B 분리),Tier B,missing_required,missing_required,,,,,,missing_required(필수 누락),,,,,,run343F_review_trade_shape_rescue_quality_margin_blend_mt5_probe_without_db_v1,run344B_design_directional_long_supply_quality_surface_without_db_v1__Tier B,Tier B,Tier B separate(Tier B 분리),Tier B,missing_required,experiment_design(실험 설계),stages/344_directional_long_quality__supply_surface_probe/03_reviews/run344B_directional_long_quality_surface_design.md,missing_required,missing_required,missing_required(필수 누락),Design only(설계 전용); opens run344C materialization(344C 물질화 개방).,
344_directional_long_quality__supply_surface_probe,run344B_design_directional_long_supply_quality_surface_without_db_v1,run344A_branch_stage343_to_directional_long_supply_quality_surface_without_db_v1,2026-06-01,completed_stage344B_directional_long_quality_surface_design_ready_materialization_no_selection,directional_long_quality_surface_design_ready_for_broad_materialization_no_selection,stage344B_open_run344C_materialize_directional_long_quality_surface_package,run344C_materialize_directional_long_supply_quality_surface_package_without_db_v1,stages/344_directional_long_quality__supply_surface_probe/02_runs/run344B/final_decision.json,stages/344_directional_long_quality__supply_surface_probe/03_reviews/run344B_directional_long_quality_surface_design.md,11,11,research_development_design_only_directional_long_quality_surface_no_model_training_no_mt5_execution_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A+B combined(Tier A+B 합산),Tier A+B,same_as_tier_a_until_tier_b_available,logreg_balanced_c025_d01_h04_anchor45,152.79,3.55,89.31,1.71,22.0,same_as_tier_a_until_tier_b_available,,,58270.0,6.95,12.0,run343F_review_trade_shape_rescue_quality_margin_blend_mt5_probe_without_db_v1,run344B_design_directional_long_supply_quality_surface_without_db_v1__Tier A+B,Tier A+B,Tier A+B combined(Tier A+B 합산),Tier A+B,same_as_tier_a_until_tier_b_available,experiment_design(실험 설계),stages/344_directional_long_quality__supply_surface_probe/03_reviews/run344B_directional_long_quality_surface_design.md,source_anchor_net=152.79;source_anchor_pf=3.55;planned_variants=12,source_anchor_drawdown=89.31;source_long_short=2/20,out_of_scope_by_claim(주장 범위 밖),Design only(설계 전용); opens run344C materialization(344C 물질화 개방).,
344_directional_long_quality__supply_surface_probe,run344C_materialize_directional_long_supply_quality_surface_package_without_db_v1,run344B_design_directional_long_supply_quality_surface_without_db_v1,2026-06-01,completed_stage344C_directional_long_quality_surface_package_materialized_no_selection,directional_long_quality_surface_package_ready_runtime_execution_required_no_selection,stage344C_open_run344D_execute_directional_long_quality_surface_mt5_probe,run344D_execute_directional_long_supply_quality_surface_mt5_probe_without_db_v1,stages/344_directional_long_quality__supply_surface_probe/02_runs/run344C/final_decision.json,stages/344_directional_long_quality__supply_surface_probe/03_reviews/run344C_directional_long_quality_surface_package.md,16,16,research_development_directional_long_quality_surface_runtime_probe_package_only_no_mt5_execution_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A separate(Tier A 분리),Tier A,runtime_package_no_mt5_kpi,12_runtime_mapped_variants,,,,,,"package_ready_runtime_execution_required_no_selection(패키지 준비, 런타임 실행 필요, 선정 없음)",5827.0,53.0,69924.0,,12.0,run343D_materialize_trade_shape_rescue_quality_margin_blend_package_without_db_v1,run344C_materialize_directional_long_supply_quality_surface_package_without_db_v1__Tier A,Tier A,Tier A separate(Tier A 분리),Tier A,runtime_package_no_mt5_kpi,runtime_probe_package(런타임 탐침 패키지),stages/344_directional_long_quality__supply_surface_probe/03_reviews/run344C_directional_long_quality_surface_package.md,attempt_count=12;expected_rows=69924;preview_max_signal_trade_count=131,no_mt5_kpi;side_filter_missing_feature_rows=0;common_sync_missing=0,pending_mt5_runtime_probe(MT5 런타임 탐침 대기),Package only(패키지 전용); opens run344D MT5 runtime probe(344D MT5 런타임 탐침 개방).,
344_directional_long_quality__supply_surface_probe,run344C_materialize_directional_long_supply_quality_surface_package_without_db_v1,run344B_design_directional_long_supply_quality_surface_without_db_v1,2026-06-01,completed_stage344C_directional_long_quality_surface_package_materialized_no_selection,directional_long_quality_surface_package_ready_runtime_execution_required_no_selection,stage344C_open_run344D_execute_directional_long_quality_surface_mt5_probe,run344D_execute_directional_long_supply_quality_surface_mt5_probe_without_db_v1,stages/344_directional_long_quality__supply_surface_probe/02_runs/run344C/final_decision.json,stages/344_directional_long_quality__supply_surface_probe/03_reviews/run344C_directional_long_quality_surface_package.md,16,16,research_development_directional_long_quality_surface_runtime_probe_package_only_no_mt5_execution_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier B separate(Tier B 분리),Tier B,missing_required,missing_required,,,,,,missing_required(필수 누락),5827.0,53.0,69924.0,,,run343D_materialize_trade_shape_rescue_quality_margin_blend_package_without_db_v1,run344C_materialize_directional_long_supply_quality_surface_package_without_db_v1__Tier B,Tier B,Tier B separate(Tier B 분리),Tier B,missing_required,runtime_probe_package(런타임 탐침 패키지),stages/344_directional_long_quality__supply_surface_probe/03_reviews/run344C_directional_long_quality_surface_package.md,missing_required,missing_required,missing_required(필수 누락),Package only(패키지 전용); opens run344D MT5 runtime probe(344D MT5 런타임 탐침 개방).,
344_directional_long_quality__supply_surface_probe,run344C_materialize_directional_long_supply_quality_surface_package_without_db_v1,run344B_design_directional_long_supply_quality_surface_without_db_v1,2026-06-01,completed_stage344C_directional_long_quality_surface_package_materialized_no_selection,directional_long_quality_surface_package_ready_runtime_execution_required_no_selection,stage344C_open_run344D_execute_directional_long_quality_surface_mt5_probe,run344D_execute_directional_long_supply_quality_surface_mt5_probe_without_db_v1,stages/344_directional_long_quality__supply_surface_probe/02_runs/run344C/final_decision.json,stages/344_directional_long_quality__supply_surface_probe/03_reviews/run344C_directional_long_quality_surface_package.md,16,16,research_development_directional_long_quality_surface_runtime_probe_package_only_no_mt5_execution_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A+B combined(Tier A+B 합산),Tier A+B,same_as_tier_a_until_tier_b_available,12_runtime_mapped_variants,,,,,,same_as_tier_a_until_tier_b_available,5827.0,53.0,69924.0,,12.0,run343D_materialize_trade_shape_rescue_quality_margin_blend_package_without_db_v1,run344C_materialize_directional_long_supply_quality_surface_package_without_db_v1__Tier A+B,Tier A+B,Tier A+B combined(Tier A+B 합산),Tier A+B,same_as_tier_a_until_tier_b_available,runtime_probe_package(런타임 탐침 패키지),stages/344_directional_long_quality__supply_surface_probe/03_reviews/run344C_directional_long_quality_surface_package.md,attempt_count=12;expected_rows=69924;preview_max_signal_trade_count=131,no_mt5_kpi;side_filter_missing_feature_rows=0;common_sync_missing=0,pending_mt5_runtime_probe(MT5 런타임 탐침 대기),Package only(패키지 전용); opens run344D MT5 runtime probe(344D MT5 런타임 탐침 개방).,
344_directional_long_quality__supply_surface_probe,run344D_execute_directional_long_supply_quality_surface_mt5_probe_without_db_v1,run344C_materialize_directional_long_supply_quality_surface_package_without_db_v1,2026-06-01,completed_stage344D_directional_long_quality_surface_mt5_probe_executed_review_required_no_selection,mt5_directional_long_quality_surface_probe_outputs_available_review_required_no_selection,stage344D_open_run344E_review_directional_long_quality_surface_probe,run344E_review_directional_long_quality_surface_mt5_probe_without_db_v1,stages/344_directional_long_quality__supply_surface_probe/02_runs/run344D/final_decision.json,stages/344_directional_long_quality__supply_surface_probe/03_reviews/run344D_directional_long_quality_surface_mt5_probe.md,9,9,research_development_directional_long_quality_surface_mt5_runtime_probe_attempt_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A separate(Tier A 분리),Tier A,mt5_runtime_probe,logreg_balanced_c025_s07_trend_confirmed_long_only,186.67,4.11,89.31,2.09,26.0,mt5_directional_long_quality_surface_probe_outputs_available_review_required_no_selection,,,69924.0,7.18,12.0,run344C_materialize_directional_long_supply_quality_surface_package_without_db_v1,run344D_execute_directional_long_supply_quality_surface_mt5_probe_without_db_v1__Tier A,Tier A,Tier A separate(Tier A 분리),Tier A,mt5_runtime_probe,runtime_probe(MT5 런타임 탐침),stages/344_directional_long_quality__supply_surface_probe/03_reviews/run344D_directional_long_quality_surface_mt5_probe.md,net_profit=186.67;pf=4.11;trades=26,drawdown=89.31;long_short=6/20,completed(완료),"MT5 runtime probe(MT5 런타임 탐침) complete, review required(검토 필요), no selection(선정 없음).",
