check_name,status,detail,effect
grok_clean_output_exists,passed,docs/agent_control/grok_reviews/2026-06-17_f68d_pre_mt5_candidate_axis_runtime_probe/outputs/clean_output.md,Grok pre-probe review(그록 탐침 전 검토)가 기록된다.
eligible_axis_count_is_two,passed,eligible=2,HGB failed axis(실패 축)을 probe queue(탐침 대기열)에서 제외한다.
f68b_23f4d4607a78_onnx_hash_match,passed,handoff=5fb01508a5a1bbdc02d8a1c8ab27241933785c5e2dc9810e070f9d1008f50134;actual=5fb01508a5a1bbdc02d8a1c8ab27241933785c5e2dc9810e070f9d1008f50134,Common Files copy(Common Files 복사) 전에 ONNX 정체성을 확인한다.
f68b_23f4d4607a78_feature_count_hash_match,passed,feature_count=59;feature_order_hash=b33f55866d04baeeb33f11d660677d0ac9fd7870773e0e7e65f8692f1e8d7390,EA InpFeatureCount(EA 피처 수)와 피처 순서 해시를 고정한다.
f68b_23f4d4607a78_common_copies_exist,passed,model=Project_Obsidian_Prime_v2/frontier68D_candidate_axis_runtime_probe/models/f68b_23f4d4607a78.onnx;feature=Project_Obsidian_Prime_v2/frontier68D_candidate_axis_runtime_probe/features/f68c_full58_58_b33f55866d_features.csv,EA가 실제로 읽을 Common Files 경로를 확보한다.
f68b_3481a04983ee_onnx_hash_match,passed,handoff=167e99f1d2b13aa926e673e0a8d6830fb33c9b0923e4e723bb728ab12da7b43b;actual=167e99f1d2b13aa926e673e0a8d6830fb33c9b0923e4e723bb728ab12da7b43b,Common Files copy(Common Files 복사) 전에 ONNX 정체성을 확인한다.
f68b_3481a04983ee_feature_count_hash_match,passed,feature_count=49;feature_order_hash=14a037f12cec16ad2f57a9cb5cafb5d61a374b96640872a6ac51bb6f28baf2a3,EA InpFeatureCount(EA 피처 수)와 피처 순서 해시를 고정한다.
f68b_3481a04983ee_common_copies_exist,passed,model=Project_Obsidian_Prime_v2/frontier68D_candidate_axis_runtime_probe/models/f68b_3481a04983ee.onnx;feature=Project_Obsidian_Prime_v2/frontier68D_candidate_axis_runtime_probe/features/f68c_no_mega_top3_3_14a037f12c_features.csv,EA가 실제로 읽을 Common Files 경로를 확보한다.
f68d_density_axis_607a78_validation_set_ini_exist,passed,set=C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/stage_frontier_68__runtime_native_trade_lifecycle_economics_proxy_onnx_scout/02_runs/frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1/mt5/f68d_density_axis_607a78_validation.set;ini=C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/stage_frontier_68__runtime_native_trade_lifecycle_economics_proxy_onnx_scout/02_runs/frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1/mt5/f68d_density_axis_607a78_validation.ini,Strategy Tester(전략 테스터) 실행 입력을 고정한다.
f68d_density_axis_607a78_validation_date_window_known,passed,"validation={'from': '2025.01.02', 'to': '2025.10.01'}",proxy split(프록시 분할)과 tester 기간(테스터 기간)을 맞춘다.
f68d_density_axis_607a78_oos_set_ini_exist,passed,set=C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/stage_frontier_68__runtime_native_trade_lifecycle_economics_proxy_onnx_scout/02_runs/frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1/mt5/f68d_density_axis_607a78_oos.set;ini=C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/stage_frontier_68__runtime_native_trade_lifecycle_economics_proxy_onnx_scout/02_runs/frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1/mt5/f68d_density_axis_607a78_oos.ini,Strategy Tester(전략 테스터) 실행 입력을 고정한다.
f68d_density_axis_607a78_oos_date_window_known,passed,"oos={'from': '2025.10.01', 'to': '2026.04.14'}",proxy split(프록시 분할)과 tester 기간(테스터 기간)을 맞춘다.
