variant_id,idea_id,hypothesis_ko,model_key,feature_selector,threshold_quantile,min_margin,direction_mode,model_params_json
v01_base_leaf20_q90,IDEA-ST12-ET-BATCH20-V01,기본 잎 20 구조가 단독 Stage12 신호를 만든다.,base_leaf20,all58,0.9,0.0,both,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""min_samples_split"": 2, ""n_estimators"": 360, ""n_jobs"": -1, ""random_state"": 20545}"
v02_dense_leaf10_q90,IDEA-ST12-ET-BATCH20-V02,잎 10의 촘촘한 구조가 약한 방향 신호를 더 잘 잡는다.,dense_leaf10,all58,0.9,0.0,both,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""min_samples_split"": 2, ""n_estimators"": 360, ""n_jobs"": -1, ""random_state"": 20410}"
v03_smooth_leaf40_q90,IDEA-ST12-ET-BATCH20-V03,잎 40의 부드러운 구조가 잡음을 줄인다.,smooth_leaf40,all58,0.9,0.0,both,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 40, ""min_samples_split"": 2, ""n_estimators"": 360, ""n_jobs"": -1, ""random_state"": 12211}"
v04_log2_features_leaf20_q90,IDEA-ST12-ET-BATCH20-V04,분기마다 더 적은 피처를 보면 과적합이 줄어든다.,log2_leaf20,all58,0.9,0.0,both,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""log2"", ""min_samples_leaf"": 20, ""min_samples_split"": 2, ""n_estimators"": 360, ""n_jobs"": -1, ""random_state"": 15762}"
v05_half_features_leaf20_q90,IDEA-ST12-ET-BATCH20-V05,절반 피처 샘플링이 방향 신호 다양성을 만든다.,half_features_leaf20,all58,0.9,0.0,both,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 20, ""min_samples_split"": 2, ""n_estimators"": 360, ""n_jobs"": -1, ""random_state"": 15268}"
v06_entropy_leaf20_q90,IDEA-ST12-ET-BATCH20-V06,엔트로피 분할 기준이 비대칭 라벨 구조를 더 잘 본다.,entropy_leaf20,all58,0.9,0.0,both,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""min_samples_split"": 2, ""n_estimators"": 360, ""n_jobs"": -1, ""random_state"": 16134}"
v07_balanced_subsample_leaf20_q90,IDEA-ST12-ET-BATCH20-V07,부트스트랩 균형 가중치가 클래스 불균형을 완화한다.,balanced_subsample_leaf20,all58,0.9,0.0,both,"{""bootstrap"": true, ""class_weight"": ""balanced_subsample"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""min_samples_split"": 2, ""n_estimators"": 360, ""n_jobs"": -1, ""random_state"": 15670}"
v08_depth12_leaf20_q90,IDEA-ST12-ET-BATCH20-V08,깊이 12 제한이 표본외 흔들림을 줄인다.,depth12_leaf20,all58,0.9,0.0,both,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""min_samples_split"": 2, ""n_estimators"": 360, ""n_jobs"": -1, ""random_state"": 18650}"
v09_depth8_leaf10_q90,IDEA-ST12-ET-BATCH20-V09,얕은 깊이와 촘촘한 잎 조합이 안정 신호를 만든다.,depth8_leaf10,all58,0.9,0.0,both,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""min_samples_split"": 2, ""n_estimators"": 360, ""n_jobs"": -1, ""random_state"": 18262}"
v10_bootstrap70_leaf20_q90,IDEA-ST12-ET-BATCH20-V10,70% 부트스트랩 표본이 모델 분산을 낮춘다.,bootstrap70_leaf20,all58,0.9,0.0,both,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""max_samples"": 0.7, ""min_samples_leaf"": 20, ""min_samples_split"": 2, ""n_estimators"": 360, ""n_jobs"": -1, ""random_state"": 14950}"
v11_base_leaf20_q85,IDEA-ST12-ET-BATCH20-V11,더 낮은 임계값이 신호 밀도를 회복한다.,base_leaf20,all58,0.85,0.0,both,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""min_samples_split"": 2, ""n_estimators"": 360, ""n_jobs"": -1, ""random_state"": 20545}"
v12_base_leaf20_q95,IDEA-ST12-ET-BATCH20-V12,더 높은 임계값이 신호 품질을 선별한다.,base_leaf20,all58,0.95,0.0,both,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""min_samples_split"": 2, ""n_estimators"": 360, ""n_jobs"": -1, ""random_state"": 20545}"
v13_base_margin002_q90,IDEA-ST12-ET-BATCH20-V13,0.02 마진 요구가 애매한 예측을 걸러낸다.,base_leaf20,all58,0.9,0.02,both,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""min_samples_split"": 2, ""n_estimators"": 360, ""n_jobs"": -1, ""random_state"": 20545}"
v14_base_margin005_q90,IDEA-ST12-ET-BATCH20-V14,0.05 마진 요구가 강한 예측만 남긴다.,base_leaf20,all58,0.9,0.05,both,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""min_samples_split"": 2, ""n_estimators"": 360, ""n_jobs"": -1, ""random_state"": 20545}"
v15_base_short_only_q90,IDEA-ST12-ET-BATCH20-V15,숏 방향만 남기면 비대칭 수익 신호가 보인다.,base_leaf20,all58,0.9,0.0,short_only,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""min_samples_split"": 2, ""n_estimators"": 360, ""n_jobs"": -1, ""random_state"": 20545}"
v16_base_long_only_q90,IDEA-ST12-ET-BATCH20-V16,롱 방향만 남기면 비대칭 수익 신호가 보인다.,base_leaf20,all58,0.9,0.0,long_only,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""min_samples_split"": 2, ""n_estimators"": 360, ""n_jobs"": -1, ""random_state"": 20545}"
v17_top30_features_q90,IDEA-ST12-ET-BATCH20-V17,훈련 중요도 상위 30개 피처가 약한 피처 잡음을 줄인다.,top30_features,top30_from_train_importance,0.9,0.0,both,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""min_samples_split"": 2, ""n_estimators"": 360, ""n_jobs"": -1, ""random_state"": 19910}"
v18_core42_features_q90,IDEA-ST12-ET-BATCH20-V18,핵심 42개 피처만으로도 단독 Stage12 신호가 유지된다.,core42_features,core42,0.9,0.0,both,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""min_samples_split"": 2, ""n_estimators"": 360, ""n_jobs"": -1, ""random_state"": 21245}"
v19_context16_features_q90,IDEA-ST12-ET-BATCH20-V19,보조 문맥 16개 피처만으로 독립 신호가 있는지 본다.,context16_features,context16,0.9,0.0,both,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""min_samples_split"": 2, ""n_estimators"": 360, ""n_jobs"": -1, ""random_state"": 17630}"
v20_base_inverse_q90,IDEA-ST12-ET-BATCH20-V20,확률 방향을 반대로 쓰면 구조적 역방향성이 드러난다.,base_leaf20,all58,0.9,0.0,inverse,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""min_samples_split"": 2, ""n_estimators"": 360, ""n_jobs"": -1, ""random_state"": 20545}"
