design_id,candidate_alias,candidate_role,priority_rank,priority_reason,feature_design,feature_family,new_feature_candidates,formula_sketch,adapter_mode,runtime_surface,why_from_run267G,run267f_adx_net_delta_vs_d,run267f_adx_net_delta_vs_e,run267f_adx_weakest_weekday_net,run267f_adx_weakest_month_net,run267f_di_net_delta_vs_d,run267f_di_dd_delta_vs_d,blocked_exact_repeat,materialization_status,claim_boundary
run267H_s258_stc_model_risk_sizing_confidence_gate,s258_stc,stress_challenger,3,stress_challenger_high_information(압박 도전자 정보량 높음),model_risk_sizing_confidence_gate,risk_scale_runtime_probe,confidence_floor_variant;risk_minmax_variant;weak_context_telemetry_slice,use existing model-risk sizing parameters while slicing by weak_context_score,set_level_runtime_probe_no_model_change,EA has model risk sizing(모델 위험 크기 조절) inputs; not a feature replacement and not candidate selection,손실폭과 약한 월을 trade count(거래 수) 절단 없이 줄일 수 있는지 별도 risk probe(위험 탐침)로 본다.,61.3,-103.36,-181.07,-98.91,-233.47,6.23,false,designed_not_materialized,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267H_s258_stc_soft_exit_overlay_flag,s258_stc,stress_challenger,3,stress_challenger_high_information(압박 도전자 정보량 높음),soft_exit_overlay_flag,risk_exit_overlay_probe,weak_context_exit_long_flag;weak_context_exit_short_flag;soft_max_hold_context,"flag = score_above(weak_context_score, q80); max_hold_context = bucket(score, 0..N)",exit_overlay_existing_runtime_possible,EA has ExitRiskOverlay(청산 위험 오버레이) feature index inputs; requires materialized feature index mapping,월요일/7월/chron_mid(중간 구간) 약점은 entry prune(진입 절단)보다 lifecycle/risk(수명주기/위험) 쪽으로도 봐야 한다.,61.3,-103.36,-181.07,-98.91,-233.47,6.23,false,designed_not_materialized,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267H_s264_aia_adx_atr_soft_score,s264_aia,oos_anchor,4,oos_anchor_check(표본외 앵커 확인),adx_atr_soft_score,trend_strength_atr_compression,adx_20_25_soft_distance;atr_14_over_atr_50_z;adx_atr_compression_score,"score = smooth_band(adx_14, 20, 25) * z_low(atr_14_over_atr_50)",feature_only_model_retrain,existing model CSV can consume after retraining; no EA change if kept as model input,ADX hard guard(강한 방어)는 일부 지지지만 약한 구간을 해결하지 못해 soft score(부드러운 점수)로 바꾼다.,43.85,-102.56,-156.64,-96.82,-210.37,2.71,false,designed_not_materialized,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267H_s264_aia_di_adx_atr_continuous_interaction,s264_aia,oos_anchor,4,oos_anchor_check(표본외 앵커 확인),di_adx_atr_continuous_interaction,directional_imbalance_soft_replacement,abs_di_spread_14_z;di_adx_alignment_score;di_atr_compression_interaction,"score = z(abs(di_spread_14)) * smooth_band(adx_14, 18, 28) * z_low(atr_14_over_atr_50)",feature_only_model_retrain,existing model CSV can consume after retraining; exact q33 hard filter is blocked,DI q33 hard replacement(강한 대체)은 실패했으므로 연속 interaction(상호작용)으로만 재검토한다.,43.85,-102.56,-156.64,-96.82,-210.37,2.71,exact_dilowq33_blocked_continuous_only,designed_not_materialized,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267H_s264_aia_model_risk_sizing_confidence_gate,s264_aia,oos_anchor,4,oos_anchor_check(표본외 앵커 확인),model_risk_sizing_confidence_gate,risk_scale_runtime_probe,confidence_floor_variant;risk_minmax_variant;weak_context_telemetry_slice,use existing model-risk sizing parameters while slicing by weak_context_score,set_level_runtime_probe_no_model_change,EA has model risk sizing(모델 위험 크기 조절) inputs; not a feature replacement and not candidate selection,손실폭과 약한 월을 trade count(거래 수) 절단 없이 줄일 수 있는지 별도 risk probe(위험 탐침)로 본다.,43.85,-102.56,-156.64,-96.82,-210.37,2.71,false,designed_not_materialized,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267H_s264_aia_soft_exit_overlay_flag,s264_aia,oos_anchor,4,oos_anchor_check(표본외 앵커 확인),soft_exit_overlay_flag,risk_exit_overlay_probe,weak_context_exit_long_flag;weak_context_exit_short_flag;soft_max_hold_context,"flag = score_above(weak_context_score, q80); max_hold_context = bucket(score, 0..N)",exit_overlay_existing_runtime_possible,EA has ExitRiskOverlay(청산 위험 오버레이) feature index inputs; requires materialized feature index mapping,월요일/7월/chron_mid(중간 구간) 약점은 entry prune(진입 절단)보다 lifecycle/risk(수명주기/위험) 쪽으로도 봐야 한다.,43.85,-102.56,-156.64,-96.82,-210.37,2.71,false,designed_not_materialized,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267H_s262_lih_adx_atr_soft_score,s262_lih,validation_heavy,5,validation_heavy_sanity(검증 중심 정상성 확인),adx_atr_soft_score,trend_strength_atr_compression,adx_20_25_soft_distance;atr_14_over_atr_50_z;adx_atr_compression_score,"score = smooth_band(adx_14, 20, 25) * z_low(atr_14_over_atr_50)",feature_only_model_retrain,existing model CSV can consume after retraining; no EA change if kept as model input,ADX hard guard(강한 방어)는 일부 지지지만 약한 구간을 해결하지 못해 soft score(부드러운 점수)로 바꾼다.,41.09,-119.32,-158.19,-107.49,-189.09,5.61,false,designed_not_materialized,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267H_s262_lih_di_adx_atr_continuous_interaction,s262_lih,validation_heavy,5,validation_heavy_sanity(검증 중심 정상성 확인),di_adx_atr_continuous_interaction,directional_imbalance_soft_replacement,abs_di_spread_14_z;di_adx_alignment_score;di_atr_compression_interaction,"score = z(abs(di_spread_14)) * smooth_band(adx_14, 18, 28) * z_low(atr_14_over_atr_50)",feature_only_model_retrain,existing model CSV can consume after retraining; exact q33 hard filter is blocked,DI q33 hard replacement(강한 대체)은 실패했으므로 연속 interaction(상호작용)으로만 재검토한다.,41.09,-119.32,-158.19,-107.49,-189.09,5.61,exact_dilowq33_blocked_continuous_only,designed_not_materialized,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267H_s262_lih_model_risk_sizing_confidence_gate,s262_lih,validation_heavy,5,validation_heavy_sanity(검증 중심 정상성 확인),model_risk_sizing_confidence_gate,risk_scale_runtime_probe,confidence_floor_variant;risk_minmax_variant;weak_context_telemetry_slice,use existing model-risk sizing parameters while slicing by weak_context_score,set_level_runtime_probe_no_model_change,EA has model risk sizing(모델 위험 크기 조절) inputs; not a feature replacement and not candidate selection,손실폭과 약한 월을 trade count(거래 수) 절단 없이 줄일 수 있는지 별도 risk probe(위험 탐침)로 본다.,41.09,-119.32,-158.19,-107.49,-189.09,5.61,false,designed_not_materialized,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267H_s262_lih_soft_exit_overlay_flag,s262_lih,validation_heavy,5,validation_heavy_sanity(검증 중심 정상성 확인),soft_exit_overlay_flag,risk_exit_overlay_probe,weak_context_exit_long_flag;weak_context_exit_short_flag;soft_max_hold_context,"flag = score_above(weak_context_score, q80); max_hold_context = bucket(score, 0..N)",exit_overlay_existing_runtime_possible,EA has ExitRiskOverlay(청산 위험 오버레이) feature index inputs; requires materialized feature index mapping,월요일/7월/chron_mid(중간 구간) 약점은 entry prune(진입 절단)보다 lifecycle/risk(수명주기/위험) 쪽으로도 봐야 한다.,41.09,-119.32,-158.19,-107.49,-189.09,5.61,false,designed_not_materialized,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
