review_id,branch_id,runtime_check,required_identity,missing_fields,output_path_review,runtime_authority_review,review_decision,next_required_artifact,claim_boundary
defense_direction_symmetry_negative_control__feature_order_identity__review,defense_direction_symmetry_negative_control,feature_order_identity,58 feature order hash and closed-bar timing,,passed,passed,runtime_preflight_reviewed_probe_only,feature_order_identity_evidence_builder,research_development_only_stage336E_protocol_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__model_bundle_identity__review,defense_direction_symmetry_negative_control,model_bundle_identity,model hash;adapter hash;threshold/risk/lot config hash,,passed,passed,runtime_preflight_reviewed_probe_only,model_bundle_identity_evidence_builder,research_development_only_stage336E_protocol_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__mt5_report_telemetry_identity__review,defense_direction_symmetry_negative_control,mt5_report_telemetry_identity,report path;telemetry path;tester period;spread;commission;deposit;symbol;timeframe,,passed,passed,runtime_preflight_reviewed_probe_only,mt5_report_telemetry_identity_evidence_builder,research_development_only_stage336E_protocol_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__row_level_runtime_parity__review,defense_direction_symmetry_negative_control,row_level_runtime_parity,timestamp;decision;probability;direction;skip reason,,passed,passed,runtime_preflight_reviewed_probe_only,row_level_runtime_parity_evidence_builder,research_development_only_stage336E_protocol_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__external_verification_status__review,defense_direction_symmetry_negative_control,external_verification_status,completed;blocked;out_of_scope_by_claim;not_applicable,,passed,passed,runtime_preflight_reviewed_probe_only,external_verification_status_evidence_builder,research_development_only_stage336E_protocol_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__feature_order_identity__review,offense_m48_plain_density_quality_seed,feature_order_identity,58 feature order hash and closed-bar timing,,passed,passed,runtime_preflight_reviewed_probe_only,feature_order_identity_evidence_builder,research_development_only_stage336E_protocol_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__model_bundle_identity__review,offense_m48_plain_density_quality_seed,model_bundle_identity,model hash;adapter hash;threshold/risk/lot config hash,,passed,passed,runtime_preflight_reviewed_probe_only,model_bundle_identity_evidence_builder,research_development_only_stage336E_protocol_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__mt5_report_telemetry_identity__review,offense_m48_plain_density_quality_seed,mt5_report_telemetry_identity,report path;telemetry path;tester period;spread;commission;deposit;symbol;timeframe,,passed,passed,runtime_preflight_reviewed_probe_only,mt5_report_telemetry_identity_evidence_builder,research_development_only_stage336E_protocol_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__row_level_runtime_parity__review,offense_m48_plain_density_quality_seed,row_level_runtime_parity,timestamp;decision;probability;direction;skip reason,,passed,passed,runtime_preflight_reviewed_probe_only,row_level_runtime_parity_evidence_builder,research_development_only_stage336E_protocol_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__external_verification_status__review,offense_m48_plain_density_quality_seed,external_verification_status,completed;blocked;out_of_scope_by_claim;not_applicable,,passed,passed,runtime_preflight_reviewed_probe_only,external_verification_status_evidence_builder,research_development_only_stage336E_protocol_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__feature_order_identity__review,offense_cost_buffer_feature_interaction_seed,feature_order_identity,58 feature order hash and closed-bar timing,,passed,passed,runtime_preflight_reviewed_probe_only,feature_order_identity_evidence_builder,research_development_only_stage336E_protocol_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__model_bundle_identity__review,offense_cost_buffer_feature_interaction_seed,model_bundle_identity,model hash;adapter hash;threshold/risk/lot config hash,,passed,passed,runtime_preflight_reviewed_probe_only,model_bundle_identity_evidence_builder,research_development_only_stage336E_protocol_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__mt5_report_telemetry_identity__review,offense_cost_buffer_feature_interaction_seed,mt5_report_telemetry_identity,report path;telemetry path;tester period;spread;commission;deposit;symbol;timeframe,,passed,passed,runtime_preflight_reviewed_probe_only,mt5_report_telemetry_identity_evidence_builder,research_development_only_stage336E_protocol_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__row_level_runtime_parity__review,offense_cost_buffer_feature_interaction_seed,row_level_runtime_parity,timestamp;decision;probability;direction;skip reason,,passed,passed,runtime_preflight_reviewed_probe_only,row_level_runtime_parity_evidence_builder,research_development_only_stage336E_protocol_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__external_verification_status__review,offense_cost_buffer_feature_interaction_seed,external_verification_status,completed;blocked;out_of_scope_by_claim;not_applicable,,passed,passed,runtime_preflight_reviewed_probe_only,external_verification_status_evidence_builder,research_development_only_stage336E_protocol_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__feature_order_identity__review,runtime_parity_probe_bridge_contract,feature_order_identity,58 feature order hash and closed-bar timing,,passed,passed,runtime_preflight_reviewed_probe_only,feature_order_identity_evidence_builder,research_development_only_stage336E_protocol_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__model_bundle_identity__review,runtime_parity_probe_bridge_contract,model_bundle_identity,model hash;adapter hash;threshold/risk/lot config hash,,passed,passed,runtime_preflight_reviewed_probe_only,model_bundle_identity_evidence_builder,research_development_only_stage336E_protocol_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__mt5_report_telemetry_identity__review,runtime_parity_probe_bridge_contract,mt5_report_telemetry_identity,report path;telemetry path;tester period;spread;commission;deposit;symbol;timeframe,,passed,passed,runtime_preflight_reviewed_probe_only,mt5_report_telemetry_identity_evidence_builder,research_development_only_stage336E_protocol_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__row_level_runtime_parity__review,runtime_parity_probe_bridge_contract,row_level_runtime_parity,timestamp;decision;probability;direction;skip reason,,passed,passed,runtime_preflight_reviewed_probe_only,row_level_runtime_parity_evidence_builder,research_development_only_stage336E_protocol_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__external_verification_status__review,runtime_parity_probe_bridge_contract,external_verification_status,completed;blocked;out_of_scope_by_claim;not_applicable,,passed,passed,runtime_preflight_reviewed_probe_only,external_verification_status_evidence_builder,research_development_only_stage336E_protocol_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
