mix_id,material_window,ingredient_ids,axis_mix,runtime_substrate,runtime_candidate_id,candidate_selection_reason,mix_strength,wfo_aware,selected_for_mt5,decision_weight,claim_boundary
E01M0001,F001-F050,F001+F004+F010+F014,feature_set+label+runtime_cost(피처 묶음+라벨+런타임 비용),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0064,top_forward_pf,extreme(극단),True,True,2.05,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0002,F001-F050,F008+F015+F027,model_family+risk_logic+regime_split(모델 계열+위험 로직+장세 분할),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0065,top_forward_pf,broad(넓음),True,True,1.38,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0003,F001-F050,F015+F026+F044,trade_shape+density+drawdown(거래 형태+밀도+손실폭),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0066,top_forward_pf,broad(넓음),True,True,1.06,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0004,F001-F050,F022+F037+F011,onnx_handoff+order_intent+lifecycle(온엑스 인계+주문 의도+생명주기),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0049,top_forward_pf,broad(넓음),True,True,1.09,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0005,F001-F050,F029+F048+F028,extreme_boundary+negative_memory+seed_surface(극단 경계+부정 기억+씨앗 표면),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0050,top_forward_pf,broad(넓음),True,True,1.12,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0006,F001-F050,F036+F009+F045+F029,feature_set+label+runtime_cost(피처 묶음+라벨+런타임 비용),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0051,top_forward_pf,broad(넓음),True,True,1.5,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0007,F001-F050,F043+F020+F012,model_family+risk_logic+regime_split(모델 계열+위험 로직+장세 분할),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0052,top_forward_pf,broad(넓음),True,True,1.53,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0008,F001-F050,F050+F031+F029,trade_shape+density+drawdown(거래 형태+밀도+손실폭),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0053,top_forward_pf,extreme(극단),True,True,1.56,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0009,F001-F050,F007+F042+F046,onnx_handoff+order_intent+lifecycle(온엑스 인계+주문 의도+생명주기),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0080,top_forward_pf,broad(넓음),True,True,1.59,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0010,F001-F050,F014+F003+F013,extreme_boundary+negative_memory+seed_surface(극단 경계+부정 기억+씨앗 표면),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0081,top_forward_pf,broad(넓음),True,True,2.32,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0011,F001-F050,F021+F014+F030+F044,feature_set+label+runtime_cost(피처 묶음+라벨+런타임 비용),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0082,top_forward_pf,broad(넓음),True,True,1.65,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0012,F001-F050,F028+F025+F047,model_family+risk_logic+regime_split(모델 계열+위험 로직+장세 분할),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0059,top_forward_pf,broad(넓음),True,True,1.33,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0013,F001-F050,F035+F036+F014,trade_shape+density+drawdown(거래 형태+밀도+손실폭),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0064,top_forward_pf,broad(넓음),True,False,1.71,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0014,F001-F050,F042+F047+F031,onnx_handoff+order_intent+lifecycle(온엑스 인계+주문 의도+생명주기),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0065,top_forward_pf,broad(넓음),True,False,1.0,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0015,F001-F050,F049+F008+F048,extreme_boundary+negative_memory+seed_surface(극단 경계+부정 기억+씨앗 표면),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0066,top_forward_pf,extreme(극단),True,False,1.38,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0016,F001-F050,F006+F019+F015+F009,feature_set+label+runtime_cost(피처 묶음+라벨+런타임 비용),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0049,top_forward_pf,broad(넓음),True,False,1.76,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0017,F001-F050,F013+F030+F032,model_family+risk_logic+regime_split(모델 계열+위험 로직+장세 분할),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0050,top_forward_pf,broad(넓음),True,False,1.44,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0018,F001-F050,F020+F041+F049,trade_shape+density+drawdown(거래 형태+밀도+손실폭),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0051,top_forward_pf,broad(넓음),True,False,1.12,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0019,F001-F050,F027+F002+F016,onnx_handoff+order_intent+lifecycle(온엑스 인계+주문 의도+생명주기),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0052,top_forward_pf,broad(넓음),True,False,1.85,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0020,F001-F050,F034+F013+F033,extreme_boundary+negative_memory+seed_surface(극단 경계+부정 기억+씨앗 표면),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0053,top_forward_pf,broad(넓음),True,False,1.53,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0021,F001-F050,F041+F024+F050+F024,feature_set+label+runtime_cost(피처 묶음+라벨+런타임 비용),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0080,top_forward_pf,broad(넓음),True,False,1.56,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0022,F001-F050,F048+F035+F017,model_family+risk_logic+regime_split(모델 계열+위험 로직+장세 분할),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0081,top_forward_pf,extreme(극단),True,False,1.59,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0023,F001-F050,F005+F046+F034,trade_shape+density+drawdown(거래 형태+밀도+손실폭),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0082,top_forward_pf,broad(넓음),True,False,1.62,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0024,F001-F050,F012+F007+F001,onnx_handoff+order_intent+lifecycle(온엑스 인계+주문 의도+생명주기),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0059,top_forward_pf,broad(넓음),True,False,2.0,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0025,F001-F050,F019+F018+F018,extreme_boundary+negative_memory+seed_surface(극단 경계+부정 기억+씨앗 표면),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0064,top_forward_pf,broad(넓음),True,False,2.03,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0026,F001-F050,F026+F029+F035+F039,feature_set+label+runtime_cost(피처 묶음+라벨+런타임 비용),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0065,top_forward_pf,broad(넓음),True,False,1.36,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
E01M0027,F001-F050,F033+F040+F002,model_family+risk_logic+regime_split(모델 계열+위험 로직+장세 분할),F50 executable loss-floor regime transfer surface(F50 실행 가능 손실하한 장세전이 표면),f50c_0066,top_forward_pf,broad(넓음),True,False,1.35,frontier_extra_runtime_learning_only_no_completion_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
