plan_id,branch_id,gate_id,required_measurement,future_output_table_name,review_requirement,failure_memory_trigger,execution_order,forbidden_shortcut,claim_boundary
repair_proxy_exclusion_handoff_contract__cost_buffer_gate,repair_proxy_exclusion_handoff_contract,cost_buffer_gate,cost_plus_0_25;cost_plus_0_5;cost_plus_1_0;cost_plus_2_0,repair_proxy_exclusion_handoff_contract__cost_buffer_gate_table,report full stress curve before any comparison; do not tune spread/slippage after result,profit survives only at zero or tiny cost,before_any_branch_comparison,ignore_cost_stress;change_lot_to_hide_cost,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__curve_pocket_gate,repair_proxy_exclusion_handoff_contract,curve_pocket_gate,rolling5;rolling10;rolling20;rolling50 worst pocket,repair_proxy_exclusion_handoff_contract__curve_pocket_gate_table,report curve pocket before selection; direct calendar pocket filter is forbidden,one pocket dominates net/PF or breaks recovery,before_any_branch_comparison,drop_forward_calendar_dates,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__underwater_stretch_gate,repair_proxy_exclusion_handoff_contract,underwater_stretch_gate,max underwater stretch;recovery factor;drawdown duration,repair_proxy_exclusion_handoff_contract__underwater_stretch_gate_table,"underwater stretch must be named with net/PF, not hidden behind headline profit",long unrecovered pocket or recovery collapse,before_any_branch_comparison,read_profit_without_drawdown_duration,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__direction_attribution_gate,repair_proxy_exclusion_handoff_contract,direction_attribution_gate,long count;short count;long PnL;short PnL;side DD;side expectancy,repair_proxy_exclusion_handoff_contract__direction_attribution_gate_table,side routing change requires predeclared side-specific failure evidence,one side carries loss while total is masked,before_any_branch_comparison,drop_losing_side_after_result,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__regime_slice_gate,repair_proxy_exclusion_handoff_contract,regime_slice_gate,session;hour;month;volatility;ADX;VIX;USD;rate regime slices,repair_proxy_exclusion_handoff_contract__regime_slice_gate_table,slices explain behavior but cannot be direct forward pocket filters,single slice explains most profit or loss,before_any_branch_comparison,pick_profitable_slice_after_result,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__lot_normalized_gate,repair_proxy_exclusion_handoff_contract,lot_normalized_gate,lot-normalized net;expectancy;DD;cost stress,repair_proxy_exclusion_handoff_contract__lot_normalized_gate_table,lot changes cannot be used as optimization or repair,headline profit depends on sizing rather than signal,before_any_branch_comparison,lot_optimization,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__cost_buffer_gate,defense_cost_curve_underwater_gate,cost_buffer_gate,cost_plus_0_25;cost_plus_0_5;cost_plus_1_0;cost_plus_2_0,defense_cost_curve_underwater_gate__cost_buffer_gate_table,report full stress curve before any comparison; do not tune spread/slippage after result,profit survives only at zero or tiny cost,before_any_branch_comparison,ignore_cost_stress;change_lot_to_hide_cost,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__curve_pocket_gate,defense_cost_curve_underwater_gate,curve_pocket_gate,rolling5;rolling10;rolling20;rolling50 worst pocket,defense_cost_curve_underwater_gate__curve_pocket_gate_table,report curve pocket before selection; direct calendar pocket filter is forbidden,one pocket dominates net/PF or breaks recovery,before_any_branch_comparison,drop_forward_calendar_dates,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__underwater_stretch_gate,defense_cost_curve_underwater_gate,underwater_stretch_gate,max underwater stretch;recovery factor;drawdown duration,defense_cost_curve_underwater_gate__underwater_stretch_gate_table,"underwater stretch must be named with net/PF, not hidden behind headline profit",long unrecovered pocket or recovery collapse,before_any_branch_comparison,read_profit_without_drawdown_duration,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__direction_attribution_gate,defense_cost_curve_underwater_gate,direction_attribution_gate,long count;short count;long PnL;short PnL;side DD;side expectancy,defense_cost_curve_underwater_gate__direction_attribution_gate_table,side routing change requires predeclared side-specific failure evidence,one side carries loss while total is masked,before_any_branch_comparison,drop_losing_side_after_result,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
