run_id,stage_id,stage_number,source_kind,source_path,status,judgment,external_verification_status,roles,mechanism_class,validation_net_profit,validation_profit_factor,validation_trades,oos_net_profit,oos_profit_factor,oos_trades,has_trade_segments,quarter_positive_rate,candidate_status,candidate_reason,claim_boundary
run01A_logreg_threshold_mt5_scout_v1,10_alpha_scout__default_split_model_threshold_scan,10,run_registry,stages/10_alpha_scout__default_split_model_threshold_scan/02_runs/run01A_logreg_threshold_mt5_scout_v1,reviewed,inconclusive_single_split_scout_mt5_routed_completed,,Entry|Exit / Hold|Runtime / Packaging,score_table_adapter,,,,,,,False,,deferred,pre_stage20_context_preserved_not_adapter_candidate,existing_evidence_adapter_scan_only_not_alpha_quality_not_baseline_not_promotion_not_runtime_authority_not_live_readiness
run01B_logreg_tier_threshold_risk_probe_v1,10_alpha_scout__default_split_model_threshold_scan,10,run_registry,stages/10_alpha_scout__default_split_model_threshold_scan/02_runs/run01B_logreg_tier_threshold_risk_probe_v1,reviewed,inconclusive_single_split_scout_mt5_routed_completed,,Entry|Risk / Tail-risk|Exit / Hold|Runtime / Packaging,score_table_adapter,,,,,,,False,,deferred,pre_stage20_context_preserved_not_adapter_candidate,existing_evidence_adapter_scan_only_not_alpha_quality_not_baseline_not_promotion_not_runtime_authority_not_live_readiness
run01C_logreg_b_strict_fallback_ablation_v1,10_alpha_scout__default_split_model_threshold_scan,10,run_registry,stages/10_alpha_scout__default_split_model_threshold_scan/02_runs/run01C_logreg_b_strict_fallback_ablation_v1,reviewed,inconclusive_single_split_scout_mt5_routed_completed,,Entry|Exit / Hold|Runtime / Packaging,score_table_adapter,,,,,,,False,,deferred,pre_stage20_context_preserved_not_adapter_candidate,existing_evidence_adapter_scan_only_not_alpha_quality_not_baseline_not_promotion_not_runtime_authority_not_live_readiness
run01D_logreg_tier_a_strict_hold12_ablation_v1,10_alpha_scout__default_split_model_threshold_scan,10,run_registry,stages/10_alpha_scout__default_split_model_threshold_scan/02_runs/run01D_logreg_tier_a_strict_hold12_ablation_v1,reviewed,inconclusive_single_split_scout_mt5_routed_completed,,Entry|Exit / Hold|Runtime / Packaging,score_table_adapter,,,,,,,False,,deferred,pre_stage20_context_preserved_not_adapter_candidate,existing_evidence_adapter_scan_only_not_alpha_quality_not_baseline_not_promotion_not_runtime_authority_not_live_readiness
run01E_logreg_a_base_b_strict_hold9_v1,10_alpha_scout__default_split_model_threshold_scan,10,run_registry,stages/10_alpha_scout__default_split_model_threshold_scan/02_runs/run01E_logreg_a_base_b_strict_hold9_v1,reviewed,inconclusive_single_split_scout_mt5_routed_completed,,Entry|Exit / Hold|Runtime / Packaging,score_table_adapter,,,,,,,False,,deferred,pre_stage20_context_preserved_not_adapter_candidate,existing_evidence_adapter_scan_only_not_alpha_quality_not_baseline_not_promotion_not_runtime_authority_not_live_readiness
run01F_logreg_a_base_b_base_hold9_v1,10_alpha_scout__default_split_model_threshold_scan,10,run_registry,stages/10_alpha_scout__default_split_model_threshold_scan/02_runs/run01F_logreg_a_base_b_base_hold9_v1,reviewed,inconclusive_single_split_scout_mt5_routed_completed,,Entry|Exit / Hold|Runtime / Packaging,score_table_adapter,,,,,,,False,,deferred,pre_stage20_context_preserved_not_adapter_candidate,existing_evidence_adapter_scan_only_not_alpha_quality_not_baseline_not_promotion_not_runtime_authority_not_live_readiness
run01G_logreg_a_base_no_fallback_hold9_v1,10_alpha_scout__default_split_model_threshold_scan,10,run_registry,stages/10_alpha_scout__default_split_model_threshold_scan/02_runs/run01G_logreg_a_base_no_fallback_hold9_v1,reviewed,inconclusive_single_split_scout_mt5_routed_completed,,Entry|Exit / Hold|Runtime / Packaging,score_table_adapter,,,,,,,False,,deferred,pre_stage20_context_preserved_not_adapter_candidate,existing_evidence_adapter_scan_only_not_alpha_quality_not_baseline_not_promotion_not_runtime_authority_not_live_readiness
run01H_logreg_a_base_no_fallback_hold3_v1,10_alpha_scout__default_split_model_threshold_scan,10,run_registry,stages/10_alpha_scout__default_split_model_threshold_scan/02_runs/run01H_logreg_a_base_no_fallback_hold3_v1,reviewed,inconclusive_single_split_scout_mt5_routed_completed,,Entry|Exit / Hold|Runtime / Packaging,score_table_adapter,,,,,,,False,,deferred,pre_stage20_context_preserved_not_adapter_candidate,existing_evidence_adapter_scan_only_not_alpha_quality_not_baseline_not_promotion_not_runtime_authority_not_live_readiness
run01I_logreg_a_base_no_fallback_hold6_v1,10_alpha_scout__default_split_model_threshold_scan,10,run_registry,stages/10_alpha_scout__default_split_model_threshold_scan/02_runs/run01I_logreg_a_base_no_fallback_hold6_v1,reviewed,inconclusive_single_split_scout_mt5_routed_completed,,Entry|Exit / Hold|Runtime / Packaging,score_table_adapter,,,,,,,False,,deferred,pre_stage20_context_preserved_not_adapter_candidate,existing_evidence_adapter_scan_only_not_alpha_quality_not_baseline_not_promotion_not_runtime_authority_not_live_readiness
run01J_logreg_a_base_no_fallback_hold12_v1,10_alpha_scout__default_split_model_threshold_scan,10,run_registry,stages/10_alpha_scout__default_split_model_threshold_scan/02_runs/run01J_logreg_a_base_no_fallback_hold12_v1,reviewed,inconclusive_single_split_scout_mt5_routed_completed,,Entry|Exit / Hold|Runtime / Packaging,score_table_adapter,,,,,,,False,,deferred,pre_stage20_context_preserved_not_adapter_candidate,existing_evidence_adapter_scan_only_not_alpha_quality_not_baseline_not_promotion_not_runtime_authority_not_live_readiness
run01K_logreg_a_base_no_fallback_hold18_v1,10_alpha_scout__default_split_model_threshold_scan,10,run_registry,stages/10_alpha_scout__default_split_model_threshold_scan/02_runs/run01K_logreg_a_base_no_fallback_hold18_v1,reviewed,inconclusive_single_split_scout_mt5_routed_completed,,Entry|Exit / Hold|Runtime / Packaging,score_table_adapter,,,,,,,False,,deferred,pre_stage20_context_preserved_not_adapter_candidate,existing_evidence_adapter_scan_only_not_alpha_quality_not_baseline_not_promotion_not_runtime_authority_not_live_readiness
