schema_order,schema_id,source_queue_id,candidate_id,candidate_alias,test_id,feature_family,queue_lane,base_surface_file,base_feature_order_hash,removed_columns,removed_column_count,variant_feature_count,variant_feature_order,variant_feature_order_hash,model_rebuild_required,mt5_execution_allowed,blocked_reason,schema_status,selected_candidate,onnx_readiness
1,run267V_01_s264_aih_abl_volatility_bandwidth,run267V_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,abl_volatility_bandwidth,volatility_bandwidth,upstream_raw_feature_surface_rebuild,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267V/upstream_feature_surface_reconstruction/surfaces/s264_aih/s264_aih_upstream_raw_feature_surface.csv,07c1766d7796c735a304c24730667a476cd74aa1e43bcf875da5fb51cc21eda3,atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20,8,25,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_high_quarter;adx_14;di_spread_14;supertrend_10_3;vortex_indicator;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;sma50_sma200_ratio;close_ema20_ratio;close_ema50_ratio;minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;log_return_1;log_return_3;hl_range;return_zscore_20;return_1_over_atr_14;close_open_ratio;gap_percent;close_prev_close_ratio,b0933b35988ab3c9a85120263af70997c2c176442c0fbea07f28f99964a92e47,true,false,score_table_not_rebuilt_for_variant_feature_order,true_internal_schema_ready_model_rebuild_pending,none,not_claimed
2,run267V_02_s264_aih_abl_trend_strength_direction,run267V_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,abl_trend_strength_direction,trend_strength_direction,upstream_raw_feature_surface_rebuild,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267V/upstream_feature_surface_reconstruction/surfaces/s264_aih/s264_aih_upstream_raw_feature_surface.csv,07c1766d7796c735a304c24730667a476cd74aa1e43bcf875da5fb51cc21eda3,adx_14;di_spread_14;supertrend_10_3;vortex_indicator,4,29,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_high_quarter;atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;sma50_sma200_ratio;close_ema20_ratio;close_ema50_ratio;minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;log_return_1;log_return_3;hl_range;return_zscore_20;return_1_over_atr_14;close_open_ratio;gap_percent;close_prev_close_ratio,c1ec777e6efa210b0f3af76692e8315f614b74cdf17912ecfa9103e30c54ea28,true,false,score_table_not_rebuilt_for_variant_feature_order,true_internal_schema_ready_model_rebuild_pending,none,not_claimed
3,run267V_03_s264_aih_rep_trend_strength_adx,run267V_03_s264_aih_rep_trend_strength_adx,s264_allow_inner_high_quarter,s264_aih,rep_trend_strength_adx,trend_strength(추세 강도),upstream_raw_feature_surface_rebuild,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267V/upstream_feature_surface_reconstruction/surfaces/s264_aih/s264_aih_upstream_raw_feature_surface.csv,07c1766d7796c735a304c24730667a476cd74aa1e43bcf875da5fb51cc21eda3,adx_14,1,32,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_high_quarter;atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20;di_spread_14;supertrend_10_3;vortex_indicator;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;sma50_sma200_ratio;close_ema20_ratio;close_ema50_ratio;minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;log_return_1;log_return_3;hl_range;return_zscore_20;return_1_over_atr_14;close_open_ratio;gap_percent;close_prev_close_ratio,129ce96a0e184682383602f54ff8edc3acd50fa26339a71c61328c13214c27cd,true,false,score_table_not_rebuilt_for_variant_feature_order,true_internal_schema_ready_model_rebuild_pending,none,not_claimed
4,run267V_04_s264_aih_rep_volatility_atr,run267V_04_s264_aih_rep_volatility_atr,s264_allow_inner_high_quarter,s264_aih,rep_volatility_atr,volatility_risk(변동성 위험),upstream_raw_feature_surface_rebuild,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267V/upstream_feature_surface_reconstruction/surfaces/s264_aih/s264_aih_upstream_raw_feature_surface.csv,07c1766d7796c735a304c24730667a476cd74aa1e43bcf875da5fb51cc21eda3,atr_14,1,32,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_high_quarter;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20;adx_14;di_spread_14;supertrend_10_3;vortex_indicator;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;sma50_sma200_ratio;close_ema20_ratio;close_ema50_ratio;minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;log_return_1;log_return_3;hl_range;return_zscore_20;return_1_over_atr_14;close_open_ratio;gap_percent;close_prev_close_ratio,9a73828f6d51f71329536d8603e4ca27dcaa4c63ad7f6b254f7a293d899dd00d,true,false,score_table_not_rebuilt_for_variant_feature_order,true_internal_schema_ready_model_rebuild_pending,none,not_claimed
5,run267V_05_s264_lc_abl_gate_rank_bucket,run267V_05_s264_lc_abl_gate_rank_bucket,s264_lowrank_control,s264_lc,abl_gate_rank_bucket,source_feature_rank_bucket,compressed_rank_gate_direct_probe,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267V/upstream_feature_surface_reconstruction/surfaces/s264_lc/s264_lc_upstream_raw_feature_surface.csv,e9724db50f6a8e92adc33a913ac1197f9b20631f8653c8b36d97831f3d72574f,,0,33,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control;atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20;adx_14;di_spread_14;supertrend_10_3;vortex_indicator;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;sma50_sma200_ratio;close_ema20_ratio;close_ema50_ratio;minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;log_return_1;log_return_3;hl_range;return_zscore_20;return_1_over_atr_14;close_open_ratio;gap_percent;close_prev_close_ratio,e9724db50f6a8e92adc33a913ac1197f9b20631f8653c8b36d97831f3d72574f,true,false,score_table_not_rebuilt_for_variant_feature_order,compressed_direct_probe_schema_ready_model_rebuild_pending,none,not_claimed
6,run267V_06_s264_lc_abl_gate_variant_rule,run267V_06_s264_lc_abl_gate_variant_rule,s264_lowrank_control,s264_lc,abl_gate_variant_rule,source_feature_gate,compressed_rank_gate_direct_probe,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267V/upstream_feature_surface_reconstruction/surfaces/s264_lc/s264_lc_upstream_raw_feature_surface.csv,e9724db50f6a8e92adc33a913ac1197f9b20631f8653c8b36d97831f3d72574f,,0,33,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control;atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20;adx_14;di_spread_14;supertrend_10_3;vortex_indicator;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;sma50_sma200_ratio;close_ema20_ratio;close_ema50_ratio;minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;log_return_1;log_return_3;hl_range;return_zscore_20;return_1_over_atr_14;close_open_ratio;gap_percent;close_prev_close_ratio,e9724db50f6a8e92adc33a913ac1197f9b20631f8653c8b36d97831f3d72574f,true,false,score_table_not_rebuilt_for_variant_feature_order,compressed_direct_probe_schema_ready_model_rebuild_pending,none,not_claimed
7,run267V_07_s264_lc_abl_trend_strength_direction,run267V_07_s264_lc_abl_trend_strength_direction,s264_lowrank_control,s264_lc,abl_trend_strength_direction,trend_strength_direction,upstream_raw_feature_surface_rebuild,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267V/upstream_feature_surface_reconstruction/surfaces/s264_lc/s264_lc_upstream_raw_feature_surface.csv,e9724db50f6a8e92adc33a913ac1197f9b20631f8653c8b36d97831f3d72574f,adx_14;di_spread_14;supertrend_10_3;vortex_indicator,4,29,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control;atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;sma50_sma200_ratio;close_ema20_ratio;close_ema50_ratio;minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;log_return_1;log_return_3;hl_range;return_zscore_20;return_1_over_atr_14;close_open_ratio;gap_percent;close_prev_close_ratio,9536470beb4d2a4806f5054173f8007b7bf9323af7ea6a27e0ceba26b7d1bd87,true,false,score_table_not_rebuilt_for_variant_feature_order,true_internal_schema_ready_model_rebuild_pending,none,not_claimed
8,run267V_08_s264_lc_rep_trend_strength_adx,run267V_08_s264_lc_rep_trend_strength_adx,s264_lowrank_control,s264_lc,rep_trend_strength_adx,trend_strength(추세 강도),upstream_raw_feature_surface_rebuild,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267V/upstream_feature_surface_reconstruction/surfaces/s264_lc/s264_lc_upstream_raw_feature_surface.csv,e9724db50f6a8e92adc33a913ac1197f9b20631f8653c8b36d97831f3d72574f,adx_14,1,32,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control;atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20;di_spread_14;supertrend_10_3;vortex_indicator;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;sma50_sma200_ratio;close_ema20_ratio;close_ema50_ratio;minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;log_return_1;log_return_3;hl_range;return_zscore_20;return_1_over_atr_14;close_open_ratio;gap_percent;close_prev_close_ratio,9379f2bc0775d13254edac21e7b0643c13deed4cd0d3610a4dbfac31c0622878,true,false,score_table_not_rebuilt_for_variant_feature_order,true_internal_schema_ready_model_rebuild_pending,none,not_claimed
9,run267V_09_s264_lc_rep_volatility_atr,run267V_09_s264_lc_rep_volatility_atr,s264_lowrank_control,s264_lc,rep_volatility_atr,volatility_risk(변동성 위험),upstream_raw_feature_surface_rebuild,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267V/upstream_feature_surface_reconstruction/surfaces/s264_lc/s264_lc_upstream_raw_feature_surface.csv,e9724db50f6a8e92adc33a913ac1197f9b20631f8653c8b36d97831f3d72574f,atr_14,1,32,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20;adx_14;di_spread_14;supertrend_10_3;vortex_indicator;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;sma50_sma200_ratio;close_ema20_ratio;close_ema50_ratio;minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;log_return_1;log_return_3;hl_range;return_zscore_20;return_1_over_atr_14;close_open_ratio;gap_percent;close_prev_close_ratio,7a0b68ab4fd7060aa98cc39c4d86e65bd918cc713b6d225555c3e59f7419877e,true,false,score_table_not_rebuilt_for_variant_feature_order,true_internal_schema_ready_model_rebuild_pending,none,not_claimed
10,run267V_10_s262_lih_abl_gate_rank_bucket,run267V_10_s262_lih_abl_gate_rank_bucket,s262_lowrank_inner_half_filter,s262_lih,abl_gate_rank_bucket,source_feature_rank_bucket,compressed_rank_gate_direct_probe,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267V/upstream_feature_surface_reconstruction/surfaces/s262_lih/s262_lih_upstream_raw_feature_surface.csv,962c6a5160e2a407440f94f5fc87422cd79f6aeb77baa9e29e0825233fd6b713,,0,33,stage56_context_et_event_signal;stage262_source_feature_rank_bucket;stage262_source_feature_gate_lowrank_inner_half_filter;atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20;adx_14;di_spread_14;supertrend_10_3;vortex_indicator;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;sma50_sma200_ratio;close_ema20_ratio;close_ema50_ratio;minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;log_return_1;log_return_3;hl_range;return_zscore_20;return_1_over_atr_14;close_open_ratio;gap_percent;close_prev_close_ratio,962c6a5160e2a407440f94f5fc87422cd79f6aeb77baa9e29e0825233fd6b713,true,false,score_table_not_rebuilt_for_variant_feature_order,compressed_direct_probe_schema_ready_model_rebuild_pending,none,not_claimed
