dimension,protocol_rows,proxy_unique_value_count,fresh_mt5_unique_value_count,available_difference_rows,missing_fresh_runtime_rows,protocol_specificity_judgment,fresh_runtime_dimension_judgment,diagnostic_use,usable_for_branch_ranking,usable_for_forward_pass_fail,reason,claim_boundary
curve_pocket,11,1,1,11,0,not_branch_specific_repeated_aggregate,available_from_fresh_runtime_summary,diagnostic_context_only,false,false,run335K numeric proxy repeats aggregate values across protocols and cannot distinguish guarded branches,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
expectancy,11,1,1,11,0,not_branch_specific_repeated_aggregate,available_from_fresh_runtime_summary,diagnostic_context_only,false,false,run335K numeric proxy repeats aggregate values across protocols and cannot distinguish guarded branches,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
long_short_attribution,11,1,1,11,0,not_branch_specific_repeated_aggregate,available_from_fresh_runtime_summary,diagnostic_context_only,false,false,run335K numeric proxy repeats aggregate values across protocols and cannot distinguish guarded branches,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
lot_normalized_result,11,1,1,11,0,not_branch_specific_repeated_aggregate,available_from_fresh_runtime_summary,diagnostic_context_only,false,false,run335K numeric proxy repeats aggregate values across protocols and cannot distinguish guarded branches,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
max_drawdown,11,1,1,11,0,not_branch_specific_repeated_aggregate,available_from_fresh_runtime_summary,diagnostic_context_only,false,false,run335K numeric proxy repeats aggregate values across protocols and cannot distinguish guarded branches,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
net_profit,11,1,1,11,0,not_branch_specific_repeated_aggregate,available_from_fresh_runtime_summary,diagnostic_context_only,false,false,run335K numeric proxy repeats aggregate values across protocols and cannot distinguish guarded branches,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
profit_factor,11,1,1,11,0,not_branch_specific_repeated_aggregate,available_from_fresh_runtime_summary,diagnostic_context_only,false,false,run335K numeric proxy repeats aggregate values across protocols and cannot distinguish guarded branches,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
recovery_factor,11,1,1,11,0,not_branch_specific_repeated_aggregate,available_from_fresh_runtime_summary,diagnostic_context_only,false,false,run335K numeric proxy repeats aggregate values across protocols and cannot distinguish guarded branches,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_hour_regime,11,1,1,11,0,not_branch_specific_repeated_aggregate,available_from_fresh_runtime_summary,diagnostic_context_only,false,false,run335K numeric proxy repeats aggregate values across protocols and cannot distinguish guarded branches,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
spread_slippage_stress,11,1,0,0,11,not_branch_specific_repeated_aggregate,missing_from_fresh_runtime_summary,not_available,false,false,run335K numeric proxy repeats aggregate values across protocols and cannot distinguish guarded branches,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
