run_id,gate(게이트),status,evidence(근거),effect(효과),claim_boundary(주장 경계)
run364AK_review_session_side_pf_lift_density_repair_scout_without_db_v1,scope_completion_gate(범위 완료 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AK/final_decision.json,run364AK proxy review(run364AK 프록시 검토)를 완료했다.,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AK_review_session_side_pf_lift_density_repair_scout_without_db_v1,input_parent_gate(부모 입력 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AK/input_manifest.csv,run364AJ 산출물과 review queue(검토 대기열)를 확인했다.,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AK_review_session_side_pf_lift_density_repair_scout_without_db_v1,kpi_contract_audit(KPI 계약 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AK/surface_review.csv,net/PF/density/DD/split/side(순수익/PF/밀도/낙폭/분할/방향)를 함께 검토했다.,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AK_review_session_side_pf_lift_density_repair_scout_without_db_v1,row_grain_audit(행 단위 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AK/surface_review.csv,12개 surface row(표면 행)를 package(패키지) 주장 없이 분류했다.,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AK_review_session_side_pf_lift_density_repair_scout_without_db_v1,package_boundary_gate(패키지 경계 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AK/package_gate_audit.csv,strict package row(엄격 패키지 행) 0개라 패키지를 차단했다.,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AK_review_session_side_pf_lift_density_repair_scout_without_db_v1,performance_attribution_gate(성과 귀속 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AK/performance_attribution_receipt.json,PF 상승과 density(밀도) 붕괴 원인을 분리했다.,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AK_review_session_side_pf_lift_density_repair_scout_without_db_v1,next_queue_gate(다음 대기열 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AK/run364AL_offensive_queue.csv,run364AL offensive queue(공격 대기열)를 만들었다.,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AK_review_session_side_pf_lift_density_repair_scout_without_db_v1,data_integrity_gate(데이터 무결성 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AK/data_integrity_receipt.json,timestamp-safe(시점 안전) review(검토) 경계를 기록했다.,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AK_review_session_side_pf_lift_density_repair_scout_without_db_v1,artifact_lineage_audit(산출물 계보 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AK/artifact_lineage_receipt.json,입력/출력 hash(해시)를 연결했다.,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AK_review_session_side_pf_lift_density_repair_scout_without_db_v1,claim_boundary_audit(주장 경계 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AK/claim_boundary_receipt.json,runtime authority(런타임 권위)와 operating promotion(운영 승격)을 주장하지 않았다.,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AK_review_session_side_pf_lift_density_repair_scout_without_db_v1,required_gate_coverage_audit(필수 게이트 커버리지 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AK/required_gate_coverage_audit.csv,필수 gate(게이트)를 종료 기록에 연결했다.,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
