guardrail_id,protected_failure_mode,required_evidence,pass_condition,fail_condition,effect
G01_cp322a_exact_boundary,confusing cp322A exact replay with a new non-identity ONNX,Stage329H closeout decision and Stage330 claim boundary,cp322A remains research artifact; Stage330 models use separate identity,"any report says cp322A exact repair, Forward Passed, or operating readiness",keeps the old frozen artifact from becoming hidden authority
G02_no_forward_threshold_tuning,turning latest forward into threshold search data,threshold source receipt and fixed-score replay manifest,thresholds come from training/WFO design only,"threshold chosen by 2026-04-14+ profit, PF, DD, or signal density",prevents robustness testing from becoming another overfit loop
G03_raw_session_gap_guard,session-parity MT5 success hiding raw-forward signal explosion,"raw rows, session rows, signal/day ratio, exclusive raw signal rate",raw/session ratio is inside the predeclared review band or rejected as high pressure,high density explosion is promoted or tuned away after seeing forward,forces broker data supply behavior to remain visible
G04_curve_pocket_guard,one strong middle pocket hiding late or rolling loss pockets,"thirds, rolling worst net, underwater stretch, recovery record",negative pocket is explainable and not dominant under fixed rules,positive net/PF is accepted while worst pocket remains structurally large,makes curve quality a first-class robustness check
G05_cost_stress_guard,edge vanishing under spread/slippage stress,"0, 0.25, 0.5, 1, 2, 3, 5 cost stress table",fixed surface survives predeclared cost levels without retuning,"candidate only survives after lot, threshold, or decision rule adjustment",separates real tolerance from cost-sensitive curve fitting
G06_wfo_and_old_oos_guard,latest forward result overriding unstable old splits,"train, validation, WFO, old OOS, latest forward split receipt",old split instability is named before latest forward is interpreted,latest forward is used to excuse train/validation sign flip,keeps older evidence from being erased by the newest sample
G07_regime_slice_guard,US100-specific macro/rate/volatility regimes hidden in aggregate,"session, hour, month, volatility, ADX, VIX, USD, rate slices",slice losses and concentrations are reported before final judgment,aggregate net is used without regime attribution,makes economic context visible to the forward read
G08_runtime_parity_guard,Python score and MT5 handoff carrying different meaning,"feature order hash, ONNX parity, row-level signal parity, tester output","research, ONNX, handoff, and MT5 rows agree within stated tolerance",MetaEditor compile or Python replay is treated as tester proof,keeps runtime claims below authority until external evidence exists
G09_lot_normalization_guard,risk sizing hiding whether the signal surface itself survives,"lot-normalized net, expectancy, DD, and recovery report",fixed lots and normalized lots are both recorded,lot optimization repairs weak signal behavior,keeps sizing from acting as silent model tuning
G10_result_claim_guard,design completion being mistaken for forward pass,result judgment and missing evidence list,"run330A closes as design only; no selection, no Goal Achieve",design packet claims candidate selection or live readiness,keeps the current run useful without overstating it
