queue_id,candidate_alias,source_profile_label,source_variant_id,source_attempt_name,tier,source_set_path,source_ini_path,source_feature_file,source_model_file,reproduction_status,effect,claim_boundary,source_run_id
cy_q02_explosive_combo_cross_period_prune_gate,s258_stc,explosive_shock_state_combo,run267cv_05_s258_stc_explosive_combo,run267cv_05_s258_stc_explosive_combo_ta_2024,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/mt5/run267cv_05_s258_stc_explosive_combo_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/mt5/run267cv_05_s258_stc_explosive_combo_ta_2024.ini,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/features/s258_stc/run267cv_05_s258_stc_explosive_combo/run267cv_05_s258_stc_explosive_combo_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/variants/s258_stc/run267cv_05_s258_stc_explosive_combo/models/run267cv_05_s258_stc_explosive_combo_model.csv,source_profile_reused_with_one_added_run267CZ_feature,source profile remains comparison anchor while run267CZ adds one explicit second follow-up feature,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,
cy_q02_explosive_combo_cross_period_prune_gate,s258_stc,explosive_shock_state_combo,run267cv_05_s258_stc_explosive_combo,run267cv_05_s258_stc_explosive_combo_rt_2024,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/mt5/run267cv_05_s258_stc_explosive_combo_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/mt5/run267cv_05_s258_stc_explosive_combo_rt_2024.ini,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/features/s258_stc/run267cv_05_s258_stc_explosive_combo/run267cv_05_s258_stc_explosive_combo_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/variants/s258_stc/run267cv_05_s258_stc_explosive_combo/models/run267cv_05_s258_stc_explosive_combo_model.csv,source_profile_reused_with_one_added_run267CZ_feature,source profile remains comparison anchor while run267CZ adds one explicit second follow-up feature,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,
cy_q02_explosive_combo_cross_period_prune_gate,s264_aia,explosive_shock_state_combo,run267cv_04_s264_aia_explosive_combo,run267cv_04_s264_aia_explosive_combo_ta_2024,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/mt5/run267cv_04_s264_aia_explosive_combo_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/mt5/run267cv_04_s264_aia_explosive_combo_ta_2024.ini,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/features/s264_aia/run267cv_04_s264_aia_explosive_combo/run267cv_04_s264_aia_explosive_combo_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/variants/s264_aia/run267cv_04_s264_aia_explosive_combo/models/run267cv_04_s264_aia_explosive_combo_model.csv,source_profile_reused_with_one_added_run267CZ_feature,source profile remains comparison anchor while run267CZ adds one explicit second follow-up feature,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,
cy_q02_explosive_combo_cross_period_prune_gate,s264_aia,explosive_shock_state_combo,run267cv_04_s264_aia_explosive_combo,run267cv_04_s264_aia_explosive_combo_rt_2024,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/mt5/run267cv_04_s264_aia_explosive_combo_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/mt5/run267cv_04_s264_aia_explosive_combo_rt_2024.ini,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/features/s264_aia/run267cv_04_s264_aia_explosive_combo/run267cv_04_s264_aia_explosive_combo_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/variants/s264_aia/run267cv_04_s264_aia_explosive_combo/models/run267cv_04_s264_aia_explosive_combo_model.csv,source_profile_reused_with_one_added_run267CZ_feature,source profile remains comparison anchor while run267CZ adds one explicit second follow-up feature,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,
cy_q02_explosive_combo_cross_period_prune_gate,s264_aih,explosive_shock_state_combo,run267cv_03_s264_aih_explosive_combo,run267cv_03_s264_aih_explosive_combo_ta_2024,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/mt5/run267cv_03_s264_aih_explosive_combo_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/mt5/run267cv_03_s264_aih_explosive_combo_ta_2024.ini,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/features/s264_aih/run267cv_03_s264_aih_explosive_combo/run267cv_03_s264_aih_explosive_combo_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/variants/s264_aih/run267cv_03_s264_aih_explosive_combo/models/run267cv_03_s264_aih_explosive_combo_model.csv,source_profile_reused_with_one_added_run267CZ_feature,source profile remains comparison anchor while run267CZ adds one explicit second follow-up feature,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,
cy_q02_explosive_combo_cross_period_prune_gate,s264_aih,explosive_shock_state_combo,run267cv_03_s264_aih_explosive_combo,run267cv_03_s264_aih_explosive_combo_rt_2024,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/mt5/run267cv_03_s264_aih_explosive_combo_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/mt5/run267cv_03_s264_aih_explosive_combo_rt_2024.ini,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/features/s264_aih/run267cv_03_s264_aih_explosive_combo/run267cv_03_s264_aih_explosive_combo_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/variants/s264_aih/run267cv_03_s264_aih_explosive_combo/models/run267cv_03_s264_aih_explosive_combo_model.csv,source_profile_reused_with_one_added_run267CZ_feature,source profile remains comparison anchor while run267CZ adds one explicit second follow-up feature,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,
cy_q03_s264_aia_validation_damage_probe,s264_aia,explosive_shock_state_combo,run267cv_04_s264_aia_explosive_combo,run267cv_04_s264_aia_explosive_combo_ta_2024,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/mt5/run267cv_04_s264_aia_explosive_combo_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/mt5/run267cv_04_s264_aia_explosive_combo_ta_2024.ini,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/features/s264_aia/run267cv_04_s264_aia_explosive_combo/run267cv_04_s264_aia_explosive_combo_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/variants/s264_aia/run267cv_04_s264_aia_explosive_combo/models/run267cv_04_s264_aia_explosive_combo_model.csv,source_profile_reused_with_one_added_run267CZ_feature,source profile remains comparison anchor while run267CZ adds one explicit second follow-up feature,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,
cy_q03_s264_aia_validation_damage_probe,s264_aia,explosive_shock_state_combo,run267cv_04_s264_aia_explosive_combo,run267cv_04_s264_aia_explosive_combo_rt_2024,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/mt5/run267cv_04_s264_aia_explosive_combo_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/mt5/run267cv_04_s264_aia_explosive_combo_rt_2024.ini,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/features/s264_aia/run267cv_04_s264_aia_explosive_combo/run267cv_04_s264_aia_explosive_combo_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/variants/s264_aia/run267cv_04_s264_aia_explosive_combo/models/run267cv_04_s264_aia_explosive_combo_model.csv,source_profile_reused_with_one_added_run267CZ_feature,source profile remains comparison anchor while run267CZ adds one explicit second follow-up feature,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,
cy_q04_aih_final_supply_or_prune,s264_aih,aih_aggressive_supply_repair,run267cv_02_s264_aih_aih_supply_repair,run267cv_02_s264_aih_aih_supply_repair_ta_2024,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/mt5/run267cv_02_s264_aih_aih_supply_repair_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/mt5/run267cv_02_s264_aih_aih_supply_repair_ta_2024.ini,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/features/s264_aih/run267cv_02_s264_aih_aih_supply_repair/run267cv_02_s264_aih_aih_supply_repair_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/variants/s264_aih/run267cv_02_s264_aih_aih_supply_repair/models/run267cv_02_s264_aih_aih_supply_repair_model.csv,source_profile_reused_with_one_added_run267CZ_feature,source profile remains comparison anchor while run267CZ adds one explicit second follow-up feature,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,
cy_q04_aih_final_supply_or_prune,s264_aih,aih_aggressive_supply_repair,run267cv_02_s264_aih_aih_supply_repair,run267cv_02_s264_aih_aih_supply_repair_rt_2024,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/mt5/run267cv_02_s264_aih_aih_supply_repair_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/mt5/run267cv_02_s264_aih_aih_supply_repair_rt_2024.ini,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/features/s264_aih/run267cv_02_s264_aih_aih_supply_repair/run267cv_02_s264_aih_aih_supply_repair_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CV/shared_weakness_breakout_followup_or_prune_materialization/variants/s264_aih/run267cv_02_s264_aih_aih_supply_repair/models/run267cv_02_s264_aih_aih_supply_repair_model.csv,source_profile_reused_with_one_added_run267CZ_feature,source profile remains comparison anchor while run267CZ adds one explicit second follow-up feature,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,
