stage_id,run_id,subrun_id,parent_run_id,scoreboard_lane,status,judgment,path,external_verification_status,notes,run_number,date,decision,next_run_id,claim_boundary,report_path,result_status,work_family,result_judgment,created_at_utc,lane,primary_report,evidence_boundary,next_action,question,ledger_row_id,row_id,record_view,tier_scope,kpi_scope,primary_kpi,guardrail_kpi,runtime_authority,operating_promotion,source_authority,goal_achieve
stage_frontier_02__four_axis_joint_onnx_proxy_scout,frontier02A_proxy_score_spec_v1,frontier02A_proxy_score_spec_v1__stage_open,frontier01B_build_stage12_364_campaign_map_v1,stage_open_design(단계 개방 설계),completed_frontier02A_stage_open_grok_reviewed_proxy_score_spec_no_authority,stage_open_review_captured_proxy_score_spec_ready_no_authority,stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02A_stage_open_grok_review.md,out_of_scope_by_claim_no_mt5(주장 범위 밖 MT5 없음),Grok stage-open review captured; stage id adjusted; proxy score plan created; no authority claims.,frontier02A,2026-06-14,open_frontier02_four_axis_joint_onnx_proxy_scout,frontier02B_proxy_scout_execution_v1,stage_open_design_only_no_model_training_no_wfo_no_mt5_no_candidate_selection_no_authority_goal_claim,stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02A_stage_open_grok_review.md,completed_stage_open_design_no_authority,state_sync(상태 동기),stage_open_review_captured_proxy_score_spec_ready_no_authority,2026-06-13T15:21:08Z,frontier_stage_open(전선 단계 개방),stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02A_stage_open_grok_review.md,stage_open_design_only_no_trading_kpi(단계 개방 설계 전용 거래 KPI 없음),frontier02B_proxy_scout_execution_v1,Can a first independent ONNX frontier be opened as a four-axis joint proxy scout?(첫 독립 ONNX 전선을 네 축 동시 프록시 탐색으로 열 수 있는가?),frontier02A_proxy_score_spec_v1__stage_open,frontier02A_proxy_score_spec_v1__stage_open,stage_open_design(단계 개방 설계),not_applicable_stage_open_design(해당 없음 단계 개방 설계),stage_open_design_no_trading_kpi(단계 개방 설계 거래 KPI 없음),proxy_score_plan_created(프록시 점수 계획 생성),no_model_training_no_wfo_no_mt5_no_authority(모델 학습/WFO/MT5/권위 없음),not_claimed,not_claimed,grok_review_and_local_stage_docs(그록 검토와 로컬 단계 문서),not_claimed
stage_frontier_02__four_axis_joint_onnx_proxy_scout,frontier02B_proxy_scout_execution_v1,frontier02B_proxy_scout_execution_v1__tier_a_separate_proxy_scout,frontier02A_proxy_score_spec_v1,structural_scout(구조 탐색),completed,scout_clue_proxy_only_no_authority,stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02B_proxy_scout_execution_v1_report.md,out_of_scope_by_claim_no_mt5(주장 범위 밖 MT5 없음),Tier A proxy metrics materialized(티어 A 프록시 측정값 물질화); no MT5/no ONNX authority(MT5/온엑스 권위 없음).,frontier02B,2026-06-14,continue_to_trainable_seed_surface_design(학습 가능한 씨앗 표면 설계로 계속),frontier02C_trainable_onnx_seed_surface_design_v1,proxy_scout_only_no_model_training_no_wfo_no_mt5_no_candidate_selection_no_authority_goal_claim,stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02B_proxy_scout_execution_v1_report.md,"completed_proxy_scout_no_authority(프록시 탐색 완료, 권위 없음)",experiment_execution(실험 실행),scout_clue_proxy_only_no_authority,2026-06-13T15:54:46Z,,,,,,frontier02B_proxy_scout_execution_v1__tier_a_separate_proxy_scout,,Tier A separate(티어 A 분리),Tier A(티어 A),four_axis_proxy_scout(네 축 프록시 탐색),best_validation=trend_follow_joint__all_cash__both__q70__cd6;val_net=0.25549;val_pf=1.26986;val_density=3.39891;val_dd=6.80087;oos_net=0.12953;oos_pf=1.17749;oos_density=4.22901;oos_dd=8.9434,"validation_axis_pass_rows=density:4,pf:0,dd:917,smooth:7;oos_axis_pass_rows=density:7,pf:0,dd:1120,smooth:1;tier_b=missing_required;tier_ab=out_of_scope",not_claimed,not_claimed,model_input_dataset_and_proxy_script(모델 입력 데이터셋과 프록시 스크립트),not_claimed
stage_frontier_02__four_axis_joint_onnx_proxy_scout,frontier02B_proxy_scout_execution_v1,frontier02B_proxy_scout_execution_v1__tier_b_separate_missing_required,frontier02A_proxy_score_spec_v1,structural_scout(구조 탐색),missing_required,missing_required_partial_context_artifact_not_materialized,stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02B_proxy_scout_execution_v1_report.md,out_of_scope_by_claim_no_mt5(주장 범위 밖 MT5 없음),Required paired record kept as missing_required(필수 쌍 기록을 필수 누락으로 유지).,frontier02B,2026-06-14,materialize_tier_b_before_serious_validation(진지 검증 전 티어 B 물질화 필요),frontier02C_trainable_onnx_seed_surface_design_v1,proxy_scout_only_no_model_training_no_wfo_no_mt5_no_candidate_selection_no_authority_goal_claim,stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02B_proxy_scout_execution_v1_report.md,"missing_required_tier_b_no_authority(티어 B 필수 누락, 권위 없음)",experiment_execution(실험 실행),missing_required,2026-06-13T15:54:46Z,,,,,,frontier02B_proxy_scout_execution_v1__tier_b_separate_missing_required,,Tier B separate(티어 B 분리),Tier B(티어 B),four_axis_proxy_scout(네 축 프록시 탐색),not_measured(측정 안 됨),Tier B partial-context dataset not materialized(티어 B 부분 문맥 데이터셋 물질화 안 됨),not_claimed,not_claimed,missing_required(필수 누락),not_claimed
stage_frontier_02__four_axis_joint_onnx_proxy_scout,frontier02B_proxy_scout_execution_v1,frontier02B_proxy_scout_execution_v1__tier_ab_combined_out_of_scope,frontier02A_proxy_score_spec_v1,structural_scout(구조 탐색),out_of_scope_by_claim,combined_routed_total_not_claimed_no_tier_b_fallback,stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02B_proxy_scout_execution_v1_report.md,out_of_scope_by_claim_no_mt5(주장 범위 밖 MT5 없음),Combined row is not synthetic sum(합산 행은 합성 합산이 아님).,frontier02B,2026-06-14,route_later_only_after_tier_b_and_grok_pre_expensive_review(티어 B와 비싼 검증 전 그록 검토 후 나중 라우팅),frontier02C_trainable_onnx_seed_surface_design_v1,proxy_scout_only_no_model_training_no_wfo_no_mt5_no_candidate_selection_no_authority_goal_claim,stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02B_proxy_scout_execution_v1_report.md,"out_of_scope_combined_no_authority(합산 범위 밖, 권위 없음)",experiment_execution(실험 실행),out_of_scope_by_claim,2026-06-13T15:54:46Z,,,,,,frontier02B_proxy_scout_execution_v1__tier_ab_combined_out_of_scope,,Tier A+B combined(Tier A+B 합산),Tier A+B(Tier A+B 합산),four_axis_proxy_scout(네 축 프록시 탐색),not_measured(측정 안 됨),No routed Tier B fallback(라우팅 티어 B 대체 없음); synthetic sum not created(합성 합산 만들지 않음),not_claimed,not_claimed,out_of_scope_by_claim(주장 범위 밖),not_claimed
stage_frontier_02__four_axis_joint_onnx_proxy_scout,frontier02C_trainable_onnx_seed_surface_design_v1,frontier02C_trainable_onnx_seed_surface_design_v1__tier_a_separate_onnx_seed_smoke,frontier02B_proxy_scout_execution_v1,trainable_onnx_seed_smoke(학습 가능 온엑스 씨앗 스모크),completed,onnx_seed_observation_no_authority_pf_gap_remains,stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02C_trainable_onnx_seed_surface_design_v1_report.md,out_of_scope_by_claim_no_mt5(주장 범위 밖 MT5 없음),Tier A ONNX seed smoke materialized(티어 A 온엑스 씨앗 스모크 물질화); no MT5/no authority(MT5/권위 없음).,frontier02C,2026-06-14,continue_to_frontier02D_review_and_repair(전선02D 검토와 수리로 계속),frontier02D_review_and_repair_onnx_seed_surface_v1,onnx_seed_smoke_only_no_wfo_no_mt5_no_candidate_selection_no_authority_goal_claim,stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02C_trainable_onnx_seed_surface_design_v1_report.md,"completed_onnx_seed_smoke_no_authority(온엑스 씨앗 스모크 완료, 권위 없음)",experiment_execution(실험 실행),onnx_seed_observation_no_authority_pf_gap_remains,2026-06-13T16:15:22Z,trainable_onnx_seed_smoke(학습 가능 온엑스 씨앗 스모크),stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02C_trainable_onnx_seed_surface_design_v1_report.md,"onnx_seed_smoke_only_no_authority(온엑스 씨앗 스모크 전용, 권위 없음)",frontier02D_review_and_repair_onnx_seed_surface_v1,Can trainable ONNX seed surfaces repair PF and density together?(학습 가능 온엑스 씨앗 표면이 수익 팩터와 밀도를 함께 수리할 수 있는가?),frontier02C_trainable_onnx_seed_surface_design_v1__tier_a_separate_onnx_seed_smoke,frontier02C_trainable_onnx_seed_surface_design_v1__tier_a_separate_onnx_seed_smoke,Tier A separate(티어 A 분리),Tier A(티어 A),trainable_onnx_seed_smoke(학습 가능 온엑스 씨앗 스모크),best_validation=frontier02c_logreg_teacher__trend_follow_joint__mid_cash__both__q70__cd6__p34__m0__cd6;model=frontier02c_logreg_teacher__trend_follow_joint__mid_cash__both__q70__cd6;teacher=trend_follow_joint__mid_cash__both__q70__cd6;val_net=0.236314;val_pf=1.2034;val_density=4.29508;val_dd=9.88436;oos_net=0.0464936;oos_pf=1.05433;oos_density=5.03053;oos_dd=10.3356,"onnx_parity=6/6;validation_axis_pass_rows=density:52,pf:0,dd:304,smooth:0;oos_axis_pass_rows=density:53,pf:0,dd:496,smooth:0;tier_b=missing_required;tier_ab=out_of_scope",not_claimed,not_claimed,model_input_dataset_parent_proxy_seed_and_onnx_parity(모델 입력 데이터셋/부모 프록시 씨앗/온엑스 동등성),not_claimed
stage_frontier_02__four_axis_joint_onnx_proxy_scout,frontier02C_trainable_onnx_seed_surface_design_v1,frontier02C_trainable_onnx_seed_surface_design_v1__tier_b_separate_missing_required,frontier02B_proxy_scout_execution_v1,trainable_onnx_seed_smoke(학습 가능 온엑스 씨앗 스모크),missing_required,missing_required_partial_context_artifact_not_materialized,stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02C_trainable_onnx_seed_surface_design_v1_report.md,out_of_scope_by_claim_no_mt5(주장 범위 밖 MT5 없음),Required paired record kept as missing_required(필수 쌍 기록을 필수 누락으로 유지).,frontier02C,2026-06-14,materialize_tier_b_before_serious_validation(진지 검증 전 티어 B 물질화 필요),frontier02D_review_and_repair_onnx_seed_surface_v1,onnx_seed_smoke_only_no_wfo_no_mt5_no_candidate_selection_no_authority_goal_claim,stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02C_trainable_onnx_seed_surface_design_v1_report.md,"missing_required_tier_b_no_authority(티어 B 필수 누락, 권위 없음)",experiment_execution(실험 실행),missing_required,2026-06-13T16:15:22Z,trainable_onnx_seed_smoke(학습 가능 온엑스 씨앗 스모크),stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02C_trainable_onnx_seed_surface_design_v1_report.md,"onnx_seed_smoke_only_no_authority(온엑스 씨앗 스모크 전용, 권위 없음)",frontier02D_review_and_repair_onnx_seed_surface_v1,Can trainable ONNX seed surfaces repair PF and density together?(학습 가능 온엑스 씨앗 표면이 수익 팩터와 밀도를 함께 수리할 수 있는가?),frontier02C_trainable_onnx_seed_surface_design_v1__tier_b_separate_missing_required,frontier02C_trainable_onnx_seed_surface_design_v1__tier_b_separate_missing_required,Tier B separate(티어 B 분리),Tier B(티어 B),trainable_onnx_seed_smoke(학습 가능 온엑스 씨앗 스모크),not_measured(측정 안 됨),Tier B partial-context dataset not materialized(티어 B 부분 문맥 데이터셋 물질화 안 됨),not_claimed,not_claimed,missing_required(필수 누락),not_claimed
stage_frontier_02__four_axis_joint_onnx_proxy_scout,frontier02C_trainable_onnx_seed_surface_design_v1,frontier02C_trainable_onnx_seed_surface_design_v1__tier_ab_combined_out_of_scope,frontier02B_proxy_scout_execution_v1,trainable_onnx_seed_smoke(학습 가능 온엑스 씨앗 스모크),out_of_scope_by_claim,combined_routed_total_not_claimed_no_tier_b_fallback,stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02C_trainable_onnx_seed_surface_design_v1_report.md,out_of_scope_by_claim_no_mt5(주장 범위 밖 MT5 없음),Combined row is not synthetic sum(합산 행은 합성 합산이 아님).,frontier02C,2026-06-14,route_later_only_after_tier_b_and_grok_pre_expensive_review(티어 B와 비싼 검증 전 그록 검토 후 나중 라우팅),frontier02D_review_and_repair_onnx_seed_surface_v1,onnx_seed_smoke_only_no_wfo_no_mt5_no_candidate_selection_no_authority_goal_claim,stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02C_trainable_onnx_seed_surface_design_v1_report.md,"out_of_scope_combined_no_authority(합산 범위 밖, 권위 없음)",experiment_execution(실험 실행),out_of_scope_by_claim,2026-06-13T16:15:22Z,trainable_onnx_seed_smoke(학습 가능 온엑스 씨앗 스모크),stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02C_trainable_onnx_seed_surface_design_v1_report.md,"onnx_seed_smoke_only_no_authority(온엑스 씨앗 스모크 전용, 권위 없음)",frontier02D_review_and_repair_onnx_seed_surface_v1,Can trainable ONNX seed surfaces repair PF and density together?(학습 가능 온엑스 씨앗 표면이 수익 팩터와 밀도를 함께 수리할 수 있는가?),frontier02C_trainable_onnx_seed_surface_design_v1__tier_ab_combined_out_of_scope,frontier02C_trainable_onnx_seed_surface_design_v1__tier_ab_combined_out_of_scope,Tier A+B combined(Tier A+B 합산),Tier A+B(Tier A+B 합산),trainable_onnx_seed_smoke(학습 가능 온엑스 씨앗 스모크),not_measured(측정 안 됨),No routed Tier B fallback(라우팅 티어 B 대체 없음); synthetic sum not created(합성 합산 만들지 않음),not_claimed,not_claimed,out_of_scope_by_claim(주장 범위 밖),not_claimed
stage_frontier_02__four_axis_joint_onnx_proxy_scout,frontier02D_review_and_repair_onnx_seed_surface_v1,frontier02D_review_and_repair_onnx_seed_surface_v1__tier_a_separate_onnx_repair_scout,frontier02C_trainable_onnx_seed_surface_design_v1,onnx_seed_repair_scout(온엑스 씨앗 수리 탐색),completed,negative_repair_scout_no_oos_positive_repair_observation_no_authority,stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02D_review_and_repair_onnx_seed_surface_v1_report.md,out_of_scope_by_claim_no_mt5,Tier A ONNX repair scout materialized(티어 A 온엑스 수리 탐색 물질화); no MT5/no authority(MT5/권위 없음).,frontier02D,2026-06-14,"frontier02D_repair_scout_completed_negative_observation(전선02D 수리 탐색 완료, 부정 관찰)",frontier02E_grok_pre_expensive_review_or_second_repair_v1,onnx_repair_scout_only_no_wfo_no_mt5_no_candidate_selection_no_authority_goal_claim,stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02D_review_and_repair_onnx_seed_surface_v1_report.md,"completed_onnx_seed_repair_scout_no_authority(온엑스 씨앗 수리 탐색 완료, 권위 없음)",experiment_execution(실험 실행),negative_repair_scout_no_oos_positive_repair_observation_no_authority,2026-06-13T16:46:51Z,onnx_seed_repair_scout(온엑스 씨앗 수리 탐색),stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02D_review_and_repair_onnx_seed_surface_v1_report.md,"onnx_repair_scout_only_no_authority(온엑스 수리 탐색 전용, 권위 없음)",frontier02E_grok_pre_expensive_review_or_second_repair_v1,Can a bounded repair improve ONNX PF/density/DD/smoothness together?(제한 수리가 온엑스 PF/밀도/DD/매끄러움을 함께 개선할 수 있는가?),frontier02D_review_and_repair_onnx_seed_surface_v1__tier_a_separate_onnx_repair_scout,frontier02D_review_and_repair_onnx_seed_surface_v1__tier_a_separate_onnx_repair_scout,Tier A separate(티어 A 분리),Tier A(티어 A),onnx_seed_repair_scout(온엑스 씨앗 수리 탐색),best_validation=f02d_ret_m1c_lr_c050__mid_cash__both__p34__m0__cd12;model=f02d_ret_m1c_lr_c050;label=ret_m1c;val_net=0.0905902;val_pf=1.10035;val_density=3.19126;val_dd=8.32627;oos_net=-0.00281852;oos_pf=0.995483;oos_density=3.48092;oos_dd=9.4608,"onnx_parity=2/2;repair_observation_rows=14;validation_axis_pass_rows=density:2,pf:0,dd:160,smooth:0;oos_axis_pass_rows=density:5,pf:0,dd:561,smooth:6;tier_b=missing_required;tier_ab=out_of_scope",not_claimed,not_claimed,model_input_dataset_parent_onnx_seed_and_repair_parity(모델 입력 데이터셋/부모 온엑스 씨앗/수리 동등성),not_claimed
stage_frontier_02__four_axis_joint_onnx_proxy_scout,frontier02D_review_and_repair_onnx_seed_surface_v1,frontier02D_review_and_repair_onnx_seed_surface_v1__tier_b_separate_missing_required,frontier02C_trainable_onnx_seed_surface_design_v1,onnx_seed_repair_scout(온엑스 씨앗 수리 탐색),missing_required,missing_required_partial_context_artifact_not_materialized,stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02D_review_and_repair_onnx_seed_surface_v1_report.md,out_of_scope_by_claim_no_mt5,Required paired record kept as missing_required(필수 쌍 기록을 필수 누락으로 유지).,frontier02D,2026-06-14,"frontier02D_repair_scout_completed_negative_observation(전선02D 수리 탐색 완료, 부정 관찰)",frontier02E_grok_pre_expensive_review_or_second_repair_v1,onnx_repair_scout_only_no_wfo_no_mt5_no_candidate_selection_no_authority_goal_claim,stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02D_review_and_repair_onnx_seed_surface_v1_report.md,"missing_required_tier_b_no_authority(티어 B 필수 누락, 권위 없음)",experiment_execution(실험 실행),negative_repair_scout_no_oos_positive_repair_observation_no_authority,2026-06-13T16:46:51Z,onnx_seed_repair_scout(온엑스 씨앗 수리 탐색),stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02D_review_and_repair_onnx_seed_surface_v1_report.md,"onnx_repair_scout_only_no_authority(온엑스 수리 탐색 전용, 권위 없음)",frontier02E_grok_pre_expensive_review_or_second_repair_v1,Can a bounded repair improve ONNX PF/density/DD/smoothness together?(제한 수리가 온엑스 PF/밀도/DD/매끄러움을 함께 개선할 수 있는가?),frontier02D_review_and_repair_onnx_seed_surface_v1__tier_b_separate_missing_required,frontier02D_review_and_repair_onnx_seed_surface_v1__tier_b_separate_missing_required,Tier B separate(티어 B 분리),Tier B(티어 B),onnx_seed_repair_scout(온엑스 씨앗 수리 탐색),not_measured(측정 안 됨),Tier B partial-context dataset not materialized(티어 B 부분 문맥 데이터셋 물질화 안 됨),not_claimed,not_claimed,missing_required(필수 누락),not_claimed
stage_frontier_02__four_axis_joint_onnx_proxy_scout,frontier02D_review_and_repair_onnx_seed_surface_v1,frontier02D_review_and_repair_onnx_seed_surface_v1__tier_ab_combined_out_of_scope,frontier02C_trainable_onnx_seed_surface_design_v1,onnx_seed_repair_scout(온엑스 씨앗 수리 탐색),out_of_scope_by_claim,combined_routed_total_not_claimed_no_tier_b_fallback,stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02D_review_and_repair_onnx_seed_surface_v1_report.md,out_of_scope_by_claim_no_mt5,Combined row is not synthetic sum(합산 행은 합성 합산이 아님).,frontier02D,2026-06-14,"frontier02D_repair_scout_completed_negative_observation(전선02D 수리 탐색 완료, 부정 관찰)",frontier02E_grok_pre_expensive_review_or_second_repair_v1,onnx_repair_scout_only_no_wfo_no_mt5_no_candidate_selection_no_authority_goal_claim,stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02D_review_and_repair_onnx_seed_surface_v1_report.md,"out_of_scope_combined_no_authority(합산 범위 밖, 권위 없음)",experiment_execution(실험 실행),negative_repair_scout_no_oos_positive_repair_observation_no_authority,2026-06-13T16:46:51Z,onnx_seed_repair_scout(온엑스 씨앗 수리 탐색),stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/03_reviews/frontier02D_review_and_repair_onnx_seed_surface_v1_report.md,"onnx_repair_scout_only_no_authority(온엑스 수리 탐색 전용, 권위 없음)",frontier02E_grok_pre_expensive_review_or_second_repair_v1,Can a bounded repair improve ONNX PF/density/DD/smoothness together?(제한 수리가 온엑스 PF/밀도/DD/매끄러움을 함께 개선할 수 있는가?),frontier02D_review_and_repair_onnx_seed_surface_v1__tier_ab_combined_out_of_scope,frontier02D_review_and_repair_onnx_seed_surface_v1__tier_ab_combined_out_of_scope,Tier A+B combined(Tier A+B 합산),Tier A+B(Tier A+B 합산),onnx_seed_repair_scout(온엑스 씨앗 수리 탐색),not_measured(측정 안 됨),No routed Tier B fallback(라우팅 티어 B 대체 없음); synthetic sum not created(합성 합산 만들지 않음),not_claimed,not_claimed,out_of_scope_by_claim(주장 범위 밖),not_claimed
