thesis_id,formula_component,allowed_source,calibration_boundary,forbidden_source,output_field
pv_c56_volatility_cost_shape_sentry,primary_guard_score,materialized_feature_frame_only,train/WFO-only or expanding-past rows; never full-forward PnL,future return; tester outcome; known pocket date label; post-hoc profitable hour list,pv_c56_volatility_cost_shape_sentry__guard_score
pv_c56_volatility_cost_shape_sentry,hard_veto_flag,primary_guard_score plus predeclared missing-data policy,fixed protocol before run333C scoring materialization,threshold search on forward net/PF/DD,pv_c56_volatility_cost_shape_sentry__hard_veto
pv_c56_volatility_cost_shape_sentry,soft_weight_flag,same guard score with predeclared rank bands,ablation only; not a lot optimization,lot size fitting or runtime risk rewrite,pv_c56_volatility_cost_shape_sentry__soft_weight
pv_c56_session_liquidity_veto,primary_guard_score,materialized_feature_frame_only,train/WFO-only or expanding-past rows; never full-forward PnL,future return; tester outcome; known pocket date label; post-hoc profitable hour list,pv_c56_session_liquidity_veto__guard_score
pv_c56_session_liquidity_veto,hard_veto_flag,primary_guard_score plus predeclared missing-data policy,fixed protocol before run333C scoring materialization,threshold search on forward net/PF/DD,pv_c56_session_liquidity_veto__hard_veto
pv_c56_session_liquidity_veto,soft_weight_flag,same guard score with predeclared rank bands,ablation only; not a lot optimization,lot size fitting or runtime risk rewrite,pv_c56_session_liquidity_veto__soft_weight
pv_m48_macro_rate_volatility_guard,primary_guard_score,materialized_feature_frame_only,train/WFO-only or expanding-past rows; never full-forward PnL,future return; tester outcome; known pocket date label; post-hoc profitable hour list,pv_m48_macro_rate_volatility_guard__guard_score
pv_m48_macro_rate_volatility_guard,hard_veto_flag,primary_guard_score plus predeclared missing-data policy,fixed protocol before run333C scoring materialization,threshold search on forward net/PF/DD,pv_m48_macro_rate_volatility_guard__hard_veto
pv_m48_macro_rate_volatility_guard,soft_weight_flag,same guard score with predeclared rank bands,ablation only; not a lot optimization,lot size fitting or runtime risk rewrite,pv_m48_macro_rate_volatility_guard__soft_weight
pv_m48_breadth_reintroduction_control,primary_guard_score,materialized_feature_frame_only,train/WFO-only or expanding-past rows; never full-forward PnL,future return; tester outcome; known pocket date label; post-hoc profitable hour list,pv_m48_breadth_reintroduction_control__guard_score
pv_m48_breadth_reintroduction_control,hard_veto_flag,primary_guard_score plus predeclared missing-data policy,fixed protocol before run333C scoring materialization,threshold search on forward net/PF/DD,pv_m48_breadth_reintroduction_control__hard_veto
pv_m48_breadth_reintroduction_control,soft_weight_flag,same guard score with predeclared rank bands,ablation only; not a lot optimization,lot size fitting or runtime risk rewrite,pv_m48_breadth_reintroduction_control__soft_weight
