protocol_id,branch_id,branch_name,dimension,proxy_source,mt5_source,source_independence,usable_for_independent_forward_read,usable_for_diagnostic_consistency,reason
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,net_profit,run334G_attempt_failure_memory_headline_net_profit,run330E_mt5_runtime_probe_summary_net_profit,runtime_summary_vs_forensic_review_bridge,false,true,"existing MT5 evidence is real, but proxy and MT5 values are not independent enough for Forward Passed/Failed"
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,profit_factor,run334G_attempt_failure_memory_headline_profit_factor,run330E_mt5_runtime_probe_summary_profit_factor,runtime_summary_vs_forensic_review_bridge,false,true,"existing MT5 evidence is real, but proxy and MT5 values are not independent enough for Forward Passed/Failed"
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,max_drawdown,run334D_all_six_reconciliation_equity_dd_amount,run334D_all_six_reconciliation_stage330f_equity_dd_amount,partial_shared_runtime_source,false,true,"existing MT5 evidence is real, but proxy and MT5 values are not independent enough for Forward Passed/Failed"
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,trades_per_day,run334D_all_six_reconciliation_trades_per_day,run334D_all_six_reconciliation_stage330f_trades_per_day,partial_shared_runtime_source,false,true,"existing MT5 evidence is real, but proxy and MT5 values are not independent enough for Forward Passed/Failed"
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,expectancy,run334D_all_six_reconciliation_expectancy,run334D_all_six_reconciliation_stage330f_expectancy,partial_shared_runtime_source,false,true,"existing MT5 evidence is real, but proxy and MT5 values are not independent enough for Forward Passed/Failed"
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,recovery_factor,run334D_all_six_reconciliation_recovery_factor,run334D_all_six_reconciliation_stage330f_recovery_factor,partial_shared_runtime_source,false,true,"existing MT5 evidence is real, but proxy and MT5 values are not independent enough for Forward Passed/Failed"
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,curve_pocket,run334D_cost_curve_guard_worst_curve_net_mean,run330F_curve_pocket_report_min_chunk_net_profit,runtime_summary_vs_forensic_review_bridge,false,true,"existing MT5 evidence is real, but proxy and MT5 values are not independent enough for Forward Passed/Failed"
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,underwater_stretch,run334D_cost_curve_guard_underwater_trade_share,run334D_all_six_reconciliation_underwater_trade_share,partial_shared_runtime_source,false,true,"existing MT5 evidence is real, but proxy and MT5 values are not independent enough for Forward Passed/Failed"
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,lot_normalized_result,run334D_cost_curve_guard_linear_1lot_normalization,run334D_cost_curve_guard_mt5_derived_linear_1lot_normalization,partial_shared_runtime_source,false,true,"existing MT5 evidence is real, but proxy and MT5 values are not independent enough for Forward Passed/Failed"
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,spread_slippage_stress,run334D_cost_curve_guard_cost_plus_200_net,run334D_cost_curve_guard_mt5_derived_cost_overlay,partial_shared_runtime_source,false,true,"existing MT5 evidence is real, but proxy and MT5 values are not independent enough for Forward Passed/Failed"
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,session_hour_regime,run334D_all_six_reconciliation_worst_slice_net,run334D_all_six_reconciliation_runtime_regime_slice,partial_shared_runtime_source,false,true,"existing MT5 evidence is real, but proxy and MT5 values are not independent enough for Forward Passed/Failed"
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,long_short_attribution,run334D_attribution_buy_minus_abs_sell_net,run334D_attribution_runtime_trade_direction_breakdown,partial_shared_runtime_source,false,true,"existing MT5 evidence is real, but proxy and MT5 values are not independent enough for Forward Passed/Failed"
run335F_design_guarded_branch_probe_protocols_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,net_profit,run334G_attempt_failure_memory_headline_net_profit,run330E_mt5_runtime_probe_summary_net_profit,runtime_summary_vs_forensic_review_bridge,false,true,"existing MT5 evidence is real, but proxy and MT5 values are not independent enough for Forward Passed/Failed"
run335F_design_guarded_branch_probe_protocols_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,profit_factor,run334G_attempt_failure_memory_headline_profit_factor,run330E_mt5_runtime_probe_summary_profit_factor,runtime_summary_vs_forensic_review_bridge,false,true,"existing MT5 evidence is real, but proxy and MT5 values are not independent enough for Forward Passed/Failed"
run335F_design_guarded_branch_probe_protocols_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,max_drawdown,run334D_all_six_reconciliation_equity_dd_amount,run334D_all_six_reconciliation_stage330f_equity_dd_amount,partial_shared_runtime_source,false,true,"existing MT5 evidence is real, but proxy and MT5 values are not independent enough for Forward Passed/Failed"
