row_id,stage_id,run_id,view,tier_scope,scoreboard,status,judgment,evidence_boundary,report_path,notes
stage272_time_risk_router_pressure_probe_open_v1__stage_open,272_onnx_candidate_campaign__time_risk_router_pressure_probe,stage272_time_risk_router_pressure_probe_open_v1,stage_open,Tier A+B pressure probe planned,stage_open_pressure_probe,opened_time_risk_router_pressure_probe,planning_open_no_candidate_selection,planning_open_no_candidate_no_onnx,stages/272_onnx_candidate_campaign__time_risk_router_pressure_probe/00_spec/stage_brief.md,next_action=run272A_design_time_risk_router_pressure_probe_packet.
run272A_design_time_risk_router_pressure_probe_packet_v1__pressure_design,272_onnx_candidate_campaign__time_risk_router_pressure_probe,run272A_design_time_risk_router_pressure_probe_packet_v1,time_risk_router_pressure_probe_packet_design,Tier A+B pressure design,structural_scout,completed_time_risk_router_pressure_probe_packet_design_no_candidate_selection,pressure_probe_packet_ready_no_candidate_selection,design_packet_only_no_candidate_no_onnx,stages/272_onnx_candidate_campaign__time_risk_router_pressure_probe/03_reviews/run272A_report.md,branch_count=6;mt5_probe_queue_rows=4;next_action=run272B_materialize_time_risk_router_pressure_probe_payloads.
run272B_materialize_time_risk_router_pressure_probe_payloads_v1__tier_a_payload,272_onnx_candidate_campaign__time_risk_router_pressure_probe,run272B_materialize_time_risk_router_pressure_probe_payloads_v1,time_risk_router_payload_materialization,Tier A separate,structural_payload_materialization,completed_time_risk_router_pressure_probe_payload_materialization_no_candidate_selection,pressure_probe_payloads_materialized_no_runtime_or_candidate_claim,payload_materialization_only_no_runtime_kpi,stages/272_onnx_candidate_campaign__time_risk_router_pressure_probe/03_reviews/run272B_report.md,payload_count=4;mt5_queue_rows=4;Tier A signal CSVs materialized.
run272B_materialize_time_risk_router_pressure_probe_payloads_v1__tier_b_payload,272_onnx_candidate_campaign__time_risk_router_pressure_probe,run272B_materialize_time_risk_router_pressure_probe_payloads_v1,time_risk_router_payload_materialization,Tier B separate,structural_payload_materialization,completed_time_risk_router_pressure_probe_payload_materialization_no_candidate_selection,pressure_probe_payloads_materialized_no_runtime_or_candidate_claim,tier_b_structural_payload_no_runtime_authority,stages/272_onnx_candidate_campaign__time_risk_router_pressure_probe/03_reviews/run272B_report.md,Tier B partial-context rows are preserved as structural payload evidence only.
run272B_materialize_time_risk_router_pressure_probe_payloads_v1__tier_ab_payload,272_onnx_candidate_campaign__time_risk_router_pressure_probe,run272B_materialize_time_risk_router_pressure_probe_payloads_v1,time_risk_router_payload_materialization,Tier A+B combined,structural_payload_materialization,completed_time_risk_router_pressure_probe_payload_materialization_no_candidate_selection,pressure_probe_payloads_materialized_no_runtime_or_candidate_claim,combined_structural_view_no_routed_pnl_claim,stages/272_onnx_candidate_campaign__time_risk_router_pressure_probe/03_reviews/run272B_report.md,Combined view supports run272C input preparation; next_action=run272C_execute_or_prepare_time_risk_router_mt5_probe.
run272C_time_risk_router_mt5_signal_replay_v1__mt5_signal_replay_missing_or_prepared_only,272_onnx_candidate_campaign__time_risk_router_pressure_probe,run272C_time_risk_router_mt5_signal_replay_v1,mt5_signal_replay_missing_or_prepared_only,Tier A/Tier B,runtime_probe,prepared_time_risk_router_mt5_probe_materialized_no_runtime_kpi,runtime_probe_prepared_no_external_execution,runtime_probe_no_candidate_selection,stages/272_onnx_candidate_campaign__time_risk_router_pressure_probe/03_reviews/run272C_report.md,external_verification_status=out_of_scope_by_claim_materialize_only;selected_candidate=none;onnx_readiness=not_claimed.
run272C_time_risk_router_mt5_signal_replay_v1__mt5_q01_tier_a_validation_is,272_onnx_candidate_campaign__time_risk_router_pressure_probe,run272C_time_risk_router_mt5_signal_replay_v1,mt5_q01_tier_a_validation_is,Tier A,runtime_probe,completed,runtime_probe_completed_inconclusive_no_candidate_selection,runtime_probe_no_candidate_selection,stages/272_onnx_candidate_campaign__time_risk_router_pressure_probe/03_reviews/run272C_report.md,external_verification_status=completed;selected_candidate=none;onnx_readiness=not_claimed.
run272C_time_risk_router_mt5_signal_replay_v1__mt5_q01_tier_a_oos,272_onnx_candidate_campaign__time_risk_router_pressure_probe,run272C_time_risk_router_mt5_signal_replay_v1,mt5_q01_tier_a_oos,Tier A,runtime_probe,completed,runtime_probe_completed_inconclusive_no_candidate_selection,runtime_probe_no_candidate_selection,stages/272_onnx_candidate_campaign__time_risk_router_pressure_probe/03_reviews/run272C_report.md,external_verification_status=completed;selected_candidate=none;onnx_readiness=not_claimed.
run272C_time_risk_router_mt5_signal_replay_v1__mt5_q01_tier_b_validation_is,272_onnx_candidate_campaign__time_risk_router_pressure_probe,run272C_time_risk_router_mt5_signal_replay_v1,mt5_q01_tier_b_validation_is,Tier B,runtime_probe,completed,runtime_probe_completed_inconclusive_no_candidate_selection,runtime_probe_no_candidate_selection,stages/272_onnx_candidate_campaign__time_risk_router_pressure_probe/03_reviews/run272C_report.md,external_verification_status=completed;selected_candidate=none;onnx_readiness=not_claimed.
run272C_time_risk_router_mt5_signal_replay_v1__mt5_q01_tier_b_oos,272_onnx_candidate_campaign__time_risk_router_pressure_probe,run272C_time_risk_router_mt5_signal_replay_v1,mt5_q01_tier_b_oos,Tier B,runtime_probe,completed,runtime_probe_completed_inconclusive_no_candidate_selection,runtime_probe_no_candidate_selection,stages/272_onnx_candidate_campaign__time_risk_router_pressure_probe/03_reviews/run272C_report.md,external_verification_status=completed;selected_candidate=none;onnx_readiness=not_claimed.
