source_scope,artifact_slug,view_id,axis,bucket_count,total_net_profit,best_bucket,best_bucket_net,best_bucket_trade_count,worst_bucket,worst_bucket_net,worst_bucket_profit_factor,negative_bucket_count,best_bucket_net_share_of_positive_total,fragility_judgment,claim_boundary
score_proxy_old_session_parity,u42_plain,old_session_parity,hour,7,146.9,16,84.73,25,20,-13.565,0.5627719581,3,0.5767869299,balanced_or_inconclusive,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_raw_forward,c56_bal,raw_forward,month,2,166.685,2026-05,170.285,45,2026-04,-3.6,0.9542915185,1,1.0215976243,loss_pocket_and_one_bucket_concentration,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_old_session_parity,c56_bal,old_session_parity,month,2,160.54,2026-05,154.45,42,2026-04,6.09,1.0904768979,0,0.9620655288,one_bucket_concentration,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_raw_forward,c56_plain,raw_forward,month,2,208.66,2026-05,191.21,51,2026-04,17.45,1.2353020496,0,0.9163711301,one_bucket_concentration,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_old_session_parity,c56_plain,old_session_parity,month,2,202.4,2026-05,175.26,48,2026-04,27.14,1.4327858396,0,0.8659090909,one_bucket_concentration,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_raw_forward,m48_bal,raw_forward,month,2,103.82,2026-05,160.68,175,2026-04,-56.86,0.7864533454,1,1.5476786746,loss_pocket_and_one_bucket_concentration,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_old_session_parity,m48_bal,old_session_parity,month,2,143.065,2026-05,150.725,44,2026-04,-7.66,0.9045898985,1,1.0535420962,loss_pocket_and_one_bucket_concentration,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_raw_forward,m48_plain,raw_forward,month,2,123.41,2026-05,167.035,178,2026-04,-43.625,0.8324724948,1,1.3534964752,loss_pocket_and_one_bucket_concentration,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_old_session_parity,m48_plain,old_session_parity,month,2,235.75,2026-05,178.51,47,2026-04,57.24,1.9286931127,0,0.7572004242,one_bucket_concentration,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_raw_forward,u42_bal,raw_forward,month,2,93.24,2026-05,136.375,179,2026-04,-43.135,0.8472367326,1,1.4626233376,loss_pocket_and_one_bucket_concentration,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_old_session_parity,u42_bal,old_session_parity,month,2,84.03,2026-05,114.375,41,2026-04,-30.345,0.6599809513,1,1.3611210282,loss_pocket_and_one_bucket_concentration,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_raw_forward,u42_plain,raw_forward,month,2,125.275,2026-05,111.65,187,2026-04,13.625,1.0517460739,0,0.8912392736,one_bucket_concentration,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_old_session_parity,u42_plain,old_session_parity,month,2,146.9,2026-05,83.635,47,2026-04,63.265,2.3840516298,0,0.5693328795,balanced_or_inconclusive,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
