run_id,gate(게이트),status,evidence(근거),effect(효과),claim_boundary(주장 경계)
run364AI_materialize_session_side_pf_lift_density_repair_inputs_without_db_v1,scope_completion_gate(범위 완료 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AI/final_decision.json,run364AI 구체화를 닫음,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AI_materialize_session_side_pf_lift_density_repair_inputs_without_db_v1,input_parent_gate(부모 입력 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AI/input_manifest.csv,run364AH 검토 산출물을 확인함,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AI_materialize_session_side_pf_lift_density_repair_inputs_without_db_v1,queue_materialization_gate(대기열 구체화 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AI/run364AJ_scout_queue.csv,run364AJ 정찰 대기열을 만듦,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AI_materialize_session_side_pf_lift_density_repair_inputs_without_db_v1,topn_absence_gate(top_n 부재 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AI/run364AJ_scout_queue.csv,top_n 사용 금지를 기록함,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AI_materialize_session_side_pf_lift_density_repair_inputs_without_db_v1,trade_splitting_absence_gate(거래 쪼개기 부재 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AI/run364AJ_scout_queue.csv,거래 쪼개기 없음 상태를 기록함,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AI_materialize_session_side_pf_lift_density_repair_inputs_without_db_v1,data_integrity_audit(데이터 무결성 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AI/data_integrity_receipt.json,시점 안전 경계를 기록함,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AI_materialize_session_side_pf_lift_density_repair_inputs_without_db_v1,experiment_design_gate(실험 설계 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AI/experiment_design_receipt.json,다음 프록시 정찰 설계를 기록함,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AI_materialize_session_side_pf_lift_density_repair_inputs_without_db_v1,performance_attribution_gate(성과 귀속 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AI/performance_attribution_receipt.json,세션/방향 단서를 연결함,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AI_materialize_session_side_pf_lift_density_repair_inputs_without_db_v1,artifact_lineage_audit(산출물 계보 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AI/artifact_lineage_receipt.json,입력/출력 해시를 연결함,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AI_materialize_session_side_pf_lift_density_repair_inputs_without_db_v1,claim_boundary_audit(주장 경계 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AI/claim_boundary_receipt.json,운영 승격을 주장하지 않음,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AI_materialize_session_side_pf_lift_density_repair_inputs_without_db_v1,required_gate_coverage_audit(필수 게이트 커버리지 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AI/required_gate_coverage_audit.csv,필수 게이트를 종료 기록에 연결함,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
