run_id,next_run_id,queue_id,axis_id,seed_variant_id,seed_queue_id,seed_axis_id,short_probability_threshold,long_threshold,entry_margin_floor,max_hold_m5,bridge_policy,bridge_policy_value,materialized_policy,session_policy,side_policy,restore_policy,min_density_requirement,target_profit_factor,validation_guardrail,oos_guardrail,trade_splitting_status,top_n_status,timestamp_boundary,seed_net_profit,seed_profit_factor,seed_trade_per_business_day,seed_trade_count,seed_max_drawdown,effect(효과),claim_boundary(주장 경계),queue_rank,queue_type
run364AI_materialize_session_side_pf_lift_density_repair_inputs_without_db_v1,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,selected_control_full_session(선택 대조 전체 세션),control(대조),selected_density_safe_control__ps0_45__floor0_0__hold8,selected_density_safe_control,control(대조),0.45,0.0,0.0,8,restore_march_non_hour16_margin,0.10,baseline_replay(기준 재생),all_sessions(전체 세션),all_sides(전체 방향),none(없음),3.0,1.3,validation_net_positive_and_report_separate(검증 순수익 양수 및 분리 보고),oos_not_used_for_operating_threshold(표본외를 운영 임계값 선택에 쓰지 않음),not_used(거래 쪼개기 없음),forbidden(금지),entry_time_known_only(진입 시점에 알려진 값만 사용),840.055,1.2739357721,3.006006006,1001.0,-142.323,run364AJ(실행364AJ)에서 고정 규칙 프록시로 재생한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,1,control(대조)
run364AI_materialize_session_side_pf_lift_density_repair_inputs_without_db_v1,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,block_premarket_short_only(프리마켓 숏만 차단),session_side_pf_lift(세션 방향 PF 상승),selected_density_safe_control__ps0_45__floor0_0__hold8,selected_density_safe_control,control(대조),0.45,0.0,0.0,8,restore_march_non_hour16_margin,0.10,block_premarket_short(프리마켓 숏 차단),all_sessions_except_premarket_short(프리마켓 숏 제외 전체),"long_all_short_no_premarket(롱 전체, 숏 프리마켓 제외)",none(없음),3.0,1.3,validation_net_positive_and_report_separate(검증 순수익 양수 및 분리 보고),oos_not_used_for_operating_threshold(표본외를 운영 임계값 선택에 쓰지 않음),not_used(거래 쪼개기 없음),forbidden(금지),entry_time_known_only(진입 시점에 알려진 값만 사용),840.055,1.2739357721,3.006006006,1001.0,-142.323,run364AJ(실행364AJ)에서 고정 규칙 프록시로 재생한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2,candidate(후보)
run364AI_materialize_session_side_pf_lift_density_repair_inputs_without_db_v1,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,core_plus_premarket_long(핵심 세션 + 프리마켓 롱),session_side_pf_lift(세션 방향 PF 상승),selected_density_safe_control__ps0_45__floor0_0__hold8,selected_density_safe_control,control(대조),0.45,0.0,0.0,8,restore_march_non_hour16_margin,0.10,core_session_keep_premarket_long(핵심 세션 보존 + 프리마켓 롱),us_cash_core_plus_premarket_long(미국 현금장 핵심 + 프리마켓 롱),core_both_sides_premarket_long_only(핵심 양방향 + 프리마켓 롱만),none(없음),3.0,1.3,validation_net_positive_and_report_separate(검증 순수익 양수 및 분리 보고),oos_not_used_for_operating_threshold(표본외를 운영 임계값 선택에 쓰지 않음),not_used(거래 쪼개기 없음),forbidden(금지),entry_time_known_only(진입 시점에 알려진 값만 사용),840.055,1.2739357721,3.006006006,1001.0,-142.323,run364AJ(실행364AJ)에서 고정 규칙 프록시로 재생한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,3,candidate(후보)
run364AI_materialize_session_side_pf_lift_density_repair_inputs_without_db_v1,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,core_session_only_dual_side(핵심 세션 양방향만),session_side_pf_lift(세션 방향 PF 상승),selected_density_safe_control__ps0_45__floor0_0__hold8,selected_density_safe_control,control(대조),0.45,0.0,0.0,8,restore_march_non_hour16_margin,0.10,core_session_only(핵심 세션만),us_cash_core_only(미국 현금장 핵심만),core_long_and_short(핵심 롱/숏),none(없음),3.0,1.3,validation_net_positive_and_report_separate(검증 순수익 양수 및 분리 보고),oos_not_used_for_operating_threshold(표본외를 운영 임계값 선택에 쓰지 않음),not_used(거래 쪼개기 없음),forbidden(금지),entry_time_known_only(진입 시점에 알려진 값만 사용),840.055,1.2739357721,3.006006006,1001.0,-142.323,run364AJ(실행364AJ)에서 고정 규칙 프록시로 재생한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,4,candidate(후보)
run364AI_materialize_session_side_pf_lift_density_repair_inputs_without_db_v1,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,core_plus_late_long(핵심 세션 + 후반 롱),session_density_restore(세션 밀도 복원),selected_density_safe_control__ps0_45__floor0_0__hold8,selected_density_safe_control,control(대조),0.45,0.0,0.0,8,restore_march_non_hour16_margin,0.10,core_session_plus_late_long(핵심 세션 + 후반 롱),us_cash_core_plus_post_cash_late_long(핵심 + 현금장 후반 롱),core_both_sides_late_long(핵심 양방향 + 후반 롱),restore_sparse_late_long_watch(희소 후반 롱 관찰 복원),3.0,1.3,validation_net_positive_and_report_separate(검증 순수익 양수 및 분리 보고),oos_not_used_for_operating_threshold(표본외를 운영 임계값 선택에 쓰지 않음),not_used(거래 쪼개기 없음),forbidden(금지),entry_time_known_only(진입 시점에 알려진 값만 사용),840.055,1.2739357721,3.006006006,1001.0,-142.323,run364AJ(실행364AJ)에서 고정 규칙 프록시로 재생한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,5,candidate(후보)
run364AI_materialize_session_side_pf_lift_density_repair_inputs_without_db_v1,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,pfpass_core_restore(통과 PF 핵심 복원),pf_pass_density_bridge(PF 통과 밀도 연결),pfpass_short050_restore_short0475__ps0_5__floor0_0__hold8,pfpass_short050_restore_short0475,pf_pass_density_restore(PF 통과 밀도 복원),0.5,0.0,0.0,8,block_march_long_restore_short_p,0.475,pf_pass_seed_restore_core_session(PF 통과 씨앗 핵심 세션 복원),us_cash_core_restore(미국 현금장 핵심 복원),core_both_sides_restore(핵심 양방향 복원),restore_core_from_selected_density_safe(선택 밀도 안전 후보에서 핵심 세션 복원),3.0,1.3,validation_net_positive_and_report_separate(검증 순수익 양수 및 분리 보고),oos_not_used_for_operating_threshold(표본외를 운영 임계값 선택에 쓰지 않음),not_used(거래 쪼개기 없음),forbidden(금지),entry_time_known_only(진입 시점에 알려진 값만 사용),794.569,1.3021603444,2.6876876877,895.0,-120.303,run364AJ(실행364AJ)에서 고정 규칙 프록시로 재생한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,6,candidate(후보)
run364AI_materialize_session_side_pf_lift_density_repair_inputs_without_db_v1,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,pfpass_core_plus_premarket_long_restore(PF 통과 핵심 + 프리마켓 롱 복원),pf_pass_density_bridge(PF 통과 밀도 연결),pf_pass_density_fail_control__ps0_5__floor0_0__hold8,pf_pass_density_fail_control,control(대조),0.5,0.0,0.0,8,block_march_long,,pf_pass_seed_restore_core_and_premarket_long(PF 통과 씨앗 핵심 및 프리마켓 롱 복원),us_cash_core_plus_premarket_long(핵심 + 프리마켓 롱),core_both_sides_premarket_long_only(핵심 양방향 + 프리마켓 롱만),restore_core_and_premarket_long_from_selected(선택 후보에서 핵심/프리마켓 롱 복원),3.0,1.3,validation_net_positive_and_report_separate(검증 순수익 양수 및 분리 보고),oos_not_used_for_operating_threshold(표본외를 운영 임계값 선택에 쓰지 않음),not_used(거래 쪼개기 없음),forbidden(금지),entry_time_known_only(진입 시점에 알려진 값만 사용),799.943,1.3066323163,2.6726726727,890.0,-120.303,run364AJ(실행364AJ)에서 고정 규칙 프록시로 재생한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,7,candidate(후보)
run364AI_materialize_session_side_pf_lift_density_repair_inputs_without_db_v1,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,pfpass_block_premarket_short_restore_density(PF 통과 프리마켓 숏 차단 밀도 복원),pf_pass_density_bridge(PF 통과 밀도 연결),pfpass_short050_restore_margin008__ps0_5__floor0_0__hold8,pfpass_short050_restore_margin008,pf_pass_density_restore(PF 통과 밀도 복원),0.5,0.0,0.0,8,block_march_long_restore_non_hour16_margin,0.08,pf_pass_seed_block_premarket_short_restore_density(PF 통과 씨앗 프리마켓 숏 차단 밀도 복원),all_sessions_except_premarket_short(프리마켓 숏 제외 전체),"long_all_short_no_premarket(롱 전체, 숏 프리마켓 제외)",restore_non_drag_sessions_from_selected(선택 후보에서 손실 끌림 외 세션 복원),3.0,1.3,validation_net_positive_and_report_separate(검증 순수익 양수 및 분리 보고),oos_not_used_for_operating_threshold(표본외를 운영 임계값 선택에 쓰지 않음),not_used(거래 쪼개기 없음),forbidden(금지),entry_time_known_only(진입 시점에 알려진 값만 사용),799.943,1.3066323163,2.6726726727,890.0,-120.303,run364AJ(실행364AJ)에서 고정 규칙 프록시로 재생한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,8,candidate(후보)
run364AI_materialize_session_side_pf_lift_density_repair_inputs_without_db_v1,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,selected_short0455_density_edge_recheck(선택 숏 0.455 밀도 경계 재검토),near_density_bridge(밀도 경계 연결),selected_short0455_restore_margin010__ps0_455__floor0_0__hold8,selected_short0455_restore_margin010,short_quality_plus_density_restore(숏 품질 + 밀도 복원),0.455,0.0,0.0,8,restore_march_non_hour16_margin,0.10,near_density_repair_with_session_guard(밀도 근접 수리 + 세션 가드),all_sessions_except_premarket_short(프리마켓 숏 제외 전체),"long_all_short_no_premarket(롱 전체, 숏 프리마켓 제외)",recover_density_gap_0_04(밀도 격차 0.04 복원),3.0,1.3,validation_net_positive_and_report_separate(검증 순수익 양수 및 분리 보고),oos_not_used_for_operating_threshold(표본외를 운영 임계값 선택에 쓰지 않음),not_used(거래 쪼개기 없음),forbidden(금지),entry_time_known_only(진입 시점에 알려진 값만 사용),799.923,1.2639812133,2.963963964,987.0,-133.361,run364AJ(실행364AJ)에서 고정 규칙 프록시로 재생한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,9,candidate(후보)
run364AI_materialize_session_side_pf_lift_density_repair_inputs_without_db_v1,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,validation_pf_repair_selected_split_guard(선택 후보 검증 PF 수리 분할 가드),split_guardrail(분할 가드레일),selected_density_safe_control__ps0_45__floor0_0__hold8,selected_density_safe_control,control(대조),0.45,0.0,0.0,8,restore_march_non_hour16_margin,0.10,validation_pf_drag_repair_without_oos_selection(표본외 선택 없는 검증 PF 끌림 수리),"all_sessions_with_validation_report(전체 세션, 검증 분리 보고)",all_sides(전체 방향),validation_loss_segments_as_report_only(검증 손실 세그먼트는 보고 전용),3.0,1.3,validation_net_positive_and_report_separate(검증 순수익 양수 및 분리 보고),oos_not_used_for_operating_threshold(표본외를 운영 임계값 선택에 쓰지 않음),not_used(거래 쪼개기 없음),forbidden(금지),entry_time_known_only(진입 시점에 알려진 값만 사용),840.055,1.2739357721,3.006006006,1001.0,-142.323,run364AJ(실행364AJ)에서 고정 규칙 프록시로 재생한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,10,control(대조)
