candidate_id,candidate_alias,candidate_role,diagnostic_variant_id,source_intervention,design_links,weakness_axis,weakness_bucket,intent,priority,materialization_rule,baseline_trade_count,baseline_net_profit,counterfactual_read,counterfactual_trade_retention,feature_signal_retention,blocked_signal_rows,kept_signal_rows,mt5_execution_status,selected_candidate,onnx_readiness
s264_allow_inner_high_quarter,s264_aih,challenger_core,p0_july2024_entry_block_probe,cf_remove_2024_07,d05_july_2024_holdout_stress,month,2024-07,"calendar holdout diagnostic(달력 보류 진단), repair(수리) 아님",P0,entry signal(진입 신호)을 source bar month(원천 봉 월)이 2024-07(2024년 7월)이면 flat(무거래)으로 바꿈,353,95.56,promising_counterfactual_requires_mt5_variant,0.898017,0.872222222222,69,471,pending,none,not_claimed
s264_lowrank_control,s264_lc,defensive_control,p0_july2024_entry_block_probe,cf_remove_2024_07,d05_july_2024_holdout_stress,month,2024-07,"calendar holdout diagnostic(달력 보류 진단), repair(수리) 아님",P0,entry signal(진입 신호)을 source bar month(원천 봉 월)이 2024-07(2024년 7월)이면 flat(무거래)으로 바꿈,350,71.34,promising_counterfactual_requires_mt5_variant,0.897143,0.872222222222,69,471,pending,none,not_claimed
s262_lowrank_inner_half_filter,s262_lih,validation_heavy,p0_july2024_entry_block_probe,cf_remove_2024_07,d05_july_2024_holdout_stress,month,2024-07,"calendar holdout diagnostic(달력 보류 진단), repair(수리) 아님",P0,entry signal(진입 신호)을 source bar month(원천 봉 월)이 2024-07(2024년 7월)이면 flat(무거래)으로 바꿈,352,44.49,promising_counterfactual_requires_mt5_variant,0.894886,0.872222222222,69,471,pending,none,not_claimed
s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,p0_july2024_entry_block_probe,cf_remove_2024_07,d05_july_2024_holdout_stress,month,2024-07,"calendar holdout diagnostic(달력 보류 진단), repair(수리) 아님",P0,entry signal(진입 신호)을 source bar month(원천 봉 월)이 2024-07(2024년 7월)이면 flat(무거래)으로 바꿈,354,87.07,promising_counterfactual_requires_mt5_variant,0.898305,0.872222222222,69,471,pending,none,not_claimed
s258_short_tight_control,s258_stc,stress_challenger,p0_july2024_entry_block_probe,cf_remove_2024_07,d05_july_2024_holdout_stress,month,2024-07,"calendar holdout diagnostic(달력 보류 진단), repair(수리) 아님",P0,entry signal(진입 신호)을 source bar month(원천 봉 월)이 2024-07(2024년 7월)이면 flat(무거래)으로 바꿈,378,102.89,promising_counterfactual_requires_mt5_variant,0.891534,0.872222222222,69,471,pending,none,not_claimed
s264_allow_inner_high_quarter,s264_aih,challenger_core,p0_late_session_entry_block_probe,cf_remove_late_session,d07_late_session_interaction_engineering,session_slice,late,"late-session hard block(후반 세션 강제 차단) negative control(부정 대조군), engineering(엔지니어링) 전 진단",P0,entry signal(진입 신호)을 source bar session_slice(원천 봉 세션 구간)가 late(후반)이면 flat(무거래)으로 바꿈,353,95.56,promising_counterfactual_requires_mt5_variant,0.872521,0.816666666667,99,441,pending,none,not_claimed
s264_lowrank_control,s264_lc,defensive_control,p0_late_session_entry_block_probe,cf_remove_late_session,d07_late_session_interaction_engineering,session_slice,late,"late-session hard block(후반 세션 강제 차단) negative control(부정 대조군), engineering(엔지니어링) 전 진단",P0,entry signal(진입 신호)을 source bar session_slice(원천 봉 세션 구간)가 late(후반)이면 flat(무거래)으로 바꿈,350,71.34,promising_counterfactual_requires_mt5_variant,0.871429,0.816666666667,99,441,pending,none,not_claimed
s262_lowrank_inner_half_filter,s262_lih,validation_heavy,p0_late_session_entry_block_probe,cf_remove_late_session,d07_late_session_interaction_engineering,session_slice,late,"late-session hard block(후반 세션 강제 차단) negative control(부정 대조군), engineering(엔지니어링) 전 진단",P0,entry signal(진입 신호)을 source bar session_slice(원천 봉 세션 구간)가 late(후반)이면 flat(무거래)으로 바꿈,352,44.49,promising_counterfactual_requires_mt5_variant,0.872159,0.816666666667,99,441,pending,none,not_claimed
s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,p0_late_session_entry_block_probe,cf_remove_late_session,d07_late_session_interaction_engineering,session_slice,late,"late-session hard block(후반 세션 강제 차단) negative control(부정 대조군), engineering(엔지니어링) 전 진단",P0,entry signal(진입 신호)을 source bar session_slice(원천 봉 세션 구간)가 late(후반)이면 flat(무거래)으로 바꿈,354,87.07,promising_counterfactual_requires_mt5_variant,0.872881,0.816666666667,99,441,pending,none,not_claimed
s258_short_tight_control,s258_stc,stress_challenger,p0_late_session_entry_block_probe,cf_remove_late_session,d07_late_session_interaction_engineering,session_slice,late,"late-session hard block(후반 세션 강제 차단) negative control(부정 대조군), engineering(엔지니어링) 전 진단",P0,entry signal(진입 신호)을 source bar session_slice(원천 봉 세션 구간)가 late(후반)이면 flat(무거래)으로 바꿈,378,102.89,promising_counterfactual_requires_mt5_variant,0.867725,0.816666666667,99,441,pending,none,not_claimed
s264_allow_inner_high_quarter,s264_aih,challenger_core,p0_vol_low_entry_block_probe,cf_remove_vol_low,d01_vol_low_volatility_bandwidth_ablation;d02_vol_low_atr_to_historical_vol_replacement,volatility_regime,vol_low,"vol_low cost diagnostic(낮은 변동성 비용 진단), candidate solution(후보 해결책) 아님",P0,entry signal(진입 신호)을 source bar volatility_regime(원천 봉 변동성 구간)가 vol_low(낮은 변동성)이면 flat(무거래)으로 바꿈,353,95.56,damage_concentrated_but_filter_costly,0.725212,0.718518518519,152,388,pending,none,not_claimed
s264_lowrank_control,s264_lc,defensive_control,p0_vol_low_entry_block_probe,cf_remove_vol_low,d01_vol_low_volatility_bandwidth_ablation;d02_vol_low_atr_to_historical_vol_replacement,volatility_regime,vol_low,"vol_low cost diagnostic(낮은 변동성 비용 진단), candidate solution(후보 해결책) 아님",P0,entry signal(진입 신호)을 source bar volatility_regime(원천 봉 변동성 구간)가 vol_low(낮은 변동성)이면 flat(무거래)으로 바꿈,350,71.34,damage_concentrated_but_filter_costly,0.725714,0.718518518519,152,388,pending,none,not_claimed
s262_lowrank_inner_half_filter,s262_lih,validation_heavy,p0_vol_low_entry_block_probe,cf_remove_vol_low,d01_vol_low_volatility_bandwidth_ablation;d02_vol_low_atr_to_historical_vol_replacement,volatility_regime,vol_low,"vol_low cost diagnostic(낮은 변동성 비용 진단), candidate solution(후보 해결책) 아님",P0,entry signal(진입 신호)을 source bar volatility_regime(원천 봉 변동성 구간)가 vol_low(낮은 변동성)이면 flat(무거래)으로 바꿈,352,44.49,damage_concentrated_but_filter_costly,0.721591,0.718518518519,152,388,pending,none,not_claimed
s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,p0_vol_low_entry_block_probe,cf_remove_vol_low,d01_vol_low_volatility_bandwidth_ablation;d02_vol_low_atr_to_historical_vol_replacement,volatility_regime,vol_low,"vol_low cost diagnostic(낮은 변동성 비용 진단), candidate solution(후보 해결책) 아님",P0,entry signal(진입 신호)을 source bar volatility_regime(원천 봉 변동성 구간)가 vol_low(낮은 변동성)이면 flat(무거래)으로 바꿈,354,87.07,damage_concentrated_but_filter_costly,0.723164,0.718518518519,152,388,pending,none,not_claimed
s258_short_tight_control,s258_stc,stress_challenger,p0_vol_low_entry_block_probe,cf_remove_vol_low,d01_vol_low_volatility_bandwidth_ablation;d02_vol_low_atr_to_historical_vol_replacement,volatility_regime,vol_low,"vol_low cost diagnostic(낮은 변동성 비용 진단), candidate solution(후보 해결책) 아님",P0,entry signal(진입 신호)을 source bar volatility_regime(원천 봉 변동성 구간)가 vol_low(낮은 변동성)이면 flat(무거래)으로 바꿈,378,102.89,damage_concentrated_but_filter_costly,0.71164,0.718518518519,152,388,pending,none,not_claimed
