queue_id,candidate_id,candidate_alias,candidate_role,source_test_id,state_profile,shared_contract,feature_count,feature_order_hash,model_backend,model_materialization_type,short_threshold,long_threshold,min_margin,max_hold_bars,state_feature,state_feature_index,known_difference,runtime_claim_boundary
run267AO_s264_aih_return_shock_absorption,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,return_shock_absorption,US100 M5;2024 historical stress window;RuntimeProbeEA;true_internal_feature_order_plus_pool_wide_state_feature;EBM score table extension;attempt set/ini identity,33,750591d8b39837e4726c14e3c43239deda4d5d4064cc71880c82e8675ed6c3f9,ebm_table,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,0.54,0.52,0,3,stage267_state_return_shock_absorption_score,32,extends run267W true internal score table with one engineered noncalendar state feature; no retraining; no literal weekday/month filter,research_only_execution_pending_no_selected_candidate_no_onnx
run267AO_s264_aih_volatility_regime_expansion,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,volatility_regime_expansion,US100 M5;2024 historical stress window;RuntimeProbeEA;true_internal_feature_order_plus_pool_wide_state_feature;EBM score table extension;attempt set/ini identity,33,8cdb7a9f201c576799c2e5b7d659dc492f6569f19554d27c7a02513d65aad557,ebm_table,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,0.54,0.52,0,3,stage267_state_volatility_regime_expansion_score,32,extends run267W true internal score table with one engineered noncalendar state feature; no retraining; no literal weekday/month filter,research_only_execution_pending_no_selected_candidate_no_onnx
run267AO_s264_aih_range_expansion_pressure,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,range_expansion_pressure,US100 M5;2024 historical stress window;RuntimeProbeEA;true_internal_feature_order_plus_pool_wide_state_feature;EBM score table extension;attempt set/ini identity,33,01e66110e917d16b26da73533b687050d6caa629a26b7137be9d18978f508302,ebm_table,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,0.54,0.52,0,3,stage267_state_range_expansion_pressure_score,32,extends run267W true internal score table with one engineered noncalendar state feature; no retraining; no literal weekday/month filter,research_only_execution_pending_no_selected_candidate_no_onnx
run267AO_s264_aih_trend_strength_disagreement,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_trend_strength_adx,trend_strength_disagreement,US100 M5;2024 historical stress window;RuntimeProbeEA;true_internal_feature_order_plus_pool_wide_state_feature;EBM score table extension;attempt set/ini identity,33,3c0f06c762847c2c6d03f9df44c5da499bb77f1d67ee93c6d825d5304d06abec,ebm_table,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,0.54,0.52,0,3,stage267_state_trend_strength_disagreement_score,32,extends run267W true internal score table with one engineered noncalendar state feature; no retraining; no literal weekday/month filter,research_only_execution_pending_no_selected_candidate_no_onnx
run267AO_s264_lc_return_shock_absorption,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,return_shock_absorption,US100 M5;2024 historical stress window;RuntimeProbeEA;true_internal_feature_order_plus_pool_wide_state_feature;EBM score table extension;attempt set/ini identity,33,808094a21c60f7d3e8b559df07e39dc26c9288a323da2b862dcb72a550c99173,ebm_table,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,0.54,0.52,0,3,stage267_state_return_shock_absorption_score,32,extends run267W true internal score table with one engineered noncalendar state feature; no retraining; no literal weekday/month filter,research_only_execution_pending_no_selected_candidate_no_onnx
run267AO_s264_lc_volatility_regime_expansion,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,volatility_regime_expansion,US100 M5;2024 historical stress window;RuntimeProbeEA;true_internal_feature_order_plus_pool_wide_state_feature;EBM score table extension;attempt set/ini identity,33,e3e17a229e05e4b301e3b7558dbb9eba6f7d63e58e7f9bfdb9a9355be23ee00d,ebm_table,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,0.54,0.52,0,3,stage267_state_volatility_regime_expansion_score,32,extends run267W true internal score table with one engineered noncalendar state feature; no retraining; no literal weekday/month filter,research_only_execution_pending_no_selected_candidate_no_onnx
run267AO_s264_lc_range_expansion_pressure,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,range_expansion_pressure,US100 M5;2024 historical stress window;RuntimeProbeEA;true_internal_feature_order_plus_pool_wide_state_feature;EBM score table extension;attempt set/ini identity,33,71788e52e778242e4c94749767f3a88b0daa8ad3806fa91acbfdd15ee42d56f0,ebm_table,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,0.54,0.52,0,3,stage267_state_range_expansion_pressure_score,32,extends run267W true internal score table with one engineered noncalendar state feature; no retraining; no literal weekday/month filter,research_only_execution_pending_no_selected_candidate_no_onnx
run267AO_s264_lc_trend_strength_disagreement,s264_lowrank_control,s264_lc,defensive_control,rep_trend_strength_adx,trend_strength_disagreement,US100 M5;2024 historical stress window;RuntimeProbeEA;true_internal_feature_order_plus_pool_wide_state_feature;EBM score table extension;attempt set/ini identity,33,93cafcc2d34889a4341702e3feac7906a65cbabbafcdf10d77d8f637812d4936,ebm_table,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,0.54,0.52,0,3,stage267_state_trend_strength_disagreement_score,32,extends run267W true internal score table with one engineered noncalendar state feature; no retraining; no literal weekday/month filter,research_only_execution_pending_no_selected_candidate_no_onnx
run267AO_s262_lih_return_shock_absorption,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,return_shock_absorption,US100 M5;2024 historical stress window;RuntimeProbeEA;true_internal_feature_order_plus_pool_wide_state_feature;EBM score table extension;attempt set/ini identity,33,41119ceebf55d4cdb48b990999ba0e01a9cd832dc00b10b396815e07b179cd5c,ebm_table,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,0.54,0.52,0,3,stage267_state_return_shock_absorption_score,32,extends run267W true internal score table with one engineered noncalendar state feature; no retraining; no literal weekday/month filter,research_only_execution_pending_no_selected_candidate_no_onnx
run267AO_s262_lih_volatility_regime_expansion,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,volatility_regime_expansion,US100 M5;2024 historical stress window;RuntimeProbeEA;true_internal_feature_order_plus_pool_wide_state_feature;EBM score table extension;attempt set/ini identity,33,2446369703d1176977992f2f53a2d1ed73c915285e7ee55e1636d12dd768d915,ebm_table,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,0.54,0.52,0,3,stage267_state_volatility_regime_expansion_score,32,extends run267W true internal score table with one engineered noncalendar state feature; no retraining; no literal weekday/month filter,research_only_execution_pending_no_selected_candidate_no_onnx
run267AO_s262_lih_range_expansion_pressure,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,range_expansion_pressure,US100 M5;2024 historical stress window;RuntimeProbeEA;true_internal_feature_order_plus_pool_wide_state_feature;EBM score table extension;attempt set/ini identity,33,91f1f5b82195c31b53fff4808f485e84bce29455200b7a52c5d27cd56d820658,ebm_table,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,0.54,0.52,0,3,stage267_state_range_expansion_pressure_score,32,extends run267W true internal score table with one engineered noncalendar state feature; no retraining; no literal weekday/month filter,research_only_execution_pending_no_selected_candidate_no_onnx
