field,value
hypothesis,pool_wide_noncalendar_state_features_may_reduce_repeated_weekday_month_holes_without_literal_calendar_filter
decision_use,materialize_MT5_attempt_inputs_only_no_candidate_selection
comparison_baseline,run267W true internal score tables plus run267AN repair failure memory
control_variables,same_five_candidate_pool_same_2024_period_same_MT5_cost_boundary_same_thresholds
changed_variables,adds_one_engineered_state_feature_per_profile_return_shock_volatility_regime_range_expansion_trend_disagreement
sample_scope,Tier A separate plus Tier A+B duplicate boundary until real fallback is explicitly enabled
success_criteria,future_run267AP_must_check_trade_count_PF_DD_Monday_December_no_single_feature_dependency
failure_criteria,same_named_weak_slices_remain_or_trade_count_collapses_or_single_candidate_survives_by_threshold_tweak
invalid_conditions,literal_weekday_month_filter_or_feature_order_untracked_or_Tier_A_plus_B_called_real_routing
stop_conditions,if_state_feature_engineering_fails_named_weak_slices_close_branch_and_pivot_to_new_model_family_or_period_design
evidence_plan,state_feature_matrix;variant_manifest;runtime_contract;attempt_manifest;future_MT5_KPI;future_balance_time_slice_trade_quality_review
