stage_id,run_id,parent_run_id,run_date,status,judgment,decision,next_run_id,primary_artifact,report_path,gate_passes,gate_total,claim_boundary,view,tier,metric_scope,candidate_model_id,net_profit,profit_factor,drawdown,recovery_factor,trade_count,result_status,sample_rows,feature_count,matched_rows,expectancy,attempt_count
341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue,run341A_branch_stage340_to_f01_stability_cost_regime_validation_without_db_v1,run340H_review_f01_close_on_flat_false_pressure_mt5_probe_without_db_v1,2026-06-01,completed_stage341A_branch_from_stage340_f01_stability_cost_regime_validation_opened_no_selection,stage_branch_completed_stage340_overweight_handoff_to_f01_stability_cost_regime_validation_no_selection,stage341A_open_run341B_design_f01_stability_cost_regime_validation,run341B_design_f01_stability_cost_regime_validation_without_db_v1,stages/341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue/02_runs/run341A/final_decision.json,stages/341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue/03_reviews/run341A_stage_branch.md,8,8,state_sync_stage_branch_f01_stability_cost_regime_handoff_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A separate(Tier A 분리),Tier A,stage_branch_handoff,logreg_balanced_c025_q09_s545_l51_m01_h12,123.6,1.9,99.31,1.24,33.0,"stage_branch_opened_no_selection(단계 분기 완료, 선정 없음)",,,58270.0,3.75,10.0
341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue,run341A_branch_stage340_to_f01_stability_cost_regime_validation_without_db_v1,run340H_review_f01_close_on_flat_false_pressure_mt5_probe_without_db_v1,2026-06-01,completed_stage341A_branch_from_stage340_f01_stability_cost_regime_validation_opened_no_selection,stage_branch_completed_stage340_overweight_handoff_to_f01_stability_cost_regime_validation_no_selection,stage341A_open_run341B_design_f01_stability_cost_regime_validation,run341B_design_f01_stability_cost_regime_validation_without_db_v1,stages/341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue/02_runs/run341A/final_decision.json,stages/341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue/03_reviews/run341A_stage_branch.md,8,8,state_sync_stage_branch_f01_stability_cost_regime_handoff_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier B separate(Tier B 분리),Tier B,missing_required,,,,,,,missing_required(필수 누락),,,,,
341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue,run341A_branch_stage340_to_f01_stability_cost_regime_validation_without_db_v1,run340H_review_f01_close_on_flat_false_pressure_mt5_probe_without_db_v1,2026-06-01,completed_stage341A_branch_from_stage340_f01_stability_cost_regime_validation_opened_no_selection,stage_branch_completed_stage340_overweight_handoff_to_f01_stability_cost_regime_validation_no_selection,stage341A_open_run341B_design_f01_stability_cost_regime_validation,run341B_design_f01_stability_cost_regime_validation_without_db_v1,stages/341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue/02_runs/run341A/final_decision.json,stages/341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue/03_reviews/run341A_stage_branch.md,8,8,state_sync_stage_branch_f01_stability_cost_regime_handoff_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A+B combined(Tier A+B 합산),Tier A+B,same_as_tier_a_until_tier_b_available,logreg_balanced_c025_q09_s545_l51_m01_h12,123.6,1.9,99.31,1.24,33.0,"stage_branch_opened_no_selection(단계 분기 완료, 선정 없음)",,,58270.0,3.75,10.0
341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue,run341B_design_f01_stability_cost_regime_validation_without_db_v1,run341A_branch_stage340_to_f01_stability_cost_regime_validation_without_db_v1,2026-06-01,completed_stage341B_f01_stability_cost_regime_validation_design_no_selection_no_mt5,f01_q01_q09_stability_cost_regime_validation_design_ready_materialization_required_no_selection,stage341B_open_run341C_materialize_f01_stability_cost_regime_validation_inputs,run341C_materialize_f01_stability_cost_regime_validation_inputs_without_db_v1,stages/341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue/02_runs/run341B/final_decision.json,stages/341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue/03_reviews/run341B_f01_stability_cost_regime_validation_design.md,8,8,research_development_design_only_f01_stability_cost_regime_validation_no_model_training_no_threshold_optimization_no_mt5_execution_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A separate(Tier A 분리),Tier A,design_source_reference_not_new_kpi,logreg_balanced_c025_q09_s545_l51_m01_h12,123.6,1.9,99.31,1.24,33.0,"design_only_no_selection(설계 전용, 선정 없음)",,,58270.0,3.75,10.0
341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue,run341B_design_f01_stability_cost_regime_validation_without_db_v1,run341A_branch_stage340_to_f01_stability_cost_regime_validation_without_db_v1,2026-06-01,completed_stage341B_f01_stability_cost_regime_validation_design_no_selection_no_mt5,f01_q01_q09_stability_cost_regime_validation_design_ready_materialization_required_no_selection,stage341B_open_run341C_materialize_f01_stability_cost_regime_validation_inputs,run341C_materialize_f01_stability_cost_regime_validation_inputs_without_db_v1,stages/341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue/02_runs/run341B/final_decision.json,stages/341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue/03_reviews/run341B_f01_stability_cost_regime_validation_design.md,8,8,research_development_design_only_f01_stability_cost_regime_validation_no_model_training_no_threshold_optimization_no_mt5_execution_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier B separate(Tier B 분리),Tier B,missing_required,,,,,,,missing_required(필수 누락),,,,,
341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue,run341B_design_f01_stability_cost_regime_validation_without_db_v1,run341A_branch_stage340_to_f01_stability_cost_regime_validation_without_db_v1,2026-06-01,completed_stage341B_f01_stability_cost_regime_validation_design_no_selection_no_mt5,f01_q01_q09_stability_cost_regime_validation_design_ready_materialization_required_no_selection,stage341B_open_run341C_materialize_f01_stability_cost_regime_validation_inputs,run341C_materialize_f01_stability_cost_regime_validation_inputs_without_db_v1,stages/341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue/02_runs/run341B/final_decision.json,stages/341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue/03_reviews/run341B_f01_stability_cost_regime_validation_design.md,8,8,research_development_design_only_f01_stability_cost_regime_validation_no_model_training_no_threshold_optimization_no_mt5_execution_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A+B combined(Tier A+B 합산),Tier A+B,same_as_tier_a_until_tier_b_available,logreg_balanced_c025_q09_s545_l51_m01_h12,123.6,1.9,99.31,1.24,33.0,"design_only_no_selection(설계 전용, 선정 없음)",,,58270.0,3.75,10.0
341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue,run341C_materialize_f01_stability_cost_regime_validation_inputs_without_db_v1,run341B_design_f01_stability_cost_regime_validation_without_db_v1,2026-06-01,completed_stage341C_f01_stability_cost_regime_validation_inputs_materialized_review_required_no_selection_no_mt5,trade_level_attribution_and_proxy_cost_session_regime_outputs_available_review_required_no_selection,stage341C_open_run341D_review_f01_stability_cost_regime_validation,run341D_review_f01_stability_cost_regime_validation_without_db_v1,stages/341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue/02_runs/run341C/final_decision.json,stages/341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue/03_reviews/run341C_f01_stability_cost_regime_validation_inputs.md,9,9,research_development_materialization_only_existing_mt5_report_trade_attribution_proxy_cost_stress_no_new_mt5_execution_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A separate(Tier A 분리),Tier A,trade_attribution_materialized_review_required,logreg_balanced_c025_q09_s545_l51_m01_h12,123.6,1.9017290435543883,62.510000000000005,1.9772836346184608,33.0,"materialized_review_required_no_selection(물질화 완료, 검토 필요, 선정 없음)",,,,3.745454545454545,4.0
341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue,run341C_materialize_f01_stability_cost_regime_validation_inputs_without_db_v1,run341B_design_f01_stability_cost_regime_validation_without_db_v1,2026-06-01,completed_stage341C_f01_stability_cost_regime_validation_inputs_materialized_review_required_no_selection_no_mt5,trade_level_attribution_and_proxy_cost_session_regime_outputs_available_review_required_no_selection,stage341C_open_run341D_review_f01_stability_cost_regime_validation,run341D_review_f01_stability_cost_regime_validation_without_db_v1,stages/341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue/02_runs/run341C/final_decision.json,stages/341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue/03_reviews/run341C_f01_stability_cost_regime_validation_inputs.md,9,9,research_development_materialization_only_existing_mt5_report_trade_attribution_proxy_cost_stress_no_new_mt5_execution_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier B separate(Tier B 분리),Tier B,missing_required,,,,,,,missing_required(필수 누락),,,,,
341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue,run341C_materialize_f01_stability_cost_regime_validation_inputs_without_db_v1,run341B_design_f01_stability_cost_regime_validation_without_db_v1,2026-06-01,completed_stage341C_f01_stability_cost_regime_validation_inputs_materialized_review_required_no_selection_no_mt5,trade_level_attribution_and_proxy_cost_session_regime_outputs_available_review_required_no_selection,stage341C_open_run341D_review_f01_stability_cost_regime_validation,run341D_review_f01_stability_cost_regime_validation_without_db_v1,stages/341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue/02_runs/run341C/final_decision.json,stages/341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue/03_reviews/run341C_f01_stability_cost_regime_validation_inputs.md,9,9,research_development_materialization_only_existing_mt5_report_trade_attribution_proxy_cost_stress_no_new_mt5_execution_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A+B combined(Tier A+B 합산),Tier A+B,same_as_tier_a_until_tier_b_available,logreg_balanced_c025_q09_s545_l51_m01_h12,123.6,1.9017290435543883,62.510000000000005,1.9772836346184608,33.0,"materialized_review_required_no_selection(물질화 완료, 검토 필요, 선정 없음)",,,,3.745454545454545,4.0
341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue,run341D_review_f01_stability_cost_regime_validation_without_db_v1,run341C_materialize_f01_stability_cost_regime_validation_inputs_without_db_v1,2026-06-01,completed_stage341D_f01_stability_cost_regime_reviewed_positive_structure_no_selection,f01_q01_q09_positive_structure_cost_survives_plus1_but_session_loss_concentration_and_reported_equity_drawdown_block_selection,stage341D_open_run341E_materialize_f01_session_long_firewall_mt5_probe_package,run341E_materialize_f01_session_long_firewall_mt5_probe_package_without_db_v1,stages/341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue/02_runs/run341D/final_decision.json,stages/341_f01_stability_cost_regime__validate_quality_anchor_vs_net_clue/03_reviews/run341D_f01_stability_cost_regime_validation_review.md,8,8,research_development_review_only_f01_stability_cost_regime_validation_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A separate(Tier A 분리),Tier A,reviewed_trade_attribution_positive_clue_no_selection,logreg_balanced_c025_q09_s545_l51_m01_h12,123.6,,99.31,1.24,33,"positive_clue_no_selection(긍정 단서, 선정 없음)",,,,,4
