scaffold_id,package_family,package_id,source_package_artifact,source_review_artifact,required_input_identity,required_output_schema,preflight_checks,blocked_if,execution_ready,execution_status,model_training_allowed,mt5_execution_allowed,selection_allowed,forward_decision_allowed,runtime_authority_allowed,result_ingestion_status,next_review_required,forbidden,claim_boundary
run337J_08_001,claim_boundary,model_training,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/claim_guard_blocker_package_spec.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/claim_guard_package_review.csv,training queue or model fit opens before package review,runner_scaffold_manifest;preflight_checklist;claim_boundary_receipt,blocked_claims;execution_flags_closed;stop_claim_response;no_goal_achieve,stop_claim_and_route_to_repair_or_runtime_evidence_review,false,schema_scaffold_only_no_execution,false,false,false,false,false,blocked_until_run337K_review_and_future_execution_packet,run337K_review_runner_scaffolds_v1,model_training;mt5_execution;threshold_retune;lot_optimization;forward_pocket_filtering;candidate_selection;Forward_Passed;Forward_Failed;live_readiness;deployment;operating_promotion;runtime_authority;Goal_Achieve,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_08_002,claim_boundary,mt5_execution,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/claim_guard_blocker_package_spec.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/claim_guard_package_review.csv,MT5 tester execution opens before package review,runner_scaffold_manifest;preflight_checklist;claim_boundary_receipt,blocked_claims;execution_flags_closed;stop_claim_response;no_goal_achieve,stop_claim_and_route_to_repair_or_runtime_evidence_review,false,schema_scaffold_only_no_execution,false,false,false,false,false,blocked_until_run337K_review_and_future_execution_packet,run337K_review_runner_scaffolds_v1,model_training;mt5_execution;threshold_retune;lot_optimization;forward_pocket_filtering;candidate_selection;Forward_Passed;Forward_Failed;live_readiness;deployment;operating_promotion;runtime_authority;Goal_Achieve,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_08_003,claim_boundary,threshold_retune,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/claim_guard_blocker_package_spec.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/claim_guard_package_review.csv,score threshold changes without predeclared later training packet,runner_scaffold_manifest;preflight_checklist;claim_boundary_receipt,blocked_claims;execution_flags_closed;stop_claim_response;no_goal_achieve,stop_claim_and_route_to_repair_or_runtime_evidence_review,false,schema_scaffold_only_no_execution,false,false,false,false,false,blocked_until_run337K_review_and_future_execution_packet,run337K_review_runner_scaffolds_v1,model_training;mt5_execution;threshold_retune;lot_optimization;forward_pocket_filtering;candidate_selection;Forward_Passed;Forward_Failed;live_readiness;deployment;operating_promotion;runtime_authority;Goal_Achieve,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_08_004,claim_boundary,lot_optimization,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/claim_guard_blocker_package_spec.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/claim_guard_package_review.csv,lot logic changes or lot-only improvement is used,runner_scaffold_manifest;preflight_checklist;claim_boundary_receipt,blocked_claims;execution_flags_closed;stop_claim_response;no_goal_achieve,stop_claim_and_route_to_repair_or_runtime_evidence_review,false,schema_scaffold_only_no_execution,false,false,false,false,false,blocked_until_run337K_review_and_future_execution_packet,run337K_review_runner_scaffolds_v1,model_training;mt5_execution;threshold_retune;lot_optimization;forward_pocket_filtering;candidate_selection;Forward_Passed;Forward_Failed;live_readiness;deployment;operating_promotion;runtime_authority;Goal_Achieve,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_08_005,claim_boundary,forward_pocket_filtering,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/claim_guard_blocker_package_spec.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/claim_guard_package_review.csv,forward pocket is used as a selection filter,runner_scaffold_manifest;preflight_checklist;claim_boundary_receipt,blocked_claims;execution_flags_closed;stop_claim_response;no_goal_achieve,stop_claim_and_route_to_repair_or_runtime_evidence_review,false,schema_scaffold_only_no_execution,false,false,false,false,false,blocked_until_run337K_review_and_future_execution_packet,run337K_review_runner_scaffolds_v1,model_training;mt5_execution;threshold_retune;lot_optimization;forward_pocket_filtering;candidate_selection;Forward_Passed;Forward_Failed;live_readiness;deployment;operating_promotion;runtime_authority;Goal_Achieve,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_08_006,claim_boundary,candidate_selection,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/claim_guard_blocker_package_spec.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/claim_guard_package_review.csv,candidate is selected from package specs,runner_scaffold_manifest;preflight_checklist;claim_boundary_receipt,blocked_claims;execution_flags_closed;stop_claim_response;no_goal_achieve,stop_claim_and_route_to_repair_or_runtime_evidence_review,false,schema_scaffold_only_no_execution,false,false,false,false,false,blocked_until_run337K_review_and_future_execution_packet,run337K_review_runner_scaffolds_v1,model_training;mt5_execution;threshold_retune;lot_optimization;forward_pocket_filtering;candidate_selection;Forward_Passed;Forward_Failed;live_readiness;deployment;operating_promotion;runtime_authority;Goal_Achieve,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_08_007,claim_boundary,forward_passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/claim_guard_blocker_package_spec.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/claim_guard_package_review.csv,Forward Passed is claimed without fresh runtime and KPI attribution,runner_scaffold_manifest;preflight_checklist;claim_boundary_receipt,blocked_claims;execution_flags_closed;stop_claim_response;no_goal_achieve,stop_claim_and_route_to_repair_or_runtime_evidence_review,false,schema_scaffold_only_no_execution,false,false,false,false,false,blocked_until_run337K_review_and_future_execution_packet,run337K_review_runner_scaffolds_v1,model_training;mt5_execution;threshold_retune;lot_optimization;forward_pocket_filtering;candidate_selection;Forward_Passed;Forward_Failed;live_readiness;deployment;operating_promotion;runtime_authority;Goal_Achieve,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_08_008,claim_boundary,forward_failed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/claim_guard_blocker_package_spec.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/claim_guard_package_review.csv,Forward Failed is claimed from package specs without runtime evidence,runner_scaffold_manifest;preflight_checklist;claim_boundary_receipt,blocked_claims;execution_flags_closed;stop_claim_response;no_goal_achieve,stop_claim_and_route_to_repair_or_runtime_evidence_review,false,schema_scaffold_only_no_execution,false,false,false,false,false,blocked_until_run337K_review_and_future_execution_packet,run337K_review_runner_scaffolds_v1,model_training;mt5_execution;threshold_retune;lot_optimization;forward_pocket_filtering;candidate_selection;Forward_Passed;Forward_Failed;live_readiness;deployment;operating_promotion;runtime_authority;Goal_Achieve,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_08_009,claim_boundary,runtime_authority,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/claim_guard_blocker_package_spec.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/claim_guard_package_review.csv,runtime authority is claimed before tester output and row-level parity,runner_scaffold_manifest;preflight_checklist;claim_boundary_receipt,blocked_claims;execution_flags_closed;stop_claim_response;no_goal_achieve,stop_claim_and_route_to_repair_or_runtime_evidence_review,false,schema_scaffold_only_no_execution,false,false,false,false,false,blocked_until_run337K_review_and_future_execution_packet,run337K_review_runner_scaffolds_v1,model_training;mt5_execution;threshold_retune;lot_optimization;forward_pocket_filtering;candidate_selection;Forward_Passed;Forward_Failed;live_readiness;deployment;operating_promotion;runtime_authority;Goal_Achieve,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_08_010,claim_boundary,goal_achieve,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/claim_guard_blocker_package_spec.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/claim_guard_package_review.csv,Goal Achieve is claimed before operating-worthy ONNX evidence,runner_scaffold_manifest;preflight_checklist;claim_boundary_receipt,blocked_claims;execution_flags_closed;stop_claim_response;no_goal_achieve,stop_claim_and_route_to_repair_or_runtime_evidence_review,false,schema_scaffold_only_no_execution,false,false,false,false,false,blocked_until_run337K_review_and_future_execution_packet,run337K_review_runner_scaffolds_v1,model_training;mt5_execution;threshold_retune;lot_optimization;forward_pocket_filtering;candidate_selection;Forward_Passed;Forward_Failed;live_readiness;deployment;operating_promotion;runtime_authority;Goal_Achieve,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
