gate_id,status,evidence,finding,claim_boundary
source_lineage_connected,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/runner_scaffold_source_lineage.csv,source_rows=26;all_present=True,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337I_inputs_accept_scaffold_materialization,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/accepted_packages_for_runner_scaffold_queue.csv;stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/run337J_runner_scaffold_materialization_queue.csv;stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/repair_package_gap_queue.csv,accepted=9;queue=9;repair_gaps=0,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
family_manifest_ready,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/runner_scaffold_family_manifest.csv,family_manifest_rows=9;flags_closed=True,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
scaffold_index_covers_all_families,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/runner_scaffold_index.csv,"scaffold_rows=47;family_counts={'claim_boundary': 11, 'core56': 5, 'cost_curve': 5, 'no_lookahead': 5, 'offense': 4, 'package_index': 1, 'proxy_mt5': 5, 'regime': 6, 'runtime': 5}",research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
individual_family_scaffolds_written,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/no_lookahead_runner_scaffold.csv;stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/proxy_mt5_runner_scaffold.csv;stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/core56_asof_runner_scaffold.csv;stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/cost_direction_curve_runner_scaffold.csv;stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/offense_branch_runner_scaffold.csv;stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/economic_regime_asof_runner_scaffold.csv;stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/runtime_probe_runner_scaffold.csv;stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/claim_guard_runner_scaffold.csv;stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/package_index_runner_scaffold.csv,family_scaffold_files=9,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
preflight_checklist_ready,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/preflight_checklist.csv,preflight_rows=54,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
blocked_execution_commands_ready,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/blocked_execution_command.csv,blocked_command_rows=9;blocked_closed=True,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337K_review_queue_ready,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/run337K_runner_scaffold_review_queue.csv,run337K_queue_rows=9,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
execution_training_mt5_selection_closed,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/runner_scaffold_index.csv,all scaffold rows keep execution/training/MT5/selection/Forward/runtime authority closed,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
claim_guard_no_forward_runtime_goal,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/claim_boundary_receipt.json,"run337J opens review of scaffolds only; no model training, MT5 execution, Forward decision, runtime authority, or Goal Achieve",research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
