scaffold_id,package_family,package_id,family_scaffold_artifact,source_package_artifact,source_review_artifact,required_input_identity,required_output_schema,preflight_checks,blocked_if,execution_ready,execution_status,model_training_allowed,mt5_execution_allowed,selection_allowed,forward_decision_allowed,runtime_authority_allowed,result_ingestion_status,next_review_required,forbidden,claim_boundary
run337J_01_001,no_lookahead,no_lookahead_future_bar_canary_harness_package_spec,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/no_lookahead_runner_scaffold.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/no_lookahead_canary_harness_package_spec.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/no_lookahead_package_review.csv,candidate_feature_frame;timestamp_contract;threshold_identity;risk_lot_identity;package_claim_guard,bad_control_result.csv;invalid_condition_matrix.csv;repair_receipt.json;package_claim_boundary_receipt.json,future_bar_canary;forward_pocket_canary;threshold_retune_canary;lot_optimization_canary;timestamp_basis_canary,"bad control reaches training queue, proxy expected output, MT5 package, or scorecard",false,schema_scaffold_only_no_execution,false,false,false,false,false,blocked_until_run337K_review_and_future_execution_packet,run337K_review_runner_scaffolds_v1,model_training;mt5_execution;threshold_retune;lot_optimization;forward_pocket_filtering;candidate_selection;Forward_Passed;Forward_Failed;live_readiness;deployment;operating_promotion;runtime_authority;Goal_Achieve,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_01_002,no_lookahead,no_lookahead_forward_pocket_filter_canary_harness_package_spec,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/no_lookahead_runner_scaffold.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/no_lookahead_canary_harness_package_spec.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/no_lookahead_package_review.csv,candidate_feature_frame;timestamp_contract;threshold_identity;risk_lot_identity;package_claim_guard,bad_control_result.csv;invalid_condition_matrix.csv;repair_receipt.json;package_claim_boundary_receipt.json,future_bar_canary;forward_pocket_canary;threshold_retune_canary;lot_optimization_canary;timestamp_basis_canary,"bad control reaches training queue, proxy expected output, MT5 package, or scorecard",false,schema_scaffold_only_no_execution,false,false,false,false,false,blocked_until_run337K_review_and_future_execution_packet,run337K_review_runner_scaffolds_v1,model_training;mt5_execution;threshold_retune;lot_optimization;forward_pocket_filtering;candidate_selection;Forward_Passed;Forward_Failed;live_readiness;deployment;operating_promotion;runtime_authority;Goal_Achieve,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_01_003,no_lookahead,no_threshold_retune_canary_harness_package_spec,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/no_lookahead_runner_scaffold.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/no_lookahead_canary_harness_package_spec.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/no_lookahead_package_review.csv,candidate_feature_frame;timestamp_contract;threshold_identity;risk_lot_identity;package_claim_guard,bad_control_result.csv;invalid_condition_matrix.csv;repair_receipt.json;package_claim_boundary_receipt.json,future_bar_canary;forward_pocket_canary;threshold_retune_canary;lot_optimization_canary;timestamp_basis_canary,"bad control reaches training queue, proxy expected output, MT5 package, or scorecard",false,schema_scaffold_only_no_execution,false,false,false,false,false,blocked_until_run337K_review_and_future_execution_packet,run337K_review_runner_scaffolds_v1,model_training;mt5_execution;threshold_retune;lot_optimization;forward_pocket_filtering;candidate_selection;Forward_Passed;Forward_Failed;live_readiness;deployment;operating_promotion;runtime_authority;Goal_Achieve,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_01_004,no_lookahead,no_lot_optimization_canary_harness_package_spec,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/no_lookahead_runner_scaffold.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/no_lookahead_canary_harness_package_spec.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/no_lookahead_package_review.csv,candidate_feature_frame;timestamp_contract;threshold_identity;risk_lot_identity;package_claim_guard,bad_control_result.csv;invalid_condition_matrix.csv;repair_receipt.json;package_claim_boundary_receipt.json,future_bar_canary;forward_pocket_canary;threshold_retune_canary;lot_optimization_canary;timestamp_basis_canary,"bad control reaches training queue, proxy expected output, MT5 package, or scorecard",false,schema_scaffold_only_no_execution,false,false,false,false,false,blocked_until_run337K_review_and_future_execution_packet,run337K_review_runner_scaffolds_v1,model_training;mt5_execution;threshold_retune;lot_optimization;forward_pocket_filtering;candidate_selection;Forward_Passed;Forward_Failed;live_readiness;deployment;operating_promotion;runtime_authority;Goal_Achieve,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_01_005,no_lookahead,timestamp_basis_canary_harness_package_spec,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/no_lookahead_runner_scaffold.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/no_lookahead_canary_harness_package_spec.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/no_lookahead_package_review.csv,candidate_feature_frame;timestamp_contract;threshold_identity;risk_lot_identity;package_claim_guard,bad_control_result.csv;invalid_condition_matrix.csv;repair_receipt.json;package_claim_boundary_receipt.json,future_bar_canary;forward_pocket_canary;threshold_retune_canary;lot_optimization_canary;timestamp_basis_canary,"bad control reaches training queue, proxy expected output, MT5 package, or scorecard",false,schema_scaffold_only_no_execution,false,false,false,false,false,blocked_until_run337K_review_and_future_execution_packet,run337K_review_runner_scaffolds_v1,model_training;mt5_execution;threshold_retune;lot_optimization;forward_pocket_filtering;candidate_selection;Forward_Passed;Forward_Failed;live_readiness;deployment;operating_promotion;runtime_authority;Goal_Achieve,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_02_001,proxy_mt5,m48_bal_rf_proxy_mt5_fresh_probe_package_spec,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/proxy_mt5_runner_scaffold.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/proxy_mt5_fresh_probe_package_spec.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/proxy_mt5_package_review.csv,feature_snapshot_hash;model_or_surface_spec;score_threshold_identity;risk_lot_identity;timestamp_basis,proxy_expected_values;mt5_observed_values;row_level_difference_report;usability_decision,proxy_identity;fresh_mt5_required_files;row_level_difference_schema;usability_not_kpi_authority,proxy_mt5 scaffold must pass run337K review before execution,false,schema_scaffold_only_no_execution,false,false,false,false,false,blocked_until_run337K_review_and_future_execution_packet,run337K_review_runner_scaffolds_v1,model_training;mt5_execution;threshold_retune;lot_optimization;forward_pocket_filtering;candidate_selection;Forward_Passed;Forward_Failed;live_readiness;deployment;operating_promotion;runtime_authority;Goal_Achieve,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_02_002,proxy_mt5,m48_plain_rf_proxy_mt5_fresh_probe_package_spec,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/proxy_mt5_runner_scaffold.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/proxy_mt5_fresh_probe_package_spec.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/proxy_mt5_package_review.csv,feature_snapshot_hash;model_or_surface_spec;score_threshold_identity;risk_lot_identity;timestamp_basis,proxy_expected_values;mt5_observed_values;row_level_difference_report;usability_decision,proxy_identity;fresh_mt5_required_files;row_level_difference_schema;usability_not_kpi_authority,proxy_mt5 scaffold must pass run337K review before execution,false,schema_scaffold_only_no_execution,false,false,false,false,false,blocked_until_run337K_review_and_future_execution_packet,run337K_review_runner_scaffolds_v1,model_training;mt5_execution;threshold_retune;lot_optimization;forward_pocket_filtering;candidate_selection;Forward_Passed;Forward_Failed;live_readiness;deployment;operating_promotion;runtime_authority;Goal_Achieve,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_02_003,proxy_mt5,u42_bal_rf_proxy_mt5_fresh_probe_package_spec,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/proxy_mt5_runner_scaffold.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/proxy_mt5_fresh_probe_package_spec.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/proxy_mt5_package_review.csv,feature_snapshot_hash;model_or_surface_spec;score_threshold_identity;risk_lot_identity;timestamp_basis,proxy_expected_values;mt5_observed_values;row_level_difference_report;usability_decision,proxy_identity;fresh_mt5_required_files;row_level_difference_schema;usability_not_kpi_authority,proxy_mt5 scaffold must pass run337K review before execution,false,schema_scaffold_only_no_execution,false,false,false,false,false,blocked_until_run337K_review_and_future_execution_packet,run337K_review_runner_scaffolds_v1,model_training;mt5_execution;threshold_retune;lot_optimization;forward_pocket_filtering;candidate_selection;Forward_Passed;Forward_Failed;live_readiness;deployment;operating_promotion;runtime_authority;Goal_Achieve,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_02_004,proxy_mt5,u42_plain_rf_proxy_mt5_fresh_probe_package_spec,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/proxy_mt5_runner_scaffold.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/proxy_mt5_fresh_probe_package_spec.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/proxy_mt5_package_review.csv,feature_snapshot_hash;model_or_surface_spec;score_threshold_identity;risk_lot_identity;timestamp_basis,proxy_expected_values;mt5_observed_values;row_level_difference_report;usability_decision,proxy_identity;fresh_mt5_required_files;row_level_difference_schema;usability_not_kpi_authority,proxy_mt5 scaffold must pass run337K review before execution,false,schema_scaffold_only_no_execution,false,false,false,false,false,blocked_until_run337K_review_and_future_execution_packet,run337K_review_runner_scaffolds_v1,model_training;mt5_execution;threshold_retune;lot_optimization;forward_pocket_filtering;candidate_selection;Forward_Passed;Forward_Failed;live_readiness;deployment;operating_promotion;runtime_authority;Goal_Achieve,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_02_005,proxy_mt5,core56_refresh_candidate_proxy_mt5_fresh_probe_package_spec,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/proxy_mt5_runner_scaffold.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/proxy_mt5_fresh_probe_package_spec.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/proxy_mt5_package_review.csv,feature_snapshot_hash;model_or_surface_spec;score_threshold_identity;risk_lot_identity;timestamp_basis,proxy_expected_values;mt5_observed_values;row_level_difference_report;usability_decision,proxy_identity;fresh_mt5_required_files;row_level_difference_schema;usability_not_kpi_authority,proxy_mt5 scaffold must pass run337K review before execution,false,schema_scaffold_only_no_execution,false,false,false,false,false,blocked_until_run337K_review_and_future_execution_packet,run337K_review_runner_scaffolds_v1,model_training;mt5_execution;threshold_retune;lot_optimization;forward_pocket_filtering;candidate_selection;Forward_Passed;Forward_Failed;live_readiness;deployment;operating_promotion;runtime_authority;Goal_Achieve,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
