preflight_id,package_family,check_order,requirement,evidence_artifact,current_status,execution_block_if_missing,execution_ready,next_review_required,claim_boundary
no_lookahead_01_source_artifact_exists,no_lookahead,1,"source package, review artifact, and contract identity are present",stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/no_lookahead_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
no_lookahead_02_execution_flags_closed,no_lookahead,2,"execution, training, MT5, selection, Forward decision, and runtime authority flags remain false",stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/no_lookahead_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
no_lookahead_03_identity_fields_declared,no_lookahead,3,feature/model/threshold/risk/lot/timestamp/source identities are declared where the family needs them,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/no_lookahead_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
no_lookahead_04_output_schema_declared,no_lookahead,4,future outputs are named before any later runner can execute,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/no_lookahead_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
no_lookahead_05_blocked_command_written,no_lookahead,5,execution command is blocked until run337K review and later execution packet,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/no_lookahead_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
no_lookahead_06_claim_boundary_receipt_bound,no_lookahead,6,claim boundary receipt forbids Forward/runtime/Goal claims,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/no_lookahead_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_mt5_01_source_artifact_exists,proxy_mt5,1,"source package, review artifact, and contract identity are present",stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/proxy_mt5_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_mt5_02_execution_flags_closed,proxy_mt5,2,"execution, training, MT5, selection, Forward decision, and runtime authority flags remain false",stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/proxy_mt5_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_mt5_03_identity_fields_declared,proxy_mt5,3,feature/model/threshold/risk/lot/timestamp/source identities are declared where the family needs them,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/proxy_mt5_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_mt5_04_output_schema_declared,proxy_mt5,4,future outputs are named before any later runner can execute,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/proxy_mt5_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
