row_id,stage_id,run_id,view,tier_scope,scoreboard,status,judgment,evidence_boundary,report_path,notes
stage269_open_fresh_thesis_candidate_construction_v1,269_onnx_candidate_campaign__fresh_thesis_candidate_construction,stage269_fresh_thesis_candidate_construction_open_v1,stage_open,Tier A+B reference evidence,experiment_design,opened,planning_open_no_candidate_selection,research_development_only,stages/269_onnx_candidate_campaign__fresh_thesis_candidate_construction/00_spec/stage_brief.md,"Stage269 opened after Stage268 lineage triage; next_action=run269A_design_fresh_candidate_package_queue; selected_candidate=none; onnx_readiness=not_claimed."
run269A_fresh_candidate_package_queue_design_v1,269_onnx_candidate_campaign__fresh_thesis_candidate_construction,run269A_fresh_candidate_package_queue_design_v1,candidate_package_queue_design,Tier A+B design requirement,experiment_design_queue,completed,completed_design_no_candidate_selection,research_development_only,stages/269_onnx_candidate_campaign__fresh_thesis_candidate_construction/03_reviews/run269A_queue_design.md,"queue_rows=4;selectable_seed=3;support_control=1;selected_candidate=none;onnx_readiness=not_claimed;next_action=run269B_materialize_candidate_package_blueprints."
run269B_materialized_candidate_package_blueprints_v1,269_onnx_candidate_campaign__fresh_thesis_candidate_construction,run269B_materialized_candidate_package_blueprints_v1,candidate_package_blueprint_materialization,Tier A+B blueprint requirement,experiment_design_blueprint,completed,completed_blueprint_materialization_no_candidate_selection,research_development_only,stages/269_onnx_candidate_campaign__fresh_thesis_candidate_construction/03_reviews/run269B_report.md,"blueprints=4;selectable_blueprints=3;support_control=1;artifact_lineage=connected_with_boundary;selected_candidate=none;onnx_readiness=not_claimed;next_action=run269C_materialize_scoring_handoff_inputs."
run269C_materialized_scoring_handoff_inputs_v1,269_onnx_candidate_campaign__fresh_thesis_candidate_construction,run269C_materialized_scoring_handoff_inputs_v1,scoring_handoff_input_materialization,Tier A+B input materialization requirement,stage_pipeline_materialization,completed,completed_scoring_handoff_input_materialization_no_candidate_selection,research_development_only,stages/269_onnx_candidate_campaign__fresh_thesis_candidate_construction/03_reviews/run269C_report.md,"packages=4;selectable_packages=3;support_controls=1;producer=stage_pipelines/stage269/materialize_scoring_handoff_inputs.py;selected_candidate=none;onnx_readiness=not_claimed;next_action=run269D_execute_scoring_materialization_probe."
run269D_scoring_materialization_probe_v1__tier_a,269_onnx_candidate_campaign__fresh_thesis_candidate_construction,run269D_scoring_materialization_probe_v1,scoring_materialization_probe,Tier A separate,stage_pipeline_scoring_materialization,completed,score_table_materialized_no_performance_claim,research_development_only,stages/269_onnx_candidate_campaign__fresh_thesis_candidate_construction/03_reviews/run269D_report.md,"rows=46650;packages=4;score_tables=4;selected_candidate=none;onnx_readiness=not_claimed."
run269D_scoring_materialization_probe_v1__tier_b,269_onnx_candidate_campaign__fresh_thesis_candidate_construction,run269D_scoring_materialization_probe_v1,scoring_materialization_probe,Tier B separate,stage_pipeline_scoring_materialization,completed,partial_context_score_table_materialized_no_performance_claim,research_development_only,stages/269_onnx_candidate_campaign__fresh_thesis_candidate_construction/03_reviews/run269D_report.md,"rows=46650;missing_required_features=top3_weighted_return_1|us100_minus_top3_weighted_return_1;selected_candidate=none;onnx_readiness=not_claimed."
run269D_scoring_materialization_probe_v1__tier_ab,269_onnx_candidate_campaign__fresh_thesis_candidate_construction,run269D_scoring_materialization_probe_v1,scoring_materialization_probe,Tier A+B combined,stage_pipeline_scoring_materialization,completed,combined_score_input_view_materialized_no_routed_pnl_claim,research_development_only,stages/269_onnx_candidate_campaign__fresh_thesis_candidate_construction/03_reviews/run269D_report.md,"rows=93300;synthetic_materialization_view_only;selected_candidate=none;onnx_readiness=not_claimed;next_action=run269E_screen_materialized_scores_for_stage270_aggressive_upside_queue."
run269E_materialized_score_surface_screen_v1__tier_a,269_onnx_candidate_campaign__fresh_thesis_candidate_construction,run269E_materialized_score_surface_screen_v1,score_surface_screen,Tier A separate,stage_pipeline_score_surface_screening,completed,tier_a_structural_screen_no_performance_claim,research_development_only,stages/269_onnx_candidate_campaign__fresh_thesis_candidate_construction/03_reviews/run269E_report.md,"package_count=4;queued_package=cp269A_asymmetric_nonfilter_reentry_surface;tier_a_decision_rate_cp269A=0.1824866;selected_candidate=none;onnx_readiness=not_claimed."
run269E_materialized_score_surface_screen_v1__tier_b,269_onnx_candidate_campaign__fresh_thesis_candidate_construction,run269E_materialized_score_surface_screen_v1,score_surface_screen,Tier B separate,stage_pipeline_score_surface_screening,completed,tier_b_partial_context_structural_screen_no_performance_claim,research_development_only,stages/269_onnx_candidate_campaign__fresh_thesis_candidate_construction/03_reviews/run269E_report.md,"package_count=4;queued_package=cp269A_asymmetric_nonfilter_reentry_surface;tier_b_decision_rate_cp269A=0.1824866;selected_candidate=none;onnx_readiness=not_claimed."
run269E_materialized_score_surface_screen_v1__tier_ab,269_onnx_candidate_campaign__fresh_thesis_candidate_construction,run269E_materialized_score_surface_screen_v1,score_surface_screen,Tier A+B combined,stage_pipeline_score_surface_screening,completed,stage270_queue_created_no_candidate_selection,research_development_only,stages/269_onnx_candidate_campaign__fresh_thesis_candidate_construction/03_reviews/run269E_report.md,"stage270_queue_rows=1;failure_memory_rows=2;support_control_rows=1;selected_candidate=none;onnx_readiness=not_claimed;next_action=open_stage270_aggressive_upside_probe_from_run269E_queue."
