queue_order,queue_id,priority,queue_class,candidate_id,candidate_alias,candidate_role,axis_id,axis_class,required_inputs,required_action,risk_runtime_checks,stop_rule,next_action,queue_status,selected_candidate,onnx_readiness
1,run267T_s264_aih_axis01_pool_wide_variant_distinguishability,P0,pool_wide_orthogonal_stability_materialization,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267S_axis01_pool_wide_variant_distinguishability,variant_distinguishability(변형 구분성),stages/267_adapter_research__baseline_candidate_racing_protocol/01_inputs/baseline_candidate_pool.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267R/internal_adapter_stability_followup_or_prune/next_pool_wide_stability_queue.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267O/pool_wide_balance_timeslice_trade_quality_review/candidate_test_review.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267P/pool_wide_internal_feature_order_confirmation_and_adapter_design/adapter_design_queue.csv,ablation/replacement(제거/대체) 결과가 같은 KPI shape(핵심 성과 지표 모양)으로 접히는지 후보별로 다시 물질화한다.,feature order(피처 순서);set/ini identity(설정/초기화 정체성);trade list(거래 목록);balance/equity curve(잔액/평가금 곡선);time-slice KPI(시간 구간 핵심 성과 지표),같은 약한 구간을 한 분기에서 두 번 넘게 수리하지 않는다.,run267T_build_pool_wide_orthogonal_stability_mt5_attempts,queued_for_next_materialization_not_executed,none,not_claimed
2,run267T_s264_aih_axis02_non_calendar_weak_slice_resilience,P0,pool_wide_orthogonal_stability_materialization,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267S_axis02_non_calendar_weak_slice_resilience,non_calendar_weak_slice_resilience(비달력 약점 구간 견고성),stages/267_adapter_research__baseline_candidate_racing_protocol/01_inputs/baseline_candidate_pool.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267R/internal_adapter_stability_followup_or_prune/next_pool_wide_stability_queue.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267O/pool_wide_balance_timeslice_trade_quality_review/candidate_test_review.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267P/pool_wide_internal_feature_order_confirmation_and_adapter_design/adapter_design_queue.csv,weekday/session(요일/세션)을 직접 맞추지 않고 volatility/trend/risk (변동성/추세/위험) 구조 feature(피처)로 약한 구간을 줄이는지 본다.,feature order(피처 순서);set/ini identity(설정/초기화 정체성);trade list(거래 목록);balance/equity curve(잔액/평가금 곡선);time-slice KPI(시간 구간 핵심 성과 지표),Monday/session(월요일/세션) 전용 threshold(문턱값) 반복은 중단한다.,run267T_build_pool_wide_orthogonal_stability_mt5_attempts,queued_for_next_materialization_not_executed,none,not_claimed
3,run267T_s264_aih_axis03_candidate_pool_prune_or_restore,P1,pool_wide_orthogonal_stability_materialization,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267S_axis03_candidate_pool_prune_or_restore,candidate_pool_prune_or_restore(후보군 가지치기 또는 복귀),stages/267_adapter_research__baseline_candidate_racing_protocol/01_inputs/baseline_candidate_pool.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267R/internal_adapter_stability_followup_or_prune/next_pool_wide_stability_queue.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267O/pool_wide_balance_timeslice_trade_quality_review/candidate_test_review.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267P/pool_wide_internal_feature_order_confirmation_and_adapter_design/adapter_design_queue.csv,다섯 후보 유지/탈락/회수 조건을 같은 evidence(근거) 단위로 갱신한다.,feature order(피처 순서);set/ini identity(설정/초기화 정체성);trade list(거래 목록);balance/equity curve(잔액/평가금 곡선);time-slice KPI(시간 구간 핵심 성과 지표),탈락 근거가 생긴 후보는 감정적으로 유지하지 않는다.,run267T_build_pool_wide_orthogonal_stability_mt5_attempts,queued_for_next_materialization_not_executed,none,not_claimed
4,run267T_s264_lc_axis01_pool_wide_variant_distinguishability,P0,pool_wide_orthogonal_stability_materialization,s264_lowrank_control,s264_lc,defensive_control,run267S_axis01_pool_wide_variant_distinguishability,variant_distinguishability(변형 구분성),stages/267_adapter_research__baseline_candidate_racing_protocol/01_inputs/baseline_candidate_pool.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267R/internal_adapter_stability_followup_or_prune/next_pool_wide_stability_queue.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267O/pool_wide_balance_timeslice_trade_quality_review/candidate_test_review.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267P/pool_wide_internal_feature_order_confirmation_and_adapter_design/adapter_design_queue.csv,ablation/replacement(제거/대체) 결과가 같은 KPI shape(핵심 성과 지표 모양)으로 접히는지 후보별로 다시 물질화한다.,feature order(피처 순서);set/ini identity(설정/초기화 정체성);trade list(거래 목록);balance/equity curve(잔액/평가금 곡선);time-slice KPI(시간 구간 핵심 성과 지표),같은 약한 구간을 한 분기에서 두 번 넘게 수리하지 않는다.,run267T_build_pool_wide_orthogonal_stability_mt5_attempts,queued_for_next_materialization_not_executed,none,not_claimed
5,run267T_s264_lc_axis02_non_calendar_weak_slice_resilience,P0,pool_wide_orthogonal_stability_materialization,s264_lowrank_control,s264_lc,defensive_control,run267S_axis02_non_calendar_weak_slice_resilience,non_calendar_weak_slice_resilience(비달력 약점 구간 견고성),stages/267_adapter_research__baseline_candidate_racing_protocol/01_inputs/baseline_candidate_pool.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267R/internal_adapter_stability_followup_or_prune/next_pool_wide_stability_queue.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267O/pool_wide_balance_timeslice_trade_quality_review/candidate_test_review.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267P/pool_wide_internal_feature_order_confirmation_and_adapter_design/adapter_design_queue.csv,weekday/session(요일/세션)을 직접 맞추지 않고 volatility/trend/risk (변동성/추세/위험) 구조 feature(피처)로 약한 구간을 줄이는지 본다.,feature order(피처 순서);set/ini identity(설정/초기화 정체성);trade list(거래 목록);balance/equity curve(잔액/평가금 곡선);time-slice KPI(시간 구간 핵심 성과 지표),Monday/session(월요일/세션) 전용 threshold(문턱값) 반복은 중단한다.,run267T_build_pool_wide_orthogonal_stability_mt5_attempts,queued_for_next_materialization_not_executed,none,not_claimed
6,run267T_s264_lc_axis03_candidate_pool_prune_or_restore,P1,pool_wide_orthogonal_stability_materialization,s264_lowrank_control,s264_lc,defensive_control,run267S_axis03_candidate_pool_prune_or_restore,candidate_pool_prune_or_restore(후보군 가지치기 또는 복귀),stages/267_adapter_research__baseline_candidate_racing_protocol/01_inputs/baseline_candidate_pool.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267R/internal_adapter_stability_followup_or_prune/next_pool_wide_stability_queue.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267O/pool_wide_balance_timeslice_trade_quality_review/candidate_test_review.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267P/pool_wide_internal_feature_order_confirmation_and_adapter_design/adapter_design_queue.csv,다섯 후보 유지/탈락/회수 조건을 같은 evidence(근거) 단위로 갱신한다.,feature order(피처 순서);set/ini identity(설정/초기화 정체성);trade list(거래 목록);balance/equity curve(잔액/평가금 곡선);time-slice KPI(시간 구간 핵심 성과 지표),탈락 근거가 생긴 후보는 감정적으로 유지하지 않는다.,run267T_build_pool_wide_orthogonal_stability_mt5_attempts,queued_for_next_materialization_not_executed,none,not_claimed
7,run267T_s262_lih_axis01_pool_wide_variant_distinguishability,P0,pool_wide_orthogonal_stability_materialization,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,run267S_axis01_pool_wide_variant_distinguishability,variant_distinguishability(변형 구분성),stages/267_adapter_research__baseline_candidate_racing_protocol/01_inputs/baseline_candidate_pool.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267R/internal_adapter_stability_followup_or_prune/next_pool_wide_stability_queue.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267O/pool_wide_balance_timeslice_trade_quality_review/candidate_test_review.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267P/pool_wide_internal_feature_order_confirmation_and_adapter_design/adapter_design_queue.csv,ablation/replacement(제거/대체) 결과가 같은 KPI shape(핵심 성과 지표 모양)으로 접히는지 후보별로 다시 물질화한다.,feature order(피처 순서);set/ini identity(설정/초기화 정체성);trade list(거래 목록);balance/equity curve(잔액/평가금 곡선);time-slice KPI(시간 구간 핵심 성과 지표),같은 약한 구간을 한 분기에서 두 번 넘게 수리하지 않는다.,run267T_build_pool_wide_orthogonal_stability_mt5_attempts,queued_for_next_materialization_not_executed,none,not_claimed
8,run267T_s262_lih_axis02_non_calendar_weak_slice_resilience,P0,pool_wide_orthogonal_stability_materialization,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,run267S_axis02_non_calendar_weak_slice_resilience,non_calendar_weak_slice_resilience(비달력 약점 구간 견고성),stages/267_adapter_research__baseline_candidate_racing_protocol/01_inputs/baseline_candidate_pool.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267R/internal_adapter_stability_followup_or_prune/next_pool_wide_stability_queue.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267O/pool_wide_balance_timeslice_trade_quality_review/candidate_test_review.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267P/pool_wide_internal_feature_order_confirmation_and_adapter_design/adapter_design_queue.csv,weekday/session(요일/세션)을 직접 맞추지 않고 volatility/trend/risk (변동성/추세/위험) 구조 feature(피처)로 약한 구간을 줄이는지 본다.,feature order(피처 순서);set/ini identity(설정/초기화 정체성);trade list(거래 목록);balance/equity curve(잔액/평가금 곡선);time-slice KPI(시간 구간 핵심 성과 지표),Monday/session(월요일/세션) 전용 threshold(문턱값) 반복은 중단한다.,run267T_build_pool_wide_orthogonal_stability_mt5_attempts,queued_for_next_materialization_not_executed,none,not_claimed
9,run267T_s262_lih_axis03_candidate_pool_prune_or_restore,P1,pool_wide_orthogonal_stability_materialization,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,run267S_axis03_candidate_pool_prune_or_restore,candidate_pool_prune_or_restore(후보군 가지치기 또는 복귀),stages/267_adapter_research__baseline_candidate_racing_protocol/01_inputs/baseline_candidate_pool.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267R/internal_adapter_stability_followup_or_prune/next_pool_wide_stability_queue.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267O/pool_wide_balance_timeslice_trade_quality_review/candidate_test_review.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267P/pool_wide_internal_feature_order_confirmation_and_adapter_design/adapter_design_queue.csv,다섯 후보 유지/탈락/회수 조건을 같은 evidence(근거) 단위로 갱신한다.,feature order(피처 순서);set/ini identity(설정/초기화 정체성);trade list(거래 목록);balance/equity curve(잔액/평가금 곡선);time-slice KPI(시간 구간 핵심 성과 지표),탈락 근거가 생긴 후보는 감정적으로 유지하지 않는다.,run267T_build_pool_wide_orthogonal_stability_mt5_attempts,queued_for_next_materialization_not_executed,none,not_claimed
10,run267T_s264_aia_axis01_pool_wide_variant_distinguishability,P0,pool_wide_orthogonal_stability_materialization,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267S_axis01_pool_wide_variant_distinguishability,variant_distinguishability(변형 구분성),stages/267_adapter_research__baseline_candidate_racing_protocol/01_inputs/baseline_candidate_pool.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267R/internal_adapter_stability_followup_or_prune/next_pool_wide_stability_queue.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267O/pool_wide_balance_timeslice_trade_quality_review/candidate_test_review.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267P/pool_wide_internal_feature_order_confirmation_and_adapter_design/adapter_design_queue.csv,ablation/replacement(제거/대체) 결과가 같은 KPI shape(핵심 성과 지표 모양)으로 접히는지 후보별로 다시 물질화한다.,feature order(피처 순서);set/ini identity(설정/초기화 정체성);trade list(거래 목록);balance/equity curve(잔액/평가금 곡선);time-slice KPI(시간 구간 핵심 성과 지표),같은 약한 구간을 한 분기에서 두 번 넘게 수리하지 않는다.,run267T_build_pool_wide_orthogonal_stability_mt5_attempts,queued_for_next_materialization_not_executed,none,not_claimed
