matrix_id,candidate_order,candidate_id,candidate_alias,candidate_role,axis_id,axis_class,priority,hypothesis,comparison_baseline,control_variables,changed_variables,sample_scope,source_evidence,carryover_risk,required_action,success_criteria,failure_criteria,invalid_conditions,stop_conditions,evidence_plan,materialization_status,selected_candidate,onnx_readiness
run267S_s264_aih_axis01_pool_wide_variant_distinguishability,1,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267S_axis01_pool_wide_variant_distinguishability,variant_distinguishability(변형 구분성),P0,좋은 후보라면 feature ablation(피처 제거)과 similar replacement(유사 대체)가 모두 같은 모양으로 접히지 않아야 한다.,run267N(267N 실행) pool-wide P0 surface(후보군 전체 P0 표면)와 run267Q(267Q 실행) internal reproduction(내부 재현),US100;M5;historical_2024;fixed_cost_deposit_tester_contract;same_candidate_pool;same_no_onnx_claim_boundary,"ablation/replacement axis identity(제거/대체 축 정체성), candidate-wide materialization(후보군 전체 물질화)",Tier A(티어 A) and actual routed total(실제 라우팅 전체) historical 2024 stress(2024 과거 압박),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267R/internal_adapter_stability_followup_or_prune/next_pool_wide_stability_queue.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267O/pool_wide_balance_timeslice_trade_quality_review/candidate_balance_timeslice_summary.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267P/pool_wide_internal_feature_order_confirmation_and_adapter_design/candidate_axis_decision.csv,internal_adapter_variant_collapse_and_monday_session_weakness(내부 어댑터 변형 접힘과 월요일/세션 약점),ablation/replacement(제거/대체) 결과가 같은 KPI shape(핵심 성과 지표 모양)으로 접히는지 후보별로 다시 물질화한다.,"각 후보의 변형별 curve/time-slice/trade-quality(곡선/시간구간/거래품질)가 구분되고, 약한 구간이 악화되지 않는다.",모든 변형이 같은 KPI(핵심 성과 지표) 모양으로 접히거나 Monday/session(월요일/세션) 손실이 반복된다.,"feature order(피처 순서), set/ini identity(설정/초기화 정체성), parser(파서) 불일치가 있으면 무효다.",같은 약한 구간을 한 분기에서 두 번 넘게 수리하지 않는다.,candidate_test_review;negative_slice_summary;curve_diagnostics;source_reproduction_audit;artifact_registry,matrix_materialized_no_mt5_execution_yet,none,not_claimed
run267S_s264_aih_axis02_non_calendar_weak_slice_resilience,1,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267S_axis02_non_calendar_weak_slice_resilience,non_calendar_weak_slice_resilience(비달력 약점 구간 견고성),P0,"약한 요일/세션을 직접 막는 대신, 비달력 구조 feature(피처)가 약한 구간 손실을 덜 흔들리게 해야 한다.",run267Q(267Q 실행)의 Monday/session(월요일/세션) 손실,US100;M5;historical_2024;fixed_cost_deposit_tester_contract;same_candidate_pool;same_no_onnx_claim_boundary,"volatility regime(변동성 상태), ATR compression(ATR 압축), trend strength(추세 강도) 구조 feature(피처)",2024 historical stress(2024 과거 압박) with weekday/session/hour/month(요일/세션/시간/월) KPI(핵심 성과 지표),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267R/internal_adapter_stability_followup_or_prune/next_pool_wide_stability_queue.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267O/pool_wide_balance_timeslice_trade_quality_review/candidate_balance_timeslice_summary.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267P/pool_wide_internal_feature_order_confirmation_and_adapter_design/candidate_axis_decision.csv,internal_adapter_variant_collapse_and_monday_session_weakness(내부 어댑터 변형 접힘과 월요일/세션 약점),weekday/session(요일/세션)을 직접 맞추지 않고 volatility/trend/risk (변동성/추세/위험) 구조 feature(피처)로 약한 구간을 줄이는지 본다.,전체 net/PF/DD(순수익/수익 팩터/손실폭)를 크게 훼손하지 않고 약한 구간 손실이 줄어든다.,특정 요일 또는 특정 시간만 맞추고 trade count(거래 수)가 무너지거나 다른 월이 깊게 파인다.,요일 자체를 학습 target(목표)로 과최적화하면 무효다.,Monday/session(월요일/세션) 전용 threshold(문턱값) 반복은 중단한다.,time_slice_kpi;trade_records;curve_zoom_review;failure_memory,matrix_materialized_no_mt5_execution_yet,none,not_claimed
run267S_s264_aih_axis03_candidate_pool_prune_or_restore,1,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267S_axis03_candidate_pool_prune_or_restore,candidate_pool_prune_or_restore(후보군 가지치기 또는 복귀),P1,run267Q(267Q 실행)에서 빠진 세 후보도 동일한 안정성 축에서는 다시 비교 가치가 있을 수 있다.,"Stage267(267단계) initial scoreboard(초기 점수판), run267B(267B 실행), run267O(267O 실행)",US100;M5;historical_2024;fixed_cost_deposit_tester_contract;same_candidate_pool;same_no_onnx_claim_boundary,"candidate inclusion(후보 포함), stress/control role(압박/통제 역할)",all five Baseline candidates(다섯 기준 후보) under same route interpretation(같은 라우팅 해석),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267R/internal_adapter_stability_followup_or_prune/next_pool_wide_stability_queue.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267O/pool_wide_balance_timeslice_trade_quality_review/candidate_balance_timeslice_summary.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267P/pool_wide_internal_feature_order_confirmation_and_adapter_design/candidate_axis_decision.csv,internal_adapter_variant_collapse_and_monday_session_weakness(내부 어댑터 변형 접힘과 월요일/세션 약점),다섯 후보 유지/탈락/회수 조건을 같은 evidence(근거) 단위로 갱신한다.,각 후보가 다음 연구에 왜 남는지 또는 왜 탈락하는지 근거가 생긴다.,두 후보만 반복 수리하고 나머지 후보군의 역할 판정이 비어 있다.,서로 다른 기간 또는 서로 다른 tester contract(테스터 계약)를 같은 비교처럼 쓰면 무효다.,탈락 근거가 생긴 후보는 감정적으로 유지하지 않는다.,pool_candidate_decision;candidate_role_update;negative_result_register_delta,matrix_materialized_no_mt5_execution_yet,none,not_claimed
run267S_s264_lc_axis01_pool_wide_variant_distinguishability,2,s264_lowrank_control,s264_lc,defensive_control,run267S_axis01_pool_wide_variant_distinguishability,variant_distinguishability(변형 구분성),P0,좋은 후보라면 feature ablation(피처 제거)과 similar replacement(유사 대체)가 모두 같은 모양으로 접히지 않아야 한다.,run267N(267N 실행) pool-wide P0 surface(후보군 전체 P0 표면)와 run267Q(267Q 실행) internal reproduction(내부 재현),US100;M5;historical_2024;fixed_cost_deposit_tester_contract;same_candidate_pool;same_no_onnx_claim_boundary,"ablation/replacement axis identity(제거/대체 축 정체성), candidate-wide materialization(후보군 전체 물질화)",Tier A(티어 A) and actual routed total(실제 라우팅 전체) historical 2024 stress(2024 과거 압박),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267R/internal_adapter_stability_followup_or_prune/next_pool_wide_stability_queue.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267O/pool_wide_balance_timeslice_trade_quality_review/candidate_balance_timeslice_summary.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267P/pool_wide_internal_feature_order_confirmation_and_adapter_design/candidate_axis_decision.csv,prior_failure_memory_requires_defensive_watch(이전 실패 기억으로 방어 관찰 필요),ablation/replacement(제거/대체) 결과가 같은 KPI shape(핵심 성과 지표 모양)으로 접히는지 후보별로 다시 물질화한다.,"각 후보의 변형별 curve/time-slice/trade-quality(곡선/시간구간/거래품질)가 구분되고, 약한 구간이 악화되지 않는다.",모든 변형이 같은 KPI(핵심 성과 지표) 모양으로 접히거나 Monday/session(월요일/세션) 손실이 반복된다.,"feature order(피처 순서), set/ini identity(설정/초기화 정체성), parser(파서) 불일치가 있으면 무효다.",같은 약한 구간을 한 분기에서 두 번 넘게 수리하지 않는다.,candidate_test_review;negative_slice_summary;curve_diagnostics;source_reproduction_audit;artifact_registry,matrix_materialized_no_mt5_execution_yet,none,not_claimed
run267S_s264_lc_axis02_non_calendar_weak_slice_resilience,2,s264_lowrank_control,s264_lc,defensive_control,run267S_axis02_non_calendar_weak_slice_resilience,non_calendar_weak_slice_resilience(비달력 약점 구간 견고성),P0,"약한 요일/세션을 직접 막는 대신, 비달력 구조 feature(피처)가 약한 구간 손실을 덜 흔들리게 해야 한다.",run267Q(267Q 실행)의 Monday/session(월요일/세션) 손실,US100;M5;historical_2024;fixed_cost_deposit_tester_contract;same_candidate_pool;same_no_onnx_claim_boundary,"volatility regime(변동성 상태), ATR compression(ATR 압축), trend strength(추세 강도) 구조 feature(피처)",2024 historical stress(2024 과거 압박) with weekday/session/hour/month(요일/세션/시간/월) KPI(핵심 성과 지표),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267R/internal_adapter_stability_followup_or_prune/next_pool_wide_stability_queue.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267O/pool_wide_balance_timeslice_trade_quality_review/candidate_balance_timeslice_summary.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267P/pool_wide_internal_feature_order_confirmation_and_adapter_design/candidate_axis_decision.csv,prior_failure_memory_requires_defensive_watch(이전 실패 기억으로 방어 관찰 필요),weekday/session(요일/세션)을 직접 맞추지 않고 volatility/trend/risk (변동성/추세/위험) 구조 feature(피처)로 약한 구간을 줄이는지 본다.,전체 net/PF/DD(순수익/수익 팩터/손실폭)를 크게 훼손하지 않고 약한 구간 손실이 줄어든다.,특정 요일 또는 특정 시간만 맞추고 trade count(거래 수)가 무너지거나 다른 월이 깊게 파인다.,요일 자체를 학습 target(목표)로 과최적화하면 무효다.,Monday/session(월요일/세션) 전용 threshold(문턱값) 반복은 중단한다.,time_slice_kpi;trade_records;curve_zoom_review;failure_memory,matrix_materialized_no_mt5_execution_yet,none,not_claimed
run267S_s264_lc_axis03_candidate_pool_prune_or_restore,2,s264_lowrank_control,s264_lc,defensive_control,run267S_axis03_candidate_pool_prune_or_restore,candidate_pool_prune_or_restore(후보군 가지치기 또는 복귀),P1,run267Q(267Q 실행)에서 빠진 세 후보도 동일한 안정성 축에서는 다시 비교 가치가 있을 수 있다.,"Stage267(267단계) initial scoreboard(초기 점수판), run267B(267B 실행), run267O(267O 실행)",US100;M5;historical_2024;fixed_cost_deposit_tester_contract;same_candidate_pool;same_no_onnx_claim_boundary,"candidate inclusion(후보 포함), stress/control role(압박/통제 역할)",all five Baseline candidates(다섯 기준 후보) under same route interpretation(같은 라우팅 해석),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267R/internal_adapter_stability_followup_or_prune/next_pool_wide_stability_queue.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267O/pool_wide_balance_timeslice_trade_quality_review/candidate_balance_timeslice_summary.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267P/pool_wide_internal_feature_order_confirmation_and_adapter_design/candidate_axis_decision.csv,prior_failure_memory_requires_defensive_watch(이전 실패 기억으로 방어 관찰 필요),다섯 후보 유지/탈락/회수 조건을 같은 evidence(근거) 단위로 갱신한다.,각 후보가 다음 연구에 왜 남는지 또는 왜 탈락하는지 근거가 생긴다.,두 후보만 반복 수리하고 나머지 후보군의 역할 판정이 비어 있다.,서로 다른 기간 또는 서로 다른 tester contract(테스터 계약)를 같은 비교처럼 쓰면 무효다.,탈락 근거가 생긴 후보는 감정적으로 유지하지 않는다.,pool_candidate_decision;candidate_role_update;negative_result_register_delta,matrix_materialized_no_mt5_execution_yet,none,not_claimed
run267S_s262_lih_axis01_pool_wide_variant_distinguishability,3,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,run267S_axis01_pool_wide_variant_distinguishability,variant_distinguishability(변형 구분성),P0,좋은 후보라면 feature ablation(피처 제거)과 similar replacement(유사 대체)가 모두 같은 모양으로 접히지 않아야 한다.,run267N(267N 실행) pool-wide P0 surface(후보군 전체 P0 표면)와 run267Q(267Q 실행) internal reproduction(내부 재현),US100;M5;historical_2024;fixed_cost_deposit_tester_contract;same_candidate_pool;same_no_onnx_claim_boundary,"ablation/replacement axis identity(제거/대체 축 정체성), candidate-wide materialization(후보군 전체 물질화)",Tier A(티어 A) and actual routed total(실제 라우팅 전체) historical 2024 stress(2024 과거 압박),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267R/internal_adapter_stability_followup_or_prune/next_pool_wide_stability_queue.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267O/pool_wide_balance_timeslice_trade_quality_review/candidate_balance_timeslice_summary.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267P/pool_wide_internal_feature_order_confirmation_and_adapter_design/candidate_axis_decision.csv,prior_failure_memory_requires_defensive_watch(이전 실패 기억으로 방어 관찰 필요),ablation/replacement(제거/대체) 결과가 같은 KPI shape(핵심 성과 지표 모양)으로 접히는지 후보별로 다시 물질화한다.,"각 후보의 변형별 curve/time-slice/trade-quality(곡선/시간구간/거래품질)가 구분되고, 약한 구간이 악화되지 않는다.",모든 변형이 같은 KPI(핵심 성과 지표) 모양으로 접히거나 Monday/session(월요일/세션) 손실이 반복된다.,"feature order(피처 순서), set/ini identity(설정/초기화 정체성), parser(파서) 불일치가 있으면 무효다.",같은 약한 구간을 한 분기에서 두 번 넘게 수리하지 않는다.,candidate_test_review;negative_slice_summary;curve_diagnostics;source_reproduction_audit;artifact_registry,matrix_materialized_no_mt5_execution_yet,none,not_claimed
run267S_s262_lih_axis02_non_calendar_weak_slice_resilience,3,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,run267S_axis02_non_calendar_weak_slice_resilience,non_calendar_weak_slice_resilience(비달력 약점 구간 견고성),P0,"약한 요일/세션을 직접 막는 대신, 비달력 구조 feature(피처)가 약한 구간 손실을 덜 흔들리게 해야 한다.",run267Q(267Q 실행)의 Monday/session(월요일/세션) 손실,US100;M5;historical_2024;fixed_cost_deposit_tester_contract;same_candidate_pool;same_no_onnx_claim_boundary,"volatility regime(변동성 상태), ATR compression(ATR 압축), trend strength(추세 강도) 구조 feature(피처)",2024 historical stress(2024 과거 압박) with weekday/session/hour/month(요일/세션/시간/월) KPI(핵심 성과 지표),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267R/internal_adapter_stability_followup_or_prune/next_pool_wide_stability_queue.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267O/pool_wide_balance_timeslice_trade_quality_review/candidate_balance_timeslice_summary.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267P/pool_wide_internal_feature_order_confirmation_and_adapter_design/candidate_axis_decision.csv,prior_failure_memory_requires_defensive_watch(이전 실패 기억으로 방어 관찰 필요),weekday/session(요일/세션)을 직접 맞추지 않고 volatility/trend/risk (변동성/추세/위험) 구조 feature(피처)로 약한 구간을 줄이는지 본다.,전체 net/PF/DD(순수익/수익 팩터/손실폭)를 크게 훼손하지 않고 약한 구간 손실이 줄어든다.,특정 요일 또는 특정 시간만 맞추고 trade count(거래 수)가 무너지거나 다른 월이 깊게 파인다.,요일 자체를 학습 target(목표)로 과최적화하면 무효다.,Monday/session(월요일/세션) 전용 threshold(문턱값) 반복은 중단한다.,time_slice_kpi;trade_records;curve_zoom_review;failure_memory,matrix_materialized_no_mt5_execution_yet,none,not_claimed
run267S_s262_lih_axis03_candidate_pool_prune_or_restore,3,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,run267S_axis03_candidate_pool_prune_or_restore,candidate_pool_prune_or_restore(후보군 가지치기 또는 복귀),P1,run267Q(267Q 실행)에서 빠진 세 후보도 동일한 안정성 축에서는 다시 비교 가치가 있을 수 있다.,"Stage267(267단계) initial scoreboard(초기 점수판), run267B(267B 실행), run267O(267O 실행)",US100;M5;historical_2024;fixed_cost_deposit_tester_contract;same_candidate_pool;same_no_onnx_claim_boundary,"candidate inclusion(후보 포함), stress/control role(압박/통제 역할)",all five Baseline candidates(다섯 기준 후보) under same route interpretation(같은 라우팅 해석),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267R/internal_adapter_stability_followup_or_prune/next_pool_wide_stability_queue.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267O/pool_wide_balance_timeslice_trade_quality_review/candidate_balance_timeslice_summary.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267P/pool_wide_internal_feature_order_confirmation_and_adapter_design/candidate_axis_decision.csv,prior_failure_memory_requires_defensive_watch(이전 실패 기억으로 방어 관찰 필요),다섯 후보 유지/탈락/회수 조건을 같은 evidence(근거) 단위로 갱신한다.,각 후보가 다음 연구에 왜 남는지 또는 왜 탈락하는지 근거가 생긴다.,두 후보만 반복 수리하고 나머지 후보군의 역할 판정이 비어 있다.,서로 다른 기간 또는 서로 다른 tester contract(테스터 계약)를 같은 비교처럼 쓰면 무효다.,탈락 근거가 생긴 후보는 감정적으로 유지하지 않는다.,pool_candidate_decision;candidate_role_update;negative_result_register_delta,matrix_materialized_no_mt5_execution_yet,none,not_claimed
run267S_s264_aia_axis01_pool_wide_variant_distinguishability,4,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267S_axis01_pool_wide_variant_distinguishability,variant_distinguishability(변형 구분성),P0,좋은 후보라면 feature ablation(피처 제거)과 similar replacement(유사 대체)가 모두 같은 모양으로 접히지 않아야 한다.,run267N(267N 실행) pool-wide P0 surface(후보군 전체 P0 표면)와 run267Q(267Q 실행) internal reproduction(내부 재현),US100;M5;historical_2024;fixed_cost_deposit_tester_contract;same_candidate_pool;same_no_onnx_claim_boundary,"ablation/replacement axis identity(제거/대체 축 정체성), candidate-wide materialization(후보군 전체 물질화)",Tier A(티어 A) and actual routed total(실제 라우팅 전체) historical 2024 stress(2024 과거 압박),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267R/internal_adapter_stability_followup_or_prune/next_pool_wide_stability_queue.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267O/pool_wide_balance_timeslice_trade_quality_review/candidate_balance_timeslice_summary.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267P/pool_wide_internal_feature_order_confirmation_and_adapter_design/candidate_axis_decision.csv,internal_adapter_variant_collapse_and_monday_session_weakness(내부 어댑터 변형 접힘과 월요일/세션 약점),ablation/replacement(제거/대체) 결과가 같은 KPI shape(핵심 성과 지표 모양)으로 접히는지 후보별로 다시 물질화한다.,"각 후보의 변형별 curve/time-slice/trade-quality(곡선/시간구간/거래품질)가 구분되고, 약한 구간이 악화되지 않는다.",모든 변형이 같은 KPI(핵심 성과 지표) 모양으로 접히거나 Monday/session(월요일/세션) 손실이 반복된다.,"feature order(피처 순서), set/ini identity(설정/초기화 정체성), parser(파서) 불일치가 있으면 무효다.",같은 약한 구간을 한 분기에서 두 번 넘게 수리하지 않는다.,candidate_test_review;negative_slice_summary;curve_diagnostics;source_reproduction_audit;artifact_registry,matrix_materialized_no_mt5_execution_yet,none,not_claimed
