stage_num,stage_id,classification,preflight_status,reason,candidate_id,model_id,onnx_path,model_path,decision_mode,source_contract,closeout_blocker_token,onnx_exists,model_exists,model_n_features_in,feature_count
1,stage_frontier_01__archive_synthesis_and_new_axis_lock,out_of_scope_by_claim,out_of_scope_by_claim,archive/governance stage without model runtime material,,,,,,,,,,,
2,stage_frontier_02__four_axis_joint_onnx_proxy_scout,candidate_found_pending_preflight,executable_candidate_after_preflight,all preflight checks passed,frontier02c_logreg_teacher__trend_follow_joint__mid_cash__both__q70__cd6__p34__m0__cd6,frontier02c_logreg_teacher__trend_follow_joint__mid_cash__both__q70__cd6,stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/02_runs/frontier02C_trainable_onnx_seed_surface_design_v1/models/frontier02c_logreg_teacher__trend_follow_joint__mid_cash__both__q70__cd6.onnx,stages/stage_frontier_02__four_axis_joint_onnx_proxy_scout/02_runs/frontier02C_trainable_onnx_seed_surface_design_v1/models/frontier02c_logreg_teacher__trend_follow_joint__mid_cash__both__q70__cd6.pkl,threshold_margin,probability_threshold_margin,,True,True,58,58
3,stage_frontier_03__regime_conditioned_asymmetric_onnx_labeling,candidate_found_pending_preflight,executable_candidate_after_preflight,all preflight checks passed,f03e_repair__f03b_v04_trend_easy_chop_strict__both__p40__m4__cd6,frontier03e_logreg_teacher__f03b_v04_trend_easy_chop_strict,stages/stage_frontier_03__regime_conditioned_asymmetric_onnx_labeling/02_runs/frontier03E_bounded_two_teacher_density_repair_v1/models/frontier03e_logreg_teacher__f03b_v04_trend_easy_chop_strict.onnx,stages/stage_frontier_03__regime_conditioned_asymmetric_onnx_labeling/02_runs/frontier03E_bounded_two_teacher_density_repair_v1/models/frontier03e_logreg_teacher__f03b_v04_trend_easy_chop_strict.pkl,threshold_margin,probability_threshold_margin,,True,True,58,58
4,stage_frontier_04__path_aware_cost_dd_event_labeling,candidate_found_pending_preflight,executable_candidate_after_preflight,all preflight checks passed,rf_depth5_leaf80_balanced_argmax,rf_depth5_leaf80_balanced_argmax,stages/stage_frontier_04__path_aware_cost_dd_event_labeling/02_runs/frontier04D_trainable_path_label_onnx_probe_v1/models/rf_depth5_leaf80_balanced_argmax.onnx,stages/stage_frontier_04__path_aware_cost_dd_event_labeling/02_runs/frontier04D_trainable_path_label_onnx_probe_v1/models/rf_depth5_leaf80_balanced_argmax.joblib,argmax,argmax_only_no_threshold,,True,True,58,58
5,stage_frontier_05__closed_bar_path_precursor_feature_surface,candidate_found_pending_preflight,executable_candidate_after_preflight,all preflight checks passed,frontier05_reference_v2_only__logreg_l2_c0p5_plain_argmax,logreg_l2_c0p5_plain_argmax,stages/stage_frontier_05__closed_bar_path_precursor_feature_surface/02_runs/frontier05B_closed_bar_path_precursor_feature_scout_v1/models/v2_only/logreg_l2_c0p5_plain_argmax.onnx,stages/stage_frontier_05__closed_bar_path_precursor_feature_surface/02_runs/frontier05B_closed_bar_path_precursor_feature_scout_v1/models/v2_only/logreg_l2_c0p5_plain_argmax.joblib,argmax,argmax_reference_surface,,True,True,58,58
6,stage_frontier_06__selective_probability_abstention_signal_contract,candidate_found_pending_preflight,executable_candidate_after_preflight,all preflight checks passed,rf_depth5_leaf80_balanced_argmax__directional_margin__flat1p01__margin0p00__d4p0,rf_depth5_leaf80_balanced_argmax,stages/stage_frontier_06__selective_probability_abstention_signal_contract/02_runs/frontier06B_selective_probability_abstention_signal_scout_v1/models/rf_depth5_leaf80_balanced_argmax.onnx,stages/stage_frontier_06__selective_probability_abstention_signal_contract/02_runs/frontier06B_selective_probability_abstention_signal_scout_v1/models/rf_depth5_leaf80_balanced_argmax.joblib,edge_margin,directional_margin_score_threshold_mapped_to_edge_margin,,True,True,58,58
7,stage_frontier_07__adverse_excursion_risk_shaped_labeling,candidate_found_pending_preflight,executable_candidate_after_preflight,all preflight checks passed,f07b_time_to_adverse_penalty_v1_lt0p90_st0p90_lc0p60_sc0p60_q90__v02_rw01,v02_rw01,stages/stage_frontier_07__adverse_excursion_risk_shaped_labeling/02_runs/frontier07C_class_prior_density_bridge_repair_v1/models/v02/v02_rw01.onnx,stages/stage_frontier_07__adverse_excursion_risk_shaped_labeling/02_runs/frontier07C_class_prior_density_bridge_repair_v1/models/v02/v02_rw01.joblib,argmax,"argmax_only_no_threshold(최대확률 전용, 임계값 없음)",,True,True,58,58
8,stage_frontier_08__sample_weighted_objective,candidate_found_pending_preflight,executable_candidate_after_preflight,all preflight checks passed,f07b_time_to_adverse_penalty_v1_lt0p90_st0p90_lc0p60_sc0p60_q90__f08c_f07risk_lr_plain_util_a150,f08c_f07risk_lr_plain_util_a150,stages/stage_frontier_08__sample_weighted_objective/02_runs/frontier08C_sample_weight_capped_repair_scout_v1/models/f07risk/util_a150/f08c_f07risk_lr_plain_util_a150.onnx,stages/stage_frontier_08__sample_weighted_objective/02_runs/frontier08C_sample_weight_capped_repair_scout_v1/models/f07risk/util_a150/f08c_f07risk_lr_plain_util_a150.joblib,argmax,"argmax_only_no_threshold(최대확률 전용, 임계값 없음)",,True,True,58,58
9,stage_frontier_09__drawdown_normalized_clean_path_labeling,candidate_found_pending_preflight,executable_candidate_after_preflight,all preflight checks passed,f09b_payoff_adverse_ratio_v2_lt1p00_st1p00_lc0p85_sc0p85__f09b_f09b_payoff_adverse_ratio_v2_lt1p00_st1p00_lc0p85_sc0p85_dirw1p90,f09b_f09b_payoff_adverse_ratio_v2_lt1p00_st1p00_lc0p85_sc0p85_dirw1p90,stages/stage_frontier_09__drawdown_normalized_clean_path_labeling/02_runs/frontier09C_clean_path_density_bridge_repair_v1/models/f09b_payoff_adverse_ratio_v2_lt1p00_st1p00_lc0p85_sc0p85/f09b_f09b_payoff_adverse_ratio_v2_lt1p00_st1p00_lc0p85_sc0p85_dirw1p90.onnx,stages/stage_frontier_09__drawdown_normalized_clean_path_labeling/02_runs/frontier09C_clean_path_density_bridge_repair_v1/models/f09b_payoff_adverse_ratio_v2_lt1p00_st1p00_lc0p85_sc0p85/f09b_f09b_payoff_adverse_ratio_v2_lt1p00_st1p00_lc0p85_sc0p85_dirw1p90.joblib,argmax,"argmax_only_no_threshold(최대 확률 전용, 임계값 없음)",,True,True,58,58
10,stage_frontier_10__split_consistent_utility_distillation,candidate_found_pending_preflight,executable_candidate_after_preflight,all preflight checks passed,f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3__f10c_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3_lr_c0p50_sw1p60,f10c_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3_lr_c0p50_sw1p60,stages/stage_frontier_10__split_consistent_utility_distillation/02_runs/frontier10C_utility_distillation_capped_repair_scout_v1/models/f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3/f10c_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3_lr_c0p50_sw1p60.onnx,stages/stage_frontier_10__split_consistent_utility_distillation/02_runs/frontier10C_utility_distillation_capped_repair_scout_v1/models/f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3/f10c_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3_lr_c0p50_sw1p60.joblib,argmax,"argmax_only_fixed_side_class_weight_no_threshold_no_class_prior_bridge(최대확률 전용, 고정 방향 클래스 가중, 임계값/클래스 사전분포 브리지 없음)",,True,True,58,58
