queue_id,protocol_id,branch_id,branch_name,next_action,materialize_proxy_expected_values,materialize_mt5_runtime_attempt_or_block,required_sources,required_dimensions,required_runtime_artifacts,forbidden_actions,ready_for_run335J,claim_boundary
run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1__cost_spread_slippage_grid_guard,run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1,true,true,4,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]","[""MT5 tester .ini"", ""EA .set"", ""feature/model/signal handoff identity"", ""Strategy Tester HTML report"", ""runtime telemetry CSV"", ""settings and cost identity""]","[""model training"", ""threshold retuning"", ""lot optimization"", ""direct forward pocket filter"", ""candidate selection"", ""runtime authority claim"", ""Goal Achieve claim""]",true,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1__curve_noncalendar_state_holdout,run335F_design_guarded_branch_probe_protocols_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1,true,true,5,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]","[""MT5 tester .ini"", ""EA .set"", ""feature/model/signal handoff identity"", ""Strategy Tester HTML report"", ""runtime telemetry CSV"", ""settings and cost identity""]","[""model training"", ""threshold retuning"", ""lot optimization"", ""direct forward pocket filter"", ""candidate selection"", ""runtime authority claim"", ""Goal Achieve claim""]",true,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1__direction_symmetry_no_side_drop,run335F_design_guarded_branch_probe_protocols_v1__direction_symmetry_no_side_drop,run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1,true,true,4,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]","[""MT5 tester .ini"", ""EA .set"", ""feature/model/signal handoff identity"", ""Strategy Tester HTML report"", ""runtime telemetry CSV"", ""settings and cost identity""]","[""model training"", ""threshold retuning"", ""lot optimization"", ""direct forward pocket filter"", ""candidate selection"", ""runtime authority claim"", ""Goal Achieve claim""]",true,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1__drawdown_underwater_recovery_quality,run335F_design_guarded_branch_probe_protocols_v1__drawdown_underwater_recovery_quality,run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1,true,true,5,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]","[""MT5 tester .ini"", ""EA .set"", ""feature/model/signal handoff identity"", ""Strategy Tester HTML report"", ""runtime telemetry CSV"", ""settings and cost identity""]","[""model training"", ""threshold retuning"", ""lot optimization"", ""direct forward pocket filter"", ""candidate selection"", ""runtime authority claim"", ""Goal Achieve claim""]",true,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1__regime_predeclared_macro_state,run335F_design_guarded_branch_probe_protocols_v1__regime_predeclared_macro_state,run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1,true,true,5,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]","[""MT5 tester .ini"", ""EA .set"", ""feature/model/signal handoff identity"", ""Strategy Tester HTML report"", ""runtime telemetry CSV"", ""settings and cost identity""]","[""model training"", ""threshold retuning"", ""lot optimization"", ""direct forward pocket filter"", ""candidate selection"", ""runtime authority claim"", ""Goal Achieve claim""]",true,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1__runtime_identity_strict_handoff,run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1,true,true,5,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]","[""MT5 tester .ini"", ""EA .set"", ""feature/model/signal handoff identity"", ""Strategy Tester HTML report"", ""runtime telemetry CSV"", ""settings and cost identity""]","[""model training"", ""threshold retuning"", ""lot optimization"", ""direct forward pocket filter"", ""candidate selection"", ""runtime authority claim"", ""Goal Achieve claim""]",true,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1__cp322a_exact_blocker_control,run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1,true,true,5,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]","[""MT5 tester .ini"", ""EA .set"", ""feature/model/signal handoff identity"", ""Strategy Tester HTML report"", ""runtime telemetry CSV"", ""settings and cost identity""]","[""model training"", ""threshold retuning"", ""lot optimization"", ""direct forward pocket filter"", ""candidate selection"", ""runtime authority claim"", ""Goal Achieve claim""]",true,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1__cost_curve_drawdown_interaction_guard,run335F_design_guarded_branch_probe_protocols_v1__cost_curve_drawdown_interaction_guard,run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1,true,true,8,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]","[""MT5 tester .ini"", ""EA .set"", ""feature/model/signal handoff identity"", ""Strategy Tester HTML report"", ""runtime telemetry CSV"", ""settings and cost identity""]","[""model training"", ""threshold retuning"", ""lot optimization"", ""direct forward pocket filter"", ""candidate selection"", ""runtime authority claim"", ""Goal Achieve claim""]",true,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1__regime_direction_interaction_guard,run335F_design_guarded_branch_probe_protocols_v1__regime_direction_interaction_guard,run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1,true,true,7,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]","[""MT5 tester .ini"", ""EA .set"", ""feature/model/signal handoff identity"", ""Strategy Tester HTML report"", ""runtime telemetry CSV"", ""settings and cost identity""]","[""model training"", ""threshold retuning"", ""lot optimization"", ""direct forward pocket filter"", ""candidate selection"", ""runtime authority claim"", ""Goal Achieve claim""]",true,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1__subject_swap_negative_control,run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1,true,true,10,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]","[""MT5 tester .ini"", ""EA .set"", ""feature/model/signal handoff identity"", ""Strategy Tester HTML report"", ""runtime telemetry CSV"", ""settings and cost identity""]","[""model training"", ""threshold retuning"", ""lot optimization"", ""direct forward pocket filter"", ""candidate selection"", ""runtime authority claim"", ""Goal Achieve claim""]",true,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
