protocol_id,branch_id,branch_name,current_usability_judgment,required_before_usable,usable_rule,forward_pass_fail_rule,claim_boundary
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,not_usable_yet,"[""proxy expected numeric values"", ""MT5 runtime probe result or explicit blocker"", ""proxy-MT5 difference table"", ""runtime identity and cost forensic receipt"", ""forbidden retune audit""]",usable_only_after_proxy_expected_values_and_mt5_runtime_probe_results_exist_and_difference_is_explained_by_logged_identity_cost_fill_session_or_handoff_evidence,not_allowed_in_run335I_or_run335J_until_actual_proxy_mt5_comparison_and_stage_decision_gate,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,not_usable_yet,"[""proxy expected numeric values"", ""MT5 runtime probe result or explicit blocker"", ""proxy-MT5 difference table"", ""runtime identity and cost forensic receipt"", ""forbidden retune audit""]",usable_only_after_proxy_expected_values_and_mt5_runtime_probe_results_exist_and_difference_is_explained_by_logged_identity_cost_fill_session_or_handoff_evidence,not_allowed_in_run335I_or_run335J_until_actual_proxy_mt5_comparison_and_stage_decision_gate,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__direction_symmetry_no_side_drop,run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,not_usable_yet,"[""proxy expected numeric values"", ""MT5 runtime probe result or explicit blocker"", ""proxy-MT5 difference table"", ""runtime identity and cost forensic receipt"", ""forbidden retune audit""]",usable_only_after_proxy_expected_values_and_mt5_runtime_probe_results_exist_and_difference_is_explained_by_logged_identity_cost_fill_session_or_handoff_evidence,not_allowed_in_run335I_or_run335J_until_actual_proxy_mt5_comparison_and_stage_decision_gate,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__drawdown_underwater_recovery_quality,run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,not_usable_yet,"[""proxy expected numeric values"", ""MT5 runtime probe result or explicit blocker"", ""proxy-MT5 difference table"", ""runtime identity and cost forensic receipt"", ""forbidden retune audit""]",usable_only_after_proxy_expected_values_and_mt5_runtime_probe_results_exist_and_difference_is_explained_by_logged_identity_cost_fill_session_or_handoff_evidence,not_allowed_in_run335I_or_run335J_until_actual_proxy_mt5_comparison_and_stage_decision_gate,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__regime_predeclared_macro_state,run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,not_usable_yet,"[""proxy expected numeric values"", ""MT5 runtime probe result or explicit blocker"", ""proxy-MT5 difference table"", ""runtime identity and cost forensic receipt"", ""forbidden retune audit""]",usable_only_after_proxy_expected_values_and_mt5_runtime_probe_results_exist_and_difference_is_explained_by_logged_identity_cost_fill_session_or_handoff_evidence,not_allowed_in_run335I_or_run335J_until_actual_proxy_mt5_comparison_and_stage_decision_gate,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,not_usable_yet,"[""proxy expected numeric values"", ""MT5 runtime probe result or explicit blocker"", ""proxy-MT5 difference table"", ""runtime identity and cost forensic receipt"", ""forbidden retune audit""]",usable_only_after_proxy_expected_values_and_mt5_runtime_probe_results_exist_and_difference_is_explained_by_logged_identity_cost_fill_session_or_handoff_evidence,not_allowed_in_run335I_or_run335J_until_actual_proxy_mt5_comparison_and_stage_decision_gate,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,not_usable_yet,"[""proxy expected numeric values"", ""MT5 runtime probe result or explicit blocker"", ""proxy-MT5 difference table"", ""runtime identity and cost forensic receipt"", ""forbidden retune audit""]",usable_only_after_proxy_expected_values_and_mt5_runtime_probe_results_exist_and_difference_is_explained_by_logged_identity_cost_fill_session_or_handoff_evidence,not_allowed_in_run335I_or_run335J_until_actual_proxy_mt5_comparison_and_stage_decision_gate,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cost_curve_drawdown_interaction_guard,run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,not_usable_yet,"[""proxy expected numeric values"", ""MT5 runtime probe result or explicit blocker"", ""proxy-MT5 difference table"", ""runtime identity and cost forensic receipt"", ""forbidden retune audit""]",usable_only_after_proxy_expected_values_and_mt5_runtime_probe_results_exist_and_difference_is_explained_by_logged_identity_cost_fill_session_or_handoff_evidence,not_allowed_in_run335I_or_run335J_until_actual_proxy_mt5_comparison_and_stage_decision_gate,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__regime_direction_interaction_guard,run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,not_usable_yet,"[""proxy expected numeric values"", ""MT5 runtime probe result or explicit blocker"", ""proxy-MT5 difference table"", ""runtime identity and cost forensic receipt"", ""forbidden retune audit""]",usable_only_after_proxy_expected_values_and_mt5_runtime_probe_results_exist_and_difference_is_explained_by_logged_identity_cost_fill_session_or_handoff_evidence,not_allowed_in_run335I_or_run335J_until_actual_proxy_mt5_comparison_and_stage_decision_gate,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,not_usable_yet,"[""proxy expected numeric values"", ""MT5 runtime probe result or explicit blocker"", ""proxy-MT5 difference table"", ""runtime identity and cost forensic receipt"", ""forbidden retune audit""]",usable_only_after_proxy_expected_values_and_mt5_runtime_probe_results_exist_and_difference_is_explained_by_logged_identity_cost_fill_session_or_handoff_evidence,not_allowed_in_run335I_or_run335J_until_actual_proxy_mt5_comparison_and_stage_decision_gate,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
