protocol_id,branch_id,branch_name,dimension,required_views,value_field,missing_reason_field,source_binding_rows,numeric_value_required_in,run335I_value_status,invalid_if,claim_boundary
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,net_profit,"[""tier_a_separate"", ""tier_b_separate"", ""tier_a_plus_b_combined"", ""lot_normalized"", ""cost_stress"", ""curve_pocket""]",proxy_expected_net_profit,proxy_expected_net_profit_missing_reason,4,run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1,schema_only_no_numeric_value_in_design_run,value_generated_after_threshold_or_lot_change,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,profit_factor,"[""tier_a_separate"", ""tier_b_separate"", ""tier_a_plus_b_combined"", ""lot_normalized"", ""cost_stress"", ""curve_pocket""]",proxy_expected_profit_factor,proxy_expected_profit_factor_missing_reason,4,run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1,schema_only_no_numeric_value_in_design_run,value_generated_after_threshold_or_lot_change,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,max_drawdown,"[""tier_a_separate"", ""tier_b_separate"", ""tier_a_plus_b_combined"", ""lot_normalized"", ""cost_stress"", ""curve_pocket""]",proxy_expected_max_drawdown,proxy_expected_max_drawdown_missing_reason,4,run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1,schema_only_no_numeric_value_in_design_run,value_generated_after_threshold_or_lot_change,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,trades_per_day,"[""tier_a_separate"", ""tier_b_separate"", ""tier_a_plus_b_combined"", ""lot_normalized"", ""cost_stress"", ""curve_pocket""]",proxy_expected_trades_per_day,proxy_expected_trades_per_day_missing_reason,4,run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1,schema_only_no_numeric_value_in_design_run,value_generated_after_threshold_or_lot_change,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,expectancy,"[""tier_a_separate"", ""tier_b_separate"", ""tier_a_plus_b_combined"", ""lot_normalized"", ""cost_stress"", ""curve_pocket""]",proxy_expected_expectancy,proxy_expected_expectancy_missing_reason,4,run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1,schema_only_no_numeric_value_in_design_run,value_generated_after_threshold_or_lot_change,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,recovery_factor,"[""tier_a_separate"", ""tier_b_separate"", ""tier_a_plus_b_combined"", ""lot_normalized"", ""cost_stress"", ""curve_pocket""]",proxy_expected_recovery_factor,proxy_expected_recovery_factor_missing_reason,4,run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1,schema_only_no_numeric_value_in_design_run,value_generated_after_threshold_or_lot_change,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,curve_pocket,"[""tier_a_separate"", ""tier_b_separate"", ""tier_a_plus_b_combined"", ""lot_normalized"", ""cost_stress"", ""curve_pocket""]",proxy_expected_curve_pocket,proxy_expected_curve_pocket_missing_reason,4,run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1,schema_only_no_numeric_value_in_design_run,value_generated_after_threshold_or_lot_change,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,underwater_stretch,"[""tier_a_separate"", ""tier_b_separate"", ""tier_a_plus_b_combined"", ""lot_normalized"", ""cost_stress"", ""curve_pocket""]",proxy_expected_underwater_stretch,proxy_expected_underwater_stretch_missing_reason,4,run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1,schema_only_no_numeric_value_in_design_run,value_generated_after_threshold_or_lot_change,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,lot_normalized_result,"[""tier_a_separate"", ""tier_b_separate"", ""tier_a_plus_b_combined"", ""lot_normalized"", ""cost_stress"", ""curve_pocket""]",proxy_expected_lot_normalized_result,proxy_expected_lot_normalized_result_missing_reason,4,run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1,schema_only_no_numeric_value_in_design_run,value_generated_after_threshold_or_lot_change,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,spread_slippage_stress,"[""tier_a_separate"", ""tier_b_separate"", ""tier_a_plus_b_combined"", ""lot_normalized"", ""cost_stress"", ""curve_pocket""]",proxy_expected_spread_slippage_stress,proxy_expected_spread_slippage_stress_missing_reason,4,run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1,schema_only_no_numeric_value_in_design_run,value_generated_after_threshold_or_lot_change,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
