run_id,variant_id,split,trade_index,direction,open_time,close_time,hold_bars,net_profit,session_slice,volatility_regime,trend_regime,adx_bucket,spread_regime
run50AS_et40h6_r015_a_logreg_deep_v1,et40h6_r015_a,validation,1,sell,2025-01-02 16:35:00,2025-01-02 16:50:00,3.0,-3.65,early,vol_mid,downtrend,adx_gt25,spread_low
run50AS_et40h6_r015_a_logreg_deep_v1,et40h6_r015_a,validation,2,buy,2025-01-02 16:50:00,2025-01-02 17:20:00,6.0,5.46,early,vol_high,downtrend,adx_gt25,spread_low
run50AS_et40h6_r015_a_logreg_deep_v1,et40h6_r015_a,validation,3,sell,2025-01-02 18:05:00,2025-01-02 18:10:00,1.0,-2.7,early,vol_high,downtrend,adx_gt25,spread_low
run50AS_et40h6_r015_a_logreg_deep_v1,et40h6_r015_a,validation,4,buy,2025-01-02 18:10:00,2025-01-02 18:40:00,6.0,7.37,early,vol_high,downtrend,adx_gt25,spread_low
run50AS_et40h6_r015_a_logreg_deep_v1,et40h6_r015_a,validation,5,buy,2025-01-02 18:50:00,2025-01-02 19:20:00,6.0,-4.95,mid,vol_high,range_or_weak_trend,adx_lt20,spread_low
run50AS_et40h6_r015_a_logreg_deep_v1,et40h6_r015_a,validation,6,sell,2025-01-02 19:25:00,2025-01-02 19:55:00,6.0,19.86,mid,vol_high,range_or_weak_trend,adx_lt20,spread_low
run50AS_et40h6_r015_a_logreg_deep_v1,et40h6_r015_a,validation,7,sell,2025-01-02 20:05:00,2025-01-02 20:35:00,6.0,0.76,mid,vol_high,downtrend,adx_gt25,spread_low
run50AS_et40h6_r015_a_logreg_deep_v1,et40h6_r015_a,validation,8,buy,2025-01-03 16:35:00,2025-01-03 17:05:00,6.0,9.11,early,vol_low,downtrend,adx_20_25,spread_low
run50AS_et40h6_r015_a_logreg_deep_v1,et40h6_r015_a,validation,9,sell,2025-01-03 17:15:00,2025-01-03 17:20:00,1.0,2.42,early,vol_high,downtrend,adx_gt25,spread_low
run50AS_et40h6_r015_a_logreg_deep_v1,et40h6_r015_a,validation,10,buy,2025-01-03 17:20:00,2025-01-03 17:50:00,6.0,5.09,early,vol_high,downtrend,adx_gt25,spread_low
run50AS_et40h6_r015_a_logreg_deep_v1,et40h6_r015_a,validation,11,sell,2025-01-03 17:55:00,2025-01-03 18:00:00,1.0,-2.23,early,vol_high,range_or_weak_trend,adx_lt20,spread_low
run50AS_et40h6_r015_a_logreg_deep_v1,et40h6_r015_a,validation,12,buy,2025-01-03 18:00:00,2025-01-03 18:05:00,1.0,2.27,early,vol_high,range_or_weak_trend,adx_lt20,spread_low
run50AS_et40h6_r015_a_logreg_deep_v1,et40h6_r015_a,validation,13,sell,2025-01-03 18:05:00,2025-01-03 18:20:00,3.0,1.94,early,vol_high,range_or_weak_trend,adx_lt20,spread_low
run50AS_et40h6_r015_a_logreg_deep_v1,et40h6_r015_a,validation,14,buy,2025-01-03 18:20:00,2025-01-03 18:50:00,6.0,9.62,early,vol_high,range_or_weak_trend,adx_lt20,spread_low
run50AS_et40h6_r015_a_logreg_deep_v1,et40h6_r015_a,validation,15,buy,2025-01-06 16:35:00,2025-01-06 17:05:00,6.0,4.17,early,vol_mid,downtrend,adx_20_25,spread_low
run50AS_et40h6_r015_a_logreg_deep_v1,et40h6_r015_a,validation,16,sell,2025-01-06 19:45:00,2025-01-06 20:15:00,6.0,0.86,mid,vol_low,downtrend,adx_gt25,spread_low
run50AS_et40h6_r015_a_logreg_deep_v1,et40h6_r015_a,validation,17,buy,2025-01-06 20:20:00,2025-01-06 20:50:00,6.0,-5.08,late,vol_low,downtrend,adx_gt25,spread_low
run50AS_et40h6_r015_a_logreg_deep_v1,et40h6_r015_a,validation,18,buy,2025-01-06 20:55:00,2025-01-06 21:00:00,1.0,-3.33,late,vol_low,downtrend,adx_gt25,spread_low
run50AS_et40h6_r015_a_logreg_deep_v1,et40h6_r015_a,validation,19,sell,2025-01-06 21:00:00,2025-01-06 21:10:00,2.0,0.19,late,vol_low,downtrend,adx_gt25,spread_low
run50AS_et40h6_r015_a_logreg_deep_v1,et40h6_r015_a,validation,20,buy,2025-01-06 21:10:00,2025-01-06 21:40:00,6.0,-0.6,late,vol_low,downtrend,adx_gt25,spread_low
run50AS_et40h6_r015_a_logreg_deep_v1,et40h6_r015_a,validation,21,buy,2025-01-06 22:00:00,2025-01-07 16:35:00,223.0,8.78,late,vol_mid,downtrend,adx_gt25,spread_low
run50AS_et40h6_r015_a_logreg_deep_v1,et40h6_r015_a,validation,22,sell,2025-01-07 16:35:00,2025-01-07 17:05:00,6.0,14.54,early,vol_low,range_or_weak_trend,adx_lt20,spread_low
