run_id,variant_id,split,trade_index,direction,open_time,close_time,hold_bars,net_profit,session_slice,volatility_regime,trend_regime,adx_bucket,spread_regime
run50AB_nfab_c12_h08_s300l210_b_logreg_deep_v1,nfab_c12_h08_s300l210_b,validation,1,sell,2025-01-02 16:35:00,2025-01-02 16:50:00,3.0,-3.65,early,vol_mid,downtrend,adx_gt25,spread_low
run50AB_nfab_c12_h08_s300l210_b_logreg_deep_v1,nfab_c12_h08_s300l210_b,validation,2,buy,2025-01-02 16:50:00,2025-01-02 17:30:00,8.0,-1.62,early,vol_high,downtrend,adx_gt25,spread_low
run50AB_nfab_c12_h08_s300l210_b_logreg_deep_v1,nfab_c12_h08_s300l210_b,validation,3,buy,2025-01-02 18:40:00,2025-01-02 19:20:00,8.0,-0.7,mid,vol_high,downtrend,adx_20_25,spread_low
run50AB_nfab_c12_h08_s300l210_b_logreg_deep_v1,nfab_c12_h08_s300l210_b,validation,4,sell,2025-01-02 20:25:00,2025-01-02 20:45:00,4.0,-1.83,late,vol_high,downtrend,adx_gt25,spread_low
run50AB_nfab_c12_h08_s300l210_b_logreg_deep_v1,nfab_c12_h08_s300l210_b,validation,5,buy,2025-01-02 20:45:00,2025-01-02 21:15:00,6.0,0.11,late,vol_high,downtrend,adx_gt25,spread_low
run50AB_nfab_c12_h08_s300l210_b_logreg_deep_v1,nfab_c12_h08_s300l210_b,validation,6,sell,2025-01-02 21:15:00,2025-01-02 21:30:00,3.0,-4.75,late,vol_high,downtrend,adx_gt25,spread_low
run50AB_nfab_c12_h08_s300l210_b_logreg_deep_v1,nfab_c12_h08_s300l210_b,validation,7,buy,2025-01-02 21:30:00,2025-01-02 21:50:00,4.0,0.53,late,vol_high,downtrend,adx_gt25,spread_low
run50AB_nfab_c12_h08_s300l210_b_logreg_deep_v1,nfab_c12_h08_s300l210_b,validation,8,sell,2025-01-02 21:50:00,2025-01-03 16:35:00,225.0,-21.42,late,vol_high,downtrend,adx_20_25,spread_low
run50AB_nfab_c12_h08_s300l210_b_logreg_deep_v1,nfab_c12_h08_s300l210_b,validation,9,buy,2025-01-03 16:35:00,2025-01-03 17:15:00,8.0,1.66,early,vol_low,downtrend,adx_20_25,spread_low
run50AB_nfab_c12_h08_s300l210_b_logreg_deep_v1,nfab_c12_h08_s300l210_b,validation,10,buy,2025-01-03 18:20:00,2025-01-03 19:00:00,8.0,8.29,early,vol_high,range_or_weak_trend,adx_lt20,spread_low
