input_label,input_path,exists,sha256,copy_policy,consumer,effect
run347C final decision(347C 최종 결정),stages/347_cash_open_asymmetric_source__long_short_head_design/02_runs/run347C/final_decision.json,true,849820933bbfba45c6d0743775dc9623e1ae961867a2bc4427e418f5e2c95d18,referenced_not_copied(참조만 하고 복사하지 않음),run348B_review_cash_open_asymmetric_proxy_training_without_db_v1,Stage348(348단계)은 Stage347(347단계) 산출물을 가볍게 참조한다.
run347C gate audit(347C 게이트 감사),stages/347_cash_open_asymmetric_source__long_short_head_design/02_runs/run347C/required_gate_coverage_audit.csv,true,5d152fbd06f6438014b321a76bcec77f18d35456f4997924760310f87b89aa8a,referenced_not_copied(참조만 하고 복사하지 않음),run348B_review_cash_open_asymmetric_proxy_training_without_db_v1,Stage348(348단계)은 Stage347(347단계) 산출물을 가볍게 참조한다.
proxy model scorecard(프록시 모델 점수표),stages/347_cash_open_asymmetric_source__long_short_head_design/02_runs/run347C/model_training_scorecard.csv,true,5ae1774a57b2ebd43237c066dd05546e39fd31db5c20ff9bdca591b353d3cf38,referenced_not_copied(참조만 하고 복사하지 않음),run348B_review_cash_open_asymmetric_proxy_training_without_db_v1,Stage348(348단계)은 Stage347(347단계) 산출물을 가볍게 참조한다.
proxy probe priority queue(프록시 탐침 우선순위 대기열),stages/347_cash_open_asymmetric_source__long_short_head_design/02_runs/run347C/probe_priority_queue.csv,true,447b07b10572520c991a33811e0a0c7ce2fd0fa6b456f6b3774569042bd24677,referenced_not_copied(참조만 하고 복사하지 않음),run348B_review_cash_open_asymmetric_proxy_training_without_db_v1,Stage348(348단계)은 Stage347(347단계) 산출물을 가볍게 참조한다.
proxy threshold screen(프록시 임계값 선별),stages/347_cash_open_asymmetric_source__long_short_head_design/02_runs/run347C/proxy_threshold_screen.csv,true,c98fcc09cec9734d99f83a4cc1834ace5f3dd059773c8ad9c09dbd0391a6b37e,referenced_not_copied(참조만 하고 복사하지 않음),run348B_review_cash_open_asymmetric_proxy_training_without_db_v1,Stage348(348단계)은 Stage347(347단계) 산출물을 가볍게 참조한다.
model artifact manifest(모델 산출물 목록),stages/347_cash_open_asymmetric_source__long_short_head_design/02_runs/run347C/model_artifact_manifest.csv,true,0c6efdf6e883d4959abaef068a221dd6005ccb2a1e84855c2d745f08b9de04c1,referenced_not_copied(참조만 하고 복사하지 않음),run348B_review_cash_open_asymmetric_proxy_training_without_db_v1,Stage348(348단계)은 Stage347(347단계) 산출물을 가볍게 참조한다.
feature order(피처 순서),stages/347_cash_open_asymmetric_source__long_short_head_design/02_runs/run347C/feature_order.csv,true,640b02df30a727325068621a5991971b4fadd7534962e75394a771175532b6fb,referenced_not_copied(참조만 하고 복사하지 않음),run348B_review_cash_open_asymmetric_proxy_training_without_db_v1,Stage348(348단계)은 Stage347(347단계) 산출물을 가볍게 참조한다.
label split distribution(라벨 분할 분포),stages/347_cash_open_asymmetric_source__long_short_head_design/02_runs/run347C/label_split_distribution.csv,true,f3a702308fdd8045c81dd72f51ccc7f30b541497d963b3db7d8abc9d011a995b,referenced_not_copied(참조만 하고 복사하지 않음),run348B_review_cash_open_asymmetric_proxy_training_without_db_v1,Stage348(348단계)은 Stage347(347단계) 산출물을 가볍게 참조한다.
ONNX smoke record(온엑스 점검 기록),stages/347_cash_open_asymmetric_source__long_short_head_design/02_runs/run347C/onnx_parity_smoke.csv,true,4e907ac5e843c386e766074916a3e4f7ea2ae79c58bb90341744523640d5e953,referenced_not_copied(참조만 하고 복사하지 않음),run348B_review_cash_open_asymmetric_proxy_training_without_db_v1,Stage348(348단계)은 Stage347(347단계) 산출물을 가볍게 참조한다.
training summary(학습 요약),stages/347_cash_open_asymmetric_source__long_short_head_design/02_runs/run347C/training_summary.csv,true,97bf2807415027b4ed4e1b72aea8b1919b116db1515ed6336e9137657561eee1,referenced_not_copied(참조만 하고 복사하지 않음),run348B_review_cash_open_asymmetric_proxy_training_without_db_v1,Stage348(348단계)은 Stage347(347단계) 산출물을 가볍게 참조한다.
run347C report(347C 보고서),stages/347_cash_open_asymmetric_source__long_short_head_design/03_reviews/run347C_cash_open_asymmetric_source_proxy_training.md,true,fba5307e23f3d57d3ac672b442d5b9a8c6ead7b61a861013198f7ab8b7854719,referenced_not_copied(참조만 하고 복사하지 않음),run348B_review_cash_open_asymmetric_proxy_training_without_db_v1,Stage348(348단계)은 Stage347(347단계) 산출물을 가볍게 참조한다.
