label,path,exists,sha256,size_bytes,required,producer,consumer,availability,claim_boundary
run349E final decision(349E 최종 결정),stages/349_onnx_short_carry_runtime__execute_mt5_probe/02_runs/run349E/final_decision.json,true,ff5fe24a1227f96728524719a6c798744b7f6939f538973150c41557e3124c15,1779,true,Stage349(349단계),run350A_branch_stage349_to_onnx_runtime_interop_repair_without_db_v1,tracked,state_sync_stage_branch_onnx_runtime_interop_repair_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run349E gate audit(349E 게이트 감사),stages/349_onnx_short_carry_runtime__execute_mt5_probe/02_runs/run349E/required_gate_coverage_audit.csv,true,0240f4cec48ee402dbc9aaf34091eee76d6ef1f65ce972f3be31ac6a527dc1b8,5114,true,Stage349(349단계),run350A_branch_stage349_to_onnx_runtime_interop_repair_without_db_v1,tracked,state_sync_stage_branch_onnx_runtime_interop_repair_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run349E runtime-compatible MLP summary(349E 런타임 호환 MLP 요약),stages/349_onnx_short_carry_runtime__execute_mt5_probe/02_runs/run349E/runtime_compatible_mlp_mt5_probe_summary.csv,true,c4f0cb94c5409ae91028019720e06a1f89b7471e93f2e8f68520a7854fe1af2b,1104,true,Stage349(349단계),run350A_branch_stage349_to_onnx_runtime_interop_repair_without_db_v1,tracked,state_sync_stage_branch_onnx_runtime_interop_repair_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run349E proxy/MT5 runtime difference(349E 프록시/MT5 런타임 차이),stages/349_onnx_short_carry_runtime__execute_mt5_probe/02_runs/run349E/proxy_mt5_runtime_difference.csv,true,bddb180a298668ed8228ded45641d066c04358d8ab99f437257e96fbd8f23711,3452830,true,Stage349(349단계),run350A_branch_stage349_to_onnx_runtime_interop_repair_without_db_v1,tracked,state_sync_stage_branch_onnx_runtime_interop_repair_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run349E expected tape(349E 예상 테이프),stages/349_onnx_short_carry_runtime__execute_mt5_probe/02_runs/run349E/expected_tape.csv,true,7473dfa8a6925a390102b0fcb47263c154850523ff3a56ddce0d5f0374867e55,7501898,true,Stage349(349단계),run350A_branch_stage349_to_onnx_runtime_interop_repair_without_db_v1,tracked,state_sync_stage_branch_onnx_runtime_interop_repair_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run349E run manifest(349E 실행 목록),stages/349_onnx_short_carry_runtime__execute_mt5_probe/02_runs/run349E/run_manifest.json,true,7b42f010ad15c1c380367f919fdeccdfabd155f5ac0330dfa21013b998260dbe,9782,true,Stage349(349단계),run350A_branch_stage349_to_onnx_runtime_interop_repair_without_db_v1,tracked,state_sync_stage_branch_onnx_runtime_interop_repair_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run349E artifact lineage(349E 산출물 계보),stages/349_onnx_short_carry_runtime__execute_mt5_probe/02_runs/run349E/artifact_lineage_receipt.json,true,35cd994357f1855f2a2defc47d479a32e7027615519a0f54753b4dbc94d8c64d,6554,true,Stage349(349단계),run350A_branch_stage349_to_onnx_runtime_interop_repair_without_db_v1,tracked,state_sync_stage_branch_onnx_runtime_interop_repair_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run349E report(349E 보고서),stages/349_onnx_short_carry_runtime__execute_mt5_probe/03_reviews/run349E_runtime_compatible_mlp_operator_pivot_probe.md,true,dc23dbcb5c6bf54f4c069c98011fb14767d0bfdd6168af5cc8f780c5fdfbed06,1561,true,Stage349(349단계),run350A_branch_stage349_to_onnx_runtime_interop_repair_without_db_v1,tracked,state_sync_stage_branch_onnx_runtime_interop_repair_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run349D no-conversion final decision(349D no-conversion 최종 결정),stages/349_onnx_short_carry_runtime__execute_mt5_probe/02_runs/run349D/final_decision.json,true,4a3a39f798e668e154008e88bb5ab06fb17b036a835372e18b3117ebe26dfa80,2395,true,Stage349(349단계),run350A_branch_stage349_to_onnx_runtime_interop_repair_without_db_v1,tracked,state_sync_stage_branch_onnx_runtime_interop_repair_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run349D no-conversion report(349D no-conversion 보고서),stages/349_onnx_short_carry_runtime__execute_mt5_probe/03_reviews/run349D_onnx_no_conversion_runtime_parity_diagnostic.md,true,c2cf8bf6ade58e78a523f2832225cdd9f95b08ed305baf3f1d8100fecac394e1,2300,true,Stage349(349단계),run350A_branch_stage349_to_onnx_runtime_interop_repair_without_db_v1,tracked,state_sync_stage_branch_onnx_runtime_interop_repair_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run349E producer script(349E 생산 스크립트),stage_pipelines/stage349/repair_treeensemble_onnx_operator_or_pivot_model_family_without_db.py,true,1c07d49cf54b77deb0c9a55a7146325309ccd96a844a81164024de4304307e3d,66973,true,Stage349(349단계),run350A_branch_stage349_to_onnx_runtime_interop_repair_without_db_v1,tracked,state_sync_stage_branch_onnx_runtime_interop_repair_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run349D diagnostic script(349D 진단 스크립트),stage_pipelines/stage349/test_onnx_no_conversion_runtime_parity_diagnostic_without_db.py,true,dbfa05df73cf0f0174fc4f7403a7f09818468eec03e18e8ce1aa3e7b2d7686f5,59311,true,Stage349(349단계),run350A_branch_stage349_to_onnx_runtime_interop_repair_without_db_v1,tracked,state_sync_stage_branch_onnx_runtime_interop_repair_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
Stage349 selection status(349단계 선택 상태),stages/349_onnx_short_carry_runtime__execute_mt5_probe/04_selected/selection_status.md,true,058e2a1607a2dffccedf5e2859ace1afd7634cb346567a64de9398131366418c,1228,true,Stage349(349단계),run350A_branch_stage349_to_onnx_runtime_interop_repair_without_db_v1,tracked,state_sync_stage_branch_onnx_runtime_interop_repair_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
Stage349 stage brief(349단계 개요),stages/349_onnx_short_carry_runtime__execute_mt5_probe/00_spec/stage_brief.md,true,af9ecb88c472b4499e1d2e3c5d5e4840da5f484150f352f18e210ebdbec097cf,1976,true,Stage349(349단계),run350A_branch_stage349_to_onnx_runtime_interop_repair_without_db_v1,tracked,state_sync_stage_branch_onnx_runtime_interop_repair_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
