run_id,split,entry_hour_utc,cash_phase,adx_bucket,candidate_signal_bars,blocked_signal_bars_current,block_rate,reintroduced_signal_bars_if_block_min_40,reintroduced_signal_bars_if_block_min_42,evidence_boundary(근거 경계),effect(효과),claim_boundary(주장 경계)
run364U_materialize_density_side_balance_repair_inputs_without_db_v1,oos,18,cash_open_to_midday(현금장 초중반),gte45,33,33,1.0,0,0,bar_signal_attribution_not_trade_count(봉 신호 귀속이며 거래수 아님),which sessions lost density under ADX filtering(ADX 필터로 밀도가 줄어든 세션 확인),research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364U_materialize_density_side_balance_repair_inputs_without_db_v1,oos,17,cash_open_to_midday(현금장 초중반),current_to_40,32,32,1.0,32,32,bar_signal_attribution_not_trade_count(봉 신호 귀속이며 거래수 아님),which sessions lost density under ADX filtering(ADX 필터로 밀도가 줄어든 세션 확인),research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364U_materialize_density_side_balance_repair_inputs_without_db_v1,oos,17,cash_open_to_midday(현금장 초중반),40_to_42,31,31,1.0,0,31,bar_signal_attribution_not_trade_count(봉 신호 귀속이며 거래수 아님),which sessions lost density under ADX filtering(ADX 필터로 밀도가 줄어든 세션 확인),research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364U_materialize_density_side_balance_repair_inputs_without_db_v1,oos,17,cash_open_to_midday(현금장 초중반),gte45,31,31,1.0,0,0,bar_signal_attribution_not_trade_count(봉 신호 귀속이며 거래수 아님),which sessions lost density under ADX filtering(ADX 필터로 밀도가 줄어든 세션 확인),research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364U_materialize_density_side_balance_repair_inputs_without_db_v1,oos,18,cash_open_to_midday(현금장 초중반),42_to_45,25,25,1.0,0,0,bar_signal_attribution_not_trade_count(봉 신호 귀속이며 거래수 아님),which sessions lost density under ADX filtering(ADX 필터로 밀도가 줄어든 세션 확인),research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364U_materialize_density_side_balance_repair_inputs_without_db_v1,oos,18,cash_open_to_midday(현금장 초중반),40_to_42,23,23,1.0,0,23,bar_signal_attribution_not_trade_count(봉 신호 귀속이며 거래수 아님),which sessions lost density under ADX filtering(ADX 필터로 밀도가 줄어든 세션 확인),research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364U_materialize_density_side_balance_repair_inputs_without_db_v1,oos,17,cash_open_to_midday(현금장 초중반),42_to_45,21,21,1.0,0,0,bar_signal_attribution_not_trade_count(봉 신호 귀속이며 거래수 아님),which sessions lost density under ADX filtering(ADX 필터로 밀도가 줄어든 세션 확인),research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364U_materialize_density_side_balance_repair_inputs_without_db_v1,oos,18,cash_open_to_midday(현금장 초중반),current_to_40,14,14,1.0,14,14,bar_signal_attribution_not_trade_count(봉 신호 귀속이며 거래수 아님),which sessions lost density under ADX filtering(ADX 필터로 밀도가 줄어든 세션 확인),research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364U_materialize_density_side_balance_repair_inputs_without_db_v1,oos,16,cash_open_to_midday(현금장 초중반),gte45,11,11,1.0,0,0,bar_signal_attribution_not_trade_count(봉 신호 귀속이며 거래수 아님),which sessions lost density under ADX filtering(ADX 필터로 밀도가 줄어든 세션 확인),research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364U_materialize_density_side_balance_repair_inputs_without_db_v1,oos,20,cash_late(현금장 후반),current_to_40,10,10,1.0,10,10,bar_signal_attribution_not_trade_count(봉 신호 귀속이며 거래수 아님),which sessions lost density under ADX filtering(ADX 필터로 밀도가 줄어든 세션 확인),research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
