source_path,exists,sha256,row_count_or_keys,package_use,forbidden_use,lineage_status,claim_boundary
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/run337H_package_materialization_queue.csv,true,a92ae530e8c8aaedd2e994eaf2ce53cb55ab5c5c3b22f6acf89b6d4f22ea0afb,8,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/accepted_blueprints_for_package_queue.csv,true,74616d5fe27a8a941468f4d490a93be95b203a66545f48c05286a0fabafa04b3,8,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/blueprint_review_source_lineage.csv,true,c8e3fe226e44f87dae14b8ddb49eb9288e57d750a16cf918cd4e8a4c7c9da388,19,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/no_lookahead_harness_blueprint_review.csv,true,1ebd8304a10b8a2e6ad0b38dff76906829394d85548923a464ed11e42fd09819,1,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/proxy_mt5_blueprint_review.csv,true,e3d0b94350555b0ce45f7ed82efbf356c1ef7c5c26000cb7e782290a77e128cd,1,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/core56_repair_blueprint_review.csv,true,4ea4a90868012d844ee522d37aeb8fb836e6f470f6a277c0f98d4bf20464aafb,1,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/cost_direction_curve_extraction_blueprint_review.csv,true,0c03384a75b5ef63ac9d341c815e40056241bd98819e2269a62b1e66413a2c44,1,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/offense_branch_blueprint_review.csv,true,c3855bbc3862c458b3e9591af28f8339d62bd843390e800a874b26ea81ec0d4e,1,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/economic_regime_asof_blueprint_review.csv,true,c6256e245cb780a981431917dae35150f23dfa1848276982a8646c80496d42b0,1,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/runtime_probe_package_blueprint_review.csv,true,a874c38e0eca0286b18bc70611b852d19b10ebf99998016de244a5ad256634d2,1,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
