gate_id,status,evidence,finding,claim_boundary
source_lineage_connected,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/package_source_lineage_review.csv,source_rows=28;all_present=True,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337G_inputs_accepted,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/accepted_blueprints_for_package_queue.csv;stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/required_gate_coverage_audit.csv;stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/repair_blueprint_gap_queue.csv,run337G_gates_pass=True;accepted=True;repair_gaps=0,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
no_lookahead_package_ready,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/no_lookahead_canary_harness_package_spec.csv,rows=5,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_mt5_package_ready,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/proxy_mt5_fresh_probe_package_spec.csv,rows=5,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
core56_package_ready,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/core56_asof_repair_package_spec.csv,rows=5,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_direction_curve_package_ready,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/cost_direction_curve_extraction_package_spec.csv,rows=5,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_package_training_closed,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/offense_branch_thesis_package_spec.csv,rows=4,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_package_ready,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/economic_regime_asof_join_package_spec.csv,rows=6,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_package_probe_only,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/runtime_probe_package_spec.csv,rows=5,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
claim_guard_blocker_ready,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/claim_guard_blocker_package_spec.csv,blocker_rows=11,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
all_packages_execution_closed,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/package_manifest_index.csv,execution_training_mt5_closed=True,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
package_acceptance_ready,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/package_acceptance_matrix.csv,acceptance_rows=8;accepted=True,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337I_review_queue_ready,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/run337I_package_review_queue.csv,run337I_queue_rows=9,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
