row_id,stage_id,run_id,view,tier_scope,scoreboard,status,judgment,evidence_boundary,report_path,notes
stage274_post_q04_failure_candidate_rebuild_open_v1__stage_open,274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild,stage274_post_q04_failure_candidate_rebuild_open_v1,stage_open_candidate_rebuild_after_q04_failure,Tier A+B candidate rebuild planning,stage_open,opened_post_q04_stability_failure_candidate_rebuild_no_candidate_selection,stage_open_no_candidate_selection,stage_open_only_no_candidate_no_onnx,stages/274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild/00_spec/stage_brief.md,source_run=run273C_close_stage273_open_stage274_candidate_rebuild_v1;next_action=run274A_design_post_q04_failure_candidate_rebuild_packet.
run274A_design_post_q04_failure_candidate_rebuild_packet_v1__cp274A_session_loss_asymmetry_router,274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild,run274A_design_post_q04_failure_candidate_rebuild_packet_v1,candidate_rebuild_thesis_cp274A_session_loss_asymmetry_router,Tier A+B design scope,experiment_design,completed_post_q04_failure_candidate_rebuild_packet_design_no_candidate_selection,selectable_fresh_thesis(선택 가능 새 논제),design_only_no_candidate_no_onnx,stages/274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild/03_reviews/run274A_report.md,Reject if validation/OOS(검증/표본외) trade count falls below q04 by more than 35% without PF/DD improvement(수익 팩터/손실폭 개선).
run274A_design_post_q04_failure_candidate_rebuild_packet_v1__cp274B_month_regime_resilience_surface,274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild,run274A_design_post_q04_failure_candidate_rebuild_packet_v1,candidate_rebuild_thesis_cp274B_month_regime_resilience_surface,Tier A+B design scope,experiment_design,completed_post_q04_failure_candidate_rebuild_packet_design_no_candidate_selection,selectable_fresh_thesis(선택 가능 새 논제),design_only_no_candidate_no_onnx,stages/274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild/03_reviews/run274A_report.md,Reject if gains vanish outside the named weak months(명명된 약한 월 밖에서 이익 소멸).
run274A_design_post_q04_failure_candidate_rebuild_packet_v1__cp274C_drawdown_recovery_context_router,274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild,run274A_design_post_q04_failure_candidate_rebuild_packet_v1,candidate_rebuild_thesis_cp274C_drawdown_recovery_context_router,Tier A+B design scope,experiment_design,completed_post_q04_failure_candidate_rebuild_packet_design_no_candidate_selection,selectable_fresh_thesis(선택 가능 새 논제),design_only_no_candidate_no_onnx,stages/274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild/03_reviews/run274A_report.md,Reject if worst-hour net(최악 시간 순수익) improves but monthly collapse(월별 붕괴)가 유지된다.
run274A_design_post_q04_failure_candidate_rebuild_packet_v1__cp274D_q04_failure_boundary_control,274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild,run274A_design_post_q04_failure_candidate_rebuild_packet_v1,candidate_rebuild_thesis_cp274D_q04_failure_boundary_control,Tier A+B design scope,experiment_design,completed_post_q04_failure_candidate_rebuild_packet_design_no_candidate_selection,support_control(보조 대조),design_only_no_candidate_no_onnx,stages/274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild/03_reviews/run274A_report.md,"Never promote; use as reference only(승격 금지, 참조만)."
run274B_materialize_post_q04_failure_candidate_package_blueprints_v1__cp274A_session_loss_asymmetry_router,274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild,run274B_materialize_post_q04_failure_candidate_package_blueprints_v1,materialized_blueprint_cp274A_session_loss_asymmetry_router,Tier A+B blueprint requirement,experiment_design_blueprint,completed_post_q04_failure_candidate_package_blueprint_materialization_no_candidate_selection,selectable_blueprint,blueprint_only_no_candidate_no_onnx,stages/274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild/03_reviews/run274B_report.md,blueprint_hash=8b186b977e4442e155a5bf8bdfc67392a5a741352af3da717aa4afb523c21d8c
run274B_materialize_post_q04_failure_candidate_package_blueprints_v1__cp274B_month_regime_resilience_surface,274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild,run274B_materialize_post_q04_failure_candidate_package_blueprints_v1,materialized_blueprint_cp274B_month_regime_resilience_surface,Tier A+B blueprint requirement,experiment_design_blueprint,completed_post_q04_failure_candidate_package_blueprint_materialization_no_candidate_selection,selectable_blueprint,blueprint_only_no_candidate_no_onnx,stages/274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild/03_reviews/run274B_report.md,blueprint_hash=509d64215521e86b0f70b938682d798e460c5a5745779d98a5c9d40e9bee4fae
run274B_materialize_post_q04_failure_candidate_package_blueprints_v1__cp274C_drawdown_recovery_context_router,274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild,run274B_materialize_post_q04_failure_candidate_package_blueprints_v1,materialized_blueprint_cp274C_drawdown_recovery_context_router,Tier A+B blueprint requirement,experiment_design_blueprint,completed_post_q04_failure_candidate_package_blueprint_materialization_no_candidate_selection,selectable_blueprint,blueprint_only_no_candidate_no_onnx,stages/274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild/03_reviews/run274B_report.md,blueprint_hash=558709b67fe28c3bb3025866e27bc0a13d6f469d58561fc09d2d623742a95589
run274B_materialize_post_q04_failure_candidate_package_blueprints_v1__cp274D_q04_failure_boundary_control,274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild,run274B_materialize_post_q04_failure_candidate_package_blueprints_v1,materialized_blueprint_cp274D_q04_failure_boundary_control,Tier A+B blueprint requirement,experiment_design_blueprint,completed_post_q04_failure_candidate_package_blueprint_materialization_no_candidate_selection,support_control,blueprint_only_no_candidate_no_onnx,stages/274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild/03_reviews/run274B_report.md,blueprint_hash=97a6204cc4a64105b166051cbb4773f00cb91acee8b51e2155752a1e3d3518f9
run274C_materialize_post_q04_failure_scoring_handoff_inputs_v1__cp274A_session_loss_asymmetry_router,274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild,run274C_materialize_post_q04_failure_scoring_handoff_inputs_v1,scoring_handoff_input_spec_cp274A_session_loss_asymmetry_router,Tier A/B paired input boundary,structural_scout,completed_post_q04_failure_scoring_handoff_input_materialization_no_candidate_selection,complete,input_materialization_only_no_candidate_no_onnx,stages/274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild/03_reviews/run274C_report.md,handoff_skeleton_hash=cccc09a4a99755669ea7fc4b9fbc88a216bbbe24a079ab82c3ebb541f6660ed5
