package_id,package_role,record_view,rows,active_signal_count,active_signal_rate,long_count,short_count,mean_primary_score,mean_model_risk_pct,score_table_path,score_table_hash,judgment,claim_boundary
cp274A_session_loss_asymmetry_router,selectable_blueprint,Tier A separate,46650,11307,0.24237942,5220,6087,0.54115114,0.41263594,stages/274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild/02_runs/run274D/score_tables/cp274A_scores.parquet,ad78706ab8d225e87768f05292b9a2887415931ca1b4ebdf86387245dce04f40,score_surface_materialized_no_candidate_selection,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
cp274A_session_loss_asymmetry_router,selectable_blueprint,Tier B separate,46650,11307,0.24237942,5220,6087,0.54115114,0.41263594,stages/274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild/02_runs/run274D/score_tables/cp274A_scores.parquet,ad78706ab8d225e87768f05292b9a2887415931ca1b4ebdf86387245dce04f40,score_surface_materialized_no_candidate_selection,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
cp274A_session_loss_asymmetry_router,selectable_blueprint,Tier A+B combined,93300,22614,0.24237942,10440,12174,0.54115114,0.41263594,stages/274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild/02_runs/run274D/score_tables/cp274A_scores.parquet,ad78706ab8d225e87768f05292b9a2887415931ca1b4ebdf86387245dce04f40,score_surface_materialized_no_candidate_selection,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
cp274B_month_regime_resilience_surface,selectable_blueprint,Tier A separate,46650,10124,0.21702036,4675,5449,0.54608541,0.41810641,stages/274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild/02_runs/run274D/score_tables/cp274B_scores.parquet,ebfaa4c5fa62e3e519eeb5e7acd2168e04ec9ea2b314a2a8c93d498d77b8eaee,score_surface_materialized_no_candidate_selection,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
cp274B_month_regime_resilience_surface,selectable_blueprint,Tier B separate,46650,10124,0.21702036,4675,5449,0.54608541,0.41810641,stages/274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild/02_runs/run274D/score_tables/cp274B_scores.parquet,ebfaa4c5fa62e3e519eeb5e7acd2168e04ec9ea2b314a2a8c93d498d77b8eaee,score_surface_materialized_no_candidate_selection,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
cp274B_month_regime_resilience_surface,selectable_blueprint,Tier A+B combined,93300,20248,0.21702036,9350,10898,0.54608541,0.41810641,stages/274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild/02_runs/run274D/score_tables/cp274B_scores.parquet,ebfaa4c5fa62e3e519eeb5e7acd2168e04ec9ea2b314a2a8c93d498d77b8eaee,score_surface_materialized_no_candidate_selection,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
cp274C_drawdown_recovery_context_router,selectable_blueprint,Tier A separate,46650,11281,0.24182208,5206,6075,0.51201847,0.37009669,stages/274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild/02_runs/run274D/score_tables/cp274C_scores.parquet,41ed9dee02a375807cfa6569cc83c5c6b805ecd136ab24dc1e25b4c0d2f0bd15,score_surface_materialized_no_candidate_selection,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
cp274C_drawdown_recovery_context_router,selectable_blueprint,Tier B separate,46650,11281,0.24182208,5206,6075,0.51201847,0.37009669,stages/274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild/02_runs/run274D/score_tables/cp274C_scores.parquet,41ed9dee02a375807cfa6569cc83c5c6b805ecd136ab24dc1e25b4c0d2f0bd15,score_surface_materialized_no_candidate_selection,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
cp274C_drawdown_recovery_context_router,selectable_blueprint,Tier A+B combined,93300,22562,0.24182208,10412,12150,0.51201847,0.37009669,stages/274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild/02_runs/run274D/score_tables/cp274C_scores.parquet,41ed9dee02a375807cfa6569cc83c5c6b805ecd136ab24dc1e25b4c0d2f0bd15,score_surface_materialized_no_candidate_selection,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
cp274D_q04_failure_boundary_control,support_control,Tier A separate,46650,11307,0.24237942,5220,6087,0.42900715,0.24237942,stages/274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild/02_runs/run274D/score_tables/cp274D_scores.parquet,2b758916aa1e380be18940a8f9bafa684f921a7654a7bc0d3e86be3b9a964752,score_surface_materialized_no_candidate_selection,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
cp274D_q04_failure_boundary_control,support_control,Tier B separate,46650,11307,0.24237942,5220,6087,0.42900715,0.24237942,stages/274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild/02_runs/run274D/score_tables/cp274D_scores.parquet,2b758916aa1e380be18940a8f9bafa684f921a7654a7bc0d3e86be3b9a964752,score_surface_materialized_no_candidate_selection,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
cp274D_q04_failure_boundary_control,support_control,Tier A+B combined,93300,22614,0.24237942,10440,12174,0.42900715,0.24237942,stages/274_onnx_candidate_campaign__post_q04_stability_failure_candidate_rebuild/02_runs/run274D/score_tables/cp274D_scores.parquet,2b758916aa1e380be18940a8f9bafa684f921a7654a7bc0d3e86be3b9a964752,score_surface_materialized_no_candidate_selection,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
