template_id,subject,dimension,required_input_identity,required_output_fields,prior_context_proxy_value,prior_context_mt5_value,prior_context_source,prior_context_use,current_expected_value_status,timestamp_basis_required,row_level_required,fresh_mt5_required,selection_use,forward_decision_use,claim_boundary
m48_bal_rf_feature_ready_count_proxy_expected_template,m48_bal_rf,feature_ready_count,feature_snapshot_hash;model_or_surface_spec;score_threshold_identity;risk_lot_identity;timestamp_basis,candidate_id;cycle_bar_time;score;decision;direction;D_source;B_source;D_plus_B;threshold_id;feature_hash;model_hash;timestamp_basis;source_row_hash;score_bucket,5553,5553,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337B/proxy_expected_signal_values.csv,signal_sanity_context_only_not_kpi_authority,pending_future_proxy_materialization_after_run337M_review,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,true,true,blocked,blocked,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf_model_ok_count_proxy_expected_template,m48_bal_rf,model_ok_count,feature_snapshot_hash;model_or_surface_spec;score_threshold_identity;risk_lot_identity;timestamp_basis,candidate_id;cycle_bar_time;score;decision;direction;D_source;B_source;D_plus_B;threshold_id;feature_hash;model_hash;timestamp_basis;source_row_hash;score_bucket,5553,5553,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337B/proxy_expected_signal_values.csv,signal_sanity_context_only_not_kpi_authority,pending_future_proxy_materialization_after_run337M_review,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,true,true,blocked,blocked,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf_long_count_proxy_expected_template,m48_bal_rf,long_count,feature_snapshot_hash;model_or_surface_spec;score_threshold_identity;risk_lot_identity;timestamp_basis,candidate_id;cycle_bar_time;score;decision;direction;D_source;B_source;D_plus_B;threshold_id;feature_hash;model_hash;timestamp_basis;source_row_hash;score_bucket,2056,2056,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337B/proxy_expected_signal_values.csv,signal_sanity_context_only_not_kpi_authority,pending_future_proxy_materialization_after_run337M_review,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,true,true,blocked,blocked,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf_short_count_proxy_expected_template,m48_bal_rf,short_count,feature_snapshot_hash;model_or_surface_spec;score_threshold_identity;risk_lot_identity;timestamp_basis,candidate_id;cycle_bar_time;score;decision;direction;D_source;B_source;D_plus_B;threshold_id;feature_hash;model_hash;timestamp_basis;source_row_hash;score_bucket,336,336,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337B/proxy_expected_signal_values.csv,signal_sanity_context_only_not_kpi_authority,pending_future_proxy_materialization_after_run337M_review,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,true,true,blocked,blocked,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf_flat_count_proxy_expected_template,m48_bal_rf,flat_count,feature_snapshot_hash;model_or_surface_spec;score_threshold_identity;risk_lot_identity;timestamp_basis,candidate_id;cycle_bar_time;score;decision;direction;D_source;B_source;D_plus_B;threshold_id;feature_hash;model_hash;timestamp_basis;source_row_hash;score_bucket,3161,3161,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337B/proxy_expected_signal_values.csv,signal_sanity_context_only_not_kpi_authority,pending_future_proxy_materialization_after_run337M_review,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,true,true,blocked,blocked,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf_feature_ready_count_proxy_expected_template,m48_plain_rf,feature_ready_count,feature_snapshot_hash;model_or_surface_spec;score_threshold_identity;risk_lot_identity;timestamp_basis,candidate_id;cycle_bar_time;score;decision;direction;D_source;B_source;D_plus_B;threshold_id;feature_hash;model_hash;timestamp_basis;source_row_hash;score_bucket,5553,5553,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337B/proxy_expected_signal_values.csv,signal_sanity_context_only_not_kpi_authority,pending_future_proxy_materialization_after_run337M_review,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,true,true,blocked,blocked,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf_model_ok_count_proxy_expected_template,m48_plain_rf,model_ok_count,feature_snapshot_hash;model_or_surface_spec;score_threshold_identity;risk_lot_identity;timestamp_basis,candidate_id;cycle_bar_time;score;decision;direction;D_source;B_source;D_plus_B;threshold_id;feature_hash;model_hash;timestamp_basis;source_row_hash;score_bucket,5553,5553,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337B/proxy_expected_signal_values.csv,signal_sanity_context_only_not_kpi_authority,pending_future_proxy_materialization_after_run337M_review,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,true,true,blocked,blocked,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf_long_count_proxy_expected_template,m48_plain_rf,long_count,feature_snapshot_hash;model_or_surface_spec;score_threshold_identity;risk_lot_identity;timestamp_basis,candidate_id;cycle_bar_time;score;decision;direction;D_source;B_source;D_plus_B;threshold_id;feature_hash;model_hash;timestamp_basis;source_row_hash;score_bucket,2457,2457,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337B/proxy_expected_signal_values.csv,signal_sanity_context_only_not_kpi_authority,pending_future_proxy_materialization_after_run337M_review,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,true,true,blocked,blocked,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf_short_count_proxy_expected_template,m48_plain_rf,short_count,feature_snapshot_hash;model_or_surface_spec;score_threshold_identity;risk_lot_identity;timestamp_basis,candidate_id;cycle_bar_time;score;decision;direction;D_source;B_source;D_plus_B;threshold_id;feature_hash;model_hash;timestamp_basis;source_row_hash;score_bucket,160,160,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337B/proxy_expected_signal_values.csv,signal_sanity_context_only_not_kpi_authority,pending_future_proxy_materialization_after_run337M_review,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,true,true,blocked,blocked,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf_flat_count_proxy_expected_template,m48_plain_rf,flat_count,feature_snapshot_hash;model_or_surface_spec;score_threshold_identity;risk_lot_identity;timestamp_basis,candidate_id;cycle_bar_time;score;decision;direction;D_source;B_source;D_plus_B;threshold_id;feature_hash;model_hash;timestamp_basis;source_row_hash;score_bucket,2936,2936,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337B/proxy_expected_signal_values.csv,signal_sanity_context_only_not_kpi_authority,pending_future_proxy_materialization_after_run337M_review,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,true,true,blocked,blocked,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
