source_path,exists,sha256,role,consumer,availability,lineage_judgment,claim_boundary
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337K/run337L_proxy_mt5_input_materialization_queue.csv,true,1562e88b24021c600ce631e8a0809384b5152636581ba13cde79f26d15ab01c5,run337L input materialization source,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,tracked_or_source_artifact_present,connected_with_boundary,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337K/accepted_scaffolds_for_run337L_materialization.csv,true,0a22cd3935db60fa8ad8d4e5d5af343c3bff6625db97471804b91f22aed7d899,run337L input materialization source,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,tracked_or_source_artifact_present,connected_with_boundary,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337K/final_runner_scaffold_review_decision.json,true,d88ec9b07710a60a1a5a5e44876c362a3bed63a12f73d554e6205044ed34eb5e,run337L input materialization source,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,tracked_or_source_artifact_present,connected_with_boundary,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337K/run_manifest.json,true,55efd85866a4afce95af305c77e743987484e4461d8ad10575ac06326aa680bd,run337L input materialization source,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,tracked_or_source_artifact_present,connected_with_boundary,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337K/required_gate_coverage_audit.csv,true,f971d771d66e137968f46e635413b907961487e4644de6ca0d6b3a34310f0151,run337L input materialization source,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,tracked_or_source_artifact_present,connected_with_boundary,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/no_lookahead_runner_scaffold.csv,true,7ab3e910ad2b4882190ff20ab42d42fa40326a87a88f901133efb32676a1501f,run337L input materialization source,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,tracked_or_source_artifact_present,connected_with_boundary,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/proxy_mt5_runner_scaffold.csv,true,cfb231b2f5e6e027455f97039521c619a07fdb21743b1a0daa2a1fe0dd8fef62,run337L input materialization source,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,tracked_or_source_artifact_present,connected_with_boundary,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/runtime_probe_runner_scaffold.csv,true,29eab9224532429a9428f4e1f383128d7183d2783d894f22e7728c088f5bdbd5,run337L input materialization source,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,tracked_or_source_artifact_present,connected_with_boundary,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/core56_asof_runner_scaffold.csv,true,e0151abd74ccfaef8c2cfec2a4f1cd97aadce1c22e6c6877b45d75524f6a96c6,run337L input materialization source,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,tracked_or_source_artifact_present,connected_with_boundary,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/cost_direction_curve_runner_scaffold.csv,true,f45b1a288131615c39f2f1d2710cc6c4454ae8ff22467f8cee932f3dcd7b86b7,run337L input materialization source,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,tracked_or_source_artifact_present,connected_with_boundary,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
