blocker_id,blocked_condition,required_response,claim_status,output_binding_required,execution_allowed,training_allowed,mt5_execution_allowed,claim_boundary
model_training,training queue or model fit opens before package review,stop_claim_and_route_to_repair_or_runtime_evidence_review,not_claimed,true,false,false,false,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
mt5_execution,MT5 tester execution opens before package review,stop_claim_and_route_to_repair_or_runtime_evidence_review,not_claimed,true,false,false,false,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
threshold_retune,score threshold changes without predeclared later training packet,stop_claim_and_route_to_repair_or_runtime_evidence_review,not_claimed,true,false,false,false,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
lot_optimization,lot logic changes or lot-only improvement is used,stop_claim_and_route_to_repair_or_runtime_evidence_review,not_claimed,true,false,false,false,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
forward_pocket_filtering,forward pocket is used as a selection filter,stop_claim_and_route_to_repair_or_runtime_evidence_review,not_claimed,true,false,false,false,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
candidate_selection,candidate is selected from package specs,stop_claim_and_route_to_repair_or_runtime_evidence_review,not_claimed,true,false,false,false,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
forward_passed,Forward Passed is claimed without fresh runtime and KPI attribution,stop_claim_and_route_to_repair_or_runtime_evidence_review,not_claimed,true,false,false,false,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
forward_failed,Forward Failed is claimed from package specs without runtime evidence,stop_claim_and_route_to_repair_or_runtime_evidence_review,not_claimed,true,false,false,false,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_authority,runtime authority is claimed before tester output and row-level parity,stop_claim_and_route_to_repair_or_runtime_evidence_review,not_claimed,true,false,false,false,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
goal_achieve,Goal Achieve is claimed before operating-worthy ONNX evidence,stop_claim_and_route_to_repair_or_runtime_evidence_review,not_claimed,true,false,false,false,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
live_readiness,live readiness or deployment is claimed from research package specs,stop_claim_and_route_to_repair_or_runtime_evidence_review,not_claimed,true,false,false,false,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
