gate_id,status,evidence,finding,claim_boundary
source_lineage_connected,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/source_lineage_index.csv,source_rows=25,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
parent_run337K_completed,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337K/final_runner_scaffold_review_decision.json,run337K accepted run337L materialization,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
no_lookahead_guards_materialized,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/no_lookahead_pre_execution_guards.csv,guard_rows=5,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_expected_templates_materialized,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/proxy_expected_result_template.csv,proxy_template_rows=25,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
fresh_mt5_handoff_materialized,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/fresh_mt5_probe_handoff_package.csv,handoff_rows=5;mt5_execution=not_run,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
difference_usability_contracts_materialized,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/proxy_mt5_difference_runner_contract.csv;stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/usability_decision_runner_contract.csv,difference_rows=5;usability_rows=5,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
core56_asof_handoff_materialized,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/core56_asof_source_handoff_package.csv,core56_rows=5,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_curve_extractor_materialized,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/cost_direction_curve_extractor_package.csv,cost_curve_rows=5,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_asof_inventory_materialized,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/regime_asof_source_inventory.csv,regime_rows=6,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_identity_preflight_materialized,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/runtime_identity_preflight_package.csv,runtime_preflight_rows=6,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
claim_output_registry_binding_materialized,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/claim_boundary_output_registry_binding.csv,claim_binding_rows=11,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337M_review_queue_ready,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/run337M_proxy_mt5_input_review_queue.csv,run337M_queue_rows=9,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
final_claim_guard,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/final_proxy_mt5_probe_input_materialization_decision.json,"no model training, no MT5 execution, no Forward decision, no runtime authority, no Goal Achieve",research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
