run_id,stage_id,source_run_id,attempt_name,split,tier_scope,route_role,tester_status,runtime_status,report_status,net_profit,profit_factor,trade_count,report_path
run02AL_lgbm_fwd18_direct_tier_balance_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,run02X_lgbm_fwd18_rank_threshold_v1,tier_a_only_validation_is,validation,Tier A,tier_only_total,completed,completed,completed,-117.2,0.76,16,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AL_lgbm_fwd18_direct_tier_balance_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AL_lgbm_fwd18_direct_tier_balance_v1_tier_a_only_validation_is.htm
run02AL_lgbm_fwd18_direct_tier_balance_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,run02X_lgbm_fwd18_rank_threshold_v1,tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,completed,completed,completed,212.71,8.97,7,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AL_lgbm_fwd18_direct_tier_balance_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AL_lgbm_fwd18_direct_tier_balance_v1_tier_b_fallback_only_validation_is.htm
run02AL_lgbm_fwd18_direct_tier_balance_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,run02X_lgbm_fwd18_rank_threshold_v1,routed_validation_is,validation,Tier A+B,routed_total,completed,completed,completed,-42.55,0.92,27,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AL_lgbm_fwd18_direct_tier_balance_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AL_lgbm_fwd18_direct_tier_balance_v1_routed_validation_is.htm
run02AL_lgbm_fwd18_direct_tier_balance_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,run02X_lgbm_fwd18_rank_threshold_v1,tier_a_only_oos,oos,Tier A,tier_only_total,completed,completed,completed,-63.6,0.61,10,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AL_lgbm_fwd18_direct_tier_balance_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AL_lgbm_fwd18_direct_tier_balance_v1_tier_a_only_oos.htm
run02AL_lgbm_fwd18_direct_tier_balance_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,run02X_lgbm_fwd18_rank_threshold_v1,tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,completed,completed,completed,-9.91,0.93,7,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AL_lgbm_fwd18_direct_tier_balance_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AL_lgbm_fwd18_direct_tier_balance_v1_tier_b_fallback_only_oos.htm
run02AL_lgbm_fwd18_direct_tier_balance_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,run02X_lgbm_fwd18_rank_threshold_v1,routed_oos,oos,Tier A+B,routed_total,completed,completed,completed,63.62,1.24,19,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AL_lgbm_fwd18_direct_tier_balance_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AL_lgbm_fwd18_direct_tier_balance_v1_routed_oos.htm
run02AM_lgbm_fwd18_inverse_tier_balance_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,run02Y_lgbm_fwd18_inverse_rank_threshold_v1,tier_a_only_validation_is,validation,Tier A,tier_only_total,completed,completed,completed,102.64,1.28,16,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AM_lgbm_fwd18_inverse_tier_balance_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AM_lgbm_fwd18_inverse_tier_balance_v1_tier_a_only_validation_is.htm
run02AM_lgbm_fwd18_inverse_tier_balance_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,run02Y_lgbm_fwd18_inverse_rank_threshold_v1,tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,completed,completed,completed,-235.35,0.09,7,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AM_lgbm_fwd18_inverse_tier_balance_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AM_lgbm_fwd18_inverse_tier_balance_v1_tier_b_fallback_only_validation_is.htm
run02AM_lgbm_fwd18_inverse_tier_balance_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,run02Y_lgbm_fwd18_inverse_rank_threshold_v1,routed_validation_is,validation,Tier A+B,routed_total,completed,completed,completed,16.26,1.03,27,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AM_lgbm_fwd18_inverse_tier_balance_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AM_lgbm_fwd18_inverse_tier_balance_v1_routed_validation_is.htm
run02AM_lgbm_fwd18_inverse_tier_balance_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,run02Y_lgbm_fwd18_inverse_rank_threshold_v1,tier_a_only_oos,oos,Tier A,tier_only_total,completed,completed,completed,52.72,1.51,10,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AM_lgbm_fwd18_inverse_tier_balance_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AM_lgbm_fwd18_inverse_tier_balance_v1_tier_a_only_oos.htm
