branch_id,evidence_id,proves,required_before,missing_policy
run335C_b01_cost_spread_slippage_grid_guard,source_file_index,all source files hashed and row-counted,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b01_cost_spread_slippage_grid_guard,latest_forward_data_inventory,post-2026-04-14 raw/feature evidence boundary named,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b01_cost_spread_slippage_grid_guard,feature_label_boundary_statement,no future data enters feature or label construction,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b01_cost_spread_slippage_grid_guard,paired_tier_kpi_plan,"Tier A separate, Tier B separate, and Tier A+B combined rows exist",run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b01_cost_spread_slippage_grid_guard,negative_control_report,shuffle/adjacent/state-neutral control is evaluated or explicitly blocked,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b01_cost_spread_slippage_grid_guard,no_retune_receipt,"threshold, lot, direct pocket filtering, and subject swap remain forbidden",run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b01_cost_spread_slippage_grid_guard,runtime_parity_requirement,MT5 tester output and telemetry required before runtime claim,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b01_cost_spread_slippage_grid_guard,result_judgment,candidate/forward/runtime/goal claims remain not_claimed unless evidence exists,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b02_curve_noncalendar_state_holdout,source_file_index,all source files hashed and row-counted,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b02_curve_noncalendar_state_holdout,latest_forward_data_inventory,post-2026-04-14 raw/feature evidence boundary named,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b02_curve_noncalendar_state_holdout,feature_label_boundary_statement,no future data enters feature or label construction,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b02_curve_noncalendar_state_holdout,paired_tier_kpi_plan,"Tier A separate, Tier B separate, and Tier A+B combined rows exist",run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b02_curve_noncalendar_state_holdout,negative_control_report,shuffle/adjacent/state-neutral control is evaluated or explicitly blocked,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b02_curve_noncalendar_state_holdout,no_retune_receipt,"threshold, lot, direct pocket filtering, and subject swap remain forbidden",run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b02_curve_noncalendar_state_holdout,runtime_parity_requirement,MT5 tester output and telemetry required before runtime claim,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b02_curve_noncalendar_state_holdout,result_judgment,candidate/forward/runtime/goal claims remain not_claimed unless evidence exists,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b03_direction_symmetry_no_side_drop,source_file_index,all source files hashed and row-counted,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b03_direction_symmetry_no_side_drop,latest_forward_data_inventory,post-2026-04-14 raw/feature evidence boundary named,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b03_direction_symmetry_no_side_drop,feature_label_boundary_statement,no future data enters feature or label construction,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b03_direction_symmetry_no_side_drop,paired_tier_kpi_plan,"Tier A separate, Tier B separate, and Tier A+B combined rows exist",run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b03_direction_symmetry_no_side_drop,negative_control_report,shuffle/adjacent/state-neutral control is evaluated or explicitly blocked,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b03_direction_symmetry_no_side_drop,no_retune_receipt,"threshold, lot, direct pocket filtering, and subject swap remain forbidden",run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b03_direction_symmetry_no_side_drop,runtime_parity_requirement,MT5 tester output and telemetry required before runtime claim,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b03_direction_symmetry_no_side_drop,result_judgment,candidate/forward/runtime/goal claims remain not_claimed unless evidence exists,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b04_drawdown_underwater_recovery_quality,source_file_index,all source files hashed and row-counted,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b04_drawdown_underwater_recovery_quality,latest_forward_data_inventory,post-2026-04-14 raw/feature evidence boundary named,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b04_drawdown_underwater_recovery_quality,feature_label_boundary_statement,no future data enters feature or label construction,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b04_drawdown_underwater_recovery_quality,paired_tier_kpi_plan,"Tier A separate, Tier B separate, and Tier A+B combined rows exist",run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b04_drawdown_underwater_recovery_quality,negative_control_report,shuffle/adjacent/state-neutral control is evaluated or explicitly blocked,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b04_drawdown_underwater_recovery_quality,no_retune_receipt,"threshold, lot, direct pocket filtering, and subject swap remain forbidden",run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b04_drawdown_underwater_recovery_quality,runtime_parity_requirement,MT5 tester output and telemetry required before runtime claim,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b04_drawdown_underwater_recovery_quality,result_judgment,candidate/forward/runtime/goal claims remain not_claimed unless evidence exists,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b05_regime_predeclared_macro_state,source_file_index,all source files hashed and row-counted,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b05_regime_predeclared_macro_state,latest_forward_data_inventory,post-2026-04-14 raw/feature evidence boundary named,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b05_regime_predeclared_macro_state,feature_label_boundary_statement,no future data enters feature or label construction,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b05_regime_predeclared_macro_state,paired_tier_kpi_plan,"Tier A separate, Tier B separate, and Tier A+B combined rows exist",run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b05_regime_predeclared_macro_state,negative_control_report,shuffle/adjacent/state-neutral control is evaluated or explicitly blocked,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
